GAME_ID,DATE,NAME,TEAM,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
0021500008,2015-10-28,Jeremy Lin,CHA,MIA,,27:01,0.258,0.244,0.231,0.273,0.043,0.333,0.333,0.0,0.0,0.273,0.304,10,0.5,2,3,0.667,6,0.833,1,2,0,0,2,3,17,-2,20.75,3,63,44,0.0455,4,0.5,104.3,108.2,-3.9,0.167,0.023,0.6,95.3,0.7,0.3,0.353,0.353,0.176,0.353,0.537,0.366,0.112,0.0,3,2,0,6,7,1,9,16,1,6,
0021500026,2015-10-30,Jeremy Lin,CHA,ATL,,27:07,0.209,0.167,0.25,0.6,0.121,0.235,0.231,0.25,0.0,0.143,0.211,8,0.25,2,4,0.5,6,1.0,4,4,1,0,3,2,12,3,23.5,6,59,39,0.1026,3,0.0,97.6,92.2,5.5,0.211,0.07,0.375,103.55,0.5,0.5,0.0,0.5,0.417,0.0,0.449,0.306,0.154,0.188,5,2,3,0,18,7,19,22,7,5,
0021500039,2015-11-01,Jeremy Lin,CHA,ATL,,21:28,0.234,0.243,0.333,0.25,0.111,0.417,0.167,0.333,0.333,0.25,0.175,9,0.222,1,6,0.167,2,1.0,2,5,1,2,1,2,7,-2,21.75,2,47,32,0.1563,5,0.2,91.9,101.4,-9.5,0.455,0.049,0.278,94.94,0.333,0.667,0.286,0.429,0.286,0.286,0.421,0.263,0.121,0.286,2,2,0,2,7,5,8,16,5,3,
0021500053,2015-11-03,Jeremy Lin,CHA,CHI,,18:47,0.266,0.222,0.182,0.714,0.25,0.286,0.333,0.0,1.0,0.25,0.254,8,0.5,2,2,1.0,5,1.0,5,4,0,1,1,1,15,21,28.75,7,46,30,0.1333,5,0.4,154.9,96.6,58.3,0.222,0.156,0.625,98.9,0.75,0.25,0.267,0.4,0.333,0.267,0.578,0.094,0.203,0.111,5,0,0,4,4,2,3,10,2,6,
0021500072,2015-11-05,Jeremy Lin,CHA,DAL,,17:07,0.299,0.242,0.25,0.167,0.053,0.333,0.667,0.5,0.333,0.222,0.189,8,0.375,0,3,0.0,1,1.0,1,2,2,1,4,2,7,7,14.75,3,34,22,0.0909,5,0.6,95.8,84.2,11.6,0.167,0.029,0.375,104.13,0.625,0.375,0.857,0.0,0.714,0.571,0.464,0.214,0.196,0.111,5,2,0,4,5,1,0,8,1,2,
0021500090,2015-11-07,Jeremy Lin,CHA,SAS,,21:59,0.324,0.323,0.5,0.429,0.273,0.333,0.25,0.0,0.0,0.333,0.4,10,0.4,1,4,0.25,6,0.5,3,2,0,0,2,2,12,-37,17.75,6,44,26,0.0769,6,0.5,69.5,152.0,-82.5,0.286,0.086,0.45,95.24,0.6,0.4,0.5,0.25,0.0,0.333,0.709,0.163,0.068,0.357,0,1,0,4,15,9,6,22,9,9,
0021500111,2015-11-10,Jeremy Lin,CHA,MIN,,25:56,0.262,0.25,0.278,0.8,0.045,0.3,0.0,0.0,0.0,0.083,0.328,11,0.545,1,5,0.2,8,0.75,1,3,0,0,0,1,19,18,24.5,2,33,17,0.1765,4,0.75,110.7,79.6,31.1,0.176,0.023,0.591,95.03,0.545,0.455,0.526,0.158,0.0,0.316,0.444,0.333,0.239,0.136,0,0,0,6,2,6,4,12,6,6,
0021500113,2015-11-11,Jeremy Lin,CHA,NYK,,21:08,0.312,0.324,0.111,0.118,0.125,0.273,0.667,0.6,0.0,0.5,0.362,11,0.636,1,1,1.0,2,1.0,2,3,3,0,2,2,17,11,28.75,5,47,29,0.1034,10,0.7,110.6,85.1,25.6,0.3,0.051,0.682,96.3,0.909,0.091,0.706,0.176,0.0,0.471,0.413,0.075,0.189,0.333,0,0,0,8,2,6,4,12,6,4,
0021500132,2015-11-13,Jeremy Lin,CHA,CHI,,16:33,0.196,0.241,0.167,0.0,0.067,0.25,0.0,0.5,0.0,0.25,0.211,7,0.286,0,1,0.0,0,0.0,1,1,2,0,0,2,4,-15,10.5,3,32,23,0.0435,5,0.4,58.0,104.6,-46.6,0.2,0.026,0.286,94.67,0.857,0.143,1.0,0.0,0.0,0.5,0.439,0.242,0.123,0.4,0,0,0,2,7,6,7,10,6,1,
0021500147,2015-11-15,Jeremy Lin,CHA,POR,,20:14,0.229,0.257,0.308,0.0,0.0,0.25,0.143,0.5,0.25,0.143,0.125,9,0.222,1,4,0.25,0,0.0,0,3,1,1,1,1,5,6,12.75,2,40,25,0.12,4,0.5,100.6,89.0,11.6,0.214,0.0,0.278,92.47,0.556,0.444,0.4,0.6,0.0,0.4,0.429,0.143,0.131,0.25,0,0,0,2,9,1,6,16,1,4,
