DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Aaron Harrison,CHA,DAL,,9:32,0.116,0.067,0.0,0.143,0.083,0.0,0.333,1.0,0.0,0.0,0.091,1,1.0,0,0,0.0,1,0.0,1,0,1,0,1,0,2,7,4.75,0,0,0,,0,0.0,109.6,75.9,33.7,0.0,0.05,1.0,100.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.412,0.235,0.101,0.083,0,0,0,2,3,0,0,4,0,1,
2016-10-08,Aaron Harrison,CHA,BOS,,22:25,0.203,0.143,0.125,0.444,0.13,0.0,0.222,0.333,0.5,0.0,0.211,5,0.2,0,1,0.0,8,0.75,3,0,1,1,2,0,8,-10,14.75,0,0,0,,0,0.0,81.0,100.5,-19.5,0.0,0.071,0.2,101.37,0.8,0.2,0.25,0.0,0.25,0.25,0.0,1.0,0.5,0.091,0.105,0.143,2,1,2,2,17,4,4,22,4,6,NBA TV
2016-10-17,Aaron Harrison,CHA,CHI,,5:00,0.373,0.3,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,3,0.333,0,0,0.0,4,0.5,4,0,0,0,0,0,4,4,9.0,0,0,0,,0,0.0,92.9,60.7,32.2,0.0,0.308,0.333,99.07,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.2,0.2,0.101,0.25,0,2,1,2,0,2,0,4,2,2,NBA TV
2016-10-21,Aaron Harrison,CHA,MIN,,29:56,0.134,0.146,0.154,0.143,0.111,0.0,0.083,0.0,0.0,0.2,0.125,7,0.286,0,2,0.0,2,0.5,2,0,0,0,1,2,5,-26,7.0,0,0,0,,0,0.0,64.4,106.9,-42.6,0.0,0.041,0.286,99.32,0.714,0.286,0.8,0.0,0.4,0.4,0.5,0.5,0.633,0.289,0.227,0.176,2,0,0,2,19,4,19,32,4,1,NBA TV
2015-11-20,Aaron Harrison,CHA,PHI,,2:22,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,7,1.25,1,1,1,0.0,0,0.0,175.0,0.0,175.0,0.0,0.333,0.0,91.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0,0,0,0,0,0,0,0,0,1,
2015-12-02,Aaron Harrison,CHA,GSW,,6:31,0.118,0.091,0.0,0.222,0.25,0.0,0.0,0.0,0.0,0.0,0.154,1,1.0,0,0,0.0,2,0.0,1,0,0,0,0,0,2,2,3.25,4,3,1,0.0,0,0.0,81.5,69.3,12.2,0.0,0.067,1.0,117.26,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.409,0.182,0.378,0.333,0,2,0,2,0,2,0,4,2,1,
2015-12-07,Aaron Harrison,CHA,DET,,3:44,0.258,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,1,0,0,-2,0.75,2,3,1,0.0,1,0.0,44.4,74.0,-29.6,0.0,0.125,0.0,86.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-12-09,Aaron Harrison,CHA,MIA,,6:30,0.119,0.0,0.0,1.0,0.333,0.0,0.0,0.5,0.0,0.0,0.154,0,0.0,0,0,0.0,4,0.5,1,0,1,0,0,0,2,-5,5.25,2,5,4,0.0,0,0.0,94.5,116.0,-21.5,0.0,0.125,0.0,108.11,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.75,1.0,0.322,0.333,1,0,0,0,4,0,8,6,0,3,
2015-12-11,Aaron Harrison,CHA,MEM,,3:31,0.127,0.167,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1,1.0,1,1,1.0,0,0.0,0,0,0,0,0,0,3,-1,3.5,2,3,2,0.0,0,0.0,152.3,162.5,-10.2,0.0,0.0,1.5,108.38,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.722,0.0,0.0,0.25,0,0,0,0,3,0,6,2,0,0,
2016-01-02,Aaron Harrison,CHA,OKC,,3:49,0.116,0.167,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,1,0,0,0,0,0,0,0,1.25,1,5,4,0.0,0,0.0,52.4,44.4,7.9,0.0,0.091,0.0,104.64,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.222,0.2,0,0,0,0,0,0,0,4,0,0,
2016-01-13,Aaron Harrison,CHA,ATL,,5:12,0.235,0.3,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.333,0.0,3,0.0,0,1,0.0,0,0.0,1,0,0,0,0,1,0,-12,1.25,3,4,1,0.0,3,0.0,51.0,136.4,-85.3,0.0,0.067,0.0,115.2,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.636,0.455,0.076,0.2,0,0,0,0,0,2,4,8,2,0,
2016-01-16,Aaron Harrison,CHA,MIL,,3:50,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,8,1.25,1,3,2,0.0,0,0.0,162.7,42.9,119.9,0.0,0.25,0.0,86.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.286,0.0,0,0,0,0,3,0,0,0,0,0,
2016-01-20,Aaron Harrison,CHA,OKC,,3:29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,1,0,0,0,0,5,3.25,1,1,1,0.0,0,0.0,123.0,57.1,65.8,0.0,0.333,0.0,98.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.571,0.5,0,0,0,0,0,2,0,4,2,0,
2016-01-23,Aaron Harrison,CHA,NYK,,2:39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,2,0.0,0,0.0,62.1,68.0,-5.9,0.0,0.0,0.0,111.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.34,0.5,0,0,0,0,2,2,2,0,2,0,
2016-01-25,Aaron Harrison,CHA,SAC,,5:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,7,0.0,2,3,2,0.0,0,0.0,147.1,81.8,65.2,0.0,0.0,0.0,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.182,0.167,0,0,0,0,2,0,2,4,0,0,
2016-01-27,Aaron Harrison,CHA,UTA,,4:39,0.196,0.2,0.0,0.0,0.0,0.0,0.333,1.0,0.0,0.333,0.0,1,0.0,0,0,0.0,0,0.0,0,0,1,0,1,1,0,-4,1.5,0,4,2,0.0,1,0.0,127.5,194.1,-66.6,0.0,0.0,0.0,97.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167,0.667,0.114,0.0,0,0,0,0,4,0,2,6,0,0,
2016-01-31,Aaron Harrison,CHA,LAL,,3:03,0.286,0.286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,2,0.0,0,0,0.0,0,0.0,0,0,1,0,0,1,0,-5,2.0,0,5,2,0.0,1,0.0,28.6,95.6,-67.1,0.0,0.0,0.0,112.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.137,0.0,0,0,0,0,0,0,2,2,0,0,
2016-02-24,Aaron Harrison,CHA,CLE,,4:00,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,9,1.25,2,2,1,0.0,0,0.0,184.0,42.9,141.2,0.0,0.167,0.0,81.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.0,0.143,0.2,0,0,0,0,0,3,0,0,3,0,
2016-03-01,Aaron Harrison,CHA,PHX,,7:49,0.238,0.214,0.429,0.444,0.0,0.0,0.0,0.0,0.0,0.333,0.143,3,0.0,0,3,0.0,4,0.5,0,0,0,0,0,2,2,-8,2.0,1,15,10,0.0,0,0.0,93.6,129.7,-36.1,0.0,0.0,0.0,98.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,0.643,0.059,0.25,0,0,0,0,0,2,5,10,2,2,
2016-03-02,Aaron Harrison,CHA,PHI,,1:45,0.25,0.333,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.5,0.5,1,1.0,1,1,1.0,0,0.0,1,0,0,0,0,1,3,0,4.75,1,4,2,0.0,0,0.0,200.0,135.1,64.9,0.0,0.333,1.5,102.03,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.625,0.25,0.0,0.0,0,0,3,0,0,0,0,2,0,0,
2016-03-11,Aaron Harrison,CHA,DET,,2:42,0.167,0.0,0.0,0.0,0.0,0.333,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,0,0,1,0,0,0,0.75,0,2,1,1.0,0,0.0,100.0,120.0,-20.0,0.333,0.0,0.0,97.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0,0,0,0,2,0,0,6,0,0,
2016-03-12,Aaron Harrison,CHA,HOU,,2:46,0.167,0.25,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,1,0,-4,0.0,1,2,1,0.0,1,0.0,83.3,145.2,-61.8,0.0,0.0,0.0,105.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.333,0,0,0,0,4,2,4,6,2,0,
2016-04-08,Aaron Harrison,CHA,BKN,,2:14,0.167,0.25,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,1,0,0,0,0,-5,2.0,0,4,3,0.0,0,0.0,33.3,100.0,-66.7,0.0,0.0,0.0,139.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.286,0.0,0,0,0,0,2,3,2,4,3,0,
2016-04-11,Aaron Harrison,CHA,BOS,,1:12,0.333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,-2,-0.5,1,1,0,,0,0.0,100.0,145.3,-45.3,0.0,0.0,0.0,128.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.333,0.0,0.0,0,0,0,0,3,0,0,4,0,0,
