DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-10,Adreian Payne,MIN,CHA,,8:17,0.113,0.083,0.0,0.0,0.2,0.0,0.25,1.0,0.0,0.2,0.095,1,1.0,0,0,0.0,0,0.0,1,0,1,0,1,1,2,0,4.75,0,0,0,,0,0.0,118.2,119.0,-0.8,0.0,0.111,1.0,102.57,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.625,0.5,0.17,0.0,0,0,0,0,5,0,2,2,0,0,
2016-10-12,Adreian Payne,MIN,DEN,,2:44,0.333,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,-1,-0.5,0,0,0,,0,0.0,100.0,120.0,-20.0,0.0,0.0,0.0,87.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0,0,0,0,4,0,4,6,0,0,
2016-10-16,Adreian Payne,MIN,OKC,,19:52,0.308,0.324,0.333,0.167,0.176,0.0,0.333,0.667,1.0,0.375,0.327,12,0.583,1,4,0.25,2,0.5,3,0,2,1,2,3,16,3,25.25,0,0,0,,0,0.0,115.9,110.2,5.7,0.0,0.097,0.625,101.52,0.667,0.333,0.75,0.188,0.25,0.5,0.429,0.571,0.632,0.118,0.216,0.214,4,2,2,8,9,6,4,18,6,1,
2016-10-19,Adreian Payne,MIN,MEM,,8:16,0.235,0.083,0.0,0.5,0.167,0.0,0.429,0.0,0.0,0.25,0.375,1,1.0,0,0,0.0,2,0.5,1,0,0,0,3,1,3,-18,2.75,0,0,0,,0,0.0,40.5,131.6,-91.1,0.0,0.053,1.0,114.74,1.0,0.0,0.667,0.0,0.333,0.667,0.0,1.0,0.611,0.222,0.202,0.444,1,0,2,2,10,9,7,6,9,1,
2016-10-21,Adreian Payne,MIN,CHA,,6:14,0.308,0.333,0.25,0.0,0.667,0.0,0.25,0.0,0.0,1.0,0.333,3,0.333,0,1,0.0,0,0.0,4,0,0,0,1,1,2,-6,6.5,0,0,0,,0,0.0,50.0,93.2,-43.2,0.0,0.4,0.333,95.79,0.667,0.333,1.0,0.0,0.0,1.0,0.0,1.0,0.417,0.167,0.078,0.167,0,0,0,2,4,2,0,8,2,0,NBA TV
2015-10-28,Adreian Payne,MIN,LAL,,3:47,0.127,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,1,9,6,0.0,1,0.0,130.8,137.5,-6.7,0.0,0.0,0.0,94.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.0,0.125,0.0,0,0,0,0,2,0,5,6,0,1,ESPN
2015-11-05,Adreian Payne,MIN,MIA,,13:02,0.214,0.174,0.5,0.286,0.353,0.333,0.333,0.0,0.333,0.556,0.375,4,0.75,1,1,1.0,2,1.0,6,1,0,1,2,5,9,1,19.25,9,39,30,0.0333,2,1.0,92.0,95.5,-3.5,0.167,0.25,0.875,92.37,0.75,0.25,0.444,0.333,0.444,0.222,0.667,0.333,0.45,0.35,0.166,0.214,4,0,0,2,6,4,4,16,4,2,
2015-11-07,Adreian Payne,MIN,CHI,,3:59,0.175,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.143,2,0.5,0,0,0.0,0,0.0,0,0,0,0,0,3,2,4,2.0,2,5,3,0.0,1,0.0,134.1,99.2,34.9,0.0,0.0,0.5,123.64,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.333,1.167,0.099,0.0,0,2,0,2,4,0,4,4,0,0,
2015-11-10,Adreian Payne,MIN,CHA,F,20:07,0.142,0.122,0.25,0.0,0.238,0.133,0.333,0.25,0.0,0.25,0.192,5,0.8,2,2,1.0,0,0.0,5,2,1,0,2,2,10,13,20.75,8,41,32,0.0625,2,0.5,115.0,86.7,28.3,0.118,0.139,1.0,107.53,0.6,0.4,0.4,0.6,0.0,0.2,0.75,0.25,0.5,0.281,0.222,0.056,0,0,2,2,6,2,5,16,2,1,
2015-11-12,Adreian Payne,MIN,GSW,,1:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-4,0.0,0,3,3,0.0,0,0.0,53.2,250.0,-196.8,0.0,0.0,0.0,78.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,TNT
