DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Al Horford,BOS,PHI,C,15:22,0.296,0.296,0.167,0.0,0.5,0.0,0.4,0.167,0.0,0.167,0.205,8,0.5,0,2,0.0,0,0.0,8,0,1,0,2,1,8,19,19.0,0,0,0,,0,0.0,122.8,59.5,63.3,0.0,0.276,0.5,102.14,0.75,0.25,1.0,0.0,0.0,0.25,0.75,0.25,0.313,0.25,0.268,0.125,0,0,0,2,5,2,2,6,2,1,
2016-10-06,Al Horford,BOS,CHA,C,19:26,0.273,0.263,0.067,0.429,0.4,0.214,0.25,0.0,1.0,0.333,0.245,10,0.5,1,1,1.0,3,0.667,8,3,0,1,1,2,13,23,28.75,0,0,0,,0,0.0,123.0,73.6,49.4,0.2,0.211,0.55,103.54,0.9,0.1,0.615,0.231,0.154,0.615,0.8,0.2,0.375,0.111,0.172,0.182,2,0,6,8,4,7,6,14,7,5,
2016-10-13,Al Horford,BOS,BKN,C,21:18,0.195,0.211,0.067,0.154,0.391,0.0,0.143,0.2,0.333,0.333,0.295,8,0.625,1,1,1.0,2,1.0,9,0,1,1,1,3,13,3,28.25,0,0,0,,0,0.0,100.6,89.4,11.2,0.0,0.196,0.688,100.91,0.875,0.125,0.615,0.231,0.0,0.154,0.8,0.2,0.421,0.289,0.175,0.238,0,0,2,2,8,7,3,16,7,1,
2016-10-15,Al Horford,BOS,NYK,C,15:36,0.253,0.2,0.2,0.0,0.375,0.273,0.75,0.0,1.0,0.0,0.273,5,1.0,2,2,1.0,0,0.0,3,3,0,2,3,0,12,6,23.0,0,0,0,,0,0.0,143.6,109.3,34.3,0.273,0.158,1.2,100.62,0.6,0.4,0.5,0.5,0.167,0.0,0.8,0.2,0.621,0.138,0.201,0.3,2,0,0,0,4,6,8,16,6,0,NBA TV
2016-10-17,Al Horford,BOS,BKN,C,12:00,0.098,0.1,0.2,0.0,0.143,0.0,0.125,0.0,0.0,0.0,0.172,2,1.0,1,1,1.0,0,0.0,2,0,0,0,1,0,5,13,7.5,0,0,0,,0,0.0,104.9,60.1,44.9,0.0,0.095,1.25,108.56,0.5,0.5,0.4,0.6,0.0,0.0,0.5,0.5,0.306,0.333,0.263,0.083,0,0,0,0,4,0,6,6,0,1,
2015-10-27,Al Horford,ATL,DET,C,30:14,0.206,0.224,0.188,0.231,0.19,0.308,0.1,0.333,1.0,0.056,0.246,11,0.545,1,3,0.333,3,0.667,4,4,2,3,1,1,15,-5,35.0,14,67,48,0.0833,3,1.0,97.3,105.6,-8.4,0.25,0.067,0.591,99.39,0.727,0.273,0.667,0.2,0.2,0.4,0.5,0.5,0.443,0.279,0.144,0.441,3,3,2,6,14,9,7,26,9,4,
2015-10-29,Al Horford,ATL,NYK,C,30:34,0.317,0.34,0.278,0.125,0.375,0.063,0.333,0.222,1.0,0.0,0.304,18,0.5,2,5,0.4,2,0.5,9,1,2,3,3,0,21,5,43.0,17,74,48,0.0208,6,0.5,106.1,92.8,13.3,0.063,0.158,0.556,105.21,0.722,0.278,0.667,0.286,0.19,0.476,0.778,0.222,0.459,0.148,0.203,0.333,4,3,2,10,9,9,11,28,9,2,TNT
2015-10-30,Al Horford,ATL,CHA,C,34:52,0.227,0.254,0.294,0.0,0.167,0.167,0.182,0.0,0.333,0.154,0.254,15,0.533,2,5,0.4,0,0.0,6,3,0,1,2,2,18,12,31.25,15,65,48,0.0625,7,0.571,101.7,82.0,19.7,0.15,0.079,0.6,97.61,0.667,0.333,0.667,0.333,0.389,0.444,0.75,0.25,0.379,0.129,0.153,0.295,7,4,0,8,5,17,5,26,17,1,
2015-11-01,Al Horford,ATL,CHA,C,34:55,0.241,0.226,0.227,0.167,0.364,0.077,0.429,0.0,0.5,0.1,0.242,14,0.5,0,5,0.0,2,1.0,12,1,0,3,3,1,16,-3,36.75,17,75,57,0.0175,4,0.75,93.9,99.3,-5.3,0.056,0.167,0.5,96.09,0.643,0.357,0.875,0.0,0.0,0.625,0.714,0.286,0.455,0.119,0.115,0.237,0,4,2,10,7,11,6,18,11,0,
2015-11-03,Al Horford,ATL,MIA,C,33:44,0.225,0.25,0.0,0.111,0.361,0.095,0.1,0.143,0.0,0.091,0.236,17,0.471,0,0,0.0,1,1.0,13,2,1,0,1,1,17,11,37.25,20,64,46,0.0435,10,0.5,102.9,92.4,10.5,0.095,0.188,0.471,96.74,1.0,0.0,0.941,0.0,0.0,0.824,0.75,0.25,0.472,0.302,0.212,0.25,0,0,6,14,8,12,5,26,12,1,NBA TV
