DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Al Jefferson,IND,NOP,,17:58,0.27,0.308,0.0,0.0,0.25,0.0,0.143,0.0,0.0,0.2,0.333,12,0.583,0,0,0.0,0,0.0,5,0,0,0,1,2,14,-4,19.75,0,0,0,,0,0.0,97.2,108.6,-11.4,0.0,0.139,0.583,114.29,1.0,0.0,1.0,0.0,0.143,1.0,0.857,0.143,0.484,0.613,0.094,0.063,2,0,6,14,2,4,7,18,4,0,
2016-10-06,Al Jefferson,IND,CHI,,26:15,0.22,0.26,0.0,0.176,0.393,0.154,0.083,0.2,0.0,0.25,0.234,13,0.538,0,0,0.0,3,0.333,11,2,1,0,1,3,15,3,32.75,0,0,0,,0,0.0,104.1,98.5,5.6,0.118,0.224,0.538,112.82,1.0,0.0,0.933,0.0,0.0,0.533,0.571,0.429,0.511,0.4,0.161,0.048,0,0,0,8,10,4,9,20,4,2,
2016-10-08,Al Jefferson,IND,CHI,,16:25,0.212,0.25,0.0,0.4,0.313,0.333,0.0,0.333,0.5,0.333,0.333,7,0.714,0,0,0.0,4,0.75,5,3,1,1,0,3,13,-2,27.0,0,0,0,,0,0.0,99.0,107.4,-8.5,0.3,0.192,0.714,113.39,1.0,0.0,0.769,0.0,0.154,0.462,0.8,0.2,0.62,0.56,0.183,0.0,2,2,3,6,12,0,7,18,0,2,
2016-10-12,Al Jefferson,IND,MIL,,21:30,0.157,0.171,0.0,0.0,0.357,0.083,0.333,0.25,0.5,0.333,0.078,7,0.286,0,0,0.0,0,0.0,10,1,1,1,1,2,4,21,21.25,0,0,0,,0,0.0,115.8,67.2,48.6,0.067,0.204,0.286,98.99,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.317,0.146,0.157,0.222,0,0,0,2,4,0,0,12,0,0,
2016-10-14,Al Jefferson,IND,ORL,,15:39,0.285,0.313,0.0,0.143,0.4,0.0,0.2,0.0,0.0,0.125,0.333,10,0.4,0,0,0.0,1,1.0,6,0,0,0,1,1,9,-21,16.0,0,0,0,,0,0.0,77.0,136.8,-59.9,0.0,0.176,0.4,107.59,1.0,0.0,0.889,0.0,0.333,0.889,0.5,0.5,0.768,0.25,0.171,0.167,3,0,2,8,4,2,16,18,2,2,
2016-10-19,Al Jefferson,IND,MIL,,15:43,0.327,0.36,0.0,0.0,0.333,0.125,0.333,0.571,1.0,0.143,0.385,9,0.556,0,0,0.0,0,0.0,3,1,4,1,2,1,10,-10,24.0,0,0,0,,0,0.0,87.7,118.4,-30.7,0.2,0.125,0.556,91.72,1.0,0.0,1.0,0.0,0.4,0.8,0.6,0.4,0.54,0.4,0.23,0.545,4,0,2,8,8,8,9,20,8,1,
2015-10-28,Al Jefferson,CHA,MIA,C,21:46,0.317,0.311,0.0,0.375,0.25,0.125,0.333,0.333,0.0,0.2,0.436,14,0.571,0,0,0.0,3,0.333,5,1,1,0,1,1,17,-8,26.0,9,35,16,0.0625,11,0.545,89.6,112.9,-23.3,0.125,0.116,0.571,93.9,1.0,0.0,0.941,0.0,0.412,0.706,0.625,0.375,0.621,0.182,0.192,0.143,7,2,0,12,4,4,5,22,4,2,
2015-10-30,Al Jefferson,CHA,ATL,C,29:52,0.214,0.254,0.0,0.0,0.314,0.0,0.0,0.25,0.667,0.125,0.159,15,0.333,0,0,0.0,0,0.0,11,0,1,2,0,1,10,7,29.75,21,33,17,0.0,11,0.273,106.6,96.6,10.0,0.0,0.175,0.333,94.03,1.0,0.0,1.0,0.0,0.2,0.6,0.4,0.6,0.461,0.176,0.138,0.172,2,0,4,6,12,6,11,30,6,1,
2015-11-01,Al Jefferson,CHA,ATL,C,29:24,0.191,0.231,0.0,0.0,0.357,0.118,0.0,0.0,0.286,0.167,0.161,12,0.417,0,0,0.0,0,0.0,10,2,0,2,0,1,10,2,29.0,17,47,36,0.0556,10,0.4,109.1,104.1,5.0,0.125,0.179,0.417,93.47,1.0,0.0,1.0,0.0,0.2,1.0,1.0,0.0,0.509,0.111,0.104,0.185,2,2,0,10,6,8,4,28,8,1,
2015-11-03,Al Jefferson,CHA,CHI,C,21:18,0.264,0.308,0.0,0.0,0.125,0.2,0.0,1.0,0.333,0.5,0.304,12,0.583,0,0,0.0,0,0.0,3,2,2,1,0,3,14,3,26.25,6,27,14,0.1429,5,0.4,116.4,99.5,16.9,0.2,0.073,0.583,93.21,1.0,0.0,1.0,0.0,0.143,0.286,0.571,0.429,0.539,0.132,0.116,0.1,2,0,0,4,4,0,3,14,0,0,
2015-11-05,Al Jefferson,CHA,DAL,C,26:48,0.358,0.36,0.0,0.143,0.346,0.091,0.5,0.0,0.333,0.25,0.5,18,0.833,0,0,0.0,1,1.0,9,1,0,1,2,3,31,10,44.5,12,41,21,0.0476,14,0.929,119.0,98.4,20.6,0.083,0.187,0.833,93.96,1.0,0.0,0.968,0.0,0.065,0.71,0.4,0.6,0.447,0.234,0.114,0.192,2,0,2,22,7,2,4,26,2,1,
2015-11-07,Al Jefferson,CHA,SAS,C,30:14,0.187,0.224,0.0,0.118,0.318,0.1,0.0,0.0,0.0,0.286,0.191,11,0.545,0,0,0.0,2,0.5,7,1,0,0,0,4,13,4,23.0,12,31,17,0.0588,7,0.429,114.3,102.6,11.7,0.053,0.156,0.545,96.72,1.0,0.0,0.923,0.0,0.0,0.462,0.5,0.5,0.591,0.432,0.176,0.053,0,0,2,6,6,2,2,20,2,2,
2015-11-10,Al Jefferson,CHA,MIN,C,25:54,0.222,0.214,0.0,0.267,0.25,0.182,0.222,0.0,0.333,0.2,0.173,9,0.333,0,0,0.0,4,0.75,4,2,0,1,2,2,9,-14,17.5,11,29,16,0.125,7,0.286,91.9,117.9,-26.1,0.133,0.085,0.333,104.3,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.58,0.18,0.161,0.318,0,0,0,6,13,9,13,24,9,3,
2015-11-11,Al Jefferson,CHA,NYK,C,22:33,0.209,0.238,0.0,0.0,0.357,0.25,0.0,0.0,0.0,0.25,0.095,10,0.2,0,0,0.0,0,0.0,5,2,0,0,0,1,4,-10,12.75,7,29,19,0.1053,9,0.111,93.4,118.5,-25.1,0.143,0.128,0.2,94.54,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.689,0.054,0.205,0.214,2,0,2,2,2,4,2,14,4,0,
2015-11-13,Al Jefferson,CHA,CHI,C,30:43,0.133,0.145,0.0,0.0,0.167,0.294,0.0,0.2,0.0,0.286,0.081,9,0.333,0,0,0.0,0,0.0,5,5,1,0,0,4,6,10,20.5,16,36,25,0.2,4,0.25,118.1,99.8,18.3,0.2,0.083,0.333,99.06,1.0,0.0,1.0,0.0,0.0,0.0,0.667,0.333,0.459,0.469,0.109,0.074,0,0,0,0,4,4,8,24,4,2,
2015-11-15,Al Jefferson,CHA,POR,C,30:27,0.322,0.333,0.0,0.235,0.208,0.158,0.333,0.25,0.2,0.4,0.403,17,0.765,0,0,0.0,4,0.75,5,3,1,1,2,4,29,10,42.0,12,48,28,0.1071,11,0.727,117.1,101.6,15.5,0.214,0.089,0.765,96.57,1.0,0.0,0.897,0.0,0.172,0.552,0.615,0.385,0.398,0.271,0.131,0.382,5,3,4,16,2,16,6,32,16,5,
2015-11-17,Al Jefferson,CHA,NYK,C,26:00,0.248,0.273,0.0,0.182,0.294,0.286,0.0,0.429,0.5,0.125,0.222,12,0.417,0,0,0.0,2,0.0,5,2,3,1,0,1,10,-15,26.75,11,36,22,0.0909,8,0.5,90.3,114.5,-24.2,0.143,0.109,0.417,94.36,1.0,0.0,1.0,0.0,0.0,0.6,0.4,0.6,0.554,0.217,0.153,0.286,0,0,0,6,6,11,0,18,11,1,
2015-11-18,Al Jefferson,CHA,BKN,C,29:56,0.278,0.296,0.0,0.333,0.258,0.125,0.111,0.0,0.333,0.308,0.269,16,0.438,0,0,0.0,7,0.571,8,2,0,2,1,4,18,-7,34.0,14,41,21,0.0952,12,0.333,102.7,117.6,-14.9,0.118,0.133,0.438,102.74,1.0,0.0,0.778,0.0,0.0,0.444,0.714,0.286,0.536,0.321,0.064,0.172,0,0,0,8,11,7,7,34,7,4,
2015-11-20,Al Jefferson,CHA,PHI,C,30:40,0.344,0.373,0.0,0.333,0.37,0.133,0.143,0.167,0.714,0.455,0.351,19,0.579,0,0,0.0,5,0.8,10,2,1,5,1,5,26,18,52.5,16,41,19,0.1053,12,0.583,122.1,89.9,32.2,0.125,0.192,0.579,96.17,1.0,0.0,0.846,0.0,0.231,0.538,0.455,0.545,0.462,0.231,0.193,0.233,6,0,2,14,5,10,4,24,10,3,
2015-11-23,Al Jefferson,CHA,SAC,C,22:57,0.28,0.233,0.0,0.667,0.176,0.273,0.429,0.167,0.333,0.111,0.204,10,0.4,0,0,0.0,4,0.5,3,3,1,1,3,1,10,-8,20.0,7,35,20,0.15,5,0.2,96.8,106.5,-9.7,0.176,0.077,0.4,108.93,1.0,0.0,0.8,0.0,0.2,0.6,1.0,0.0,0.643,0.19,0.187,0.118,2,3,0,6,4,7,7,24,7,2,
2015-11-25,Al Jefferson,CHA,WAS,C,29:54,0.205,0.236,0.0,0.182,0.344,0.059,0.0,0.2,0.0,0.286,0.209,13,0.462,0,0,0.0,2,1.0,11,1,1,0,0,2,14,11,31.0,17,47,32,0.0313,8,0.25,112.0,94.1,17.9,0.053,0.18,0.462,95.83,1.0,0.0,0.857,0.0,0.143,0.571,1.0,0.0,0.454,0.148,0.202,0.294,2,0,2,8,6,10,4,14,10,1,
2015-11-27,Al Jefferson,CHA,CLE,C,30:56,0.207,0.24,0.0,0.143,0.24,0.083,0.0,0.167,0.2,0.143,0.196,12,0.417,0,0,0.0,2,0.5,6,1,1,1,0,1,11,0,23.75,17,31,17,0.0588,8,0.25,98.0,97.0,1.0,0.067,0.105,0.417,89.16,1.0,0.0,0.909,0.0,0.545,0.182,0.4,0.6,0.491,0.075,0.19,0.286,6,0,0,2,4,6,2,22,6,1,
2015-11-29,Al Jefferson,CHA,MIL,C,6:51,0.142,0.143,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.5,0.1,1,0.0,0,0,0.0,2,0.5,1,0,0,0,0,1,1,-8,2.25,2,5,3,0.0,0,0.0,82.0,124.7,-42.7,0.0,0.1,0.0,93.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567,0.067,0.069,0.333,0,0,0,0,7,0,4,12,0,1,
2015-12-26,Al Jefferson,CHA,MEM,,17:33,0.239,0.32,0.0,0.286,0.286,0.0,0.0,0.2,0.4,0.545,0.118,8,0.125,0,0,0.0,2,0.0,4,0,1,2,0,6,2,-16,13.0,9,21,12,0.0,6,0.167,47.1,91.8,-44.7,0.0,0.1,0.125,98.52,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.386,0.257,0.167,0.409,0,0,0,0,11,5,2,16,5,1,
2015-12-28,Al Jefferson,CHA,LAL,,14:36,0.196,0.16,0.0,0.286,0.286,0.0,0.286,0.0,0.0,0.167,0.103,4,0.25,0,0,0.0,2,0.5,4,0,0,0,2,1,3,0,7.0,6,16,9,0.0,3,0.333,87.7,88.0,-0.3,0.0,0.167,0.25,108.56,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.404,0.346,0.121,0.077,0,0,0,2,8,3,6,18,3,1,
2016-02-19,Al Jefferson,CHA,MIL,,23:20,0.164,0.167,0.0,0.0,0.263,0.143,0.182,0.143,0.5,0.333,0.136,7,0.429,0,0,0.0,0,0.0,5,1,1,1,2,2,6,6,16.5,7,21,11,0.0909,5,0.4,85.0,78.1,6.9,0.067,0.119,0.429,103.27,1.0,0.0,1.0,0.0,0.0,0.667,0.0,1.0,0.423,0.154,0.247,0.238,0,0,0,4,6,5,7,14,5,1,
2016-02-21,Al Jefferson,CHA,BKN,,24:05,0.316,0.342,0.0,0.0,0.35,0.0,0.4,0.0,0.0,0.333,0.36,13,0.692,0,0,0.0,0,0.0,7,0,0,0,2,3,18,6,25.75,12,38,23,0.0,7,0.714,110.1,92.0,18.2,0.0,0.167,0.692,92.92,1.0,0.0,1.0,0.0,0.0,0.444,0.556,0.444,0.45,0.275,0.146,0.182,0,0,0,8,8,7,5,24,7,0,
2016-02-24,Al Jefferson,CHA,CLE,,21:18,0.255,0.265,0.0,0.3,0.4,0.0,0.167,0.0,0.0,0.333,0.3,9,0.556,0,0,0.0,3,0.667,6,0,0,0,1,3,12,-25,19.0,9,27,14,0.0,9,0.556,99.0,158.2,-59.2,0.0,0.154,0.556,91.81,1.0,0.0,0.833,0.0,0.0,0.5,0.6,0.4,0.714,0.167,0.049,0.353,0,0,0,6,6,10,14,30,10,4,
2016-02-26,Al Jefferson,CHA,IND,,20:33,0.317,0.343,0.0,0.5,0.15,0.143,0.143,0.0,0.5,0.111,0.429,12,0.333,0,0,0.0,2,0.5,3,1,0,2,1,1,9,-10,17.5,7,24,10,0.1,8,0.25,52.8,72.2,-19.3,0.2,0.061,0.333,96.61,1.0,0.0,0.889,0.0,0.333,0.444,0.75,0.25,0.295,0.231,0.116,0.238,3,0,0,4,7,7,3,12,7,1,
2016-02-28,Al Jefferson,CHA,ATL,,23:13,0.253,0.275,0.0,0.222,0.333,0.2,0.0,0.0,0.0,0.2,0.171,11,0.273,0,0,0.0,2,0.0,7,2,0,0,0,1,6,-9,17.25,11,34,19,0.1053,9,0.222,83.4,95.0,-11.6,0.182,0.159,0.273,91.26,1.0,0.0,1.0,0.0,0.0,0.333,1.0,0.0,0.538,0.077,0.173,0.111,0,0,0,2,4,6,9,16,6,1,
2016-03-01,Al Jefferson,CHA,PHX,,19:03,0.327,0.366,0.0,0.273,0.233,0.0,0.0,0.0,0.333,0.25,0.302,15,0.533,0,0,0.0,3,1.0,7,0,0,1,0,1,19,26,29.75,10,26,9,0.0,11,0.455,143.7,83.7,60.0,0.0,0.167,0.533,110.92,1.0,0.0,0.842,0.0,0.0,0.632,0.625,0.375,0.39,0.122,0.045,0.04,0,2,2,12,6,3,8,18,3,3,
2016-03-02,Al Jefferson,CHA,PHI,,18:59,0.151,0.133,0.0,0.167,0.353,0.2,0.25,0.25,0.5,0.273,0.125,4,0.5,0,0,0.0,3,0.667,6,1,1,1,1,3,6,13,18.25,10,20,12,0.0833,1,1.0,117.3,92.8,24.5,0.077,0.182,0.5,99.42,1.0,0.0,0.667,0.0,0.0,0.667,0.5,0.5,0.435,0.419,0.133,0.2,0,0,0,4,4,1,2,6,1,3,
2016-03-04,Al Jefferson,CHA,IND,,20:46,0.261,0.313,0.0,0.154,0.286,0.125,0.0,0.5,0.4,0.444,0.277,10,0.6,0,0,0.0,2,0.5,4,1,2,2,0,4,13,4,27.25,8,32,20,0.05,8,0.5,118.3,103.9,14.5,0.1,0.118,0.6,93.75,1.0,0.0,0.923,0.0,0.0,0.615,0.5,0.5,0.486,0.278,0.169,0.333,0,0,0,8,5,2,8,16,2,1,
2016-03-07,Al Jefferson,CHA,MIN,,25:53,0.271,0.286,0.0,0.375,0.261,0.182,0.0,0.0,0.0,0.0,0.29,14,0.643,0,0,0.0,3,0.667,6,2,0,0,0,0,20,28,30.0,11,39,23,0.087,8,0.625,133.9,81.0,53.0,0.105,0.15,0.643,94.73,1.0,0.0,0.9,0.0,0.55,0.6,0.556,0.444,0.45,0.15,0.217,0.143,11,0,2,12,5,6,9,22,6,4,
2016-03-09,Al Jefferson,CHA,NOP,,18:06,0.124,0.088,0.0,0.4,0.214,0.143,0.0,0.0,1.0,0.625,0.119,3,0.333,0,0,0.0,4,0.75,3,1,0,1,0,5,5,4,12.0,6,18,14,0.0714,3,0.333,109.4,98.4,10.9,0.071,0.091,0.333,102.1,1.0,0.0,0.4,0.0,0.0,0.4,0.0,1.0,0.448,0.517,0.13,0.125,0,0,0,2,0,6,4,14,6,3,
2016-03-11,Al Jefferson,CHA,DET,,21:23,0.259,0.27,0.0,0.4,0.222,0.125,0.0,0.5,0.0,0.455,0.273,10,0.5,0,0,0.0,4,0.5,4,1,1,0,0,5,12,-2,20.25,8,33,21,0.0476,5,0.4,106.3,106.9,-0.6,0.083,0.118,0.5,94.77,1.0,0.0,0.833,0.0,0.0,0.5,0.4,0.6,0.471,0.457,0.046,0.067,0,0,0,6,5,3,2,18,3,2,
2016-03-12,Al Jefferson,CHA,HOU,,30:04,0.172,0.193,0.0,0.0,0.345,0.176,0.143,0.0,0.5,0.313,0.115,11,0.455,0,0,0.0,0,0.0,10,3,0,2,1,5,10,18,29.75,18,37,23,0.1304,8,0.375,141.0,111.7,29.3,0.111,0.2,0.455,98.6,1.0,0.0,1.0,0.0,0.2,1.0,0.2,0.8,0.482,0.351,0.065,0.276,2,2,2,10,8,8,12,42,8,1,
2016-03-14,Al Jefferson,CHA,DAL,,21:22,0.142,0.094,0.0,0.3,0.235,0.0,0.167,0.333,1.0,0.0,0.152,3,0.333,0,0,0.0,6,0.833,4,0,1,1,1,0,7,-7,15.5,8,22,15,0.0,2,0.5,100.4,104.0,-3.6,0.0,0.114,0.333,108.69,1.0,0.0,0.286,0.0,0.0,0.286,0.0,1.0,0.511,0.2,0.098,0.158,0,0,0,2,10,9,4,26,9,3,
2016-03-16,Al Jefferson,CHA,ORL,,18:41,0.272,0.308,0.0,0.2,0.32,0.5,0.0,0.0,0.0,0.25,0.2,12,0.25,0,0,0.0,2,0.5,8,3,0,0,0,1,7,-6,20.75,10,31,18,0.1667,10,0.3,86.6,98.7,-12.1,0.3,0.195,0.25,105.23,1.0,0.0,0.857,0.0,0.286,0.857,0.333,0.667,0.5,0.229,0.072,0.0,2,1,1,6,2,0,11,14,0,1,
2016-03-17,Al Jefferson,CHA,MIA,,26:51,0.313,0.327,0.0,0.375,0.417,0.091,0.167,0.5,0.0,0.2,0.389,16,0.625,0,0,0.0,3,0.333,10,1,1,0,1,2,21,-4,36.25,17,45,26,0.0385,11,0.545,102.8,115.6,-12.8,0.083,0.208,0.625,91.76,1.0,0.0,0.952,0.0,0.0,0.476,0.4,0.6,0.536,0.333,0.12,0.182,0,0,2,10,8,9,6,28,9,2,
2016-03-19,Al Jefferson,CHA,DEN,,19:00,0.199,0.194,0.0,0.25,0.4,0.125,0.2,0.0,0.5,0.5,0.263,6,0.667,0,0,0.0,2,1.0,6,1,0,3,1,5,10,-2,24.25,9,18,10,0.1,4,0.5,98.7,96.9,1.8,0.091,0.2,0.667,100.8,1.0,0.0,0.8,0.0,0.4,0.6,0.5,0.5,0.516,0.375,0.17,0.176,4,0,0,6,5,4,6,14,4,1,
2016-03-21,Al Jefferson,CHA,SAS,,19:21,0.244,0.243,0.0,0.25,0.3,0.286,0.25,0.0,0.333,0.5,0.097,9,0.111,0,0,0.0,2,0.5,6,2,0,1,1,1,3,5,14.5,11,20,9,0.2222,8,0.125,76.5,67.6,8.9,0.2,0.146,0.111,97.93,1.0,0.0,0.667,0.0,0.0,0.0,0.0,1.0,0.368,0.029,0.156,0.111,0,0,0,0,2,4,0,16,4,1,NBA TV
2016-03-22,Al Jefferson,CHA,BKN,,24:24,0.165,0.205,0.0,0.0,0.222,0.4,0.0,0.0,0.0,0.3,0.222,8,0.625,0,0,0.0,0,0.0,4,4,0,0,0,3,10,-3,20.0,8,32,23,0.1739,5,0.6,94.9,94.4,0.5,0.308,0.105,0.625,96.63,1.0,0.0,1.0,0.0,0.0,0.6,0.4,0.6,0.514,0.306,0.216,0.056,0,0,0,6,5,0,5,22,0,0,
2016-03-25,Al Jefferson,CHA,DET,,19:34,0.304,0.316,0.0,0.0,0.5,0.167,0.333,0.25,0.0,0.4,0.267,12,0.333,0,0,0.0,0,0.0,7,1,1,0,1,4,8,-22,19.5,15,31,19,0.0526,9,0.444,71.8,118.9,-47.1,0.125,0.159,0.333,104.85,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.525,0.325,0.114,0.35,0,0,4,8,4,8,10,24,8,0,NBA TV
2016-03-26,Al Jefferson,CHA,MIL,,21:46,0.278,0.242,0.0,0.667,0.462,0.083,0.0,0.0,0.0,0.2,0.294,8,0.5,0,0,0.0,10,0.7,6,1,0,0,0,1,15,8,23.75,12,35,20,0.05,7,0.429,122.6,99.5,23.1,0.077,0.2,0.5,93.5,1.0,0.0,0.533,0.0,0.2,0.533,1.0,0.0,0.514,0.135,0.185,0.286,3,0,0,8,6,10,4,22,10,5,
2016-03-29,Al Jefferson,CHA,PHI,,21:02,0.206,0.22,0.0,0.167,0.281,0.0,0.143,0.25,0.667,0.333,0.175,9,0.333,0,0,0.0,1,1.0,9,0,1,2,1,1,7,8,23.75,13,28,18,0.0,9,0.333,91.7,72.4,19.3,0.0,0.17,0.333,100.23,1.0,0.0,0.857,0.0,0.286,0.571,1.0,0.0,0.333,0.119,0.113,0.167,2,0,0,4,5,7,1,10,7,1,
2016-04-01,Al Jefferson,CHA,PHI,,21:06,0.22,0.222,0.0,0.417,0.304,0.0,0.0,0.25,0.4,0.375,0.317,8,0.5,0,0,0.0,5,1.0,7,0,1,2,0,3,13,1,27.75,14,28,17,0.0,6,0.5,90.5,89.0,1.6,0.0,0.152,0.5,102.64,1.0,0.0,0.615,0.0,0.0,0.615,0.75,0.25,0.417,0.214,0.089,0.185,0,0,0,8,0,0,3,14,0,3,
2016-04-05,Al Jefferson,CHA,TOR,,20:10,0.22,0.237,0.0,0.222,0.478,0.5,0.0,0.0,0.0,0.5,0.152,9,0.222,0,0,0.0,2,0.5,11,4,0,0,0,3,5,-2,23.75,16,34,23,0.1739,8,0.125,89.3,85.4,3.8,0.4,0.275,0.222,92.73,1.0,0.0,0.8,0.0,0.2,0.4,1.0,0.0,0.47,0.273,0.122,0.063,1,0,1,2,4,4,2,18,4,1,
2016-04-06,Al Jefferson,CHA,NYK,,28:52,0.361,0.389,0.0,0.2,0.348,0.111,0.2,0.286,0.0,0.333,0.4,21,0.524,0,0,0.0,2,1.0,8,1,2,0,1,2,24,6,38.75,14,45,21,0.0476,13,0.538,102.7,94.4,8.3,0.077,0.154,0.524,96.11,1.0,0.0,0.917,0.0,0.167,0.75,0.636,0.364,0.51,0.104,0.21,0.217,4,0,0,18,10,6,2,18,6,1,
2016-04-08,Al Jefferson,CHA,BKN,,17:18,0.23,0.242,0.0,0.0,0.5,0.556,0.333,0.667,0.0,0.4,0.167,8,0.375,0,0,0.0,0,0.0,9,5,2,0,1,2,6,5,27.0,13,32,23,0.2174,8,0.375,102.6,89.5,13.1,0.455,0.257,0.375,96.72,1.0,0.0,1.0,0.0,0.333,0.667,0.333,0.667,0.467,0.2,0.144,0.176,2,0,2,4,2,6,2,16,6,0,
2016-04-10,Al Jefferson,CHA,WAS,,21:25,0.218,0.257,0.0,0.111,0.35,0.0,0.143,0.0,0.0,0.364,0.238,9,0.444,0,0,0.0,2,1.0,7,0,0,0,1,4,10,-13,18.25,9,27,16,0.0,9,0.444,93.5,121.5,-28.0,0.0,0.175,0.444,101.08,1.0,0.0,0.8,0.0,0.2,0.6,0.5,0.5,0.657,0.343,0.133,0.063,2,0,2,6,12,2,11,22,2,1,NBA TV
2016-04-11,Al Jefferson,CHA,BOS,C,27:08,0.234,0.239,0.0,0.0,0.407,0.154,0.333,0.333,0.25,0.5,0.239,11,0.727,0,0,0.0,0,0.0,11,2,2,1,3,5,16,23,36.75,18,45,29,0.069,9,0.667,120.0,79.1,40.8,0.111,0.229,0.727,98.57,1.0,0.0,1.0,0.0,0.0,0.75,0.125,0.875,0.344,0.313,0.108,0.179,0,0,0,12,14,10,8,18,10,1,
2016-04-13,Al Jefferson,CHA,ORL,,23:23,0.371,0.385,0.0,0.75,0.2,0.118,0.0,0.0,0.25,0.2,0.473,15,0.733,0,0,0.0,6,0.667,4,2,0,1,0,1,26,1,35.5,7,36,19,0.1053,10,0.8,115.7,105.7,10.0,0.167,0.108,0.733,101.2,1.0,0.0,0.846,0.0,0.154,0.692,0.636,0.364,0.522,0.152,0.078,0.091,4,0,0,18,5,2,14,28,2,4,
2016-10-26,Al Jefferson,IND,DAL,,10:54,0.315,0.316,0.0,0.167,0.5,0.0,0.5,0.0,1.0,0.2,0.28,6,0.5,0,0,0.0,1,1.0,6,0,0,1,1,1,7,-3,16.0,6,17,9,0.0,4,0.5,115.5,128.7,-13.1,0.0,0.273,0.5,95.52,1.0,0.0,0.857,0.0,0.0,0.857,0.333,0.667,0.545,0.182,0.0,0.167,0,0,2,6,5,2,0,6,2,2,
2016-10-28,Al Jefferson,IND,BKN,,11:59,0.288,0.227,0.0,0.0,0.222,0.4,0.75,0.0,0.5,0.4,0.105,5,0.2,0,0,0.0,0,0.0,2,2,0,1,3,2,2,-8,7.5,4,20,11,0.1818,3,0.333,71.0,113.6,-42.6,0.333,0.077,0.2,101.18,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.174,0.168,0.385,0,0,0,2,4,4,4,14,4,0,
2016-10-29,Al Jefferson,IND,CHI,,14:31,0.144,0.161,0.0,0.0,0.273,0.25,0.0,0.0,0.0,0.333,0.24,5,0.6,0,0,0.0,0,0.0,3,2,0,0,0,2,6,-10,12.25,7,22,16,0.125,2,1.0,84.0,124.6,-40.6,0.286,0.111,0.6,95.63,1.0,0.0,1.0,0.0,0.333,1.0,0.333,0.667,0.636,0.318,0.178,0.25,2,0,4,6,0,3,12,14,3,0,
2016-11-01,Al Jefferson,IND,LAL,,13:41,0.196,0.207,0.0,0.0,0.467,0.167,0.2,0.0,0.0,0.444,0.133,6,0.333,0,0,0.0,0,0.0,7,1,0,0,1,4,4,3,13.5,12,24,18,0.0556,5,0.4,94.5,92.2,2.2,0.1,0.259,0.333,107.06,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.45,0.6,0.205,0.154,2,0,2,4,5,0,6,8,0,1,
2016-04-17,Al Jefferson,CHA,MIA,,23:26,0.292,0.267,0.0,0.316,0.417,0.0,0.4,0.0,1.0,0.1,0.283,8,0.5,0,0,0.0,6,0.833,5,0,0,1,2,1,13,-11,20.25,10,37,22,0.0,5,0.6,116.9,139.6,-22.7,0.0,0.147,0.5,82.14,1.0,0.0,0.615,0.0,0.0,0.462,0.75,0.25,0.641,0.282,0.122,0.5,0,0,0,6,2,11,2,28,11,4,TNT
