DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Al-Farouq Aminu,POR,UTA,F,23:02,0.206,0.216,0.313,0.6,0.133,0.286,0.0,0.167,0.0,0.0,0.156,8,0.25,0,5,0.0,3,0.333,2,2,1,0,0,0,5,-10,12.0,0,0,0,,0,0.0,72.4,93.0,-20.6,0.167,0.047,0.25,93.11,0.375,0.625,0.8,0.0,0.4,0.8,0.5,0.5,0.414,0.4,0.221,0.3,2,2,1,4,4,2,2,10,2,2,NBA TV
2016-10-07,Al-Farouq Aminu,POR,PHX,F,20:53,0.125,0.103,0.111,0.095,0.318,0.0,0.286,0.0,0.5,0.111,0.148,4,0.75,0,1,0.0,2,1.0,7,0,0,1,2,1,8,5,17.75,0,0,0,,0,0.0,116.8,101.9,14.9,0.0,0.189,0.75,108.4,0.75,0.25,0.75,0.0,0.0,0.75,0.0,1.0,0.625,0.194,0.208,0.071,0,0,2,6,6,4,8,26,4,2,
2016-10-11,Al-Farouq Aminu,POR,LAL,F,22:26,0.103,0.14,0.133,0.0,0.25,0.083,0.0,0.0,0.0,0.154,0.068,6,0.333,0,2,0.0,0,0.0,6,1,0,0,0,2,4,8,12.75,0,0,0,,0,0.0,120.0,106.6,13.4,0.056,0.143,0.333,103.77,0.667,0.333,1.0,0.0,0.5,1.0,1.0,0.0,0.55,0.275,0.167,0.25,2,4,0,4,11,2,11,24,2,2,NBA TV
2016-10-13,Al-Farouq Aminu,POR,LAC,F,16:30,0.178,0.222,0.25,0.0,0.5,0.0,0.143,0.0,0.0,0.235,0.175,6,0.5,1,3,0.333,0,0.0,7,0,0,0,1,4,7,-5,15.75,0,0,0,,0,0.0,107.3,114.0,-6.7,0.0,0.233,0.583,111.65,0.5,0.5,0.571,0.429,0.571,0.571,1.0,0.0,0.532,0.548,0.127,0.25,4,2,0,4,11,5,5,22,5,2,TNT
2016-10-16,Al-Farouq Aminu,POR,DEN,F,23:15,0.215,0.233,0.368,0.2,0.174,0.154,0.125,0.0,0.0,0.059,0.346,10,0.6,5,7,0.714,1,1.0,4,2,0,0,1,1,18,-7,27.5,0,0,0,,0,0.0,112.6,124.9,-12.3,0.154,0.089,0.85,96.45,0.3,0.7,0.111,0.833,0.333,0.111,1.0,0.0,0.622,0.568,0.127,0.238,6,3,0,2,8,7,5,20,7,3,NBA TV
2016-10-19,Al-Farouq Aminu,POR,UTA,F,23:12,0.158,0.15,0.313,0.5,0.208,0.077,0.125,0.0,0.0,0.111,0.085,6,0.167,1,5,0.2,2,0.5,5,1,0,0,1,1,4,7,11.5,0,0,0,,0,0.0,107.4,96.3,11.1,0.056,0.122,0.25,88.21,0.167,0.833,0.0,0.75,0.0,0.0,1.0,0.0,0.472,0.222,0.096,0.1,0,1,0,0,10,0,3,18,0,2,
2016-10-21,Al-Farouq Aminu,POR,GSW,F,23:19,0.153,0.14,0.286,0.0,0.238,0.154,0.286,0.2,0.0,0.2,0.146,7,0.429,1,4,0.25,0,0.0,5,2,1,0,2,2,7,-8,17.25,0,0,0,,0,0.0,86.1,109.2,-23.1,0.118,0.106,0.5,110.18,0.429,0.571,0.571,0.429,0.429,0.571,0.667,0.333,0.592,0.316,0.215,0.143,3,0,0,4,4,5,24,10,5,1,NBA TV
2015-10-28,Al-Farouq Aminu,POR,NOP,F,31:08,0.156,0.119,0.136,0.222,0.211,0.0,0.429,0.2,0.667,0.0,0.115,7,0.429,1,3,0.333,2,1.0,8,0,1,2,3,0,9,27,24.0,14,36,23,0.0,2,0.5,120.1,76.4,43.6,0.0,0.129,0.5,101.51,0.571,0.429,0.444,0.333,0.0,0.444,1.0,0.0,0.4,0.236,0.135,0.083,0,2,0,4,6,4,4,18,4,3,
2015-10-30,Al-Farouq Aminu,POR,PHX,F,31:32,0.219,0.161,0.2,0.294,0.323,0.0,0.4,0.0,0.667,0.227,0.246,9,0.556,2,3,0.667,5,0.8,10,0,0,2,6,5,16,-12,30.5,19,49,31,0.0,6,0.5,90.9,105.7,-14.7,0.0,0.147,0.667,109.87,0.667,0.333,0.375,0.375,0.125,0.375,0.8,0.2,0.466,0.458,0.137,0.25,2,6,2,6,23,11,10,40,11,3,
2015-10-31,Al-Farouq Aminu,POR,PHX,F,33:44,0.238,0.259,0.182,0.182,0.269,0.313,0.182,0.0,0.0,0.133,0.232,14,0.357,2,4,0.5,4,1.0,7,5,0,0,2,2,16,-10,31.0,16,43,24,0.2083,6,0.5,99.0,108.8,-9.8,0.25,0.121,0.429,101.23,0.714,0.286,0.375,0.375,0.125,0.125,0.4,0.6,0.54,0.238,0.138,0.25,2,2,0,2,16,8,6,26,8,3,
2015-11-02,Al-Farouq Aminu,POR,MIN,F,32:24,0.173,0.203,0.2,0.2,0.265,0.071,0.0,0.0,0.2,0.25,0.239,12,0.583,2,5,0.4,2,0.5,9,1,0,1,0,5,17,11,32.5,16,47,29,0.0345,3,0.667,106.9,85.3,21.6,0.048,0.15,0.667,101.27,0.583,0.417,0.588,0.353,0.0,0.471,0.571,0.429,0.336,0.509,0.142,0.212,0,4,2,8,11,4,8,28,4,2,
2015-11-04,Al-Farouq Aminu,POR,UTA,F,35:59,0.158,0.153,0.111,0.208,0.222,0.125,0.143,0.4,0.0,0.188,0.157,9,0.556,1,2,0.5,5,0.4,8,1,2,0,2,3,13,13,27.75,13,39,25,0.04,6,0.5,114.4,100.9,13.5,0.037,0.129,0.611,94.66,0.778,0.222,0.615,0.231,0.077,0.615,0.6,0.4,0.452,0.302,0.115,0.286,1,4,5,8,18,8,7,36,8,4,
2015-11-05,Al-Farouq Aminu,POR,MEM,F,33:11,0.204,0.18,0.19,0.235,0.294,0.227,0.5,0.5,0.0,0.25,0.138,11,0.364,1,4,0.25,4,0.5,10,5,1,0,2,4,11,11,31.25,15,50,34,0.1471,5,0.4,132.3,115.2,17.1,0.192,0.169,0.409,87.08,0.636,0.364,0.545,0.273,0.0,0.545,0.75,0.25,0.538,0.346,0.083,0.185,0,0,4,6,2,12,2,30,12,4,TNT
2015-11-08,Al-Farouq Aminu,POR,DET,F,35:24,0.141,0.125,0.2,0.4,0.346,0.059,0.125,0.0,0.0,0.063,0.123,7,0.429,0,4,0.0,4,0.75,9,1,0,0,2,1,9,-19,20.5,11,48,31,0.0323,4,0.25,100.8,129.5,-28.7,0.04,0.143,0.429,97.25,0.429,0.571,0.667,0.0,0.222,0.444,0.667,0.333,0.577,0.225,0.099,0.389,2,2,0,4,17,22,4,48,22,3,
2015-11-09,Al-Farouq Aminu,POR,DEN,F,33:42,0.213,0.246,0.318,0.0,0.138,0.143,0.167,0.25,0.333,0.111,0.164,16,0.313,2,7,0.286,0,0.0,4,2,1,1,1,2,12,-6,24.0,10,46,26,0.0769,11,0.182,98.9,108.9,-10.0,0.1,0.061,0.375,104.23,0.563,0.438,0.5,0.5,0.417,0.5,0.4,0.6,0.541,0.393,0.124,0.258,5,2,5,6,4,15,4,42,15,2,
