DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Alan Anderson,LAC,GSW,,10:36,0.218,0.176,0.167,0.455,0.125,0.2,0.0,0.0,0.0,0.25,0.455,3,0.667,1,1,1.0,5,1.0,1,1,0,0,0,2,10,-1,13.0,0,0,0,,0,0.0,96.3,111.0,-14.7,0.2,0.056,0.833,98.63,0.667,0.333,0.2,0.3,0.0,0.2,1.0,0.0,0.667,1.083,0.193,0.125,0,0,0,2,4,0,4,6,0,3,ESPN
2016-10-05,Alan Anderson,LAC,TOR,,10:23,0.085,0.105,0.286,0.0,0.0,0.125,0.0,0.0,0.0,1.0,0.115,2,0.5,1,2,0.5,0,0.0,0,1,0,0,0,2,3,8,4.75,0,0,0,,0,0.0,126.0,84.0,42.0,0.111,0.0,0.75,97.33,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.429,0.048,0.047,0.091,0,0,3,0,2,0,2,10,0,0,
2016-10-10,Alan Anderson,LAC,UTA,F,10:17,0.091,0.125,0.167,0.0,0.0,0.333,0.0,0.0,0.0,0.143,0.188,2,0.5,1,1,1.0,0,0.0,0,1,0,0,0,1,3,-10,4.75,0,0,0,,0,0.0,79.7,128.7,-49.0,0.25,0.0,0.75,94.01,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.733,0.333,0.149,0.0,0,0,0,0,2,0,2,14,0,1,NBA TV
2016-10-13,Alan Anderson,LAC,POR,,22:21,0.136,0.073,0.083,0.667,0.048,0.0,0.25,1.0,0.0,0.25,0.182,3,0.333,1,1,1.0,6,0.833,1,0,1,0,1,3,8,3,11.25,0,0,0,,0,0.0,100.1,88.4,11.7,0.0,0.023,0.5,97.05,0.667,0.333,0.0,0.375,0.25,0.0,1.0,0.0,0.459,0.27,0.194,0.2,2,0,0,0,7,8,0,14,8,3,TNT
2016-10-18,Alan Anderson,LAC,SAC,,5:25,0.158,0.111,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.222,1,0.0,0,1,0.0,2,1.0,1,0,0,0,0,0,2,3,3.25,0,0,0,,0,0.0,75.8,51.0,24.7,0.0,0.077,0.0,104.68,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.111,0.444,0.34,0.429,2,0,0,0,2,2,2,2,2,2,ESPN
2016-02-24,Alan Anderson,WAS,CHI,,16:28,0.148,0.138,0.5,0.077,0.2,0.125,0.5,0.0,0.0,0.333,0.22,4,0.75,2,3,0.667,1,1.0,3,1,0,0,1,2,9,11,14.5,4,12,7,0.1429,3,0.667,118.1,81.6,36.5,0.091,0.094,1.0,104.16,0.25,0.75,0.222,0.667,0.333,0.222,0.667,0.333,0.435,0.129,0.19,0.188,3,0,0,2,3,4,3,20,4,1,ESPN
2016-02-26,Alan Anderson,WAS,PHI,,15:48,0.124,0.125,0.286,0.2,0.125,0.0,0.0,0.0,0.333,0.333,0.139,3,0.333,1,2,0.5,2,1.0,2,0,0,1,0,2,5,5,10.0,4,21,16,0.0,2,0.5,131.4,105.0,26.4,0.0,0.077,0.5,86.48,0.333,0.667,0.0,0.6,0.0,0.0,1.0,0.0,0.446,0.286,0.034,0.2,0,3,2,0,3,2,2,10,2,2,
2016-02-28,Alan Anderson,WAS,CLE,,15:21,0.192,0.238,0.444,0.167,0.214,0.333,0.0,0.333,0.0,0.125,0.161,5,0.2,1,4,0.25,3,0.667,3,2,1,0,0,1,5,6,13.75,5,21,15,0.1333,1,0.0,97.1,76.6,20.5,0.286,0.103,0.3,100.94,0.2,0.8,0.0,0.6,0.0,0.0,1.0,0.0,0.4,0.24,0.214,0.133,0,0,0,0,0,0,0,12,0,1,
2016-03-02,Alan Anderson,WAS,MIN,,20:35,0.213,0.25,0.467,0.2,0.118,0.0,0.0,0.333,0.0,0.308,0.316,9,0.667,4,7,0.571,2,1.0,2,0,1,0,0,4,18,23,24.5,5,22,12,0.0,3,1.0,131.3,82.2,49.1,0.0,0.067,0.889,98.83,0.222,0.778,0.222,0.667,0.0,0.222,0.667,0.333,0.352,0.704,0.218,0.176,0,2,5,4,6,5,0,6,5,1,
2016-03-05,Alan Anderson,WAS,IND,,23:32,0.124,0.143,0.286,0.105,0.167,0.333,0.0,0.0,0.0,0.333,0.155,6,0.5,1,2,0.5,2,1.0,3,4,0,0,0,4,9,9,18.25,6,25,18,0.2222,4,0.5,110.8,110.7,0.1,0.222,0.079,0.583,98.56,0.667,0.333,0.444,0.333,0.222,0.0,0.667,0.333,0.5,0.316,0.136,0.25,2,0,0,0,8,6,0,22,6,1,
