DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Alan Williams,PHX,SAS,,12:00,0.254,0.267,0.0,0.5,0.389,0.0,0.167,0.0,1.0,0.167,0.444,4,0.5,0,0,0.0,4,1.0,7,0,0,3,2,1,8,1,21.75,0,0,0,,0,0.0,67.9,61.0,6.9,0.0,0.269,0.5,108.8,1.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.348,0.087,0.215,0.125,4,2,4,4,8,0,2,8,0,4,
2016-10-05,Alan Williams,PHX,UTA,,17:16,0.2,0.194,0.0,0.0,0.5,0.0,0.4,0.25,0.0,0.375,0.121,7,0.286,0,0,0.0,0,0.0,8,0,1,0,2,3,4,-5,15.0,0,0,0,,0,0.0,94.4,105.1,-10.7,0.0,0.242,0.286,98.85,1.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.563,0.583,0.277,0.4,2,0,4,4,4,6,11,22,6,1,NBA TV
2016-10-12,Alan Williams,PHX,UTA,,17:01,0.123,0.032,0.0,0.321,0.467,0.111,0.2,0.143,0.0,0.308,0.17,1,1.0,0,0,0.0,9,0.778,7,1,1,0,1,4,9,15,20.5,0,0,0,,0,0.0,119.6,92.3,27.3,0.063,0.259,1.0,120.56,1.0,0.0,0.222,0.0,0.667,0.222,0.0,1.0,0.5,0.538,0.292,0.214,6,0,4,2,4,8,4,10,8,6,NBA TV
2016-10-14,Alan Williams,PHX,DAL,,12:58,0.132,0.129,0.0,0.222,0.6,0.2,0.0,0.0,1.0,0.833,0.065,4,0.0,0,0,0.0,2,1.0,9,1,0,1,0,5,2,7,16.5,0,0,0,,0,0.0,103.5,85.5,18.0,0.083,0.3,0.0,107.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.292,0.142,0.273,0,0,0,0,3,6,0,6,6,2,
2016-03-17,Alan Williams,PHX,UTA,,2:12,0.153,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0,0.0,0,0,0.0,2,0.5,0,0,1,0,0,0,1,0,3.0,2,1,1,0.0,0,0.0,69.4,80.0,-10.6,0.0,0.0,0.0,117.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.4,0.0,0,0,1,0,2,0,0,2,0,1,
2016-03-25,Alan Williams,PHX,SAC,,11:03,0.219,0.176,0.0,0.333,0.455,0.0,0.25,0.5,0.0,0.667,0.333,3,0.667,0,0,0.0,4,0.5,5,0,1,0,1,4,6,-12,13.75,11,22,15,0.0,3,0.667,84.6,122.3,-37.8,0.0,0.208,0.667,99.48,1.0,0.0,0.667,0.0,0.0,0.667,0.5,0.5,0.5,0.364,0.163,0.455,0,0,2,4,4,9,4,16,9,3,
2016-03-28,Alan Williams,PHX,MIN,,2:46,0.361,0.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.667,0.0,1,0.0,0,0,0.0,0,0.0,2,0,0,0,2,2,0,-2,1.5,3,4,2,0.0,1,0.0,79.1,119.0,-39.9,0.0,0.4,0.0,105.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.34,1.0,0,0,0,0,1,2,0,2,2,1,
2016-04-01,Alan Williams,PHX,WAS,,0:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0,0,0,,0,0.0,200.0,0.0,200.0,0.0,0.0,0.0,105.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2016-04-03,Alan Williams,PHX,UTA,,1:23,0.25,0.25,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.5,1,1.0,0,0,0.0,0,0.0,1,0,0,0,0,0,2,4,3.25,2,2,1,0.0,1,1.0,133.3,0.0,133.3,0.0,0.25,1.0,86.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,
2016-04-05,Alan Williams,PHX,ATL,,7:20,0.106,0.071,0.0,0.5,0.3,0.167,0.0,0.0,0.0,0.5,0.048,1,0.0,0,0,0.0,2,0.5,3,1,0,0,0,1,1,11,6.0,6,8,6,0.1667,1,0.0,125.3,64.8,60.5,0.125,0.176,0.0,105.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321,0.071,0.13,0.1,0,0,1,0,2,0,2,4,0,1,
