DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-10-28,Alec Burks,UTA,DET,,26:25,0.323,0.359,0.0,0.389,0.333,0.333,0.0,0.0,0.0,0.286,0.409,14,0.429,0,0,0.0,7,0.857,6,1,0,0,0,4,18,-12,26.75,10,35,16,0.0625,11,0.364,86.4,109.5,-23.1,0.111,0.13,0.429,92.71,1.0,0.0,0.667,0.0,0.222,0.444,0.0,1.0,0.451,0.561,0.117,0.273,4,0,0,8,2,7,4,22,7,6,
2015-10-30,Alec Burks,UTA,PHI,,26:48,0.204,0.154,0.111,0.3,0.226,0.077,0.75,0.25,0.0,0.083,0.25,8,0.75,1,1,1.0,3,0.667,7,1,1,0,3,1,15,24,26.0,8,38,25,0.04,5,0.8,114.5,72.5,42.0,0.056,0.137,0.813,91.41,0.875,0.125,0.667,0.2,0.133,0.4,0.667,0.333,0.257,0.629,0.201,0.179,2,1,0,6,4,4,3,10,4,3,
2015-10-31,Alec Burks,UTA,IND,,20:33,0.299,0.317,0.0,0.5,0.063,0.0,0.143,0.2,0.0,0.1,0.238,13,0.308,0,0,0.0,2,1.0,1,0,1,0,1,1,10,6,12.75,3,34,18,0.0,11,0.364,93.8,87.6,6.2,0.0,0.031,0.308,100.25,1.0,0.0,0.8,0.0,0.2,0.8,0.0,1.0,0.534,0.241,0.292,0.214,2,0,0,8,6,8,4,12,8,1,
2015-11-04,Alec Burks,UTA,POR,,32:16,0.255,0.228,0.133,0.556,0.143,0.2,0.0,0.143,0.0,0.231,0.304,13,0.385,0,2,0.0,15,0.733,4,1,1,0,0,3,21,-5,29.25,7,47,27,0.037,8,0.625,100.2,113.8,-13.6,0.056,0.071,0.385,99.59,0.846,0.154,0.476,0.0,0.19,0.476,0.2,0.8,0.623,0.302,0.185,0.259,4,4,1,10,5,8,5,32,8,8,
2015-11-05,Alec Burks,UTA,DEN,,31:19,0.235,0.235,0.133,0.067,0.107,0.667,0.375,0.25,0.0,0.267,0.197,12,0.417,1,2,0.5,1,1.0,3,8,1,0,3,4,12,9,26.75,5,56,39,0.2051,8,0.375,100.7,83.1,17.5,0.471,0.051,0.458,94.38,0.833,0.167,0.667,0.25,0.25,0.333,0.2,0.8,0.367,0.49,0.176,0.258,3,0,0,4,8,9,10,18,9,0,
2015-11-07,Alec Burks,UTA,MEM,,24:52,0.224,0.154,0.2,0.5,0.111,0.364,0.4,0.25,0.0,0.231,0.17,6,0.333,1,3,0.333,4,1.0,3,4,1,0,4,3,9,12,18.25,7,40,28,0.1429,3,0.333,109.2,79.8,29.5,0.25,0.06,0.417,96.42,0.5,0.5,0.222,0.333,0.0,0.222,0.5,0.5,0.323,0.208,0.117,0.233,0,2,0,2,10,4,10,20,4,3,NBA TV
2015-11-10,Alec Burks,UTA,CLE,,30:11,0.267,0.26,0.357,0.3,0.115,0.167,0.273,0.2,0.0,0.192,0.32,13,0.538,4,5,0.8,6,1.0,3,3,1,0,3,5,24,2,34.0,9,49,30,0.1,7,0.286,123.4,118.0,5.3,0.158,0.062,0.692,97.52,0.615,0.385,0.25,0.5,0.25,0.25,0.571,0.429,0.489,0.766,0.129,0.346,6,3,0,6,7,6,5,24,6,4,
2015-11-12,Alec Burks,UTA,MIA,,34:47,0.249,0.235,0.231,0.235,0.1,0.2,0.375,0.125,0.0,0.222,0.329,16,0.563,3,3,1.0,4,0.75,3,2,1,0,3,4,24,9,32.25,6,64,43,0.0465,10,0.6,100.7,93.6,7.1,0.105,0.05,0.656,97.18,0.813,0.188,0.5,0.375,0.208,0.417,0.222,0.778,0.5,0.365,0.19,0.208,5,4,5,10,9,5,8,38,5,4,
2015-11-13,Alec Burks,UTA,ORL,G,24:51,0.271,0.265,0.364,0.6,0.111,0.125,0.125,0.091,0.0,0.182,0.275,13,0.154,1,4,0.25,6,1.0,2,1,1,0,1,2,11,-15,16.75,6,54,35,0.0286,7,0.0,73.5,104.6,-31.0,0.083,0.044,0.192,103.36,0.692,0.308,0.182,0.273,0.182,0.0,0.5,0.5,0.541,0.405,0.285,0.353,2,0,4,0,5,8,3,12,8,4,
2015-11-15,Alec Burks,UTA,ATL,,28:28,0.267,0.295,0.231,0.385,0.273,0.167,0.091,0.4,0.0,0.222,0.327,13,0.538,1,3,0.333,5,0.6,6,2,2,0,1,2,18,4,32.0,12,51,35,0.0571,10,0.6,97.0,94.3,2.7,0.143,0.14,0.577,93.41,0.769,0.231,0.667,0.167,0.278,0.444,0.571,0.429,0.511,0.159,0.203,0.182,5,7,0,8,12,2,6,26,2,5,
2015-11-18,Alec Burks,UTA,TOR,,26:39,0.243,0.273,0.267,0.143,0.083,0.333,0.182,0.167,0.2,0.25,0.295,12,0.417,1,4,0.25,2,1.0,2,2,1,1,2,3,13,-8,21.5,8,48,32,0.0625,7,0.429,79.8,91.7,-11.9,0.182,0.039,0.458,100.75,0.667,0.333,0.615,0.231,0.0,0.462,0.0,1.0,0.417,0.271,0.176,0.28,0,4,2,6,11,8,4,26,8,1,
2015-11-20,Alec Burks,UTA,DAL,,30:22,0.251,0.25,0.455,0.316,0.135,0.0,0.167,0.0,0.5,0.143,0.254,14,0.286,1,5,0.2,6,1.0,5,0,0,1,1,2,15,-4,23.25,6,56,37,0.0,7,0.429,108.5,113.3,-4.8,0.0,0.078,0.321,86.91,0.643,0.357,0.4,0.2,0.0,0.4,0.0,1.0,0.444,0.278,0.054,0.276,0,6,2,6,6,8,10,22,8,5,
2015-11-23,Alec Burks,UTA,OKC,,24:35,0.268,0.22,0.167,0.316,0.118,0.375,0.444,0.2,0.0,0.2,0.174,9,0.222,0,2,0.0,6,0.667,2,3,1,0,4,2,8,-25,14.25,3,53,33,0.0909,7,0.286,91.3,140.9,-49.5,0.25,0.057,0.222,98.37,0.778,0.222,0.5,0.0,0.25,0.5,0.5,0.5,0.763,0.25,0.179,0.25,2,2,4,4,12,6,16,26,6,7,
2015-11-25,Alec Burks,UTA,LAC,,28:32,0.222,0.271,0.333,0.143,0.214,0.1,0.077,0.0,0.0,0.077,0.148,13,0.231,0,2,0.0,2,1.0,6,1,0,0,1,1,8,-1,16.25,7,52,33,0.0303,6,0.167,91.3,97.7,-6.4,0.059,0.125,0.231,97.1,0.846,0.154,0.75,0.0,0.0,0.25,0.667,0.333,0.545,0.273,0.213,0.2,0,0,0,2,8,4,9,20,4,3,
