DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Alex Len,PHX,SAS,,16:22,0.153,0.148,0.0,0.353,0.333,0.2,0.0,0.0,0.4,0.333,0.143,4,0.25,0,0,0.0,6,0.5,4,1,0,2,0,3,5,-2,15.25,0,0,0,,0,0.0,86.5,91.3,-4.9,0.1,0.133,0.25,118.78,1.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.517,0.276,0.346,0.4,0,2,1,0,13,6,6,12,6,3,
2016-10-05,Alex Len,PHX,UTA,C,25:50,0.132,0.135,0.0,0.2,0.2,0.143,0.091,0.25,0.167,0.2,0.07,7,0.286,0,0,0.0,2,0.0,5,2,1,1,1,3,4,-2,16.25,0,0,0,,0,0.0,97.6,103.3,-5.7,0.091,0.109,0.286,107.32,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.512,0.548,0.175,0.238,0,0,0,0,10,12,8,28,12,1,NBA TV
2016-10-07,Alex Len,PHX,POR,C,21:29,0.195,0.125,0.0,1.0,0.35,0.083,0.3,0.0,0.0,0.385,0.157,5,0.6,0,0,0.0,5,0.4,7,1,0,0,3,5,8,3,16.5,0,0,0,,0,0.0,103.7,101.5,2.1,0.05,0.184,0.6,107.78,1.0,0.0,0.75,0.0,0.0,0.5,0.667,0.333,0.487,0.308,0.169,0.227,0,0,0,4,9,6,0,16,6,4,
2016-10-12,Alex Len,PHX,UTA,C,20:25,0.333,0.345,0.0,0.476,0.438,0.0,0.125,0.25,1.0,0.333,0.341,10,0.3,0,0,0.0,10,0.9,7,0,1,1,1,6,15,3,27.25,0,0,0,,0,0.0,99.5,95.1,4.4,0.0,0.194,0.3,102.69,1.0,0.0,0.4,0.0,0.0,0.267,0.333,0.667,0.391,0.719,0.162,0.3,0,2,7,4,3,6,3,16,6,6,NBA TV
2016-10-21,Alex Len,PHX,LAL,,24:05,0.336,0.333,0.0,0.467,0.321,0.0,0.286,0.143,1.0,0.364,0.327,16,0.375,0,0,0.0,7,0.571,9,0,1,2,4,4,16,-2,31.25,0,0,0,,0,0.0,80.9,85.4,-4.5,0.0,0.167,0.375,119.9,1.0,0.0,0.75,0.0,0.313,0.625,1.0,0.0,0.438,0.271,0.218,0.259,5,2,0,10,11,9,15,20,9,5,
2015-10-28,Alex Len,PHX,DAL,,13:33,0.197,0.13,0.0,0.4,0.471,0.0,0.286,0.0,0.0,0.286,0.182,3,0.333,0,0,0.0,4,0.5,8,0,0,0,2,2,4,-10,13.0,13,29,23,0.0,3,0.333,72.4,103.8,-31.4,0.0,0.267,0.333,108.42,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.5,0.458,0.097,0.071,0,2,0,2,7,0,8,12,0,2,
2015-10-30,Alex Len,PHX,POR,,18:45,0.195,0.2,0.0,0.364,0.19,0.167,0.1,0.25,0.5,0.143,0.278,6,0.667,0,0,0.0,4,0.5,4,1,1,2,1,1,10,0,21.75,7,35,26,0.0385,4,0.75,84.0,87.9,-3.9,0.1,0.103,0.667,107.26,1.0,0.0,0.8,0.0,0.0,0.8,0.5,0.5,0.429,0.257,0.171,0.208,0,0,2,8,5,4,9,14,4,3,
2015-10-31,Alex Len,PHX,POR,,13:01,0.295,0.276,0.0,0.0,0.267,0.0,0.5,0.5,0.0,0.4,0.083,8,0.125,0,0,0.0,0,0.0,4,0,1,0,2,2,2,5,8.0,8,21,11,0.0,6,0.0,80.3,71.6,8.7,0.0,0.129,0.125,103.99,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.357,0.381,0.189,0.214,0,0,0,0,2,3,5,10,3,0,
2015-11-02,Alex Len,PHX,LAC,,6:55,0.307,0.214,0.0,1.0,0.364,0.0,1.0,0.0,0.0,0.333,0.125,3,0.0,0,0,0.0,2,1.0,4,0,0,0,1,1,2,8,6.5,6,12,8,0.0,1,0.0,115.3,56.3,58.9,0.0,0.25,0.0,97.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.417,0.0,0.0,0,0,0,0,0,0,0,2,0,2,
2015-11-04,Alex Len,PHX,SAC,,22:10,0.314,0.3,0.0,0.429,0.333,0.067,0.333,0.125,0.0,0.25,0.286,12,0.583,0,0,0.0,3,0.667,7,1,1,0,4,2,16,12,26.0,12,40,22,0.0455,9,0.444,111.8,93.5,18.4,0.063,0.219,0.583,105.2,1.0,0.0,0.875,0.0,0.375,0.75,0.571,0.429,0.569,0.194,0.191,0.059,6,0,6,12,9,0,6,14,0,2,
2015-11-06,Alex Len,PHX,DET,,8:51,0.213,0.111,0.0,1.0,0.538,0.0,0.5,0.0,0.0,0.286,0.308,2,0.5,0,0,0.0,2,1.0,7,0,0,0,2,2,4,-5,11.75,11,16,11,0.0,2,0.5,72.7,97.2,-24.5,0.0,0.35,0.5,98.71,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.467,0.533,0.054,0.111,0,0,2,2,6,2,2,8,2,2,
2015-11-08,Alex Len,PHX,OKC,,20:00,0.131,0.086,0.0,0.235,0.455,0.0,0.222,0.5,0.0,0.133,0.136,3,0.667,0,0,0.0,4,1.0,5,0,2,0,2,2,8,4,17.25,10,25,18,0.0,1,1.0,124.3,120.1,4.2,0.0,0.208,0.667,111.93,1.0,0.0,0.5,0.0,0.25,0.5,0.5,0.5,0.661,0.645,0.218,0.364,2,0,2,4,15,9,9,32,9,2,
2015-11-12,Alex Len,PHX,LAC,,18:51,0.145,0.148,0.0,0.25,0.286,0.0,0.1,0.0,0.0,0.286,0.056,4,0.25,0,0,0.0,2,0.0,4,0,0,0,1,2,2,-5,6.5,6,24,18,0.0,1,1.0,93.5,102.6,-9.1,0.0,0.129,0.25,99.92,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.474,0.237,0.125,0.368,2,0,0,2,11,14,5,16,14,1,TNT
2015-11-14,Alex Len,PHX,DEN,,16:15,0.181,0.13,0.0,0.4,0.211,0.0,0.2,0.0,0.0,0.6,0.148,3,0.0,0,0,0.0,4,1.0,4,0,0,0,2,3,4,-4,8.0,13,24,16,0.0,3,0.0,76.3,89.2,-12.9,0.0,0.125,0.0,103.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.114,0.029,0.15,0,0,2,0,10,4,0,16,4,3,NBA TV
