DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Alexis Ajinca,NOP,DAL,C,13:59,0.277,0.296,0.0,0.0,0.333,0.0,0.2,0.0,1.0,0.2,0.24,8,0.375,0,0,0.0,0,0.0,5,0,0,1,1,1,6,-12,13.75,0,0,0,,0,0.0,87.9,136.6,-48.7,0.0,0.172,0.375,95.29,1.0,0.0,1.0,0.0,0.0,0.333,1.0,0.0,0.596,0.269,0.037,0.214,0,0,0,2,7,1,4,8,1,0,
2016-10-04,Alexis Ajinca,NOP,IND,C,18:50,0.194,0.121,0.0,0.333,0.421,0.0,0.6,0.0,0.0,0.0,0.2,4,0.75,0,0,0.0,2,0.5,8,0,0,0,3,0,7,-8,15.5,0,0,0,,0,0.0,88.3,99.1,-10.8,0.0,0.186,0.75,105.82,1.0,0.0,0.857,0.0,0.0,0.286,1.0,0.0,0.439,0.244,0.069,0.217,0,0,0,2,7,8,10,28,8,3,
2016-10-12,Alexis Ajinca,NOP,HOU,,14:25,0.297,0.211,0.0,0.364,0.273,0.0,0.444,0.0,1.0,0.3,0.241,4,0.5,0,0,0.0,4,0.75,3,0,0,1,4,3,7,-10,10.75,0,0,0,,0,0.0,88.3,122.5,-34.2,0.0,0.12,0.5,107.68,1.0,0.0,0.571,0.0,0.0,0.286,0.5,0.5,0.484,0.355,0.063,0.353,0,0,0,2,12,8,6,20,8,2,NBA TV
2016-10-18,Alexis Ajinca,NOP,ATL,,11:45,0.231,0.2,0.0,0.0,0.538,0.167,0.333,0.5,1.0,0.5,0.182,4,0.5,0,0,0.0,0,0.0,7,1,1,1,2,3,4,-1,17.0,0,0,0,,0,0.0,91.7,96.8,-5.1,0.143,0.304,0.5,97.55,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.455,0.182,0.084,0.154,0,0,2,2,5,2,0,10,2,0,NBA TV
2016-10-20,Alexis Ajinca,NOP,ORL,,14:37,0.212,0.167,0.0,0.2,0.545,0.0,0.5,0.25,1.0,0.385,0.156,4,0.5,0,0,0.0,2,0.5,6,0,1,1,2,5,5,1,15.5,0,0,0,,0,0.0,101.9,93.1,8.8,0.0,0.3,0.5,106.23,1.0,0.0,0.8,0.0,0.2,0.8,0.5,0.5,0.457,0.522,0.21,0.167,1,0,1,4,6,6,3,10,6,1,
2015-10-27,Alexis Ajinca,NOP,GSW,,16:56,0.198,0.269,0.0,0.0,0.308,0.0,0.1,0.0,0.0,0.333,0.162,7,0.429,0,0,0.0,0,0.0,4,0,0,0,1,3,6,4,10.5,10,26,17,0.0,4,0.25,101.6,86.9,14.7,0.0,0.129,0.429,105.37,1.0,0.0,1.0,0.0,0.0,0.667,0.667,0.333,0.343,0.257,0.237,0.526,0,0,2,4,9,6,2,14,6,0,TNT
2015-10-28,Alexis Ajinca,NOP,POR,,7:21,0.178,0.167,0.0,0.5,0.667,0.0,0.0,0.0,0.0,0.667,0.125,3,0.0,0,0,0.0,2,1.0,2,0,0,0,0,2,2,-10,4.5,4,15,11,0.0,2,0.0,77.1,169.7,-92.6,0.0,0.154,0.0,117.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885,0.231,0.131,0.333,0,0,0,0,4,2,8,12,2,2,
2015-10-31,Alexis Ajinca,NOP,GSW,,6:09,0.306,0.333,0.0,0.25,0.625,0.2,0.0,0.5,0.0,0.0,0.368,5,0.6,0,0,0.0,1,1.0,5,1,1,0,0,0,7,5,16.5,7,13,8,0.125,5,0.6,138.1,108.7,29.4,0.25,0.417,0.6,103.96,1.0,0.0,0.857,0.0,0.0,0.857,0.333,0.667,0.65,0.2,0.155,0.0,0,0,4,6,2,0,7,8,0,1,NBA TV
2015-11-03,Alexis Ajinca,NOP,ORL,C,20:29,0.121,0.119,0.0,0.0,0.174,0.083,0.167,0.0,0.667,0.333,0.108,5,0.4,0,0,0.0,0,0.0,4,1,0,2,1,2,4,-1,13.75,6,24,19,0.0526,5,0.4,82.7,82.3,0.4,0.077,0.089,0.4,106.59,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.446,0.135,0.195,0.1,2,0,0,4,2,2,4,18,2,0,
2015-11-06,Alexis Ajinca,NOP,ATL,,8:44,0.118,0.133,0.0,0.0,0.4,0.0,0.0,1.0,1.0,0.2,0.174,2,1.0,0,0,0.0,0,0.0,2,0,1,1,0,1,4,0,10.5,4,15,12,0.0,0,0.0,136.3,139.2,-3.0,0.0,0.167,1.0,91.72,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.577,0.615,0.061,0.167,0,0,0,2,2,2,4,8,2,0,
2015-11-07,Alexis Ajinca,NOP,DAL,C,16:26,0.16,0.147,0.0,0.0,0.353,0.0,0.333,0.0,0.0,0.2,0.229,5,0.8,0,0,0.0,0,0.0,6,0,0,0,1,1,8,7,15.0,7,31,24,0.0,2,1.0,104.7,90.1,14.6,0.0,0.188,0.8,94.23,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.458,0.292,0.161,0.071,0,0,4,4,5,0,3,6,0,0,
2015-11-10,Alexis Ajinca,NOP,DAL,,5:26,0.083,0.1,0.0,0.0,0.333,0.0,0.0,0.5,1.0,0.25,0.0,1,0.0,0,0,0.0,0,0.0,1,0,1,1,0,1,0,-12,5.25,2,11,10,0.0,0,0.0,45.5,139.3,-93.9,0.0,0.1,0.0,102.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929,0.714,0.246,0.0,0,0,0,0,4,0,0,10,0,0,
