DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Allen Crabbe,POR,UTA,,22:27,0.205,0.243,0.231,0.111,0.118,0.25,0.0,0.167,0.0,0.2,0.234,9,0.667,2,3,0.667,1,1.0,2,4,1,0,0,2,15,24,25.5,0,0,0,,0,0.0,139.3,88.3,50.9,0.222,0.059,0.778,97.54,0.667,0.333,0.533,0.4,0.533,0.4,1.0,0.0,0.471,0.343,0.221,0.227,8,2,0,6,8,0,4,18,0,1,NBA TV
2016-10-07,Allen Crabbe,POR,PHX,F,23:57,0.157,0.182,0.273,0.133,0.045,0.125,0.0,0.0,0.0,0.25,0.161,8,0.375,1,3,0.333,2,1.0,1,1,0,0,0,3,9,-3,12.0,0,0,0,,0,0.0,100.7,105.4,-4.7,0.059,0.019,0.438,111.79,0.625,0.375,0.444,0.333,0.556,0.222,1.0,0.0,0.5,0.167,0.125,0.3,5,0,0,2,7,11,10,32,11,1,
2016-10-11,Allen Crabbe,POR,LAL,,24:27,0.085,0.094,0.0,0.0,0.056,0.2,0.111,0.333,0.0,0.077,0.048,3,0.333,0,0,0.0,0,0.0,1,2,1,0,1,1,2,-6,7.25,0,0,0,,0,0.0,93.0,97.8,-4.8,0.154,0.024,0.333,92.51,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.469,0.146,0.081,0.273,0,0,0,0,16,12,5,32,12,0,NBA TV
2016-10-13,Allen Crabbe,POR,LAC,,22:44,0.185,0.184,0.182,0.364,0.048,0.1,0.1,0.0,0.0,0.417,0.234,7,0.429,2,2,1.0,4,0.75,1,1,0,0,1,5,11,-1,14.0,0,0,0,,0,0.0,94.3,107.3,-13.0,0.077,0.023,0.571,99.81,0.714,0.286,0.182,0.545,0.273,0.182,1.0,0.0,0.476,0.317,0.112,0.28,3,0,1,2,14,10,2,18,10,3,TNT
2016-10-16,Allen Crabbe,POR,DEN,,27:32,0.176,0.22,0.25,0.0,0.069,0.1,0.0,0.0,0.5,0.0,0.167,11,0.364,1,3,0.333,0,0.0,2,1,0,1,0,0,9,-6,15.25,0,0,0,,0,0.0,102.7,116.0,-13.3,0.067,0.034,0.409,90.96,0.727,0.273,0.667,0.333,0.0,0.222,0.5,0.5,0.529,0.255,0.077,0.321,0,0,5,2,7,13,0,26,13,0,NBA TV
2016-10-19,Allen Crabbe,POR,UTA,,25:24,0.116,0.14,0.231,0.0,0.097,0.0,0.0,0.0,0.333,0.2,0.087,6,0.333,0,3,0.0,0,0.0,3,0,0,1,0,2,4,5,9.75,0,0,0,,0,0.0,98.6,85.7,12.9,0.0,0.057,0.333,89.27,0.5,0.5,1.0,0.0,0.0,0.5,1.0,0.0,0.364,0.25,0.063,0.133,0,0,0,2,12,0,4,12,0,0,
2016-10-21,Allen Crabbe,POR,GSW,,25:06,0.104,0.119,0.091,0.0,0.136,0.143,0.111,0.25,1.0,0.333,0.116,5,0.4,1,1,1.0,0,0.0,3,1,1,1,1,2,5,-13,14.0,0,0,0,,0,0.0,77.3,105.3,-27.9,0.077,0.061,0.5,104.03,0.8,0.2,0.4,0.6,0.6,0.0,0.5,0.5,0.553,0.106,0.15,0.167,3,3,0,0,8,9,4,18,9,0,NBA TV
2015-10-28,Allen Crabbe,POR,NOP,,21:34,0.14,0.146,0.143,0.0,0.143,0.125,0.167,0.333,0.0,0.25,0.087,6,0.333,0,2,0.0,0,0.0,3,1,1,0,1,3,4,-5,10.5,4,25,17,0.0588,4,0.25,99.8,103.5,-3.7,0.063,0.075,0.333,106.12,0.667,0.333,1.0,0.0,0.0,0.5,1.0,0.0,0.523,0.279,0.061,0.105,0,0,0,2,9,5,6,22,5,0,
2015-10-30,Allen Crabbe,POR,PHX,,22:56,0.073,0.068,0.091,0.0,0.15,0.2,0.125,1.0,0.0,0.214,0.0,3,0.0,0,1,0.0,0,0.0,3,1,3,0,1,3,0,-9,10.5,4,23,16,0.0625,2,0.0,84.3,102.5,-18.2,0.063,0.062,0.0,101.97,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.526,0.164,0.3,0,0,0,0,10,6,10,26,6,0,
2015-10-31,Allen Crabbe,POR,PHX,,17:00,0.279,0.32,0.364,0.2,0.0,0.0,0.167,0.0,0.0,0.556,0.44,8,0.5,1,4,0.25,2,1.0,0,0,0,0,1,5,11,-12,11.0,0,16,6,0.0,4,0.5,79.6,100.7,-21.0,0.0,0.0,0.563,96.23,0.5,0.5,0.545,0.273,0.364,0.182,1.0,0.0,0.531,0.125,0.163,0.214,4,4,0,2,8,5,4,16,5,1,
2015-11-02,Allen Crabbe,POR,MIN,,25:29,0.175,0.204,0.267,0.0,0.0,0.111,0.111,0.25,0.0,0.0,0.135,10,0.3,1,4,0.25,0,0.0,0,1,1,0,1,0,7,-6,10.25,4,38,26,0.0385,2,0.5,91.5,104.8,-13.3,0.059,0.0,0.35,105.67,0.6,0.4,0.571,0.429,0.286,0.286,1.0,0.0,0.563,0.475,0.199,0.2,2,2,0,2,9,2,10,28,2,1,
2015-11-04,Allen Crabbe,POR,UTA,,21:06,0.08,0.094,0.154,0.118,0.158,0.0,0.0,0.0,0.0,0.1,0.02,3,0.0,0,2,0.0,2,0.5,3,0,0,0,0,1,1,7,4.75,4,22,18,0.0,1,0.0,112.4,93.4,19.0,0.0,0.077,0.0,102.99,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.381,0.087,0.318,0,0,0,0,9,5,3,14,5,2,
2015-11-05,Allen Crabbe,POR,MEM,,21:24,0.174,0.175,0.077,0.0,0.045,0.2,0.333,0.5,0.0,0.2,0.196,7,0.714,1,1,1.0,0,0.0,1,3,1,0,1,1,11,18,18.0,1,28,20,0.15,4,0.5,139.7,96.9,42.8,0.176,0.027,0.786,88.91,0.857,0.143,0.727,0.273,0.182,0.0,0.6,0.4,0.5,0.143,0.128,0.158,2,0,5,0,2,4,2,16,4,0,TNT
2015-11-08,Allen Crabbe,POR,DET,,24:51,0.143,0.175,0.083,0.0,0.091,0.133,0.083,0.333,1.0,0.182,0.25,7,1.0,1,1,1.0,0,0.0,2,2,1,1,1,2,15,-1,24.0,7,27,19,0.1053,2,1.0,115.5,124.1,-8.6,0.105,0.048,1.071,97.69,0.857,0.143,0.8,0.2,0.133,0.267,1.0,0.0,0.552,0.292,0.081,0.333,2,2,2,4,10,12,4,26,12,0,
2015-11-09,Allen Crabbe,POR,DEN,,22:43,0.241,0.286,0.417,0.214,0.15,0.091,0.0,0.0,0.0,0.1,0.234,12,0.333,1,5,0.2,3,0.667,3,1,0,0,0,1,11,0,16.5,8,35,22,0.0455,6,0.333,99.7,113.6,-14.0,0.083,0.073,0.375,93.53,0.583,0.417,0.545,0.273,0.364,0.545,1.0,0.0,0.569,0.655,0.193,0.25,4,0,2,6,8,6,5,18,6,1,
2015-11-11,Allen Crabbe,POR,SAS,,19:39,0.197,0.171,0.4,0.4,0.077,0.143,0.2,0.333,0.0,0.4,0.194,6,0.167,0,2,0.0,4,1.0,1,1,1,0,1,2,6,-25,10.0,3,23,14,0.0714,2,0.0,80.7,146.1,-65.4,0.091,0.03,0.167,93.7,0.667,0.333,0.333,0.0,0.333,0.0,1.0,0.0,0.697,0.079,0.13,0.462,2,0,0,0,4,4,7,26,4,2,ESPN
2015-11-13,Allen Crabbe,POR,MEM,,18:15,0.137,0.167,0.25,0.0,0.158,0.111,0.111,0.0,0.25,0.111,0.273,5,1.0,2,2,1.0,0,0.0,3,1,0,1,1,1,12,7,19.5,5,23,16,0.0625,1,1.0,113.3,99.2,14.0,0.1,0.1,1.2,100.1,0.6,0.4,0.5,0.5,0.167,0.333,0.8,0.2,0.394,0.364,0.134,0.3,2,4,0,4,7,4,2,14,4,1,
2015-11-15,Allen Crabbe,POR,CHA,,27:11,0.188,0.22,0.083,0.0,0.095,0.143,0.0,0.0,0.0,0.267,0.315,11,0.727,1,1,1.0,0,0.0,2,2,0,0,0,4,17,-8,22.5,3,39,27,0.0741,5,0.6,100.9,113.3,-12.4,0.143,0.047,0.773,95.56,0.909,0.091,0.824,0.176,0.118,0.353,0.875,0.125,0.531,0.271,0.11,0.238,2,0,2,6,9,11,3,16,11,1,
2015-11-16,Allen Crabbe,POR,SAS,,13:41,0.146,0.174,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.25,0.188,4,0.25,1,3,0.333,0,0.0,3,0,0,0,0,2,3,-13,7.25,4,14,9,0.0,0,0.0,58.6,104.9,-46.4,0.0,0.107,0.375,96.39,0.25,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.462,0.231,0.072,0.231,0,0,0,0,2,4,0,12,4,0,
2015-11-18,Allen Crabbe,POR,HOU,,39:11,0.143,0.185,0.231,0.0,0.139,0.0,0.063,0.333,0.0,0.227,0.217,12,0.5,3,6,0.5,0,0.0,5,0,2,0,1,5,15,-12,26.25,6,41,27,0.0,5,0.6,84.0,95.1,-11.0,0.0,0.066,0.625,102.48,0.5,0.5,0.4,0.6,0.133,0.133,0.833,0.167,0.386,0.429,0.141,0.27,2,5,0,2,14,9,11,20,9,0,
2015-11-20,Allen Crabbe,POR,LAC,,21:54,0.111,0.091,0.2,0.0,0.0,0.5,0.4,0.0,0.0,0.6,0.068,4,0.25,1,2,0.5,0,0.0,0,3,0,0,2,6,3,-6,6.25,2,24,17,0.1765,2,0.0,102.7,114.9,-12.2,0.2,0.0,0.375,94.64,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.59,0.205,0.138,0.25,0,0,0,0,4,6,4,20,6,0,
2015-11-22,Allen Crabbe,POR,LAL,,25:52,0.122,0.149,0.167,0.0,0.115,0.0,0.0,0.0,0.0,0.4,0.127,7,0.429,1,2,0.5,0,0.0,3,0,0,0,0,4,7,14,11.25,4,25,17,0.0,3,0.667,105.4,81.9,23.5,0.0,0.057,0.5,94.82,0.714,0.286,0.571,0.429,0.0,0.286,1.0,0.0,0.318,0.364,0.1,0.222,0,2,0,2,4,9,2,14,9,0,
2015-11-24,Allen Crabbe,POR,CHI,,30:51,0.093,0.094,0.143,0.095,0.061,0.091,0.083,0.333,0.0,0.2,0.167,5,0.6,1,2,0.5,2,1.0,2,1,1,0,1,2,9,-5,14.75,5,40,30,0.0333,1,1.0,80.3,88.6,-8.3,0.067,0.032,0.7,104.1,0.6,0.4,0.444,0.333,0.0,0.0,1.0,0.0,0.418,0.273,0.135,0.133,0,0,0,0,13,5,7,28,5,2,
2015-11-28,Allen Crabbe,POR,LAL,,17:03,0.245,0.259,0.111,0.167,0.111,0.125,0.25,0.0,0.0,0.2,0.243,7,0.429,1,1,1.0,2,1.0,2,1,0,0,2,1,9,5,12.25,2,24,14,0.0714,4,0.25,104.9,93.0,11.9,0.111,0.074,0.5,98.08,0.857,0.143,0.444,0.333,0.222,0.222,1.0,0.0,0.429,0.357,0.116,0.133,2,2,2,2,9,1,4,8,1,1,
2015-11-30,Allen Crabbe,POR,LAC,,17:06,0.134,0.176,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.185,6,0.333,1,2,0.5,0,0.0,0,0,0,0,0,1,5,0,5.5,3,20,12,0.0,2,0.0,73.5,81.4,-7.9,0.0,0.0,0.417,98.08,0.667,0.333,0.4,0.6,0.0,0.0,1.0,0.0,0.339,0.452,0.121,0.32,0,2,0,0,5,11,4,12,11,0,
2015-12-01,Allen Crabbe,POR,DAL,,34:43,0.185,0.182,0.231,0.2,0.053,0.167,0.2,0.0,0.0,0.0,0.234,12,0.5,3,6,0.5,3,1.0,2,3,0,0,2,0,18,7,24.75,4,44,28,0.1071,6,0.5,106.1,102.4,3.7,0.143,0.029,0.625,97.44,0.5,0.5,0.333,0.5,0.556,0.111,0.833,0.167,0.435,0.306,0.102,0.243,10,2,8,2,19,8,6,26,8,1,NBA TV
2015-12-03,Allen Crabbe,POR,IND,,24:51,0.217,0.227,0.238,0.0,0.0,0.0,0.2,0.167,0.0,0.308,0.305,10,0.7,4,5,0.8,0,0.0,0,0,1,0,2,4,18,12,21.0,0,31,17,0.0,3,0.333,124.7,102.8,21.9,0.0,0.0,0.9,89.86,0.5,0.5,0.333,0.667,0.167,0.0,1.0,0.0,0.419,0.302,0.153,0.37,3,3,6,0,13,10,9,18,10,0,
2015-12-05,Allen Crabbe,POR,MIN,,23:03,0.196,0.29,0.2,0.0,0.15,0.083,0.0,0.0,0.0,0.4,0.239,9,0.556,1,2,0.5,0,0.0,3,1,0,0,0,4,11,1,16.5,5,24,14,0.0714,3,0.333,104.7,96.3,8.4,0.091,0.073,0.611,94.38,0.778,0.222,0.727,0.273,0.273,0.364,0.8,0.2,0.461,0.342,0.128,0.143,3,7,0,4,9,6,4,16,6,1,
