DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Amir Johnson,BOS,PHI,F,14:54,0.059,0.037,0.0,0.0,0.125,0.0,0.167,0.167,0.0,0.571,0.0,1,0.0,0,0,0.0,0,0.0,2,0,1,0,1,4,0,12,4.0,0,0,0,,0,0.0,103.6,61.3,42.4,0.0,0.069,0.0,102.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0.261,0.276,0.133,0,0,0,0,5,2,2,6,2,0,
2016-10-06,Amir Johnson,BOS,CHA,F,21:52,0.094,0.081,0.143,0.308,0.28,0.0,0.0,0.4,0.0,0.333,0.111,3,0.333,1,2,0.5,4,0.75,7,0,2,0,0,3,6,18,19.25,0,0,0,,0,0.0,115.6,73.8,41.8,0.0,0.171,0.5,104.8,0.333,0.667,0.0,0.5,0.333,0.0,1.0,0.0,0.393,0.095,0.144,0.087,2,0,1,0,8,7,6,18,7,2,
2016-10-13,Amir Johnson,BOS,BKN,F,16:09,0.051,0.033,0.0,0.0,0.176,0.167,0.25,0.0,1.0,0.222,0.065,1,1.0,0,0,0.0,0,0.0,3,1,0,1,1,2,2,0,8.5,0,0,0,,0,0.0,86.5,86.5,0.0,0.1,0.083,1.0,106.52,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.442,0.423,0.195,0.125,0,0,0,2,5,2,3,12,2,0,
2016-10-15,Amir Johnson,BOS,NYK,F,17:55,0.05,0.065,0.125,0.0,0.667,0.091,0.0,0.167,0.0,0.125,0.041,2,0.5,0,1,0.0,0,0.0,6,1,1,0,0,1,2,11,12.75,0,0,0,,0,0.0,131.0,101.6,29.4,0.053,0.286,0.5,100.2,0.5,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.558,0.385,0.294,0.4,2,2,0,2,9,7,2,12,7,0,NBA TV
2016-10-17,Amir Johnson,BOS,BKN,F,11:09,0.176,0.167,0.0,0.6,0.462,0.4,0.1,0.333,0.0,0.286,0.292,3,0.667,0,0,0.0,3,1.0,6,2,1,0,1,2,7,2,18.5,0,0,0,,0,0.0,88.2,83.0,5.3,0.286,0.316,0.667,115.63,1.0,0.0,0.571,0.0,0.286,0.571,0.0,1.0,0.368,0.421,0.226,0.167,2,0,3,4,13,2,8,8,2,2,
2016-10-19,Amir Johnson,BOS,NYK,C,9:10,0.176,0.167,0.1,0.0,0.556,0.75,0.333,0.0,0.0,0.2,0.0,3,0.0,0,1,0.0,0,0.0,5,3,0,0,1,1,0,2,9.5,0,0,0,,0,0.0,106.3,96.7,9.5,0.429,0.278,0.0,103.16,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.375,0.153,0.25,0,0,0,0,4,4,3,10,4,1,ESPN
2015-10-28,Amir Johnson,BOS,PHI,,20:02,0.26,0.314,0.25,0.118,0.389,0.091,0.143,0.0,0.667,0.429,0.306,11,0.545,1,2,0.5,2,1.0,7,1,0,2,1,3,15,16,29.0,12,32,21,0.0476,7,0.429,112.7,76.6,36.1,0.1,0.226,0.591,103.68,0.818,0.182,0.667,0.2,0.267,0.667,0.833,0.167,0.433,0.233,0.279,0.143,4,0,5,10,9,2,5,20,2,2,
2015-10-30,Amir Johnson,BOS,TOR,,18:58,0.179,0.097,0.111,0.316,0.444,0.222,0.333,0.4,0.0,0.111,0.262,3,1.0,1,1,1.0,6,0.667,8,2,2,0,3,1,11,0,26.5,11,30,23,0.087,1,1.0,92.6,95.8,-3.2,0.222,0.216,1.167,112.87,0.667,0.333,0.364,0.273,0.182,0.364,0.667,0.333,0.458,0.306,0.16,0.211,2,0,4,4,13,7,0,12,7,3,
2015-11-01,Amir Johnson,BOS,SAS,,28:24,0.142,0.172,0.105,0.0,0.19,0.071,0.0,0.0,0.333,0.267,0.167,10,0.5,0,2,0.0,0,0.0,4,1,0,1,0,4,10,-6,18.25,13,42,32,0.0313,8,0.625,99.1,107.1,-8.0,0.053,0.087,0.5,103.18,0.8,0.2,1.0,0.0,0.4,1.0,0.4,0.6,0.571,0.306,0.162,0.267,4,0,6,10,6,8,5,28,8,2,
2015-11-04,Amir Johnson,BOS,IND,F,20:36,0.114,0.067,0.1,0.154,0.2,0.1,0.286,0.0,0.0,0.375,0.053,2,0.0,0,1,0.0,2,1.0,4,1,0,0,2,3,2,-4,7.25,20,30,25,0.04,0,0.0,98.1,101.4,-3.3,0.083,0.082,0.0,93.31,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.378,0.222,0.145,0.467,0,2,0,0,8,15,2,10,15,1,
2015-11-06,Amir Johnson,BOS,WAS,F,18:08,0.147,0.105,0.091,0.5,0.353,0.0,0.286,0.0,0.0,0.444,0.111,4,0.5,0,1,0.0,2,0.5,6,0,0,0,2,4,5,-8,11.5,12,21,13,0.0,2,0.5,107.8,126.0,-18.2,0.0,0.171,0.5,110.96,0.75,0.25,0.8,0.0,0.0,0.8,0.5,0.5,0.603,0.179,0.119,0.294,0,2,2,4,15,7,18,24,7,1,
2015-11-10,Amir Johnson,BOS,MIL,F,23:29,0.072,0.067,0.0,0.0,0.333,0.0,0.125,0.0,0.333,0.167,0.108,3,0.667,0,0,0.0,0,0.0,9,0,0,1,1,1,4,-8,16.75,18,39,33,0.0,3,0.667,82.9,99.8,-16.9,0.0,0.191,0.667,91.69,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.475,0.175,0.111,0.158,2,0,0,4,12,4,9,22,4,1,
2015-11-11,Amir Johnson,BOS,IND,F,13:53,0.286,0.208,0.091,0.667,0.167,0.125,0.5,0.5,1.0,0.125,0.269,5,0.6,0,1,0.0,4,0.25,2,1,1,1,2,1,7,-1,13.75,4,23,15,0.0667,2,0.5,90.8,89.8,1.0,0.143,0.091,0.6,101.51,0.8,0.2,0.857,0.0,0.0,0.857,1.0,0.0,0.523,0.318,0.166,0.0,0,2,2,6,2,2,4,16,2,2,
2015-11-13,Amir Johnson,BOS,ATL,F,36:21,0.162,0.16,0.12,0.222,0.2,0.182,0.143,0.3,0.429,0.273,0.207,13,0.538,1,3,0.333,2,1.0,8,4,3,3,1,3,17,17,44.0,16,68,52,0.0769,10,0.6,106.5,88.8,17.7,0.154,0.119,0.577,99.12,0.769,0.231,0.706,0.176,0.235,0.706,0.714,0.286,0.491,0.25,0.205,0.138,4,4,2,12,8,4,2,34,4,4,
2015-11-15,Amir Johnson,BOS,OKC,F,29:32,0.114,0.093,0.0,0.182,0.156,0.0,0.2,0.0,0.429,0.211,0.117,5,0.6,0,0,0.0,2,0.5,5,0,0,3,2,4,7,0,18.25,13,64,53,0.0,5,0.6,98.6,95.2,3.4,0.0,0.085,0.6,100.64,1.0,0.0,0.857,0.0,0.571,0.857,1.0,0.0,0.385,0.481,0.143,0.273,4,2,0,6,9,14,3,18,14,2,
2015-11-16,Amir Johnson,BOS,HOU,F,22:16,0.09,0.119,0.0,0.0,0.273,0.25,0.0,0.3,1.0,0.25,0.107,5,0.6,0,0,0.0,0,0.0,6,3,3,1,0,2,6,20,25.25,12,45,37,0.0811,3,0.667,120.4,84.2,36.2,0.15,0.146,0.6,96.23,1.0,0.0,1.0,0.0,0.333,1.0,0.667,0.333,0.472,0.111,0.304,0.381,2,2,0,6,5,5,2,8,5,1,
2015-11-18,Amir Johnson,BOS,DAL,F,28:26,0.129,0.104,0.077,0.167,0.263,0.182,0.25,0.167,0.0,0.2,0.115,5,0.6,0,1,0.0,2,0.0,5,2,1,0,2,3,6,-16,15.75,13,44,36,0.0556,3,1.0,90.8,122.0,-31.3,0.118,0.119,0.6,95.39,0.8,0.2,1.0,0.0,0.0,1.0,1.0,0.0,0.638,0.277,0.126,0.211,0,0,0,6,17,5,8,24,5,1,
2015-11-20,Amir Johnson,BOS,BKN,F,20:28,0.153,0.143,0.0,0.0,0.133,0.222,0.5,0.0,1.0,0.111,0.151,6,0.667,0,0,0.0,0,0.0,2,4,0,2,1,1,8,17,19.0,6,32,24,0.1667,4,0.5,121.1,81.3,39.8,0.222,0.051,0.667,103.22,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.394,0.364,0.271,0.316,0,2,0,8,3,6,4,16,6,1,
