DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Anderson Varejao,GSW,TOR,,5:51,0.126,0.083,0.0,1.0,0.333,0.0,0.0,0.5,0.0,0.5,0.0,1,0.0,0,0,0.0,2,0.0,2,0,1,0,0,1,0,-8,4.5,0,0,0,,0,0.0,36.8,114.9,-78.2,0.0,0.167,0.0,87.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.143,0.287,0.0,0,0,0,0,3,0,3,4,0,2,NBA TV
2016-10-04,Anderson Varejao,GSW,LAC,,7:19,0.269,0.2,0.0,0.429,0.0,0.0,0.333,0.0,0.0,0.0,0.167,2,0.5,0,0,0.0,3,0.333,0,0,0,0,1,0,3,3,2.5,0,0,0,,0,0.0,111.9,89.1,22.9,0.0,0.0,0.5,107.89,1.0,0.0,0.667,0.0,0.333,0.667,1.0,0.0,0.364,1.0,0.119,0.143,1,0,0,2,2,2,0,6,2,2,ESPN
2016-10-06,Anderson Varejao,GSW,SAC,,4:27,0.078,0.125,0.0,0.0,0.833,0.0,0.0,0.0,0.0,0.667,0.0,1,0.0,0,0,0.0,0,0.0,5,0,0,0,0,2,0,1,6.25,0,0,0,,0,0.0,90.1,101.7,-11.7,0.0,0.625,0.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.291,0.333,0,0,0,0,2,0,0,2,0,0,
2016-10-15,Anderson Varejao,GSW,LAL,,13:03,0.039,0.053,0.0,0.0,0.3,0.143,0.0,0.333,0.0,0.5,0.0,1,0.0,0,0,0.0,0,0.0,3,1,1,0,0,3,0,-2,7.0,0,0,0,,0,0.0,118.6,117.7,0.9,0.1,0.143,0.0,87.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521,0.25,0.122,0.417,0,0,0,0,5,10,0,8,10,0,NBA TV
2016-10-21,Anderson Varejao,GSW,POR,,6:06,0.083,0.083,0.0,0.0,0.25,0.5,0.0,0.0,0.5,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,1,0,1,0,0,0,-4,4.5,0,0,0,,0,0.0,54.5,100.0,-45.5,0.333,0.083,0.0,82.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.0,0.2,0.25,0,0,0,0,0,0,2,4,0,1,NBA TV
2015-10-27,Anderson Varejao,CLE,CHI,,11:33,0.075,0.043,0.0,0.4,0.2,0.0,0.0,0.0,1.0,0.25,0.069,1,0.0,0,0,0.0,2,1.0,2,0,0,1,0,1,2,9,6.5,4,22,19,0.0,0,0.0,125.0,84.2,40.8,0.0,0.087,0.0,97.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.2,0.168,0.2,0,0,0,0,0,3,3,4,3,1,TNT
2015-10-28,Anderson Varejao,CLE,MEM,,10:52,0.242,0.261,0.0,0.0,0.385,0.25,0.2,0.0,0.0,0.333,0.129,6,0.333,0,0,0.0,0,0.0,5,2,0,0,1,2,4,17,12.25,12,29,23,0.087,5,0.2,119.8,61.5,58.3,0.182,0.238,0.333,107.43,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.344,0.25,0.308,0.167,0,0,0,4,2,2,1,4,2,1,
2015-10-30,Anderson Varejao,CLE,MIA,,15:50,0.061,0.069,0.0,0.0,0.444,0.0,0.0,0.0,0.0,0.2,0.065,2,0.5,0,0,0.0,0,0.0,8,0,0,0,0,1,2,11,12.0,13,32,29,0.0,0,0.0,107.3,74.7,32.6,0.0,0.267,0.5,84.34,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.333,0.167,0.149,0.176,0,0,0,0,4,4,4,6,4,3,ESPN
2015-11-02,Anderson Varejao,CLE,PHI,,3:59,0.338,0.2,1.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,2,0,0,-9,-1.0,1,12,9,0.0,0,0.0,38.1,174.4,-136.3,0.0,0.0,0.0,88.93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,0.333,0.145,1.0,0,0,0,0,5,2,2,8,2,0,
2015-11-04,Anderson Varejao,CLE,NYK,,5:05,0.073,0.0,0.0,0.0,0.25,0.0,0.333,1.0,0.0,0.5,0.0,0,0.0,0,0,0.0,0,0.0,2,0,1,0,1,1,0,5,4.0,6,5,4,0.0,0,0.0,76.5,36.8,39.8,0.0,0.167,0.0,106.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.286,0.276,0.0,0,0,0,0,2,0,0,0,0,0,ESPN
2015-11-06,Anderson Varejao,CLE,PHI,,6:55,0.112,0.091,0.0,0.0,0.0,0.0,0.167,0.5,0.0,0.5,0.182,1,1.0,0,0,0.0,0,0.0,0,0,1,0,1,1,2,-4,3.5,2,14,11,0.0,0,0.0,73.9,93.8,-19.8,0.0,0.0,1.0,107.1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.577,0.0,0.313,0.333,0,0,0,2,7,4,2,10,4,1,
2015-11-10,Anderson Varejao,CLE,UTA,,5:33,0.304,0.375,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.5,0.154,3,0.333,0,0,0.0,0,0.0,1,0,0,1,0,1,2,9,5.25,5,9,6,0.0,2,0.0,131.6,44.4,87.1,0.0,0.1,0.333,81.64,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.222,0.429,0,0,0,2,2,2,0,4,2,0,
2015-11-13,Anderson Varejao,CLE,NYK,,3:24,0.276,0.3,0.0,0.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0,0,0.0,0,0.0,3,0,0,0,0,0,0,-5,3.75,4,9,5,0.0,2,0.0,43.6,124.2,-80.6,0.0,0.214,0.0,94.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.143,0.0,0.25,0,0,0,0,0,3,3,2,3,0,NBA TV
2015-11-14,Anderson Varejao,CLE,MIL,,5:09,0.157,0.182,0.0,0.0,0.143,0.25,0.0,0.0,0.0,0.0,0.143,2,0.5,0,0,0.0,0,0.0,1,1,0,0,0,0,2,6,4.5,3,7,5,0.2,1,1.0,130.1,69.9,60.2,0.2,0.091,0.5,103.46,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.444,0.111,0.262,0.167,0,0,0,2,0,0,0,6,0,0,
2015-11-19,Anderson Varejao,CLE,MIL,,11:07,0.204,0.25,0.0,0.222,0.222,0.143,0.0,0.0,0.0,0.333,0.333,4,1.0,0,0,0.0,2,0.5,2,1,0,0,0,2,9,1,12.75,4,27,21,0.0476,1,1.0,142.4,132.4,10.0,0.2,0.143,1.0,83.33,1.0,0.0,0.889,0.0,0.0,0.222,0.75,0.25,0.588,0.353,0.102,0.333,0,0,4,2,7,4,2,10,4,1,TNT
2015-11-21,Anderson Varejao,CLE,ATL,,19:06,0.148,0.111,0.0,0.5,0.167,0.1,0.25,0.0,0.0,0.125,0.149,4,0.5,0,0,0.0,3,1.0,3,1,0,0,1,1,7,3,11.5,7,28,21,0.0476,1,1.0,118.6,109.2,9.3,0.063,0.083,0.5,100.42,1.0,0.0,0.571,0.0,0.0,0.286,1.0,0.0,0.446,0.324,0.099,0.286,0,0,0,2,7,8,7,20,8,2,
2015-11-23,Anderson Varejao,CLE,ORL,,12:38,0.095,0.08,0.0,0.4,0.615,0.0,0.0,0.0,0.0,0.0,0.16,2,1.0,0,0,0.0,2,0.0,8,0,0,0,0,0,4,-8,14.0,11,32,27,0.0,0,0.0,95.4,137.0,-41.6,0.0,0.286,1.0,95.52,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.6,0.28,0.042,0.357,0,0,0,2,6,8,2,16,8,3,
2015-11-25,Anderson Varejao,CLE,TOR,,8:07,0.063,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,-8,0.0,3,14,11,0.0,1,0.0,37.8,94.1,-56.3,0.0,0.0,0.0,90.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.154,0.134,0.111,0,0,0,0,0,2,1,4,2,3,
2015-11-28,Anderson Varejao,CLE,BKN,,4:16,0.08,0.0,0.0,0.0,0.375,0.0,0.167,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,3,0,0,0,1,0,0,0,3.25,5,8,7,0.0,0,0.0,61.2,70.9,-9.7,0.0,0.3,0.0,119.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313,0.25,0.101,0.0,0,0,0,0,5,0,2,0,0,0,
2015-12-01,Anderson Varejao,CLE,WAS,,9:20,0.091,0.118,0.0,0.0,0.25,0.333,0.0,0.0,0.0,0.5,0.083,2,0.5,0,0,0.0,0,0.0,2,1,0,0,0,1,2,6,5.75,3,18,16,0.0625,0,0.0,120.2,98.3,22.0,0.167,0.133,0.5,98.43,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.571,0.214,0.164,0.0,0,0,0,0,0,0,0,6,0,1,NBA TV
2015-12-04,Anderson Varejao,CLE,NOP,,3:51,0.112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,0.0,0,0,0.0,2,1.0,0,0,0,0,0,0,2,-6,2.0,0,9,8,0.0,0,0.0,101.5,154.2,-52.7,0.0,0.0,0.0,105.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.4,0.11,0.0,0,0,0,0,0,0,9,6,0,1,ESPN
2015-12-05,Anderson Varejao,CLE,MIA,,14:06,0.028,0.037,0.0,0.0,0.462,0.0,0.0,0.25,0.0,0.25,0.0,1,0.0,0,0,0.0,0,0.0,6,0,1,0,0,1,0,16,9.5,9,29,28,0.0,0,0.0,100.9,59.5,41.4,0.0,0.261,0.0,99.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,0.118,0.335,0.0,0,0,0,0,2,0,0,6,0,2,NBA TV
2015-12-08,Anderson Varejao,CLE,POR,,6:02,0.091,0.0,0.0,0.0,0.5,0.667,0.5,0.0,1.0,0.5,0.0,0,0.0,0,0,0.0,0,0.0,2,2,0,1,1,1,0,0,6.5,3,10,9,0.2222,0,0.0,110.0,111.3,-1.3,0.4,0.222,0.0,79.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.182,0.101,0.5,0,0,0,0,3,1,0,2,1,0,
2015-12-11,Anderson Varejao,CLE,ORL,,10:25,0.211,0.214,0.0,0.286,0.273,0.25,0.167,0.25,0.0,0.167,0.174,3,0.333,0,0,0.0,2,1.0,3,1,1,0,1,1,4,1,10.5,4,24,19,0.0526,3,0.333,114.5,107.2,7.3,0.167,0.167,0.333,93.54,1.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.533,0.533,0.195,0.2,2,0,2,2,7,3,0,4,3,1,
2015-12-15,Anderson Varejao,CLE,BOS,,7:08,0.194,0.25,0.0,0.0,0.333,0.0,0.0,0.0,0.0,1.0,0.444,3,0.667,0,0,0.0,0,0.0,2,0,0,0,0,2,4,-4,6.5,4,21,16,0.0,0,0.0,58.3,100.9,-42.6,0.0,0.167,0.667,95.28,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.182,0.078,0.0,0,0,0,4,0,0,2,8,0,0,NBA TV
2015-12-17,Anderson Varejao,CLE,OKC,,3:34,0.215,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-3,0.0,2,8,6,0.0,0,0.0,36.1,100.0,-63.9,0.0,0.0,0.0,96.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.0,0.0,0.25,0,0,0,0,2,0,0,2,0,0,TNT
2015-12-20,Anderson Varejao,CLE,PHI,,12:53,0.136,0.167,0.0,0.0,0.3,0.167,0.0,0.5,0.0,0.375,0.0,4,0.0,0,0,0.0,0,0.0,3,1,1,0,0,3,0,-9,7.0,10,30,25,0.04,2,0.0,68.4,97.4,-29.0,0.143,0.12,0.0,100.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.65,0.18,0.3,0,0,0,0,4,5,10,12,5,2,
2015-12-26,Anderson Varejao,CLE,POR,,14:06,0.142,0.091,0.0,0.0,0.455,0.143,0.667,0.0,0.0,0.5,0.174,2,1.0,0,0,0.0,0,0.0,5,1,0,0,2,2,4,3,10.5,11,22,17,0.0588,0,0.0,84.9,71.7,13.2,0.143,0.185,1.0,93.55,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.365,0.077,0.215,0.333,0,0,0,2,7,6,3,12,6,0,
2016-01-02,Anderson Varejao,CLE,ORL,,6:51,0.057,0.077,0.0,0.0,0.333,0.5,0.0,0.0,0.0,0.25,0.0,1,0.0,0,0,0.0,0,0.0,3,1,0,0,0,1,0,-4,5.0,5,14,13,0.0769,0,0.0,76.7,99.5,-22.8,0.25,0.167,0.0,111.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.583,0.124,0.125,0,0,0,0,2,3,2,4,3,1,
2016-01-15,Anderson Varejao,CLE,HOU,,7:39,0.315,0.313,0.0,0.333,0.333,0.5,0.0,0.5,0.0,0.4,0.19,5,0.2,0,0,0.0,2,1.0,2,2,1,0,0,2,4,15,11.0,4,18,12,0.1667,2,0.0,134.3,41.3,92.9,0.286,0.222,0.2,94.72,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.143,1.143,0.344,0.25,0,0,0,2,0,1,0,2,1,2,ESPN
2016-01-18,Anderson Varejao,CLE,GSW,,17:08,0.16,0.148,0.0,0.182,0.308,0.3,0.2,0.5,0.0,0.167,0.116,4,0.5,0,0,0.0,2,0.5,4,3,1,0,1,1,5,4,15.25,9,31,24,0.125,2,0.0,123.4,109.4,14.0,0.214,0.167,0.5,98.77,1.0,0.0,0.8,0.0,0.4,0.4,1.0,0.0,0.586,0.207,0.14,0.083,2,0,0,2,7,0,7,8,0,4,TNT
2016-01-27,Anderson Varejao,CLE,PHX,,11:28,0.202,0.222,0.0,0.0,0.375,0.0,0.2,0.25,0.0,0.0,0.214,4,0.75,0,0,0.0,0,0.0,3,0,1,0,1,0,6,2,11.25,8,17,13,0.0,4,0.75,123.0,112.1,11.0,0.0,0.176,0.75,96.2,1.0,0.0,1.0,0.0,0.0,1.0,0.667,0.333,0.579,0.263,0.259,0.4,0,0,2,6,6,2,4,14,2,0,
