DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Andre Iguodala,GSW,TOR,,13:54,0.135,0.083,0.071,0.0,0.214,0.375,0.333,0.25,0.0,0.111,0.161,2,1.0,1,1,1.0,0,0.0,3,3,1,0,3,1,5,4,13.5,0,0,0,,0,0.0,86.2,76.8,9.4,0.375,0.088,1.25,122.8,0.5,0.5,0.4,0.6,0.0,0.4,0.5,0.5,0.37,0.519,0.199,0.278,0,2,0,2,8,7,9,14,7,0,NBA TV
2016-10-04,Andre Iguodala,GSW,LAC,,19:31,0.108,0.107,0.091,0.222,0.167,0.143,0.0,0.333,0.333,0.273,0.107,3,0.333,0,1,0.0,4,1.0,3,2,2,1,0,3,6,20,18.25,0,0,0,,0,0.0,127.5,75.8,51.7,0.125,0.094,0.333,112.4,0.667,0.333,0.333,0.0,0.0,0.0,0.0,1.0,0.348,0.515,0.211,0.143,0,2,0,0,4,4,2,10,4,2,ESPN
2016-10-06,Andre Iguodala,GSW,SAC,,18:15,0.115,0.045,0.1,0.105,0.15,0.167,0.25,0.0,0.0,0.4,0.054,1,0.0,0,1,0.0,2,1.0,3,1,0,0,3,2,2,6,5.5,0,0,0,,0,0.0,89.5,76.7,12.7,0.1,0.075,0.0,107.52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347,0.278,0.173,0.269,0,2,0,0,7,5,7,6,5,1,
2016-10-14,Andre Iguodala,GSW,DEN,,23:13,0.217,0.256,0.375,0.091,0.174,0.083,0.111,0.25,0.0,0.2,0.289,10,0.5,3,6,0.5,1,0.0,4,1,1,0,1,1,13,-11,22.25,0,0,0,,0,0.0,90.3,110.6,-20.3,0.091,0.077,0.65,103.87,0.4,0.6,0.308,0.692,0.0,0.308,0.8,0.2,0.51,0.115,0.099,0.31,0,0,0,4,14,11,8,30,11,1,
2016-10-19,Andre Iguodala,GSW,LAL,,21:41,0.161,0.158,0.3,0.0,0.211,0.071,0.286,0.0,0.0,0.0,0.0,6,0.0,0,3,0.0,0,0.0,4,1,0,0,2,0,0,0,5.25,0,0,0,,0,0.0,91.8,86.5,5.3,0.063,0.105,0.0,106.88,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.449,0.333,0.161,0.158,0,0,0,0,9,9,3,12,9,1,ESPN
2016-10-21,Andre Iguodala,GSW,POR,,23:51,0.094,0.106,0.19,0.0,0.13,0.133,0.0,0.0,0.429,0.2,0.038,5,0.2,0,4,0.0,0,0.0,3,2,0,3,0,2,2,3,14.25,0,0,0,,0,0.0,103.3,90.5,12.9,0.095,0.067,0.2,105.14,0.2,0.8,1.0,0.0,0.0,1.0,1.0,0.0,0.452,0.333,0.148,0.091,0,0,0,2,4,0,12,22,0,0,NBA TV
2015-10-27,Andre Iguodala,GSW,NOP,,23:23,0.059,0.061,0.067,0.0,0.152,0.231,0.077,0.333,0.0,0.111,0.041,3,0.333,0,1,0.0,0,0.0,5,3,1,0,1,2,2,1,13.5,7,40,35,0.0857,1,0.0,92.9,93.5,-0.5,0.188,0.096,0.333,106.82,0.667,0.333,1.0,0.0,1.0,1.0,1.0,0.0,0.425,0.475,0.175,0.25,2,2,0,2,18,4,7,18,4,0,TNT
2015-10-30,Andre Iguodala,GSW,HOU,,29:47,0.13,0.164,0.313,0.0,0.171,0.235,0.0,0.333,0.0,0.0,0.171,9,0.556,2,5,0.4,0,0.0,6,4,2,0,0,0,12,23,29.5,11,58,44,0.0909,3,0.667,116.2,74.4,41.8,0.2,0.09,0.667,99.44,0.444,0.556,0.5,0.5,0.417,0.5,0.8,0.2,0.348,0.25,0.158,0.257,5,2,2,6,4,13,2,26,13,2,ESPN
2015-10-31,Andre Iguodala,GSW,NOP,,29:30,0.106,0.115,0.133,0.125,0.318,0.188,0.0,0.111,0.0,0.231,0.104,6,0.5,1,2,0.5,2,0.5,7,3,1,0,0,3,8,9,23.0,11,43,33,0.0909,2,0.5,122.1,101.9,20.2,0.115,0.125,0.583,105.57,0.667,0.333,0.5,0.375,0.5,0.5,1.0,0.0,0.475,0.217,0.21,0.394,4,4,1,4,9,16,5,30,16,1,NBA TV
2015-11-02,Andre Iguodala,GSW,MEM,,21:30,0.193,0.19,0.273,0.0,0.1,0.308,0.4,0.667,0.167,0.0,0.113,8,0.375,0,3,0.0,0,0.0,3,4,2,1,2,0,6,24,19.75,4,36,24,0.1667,3,0.333,118.2,60.2,58.0,0.25,0.061,0.375,103.86,0.625,0.375,1.0,0.0,0.0,0.667,0.667,0.333,0.284,0.114,0.124,0.148,0,0,2,4,2,4,7,12,4,0,NBA TV
