DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Andre Roberson,OKC,RMD,F,21:22,0.1,0.086,0.0,0.154,0.125,0.091,0.125,0.333,0.0,0.267,0.107,3,0.667,0,0,0.0,2,1.0,2,1,2,0,1,4,6,7,13.25,0,0,0,,0,0.0,128.1,112.4,15.7,0.05,0.071,0.667,98.1,1.0,0.0,0.667,0.0,0.333,0.667,0.5,0.5,0.724,0.517,0.275,0.267,2,2,2,4,10,6,0,14,6,1,NBA TV
2016-10-05,Andre Roberson,OKC,FCB,F,26:26,0.157,0.152,0.125,0.0,0.158,0.2,0.235,0.222,0.0,0.071,0.16,5,0.8,0,1,0.0,0,0.0,3,2,2,0,4,1,8,5,16.25,0,0,0,,0,0.0,91.8,83.8,8.0,0.143,0.083,0.8,98.24,0.8,0.2,1.0,0.0,0.75,1.0,0.5,0.5,0.487,0.342,0.279,0.238,6,6,0,8,12,4,1,16,4,0,NBA TV
2016-10-16,Andre Roberson,OKC,MIN,F,26:42,0.113,0.091,0.25,0.118,0.138,0.0,0.286,0.429,0.0,0.167,0.015,5,0.0,0,3,0.0,2,0.5,4,0,3,0,2,1,1,22,11.0,0,0,0,,0,0.0,108.8,77.9,31.0,0.0,0.078,0.0,109.27,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.146,0.22,0.185,0,0,1,0,2,9,10,20,9,2,
2016-10-18,Andre Roberson,OKC,DEN,F,27:19,0.101,0.096,0.2,0.125,0.286,0.125,0.125,0.0,0.25,0.313,0.052,5,0.2,0,1,0.0,1,1.0,8,2,0,1,1,5,3,10,17.0,0,0,0,,0,0.0,99.1,82.7,16.4,0.08,0.138,0.2,102.41,0.8,0.2,0.667,0.0,0.0,0.667,1.0,0.0,0.368,0.302,0.155,0.324,0,3,0,2,4,16,6,24,16,1,
2015-10-28,Andre Roberson,OKC,SAS,G,16:35,0.028,0.036,0.0,0.0,0.1,0.286,0.0,0.5,0.333,0.143,0.056,1,1.0,0,0,0.0,0,0.0,1,2,1,1,0,1,2,-4,9.75,7,8,7,0.2857,1,1.0,100.1,103.5,-3.4,0.167,0.036,1.0,107.93,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.486,0.167,0.129,0.333,0,0,0,2,7,8,3,22,8,0,ESPN
2015-10-30,Andre Roberson,OKC,ORL,G,18:48,0.072,0.032,0.143,0.0,0.118,0.0,0.333,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,2,0,0,0,2,0,0,-13,1.5,5,15,11,0.0,0,0.0,108.4,128.7,-20.3,0.0,0.067,0.0,101.87,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.622,0.243,0.071,0.133,0,0,0,0,10,2,5,22,2,0,
2015-11-01,Andre Roberson,OKC,DEN,G,20:21,0.18,0.175,0.273,0.2,0.304,0.067,0.2,0.25,0.0,0.375,0.185,7,0.571,1,3,0.333,2,0.5,7,1,1,0,1,3,10,16,22.0,9,26,18,0.0556,4,0.75,121.6,88.0,33.7,0.059,0.163,0.643,103.31,0.571,0.429,0.6,0.3,0.2,0.6,1.0,0.0,0.37,0.109,0.116,0.357,2,4,0,6,6,11,3,18,11,1,
2015-11-02,Andre Roberson,OKC,HOU,G,22:24,0.092,0.125,0.143,0.0,0.136,0.0,0.0,0.0,0.5,0.308,0.143,5,0.6,1,1,1.0,0,0.0,3,0,0,2,0,4,7,-1,15.25,7,16,11,0.0,3,0.333,97.6,93.5,4.1,0.0,0.077,0.7,111.09,0.8,0.2,0.571,0.429,0.0,0.571,0.667,0.333,0.488,0.415,0.168,0.182,0,0,2,4,13,5,11,30,5,0,NBA TV
2015-11-04,Andre Roberson,OKC,TOR,G,26:44,0.068,0.07,0.188,0.2,0.045,0.0,0.0,0.0,0.0,0.308,0.083,3,0.333,1,3,0.333,2,1.0,1,0,0,0,0,4,5,1,6.75,2,14,9,0.0,0,0.0,112.4,101.7,10.7,0.0,0.023,0.5,100.05,0.0,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.439,0.327,0.121,0.217,0,2,0,0,6,10,4,28,10,2,
2015-11-05,Andre Roberson,OKC,CHI,G,14:49,0.096,0.115,0.333,0.0,0.118,0.125,0.0,0.5,0.0,0.4,0.088,3,0.333,1,2,0.5,0,0.0,2,1,1,0,0,2,3,11,9.25,6,15,12,0.0833,1,0.0,116.4,72.4,44.0,0.077,0.065,0.5,98.74,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.323,0.129,0.094,0.211,0,0,0,0,4,6,2,14,6,0,TNT
2015-11-08,Andre Roberson,OKC,PHX,G,22:37,0.135,0.137,0.111,0.2,0.194,0.0,0.0,0.0,0.2,0.222,0.127,7,0.429,0,1,0.0,2,0.5,6,0,0,1,0,2,7,15,16.5,11,19,11,0.0,6,0.5,118.5,76.2,42.4,0.0,0.122,0.429,105.01,0.857,0.143,0.857,0.0,0.429,0.857,0.333,0.667,0.415,0.195,0.209,0.136,3,5,0,6,2,8,5,10,8,3,
2015-11-10,Andre Roberson,OKC,WAS,G,24:54,0.099,0.122,0.214,0.0,0.032,0.063,0.0,0.5,0.5,0.2,0.101,6,0.5,1,3,0.333,0,0.0,1,1,1,1,0,2,7,22,14.0,4,12,6,0.1667,2,0.5,124.5,84.5,40.0,0.043,0.019,0.583,106.99,0.5,0.5,0.571,0.429,0.0,0.571,1.0,0.0,0.333,0.294,0.054,0.161,0,2,0,4,8,8,13,26,8,0,NBA TV
2015-11-13,Andre Roberson,OKC,PHI,F,18:46,0.172,0.154,0.222,0.5,0.1,0.091,0.2,0.25,0.0,0.0,0.143,6,0.333,0,2,0.0,2,0.5,2,1,1,0,1,0,5,6,10.25,6,14,5,0.2,2,0.5,83.8,70.0,13.8,0.077,0.051,0.333,106.35,0.667,0.333,0.8,0.0,0.8,0.8,1.0,0.0,0.333,0.303,0.193,0.2,4,2,1,4,5,4,0,16,4,1,
2015-11-15,Andre Roberson,OKC,BOS,F,25:02,0.083,0.111,0.133,0.0,0.111,0.091,0.0,0.5,0.0,0.0,0.135,5,0.6,1,2,0.5,0,0.0,2,1,2,0,0,0,7,0,15.25,3,17,11,0.0909,3,0.667,93.5,102.9,-9.4,0.071,0.047,0.7,101.75,0.6,0.4,0.571,0.429,0.0,0.571,1.0,0.0,0.522,0.178,0.178,0.35,0,2,0,4,10,7,5,24,7,0,
