DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Andrew Harrison,MEM,ORL,,19:18,0.231,0.231,0.167,0.273,0.063,0.6,0.167,0.0,0.0,0.091,0.212,6,0.5,1,2,0.5,6,0.667,1,6,0,0,1,1,11,9,19.75,0,0,0,,0,0.0,131.0,103.4,27.7,0.5,0.036,0.583,101.07,0.667,0.333,0.364,0.273,0.0,0.182,0.333,0.667,0.611,0.556,0.216,0.067,0,2,0,2,8,3,6,18,3,6,
2016-10-06,Andrew Harrison,MEM,ATL,,17:20,0.191,0.167,0.0,0.143,0.182,0.25,0.4,0.0,0.0,0.111,0.074,5,0.0,0,0,0.0,2,1.0,2,1,0,0,2,1,2,-25,4.75,0,0,0,,0,0.0,79.0,145.1,-66.0,0.125,0.065,0.0,96.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.344,0.084,0.5,0,2,0,0,10,7,7,18,7,2,
2016-10-11,Andrew Harrison,MEM,PHI,,12:00,0.133,0.105,0.167,0.143,0.125,0.375,0.25,0.167,0.0,0.4,0.097,2,0.5,0,1,0.0,2,0.5,1,3,1,0,1,2,3,6,9.5,0,0,0,,0,0.0,110.1,85.6,24.5,0.3,0.045,0.5,114.72,0.5,0.5,0.667,0.0,0.333,0.667,0.0,1.0,0.438,0.208,0.308,0.462,1,0,0,2,2,7,2,12,7,1,
2016-10-13,Andrew Harrison,MEM,OKC,,13:33,0.167,0.211,0.333,0.143,0.0,0.333,0.0,0.333,0.0,0.0,0.258,4,0.5,2,2,1.0,2,1.0,0,2,1,0,0,0,8,9,13.5,0,0,0,,0,0.0,106.3,85.8,20.5,0.286,0.0,0.75,97.06,0.5,0.5,0.0,0.75,0.375,0.0,1.0,0.0,0.444,0.333,0.273,0.167,3,2,3,0,5,0,0,4,0,2,
2016-10-15,Andrew Harrison,MEM,HOU,G,25:15,0.202,0.195,0.238,0.318,0.316,0.083,0.111,0.125,0.0,0.231,0.209,8,0.5,2,5,0.4,7,0.571,6,1,1,0,1,3,14,13,25.25,0,0,0,,0,0.0,118.2,101.0,17.2,0.063,0.154,0.625,104.71,0.375,0.625,0.286,0.429,0.143,0.286,0.5,0.5,0.513,0.447,0.187,0.111,2,2,3,4,9,2,8,28,2,5,
2016-10-19,Andrew Harrison,MEM,MIN,G,22:54,0.207,0.15,0.25,0.316,0.059,0.0,0.375,0.333,0.0,0.158,0.222,6,0.333,1,4,0.25,6,0.833,1,0,2,0,3,3,10,-15,14.25,0,0,0,,0,0.0,89.4,120.0,-30.6,0.0,0.024,0.417,105.18,0.333,0.667,0.2,0.3,0.0,0.2,0.5,0.5,0.486,0.694,0.16,0.313,0,2,0,2,11,6,11,24,6,4,
2016-10-26,Andrew Harrison,MEM,MIN,G,38:12,0.14,0.111,0.235,0.16,0.077,0.286,0.3,0.2,0.0,0.167,0.049,7,0.143,0,4,0.0,4,0.5,3,4,1,0,3,3,4,8,13.25,10,55,41,0.0976,1,1.0,109.5,98.3,11.1,0.148,0.041,0.143,93.14,0.429,0.571,0.5,0.0,0.0,0.5,0.0,1.0,0.413,0.304,0.108,0.293,0,0,0,2,13,15,10,28,15,2,
2016-10-29,Andrew Harrison,MEM,NYK,G,24:39,0.129,0.119,0.133,0.0,0.0,0.222,0.333,0.0,0.0,0.182,0.073,5,0.4,0,2,0.0,0,0.0,0,2,0,0,2,2,4,0,5.5,1,47,35,0.0571,2,0.5,111.9,113.2,-1.3,0.118,0.0,0.4,95.18,0.6,0.4,1.0,0.0,0.0,1.0,0.0,1.0,0.588,0.375,0.144,0.278,0,0,0,4,7,8,7,30,8,0,
2016-10-30,Andrew Harrison,MEM,WAS,,29:33,0.15,0.163,0.25,0.25,0.056,0.176,0.0,0.0,0.0,0.263,0.138,8,0.375,1,4,0.25,3,0.667,1,3,0,0,0,5,9,-6,14.5,5,29,20,0.15,4,0.5,115.5,119.6,-4.1,0.136,0.025,0.438,93.94,0.5,0.5,0.444,0.333,0.111,0.444,0.667,0.333,0.625,0.432,0.219,0.333,1,4,0,4,10,10,16,38,10,2,NBA TV
2016-11-01,Andrew Harrison,MEM,MIN,,31:43,0.188,0.137,0.118,0.444,0.087,0.714,0.231,0.308,0.0,0.267,0.222,7,0.286,1,2,0.5,8,0.875,2,5,4,0,3,4,12,-19,27.75,5,67,50,0.1,3,0.0,83.2,111.5,-28.3,0.313,0.037,0.357,98.67,0.714,0.286,0.167,0.25,0.833,0.167,0.0,1.0,0.663,0.37,0.244,0.2,10,5,1,2,13,6,14,22,6,6,
