DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Andrew Nicholson,WAS,MIA,,21:59,0.2,0.231,0.25,0.167,0.167,0.1,0.0,0.0,0.0,0.0,0.174,9,0.333,0,2,0.0,2,1.0,3,1,0,0,0,0,8,6,13.0,0,0,0,,0,0.0,101.6,92.9,8.7,0.077,0.079,0.333,96.47,0.778,0.222,0.75,0.0,0.25,0.75,0.333,0.667,0.53,0.212,0.232,0.176,2,2,0,6,2,0,4,18,0,1,
2016-10-10,Andrew Nicholson,WAS,NYK,,18:17,0.175,0.259,0.3,0.0,0.238,0.0,0.0,0.0,0.5,0.1,0.219,7,0.429,1,3,0.333,0,0.0,5,0,0,1,0,1,7,-4,15.75,0,0,0,,0,0.0,97.1,103.9,-6.8,0.0,0.139,0.5,88.74,0.571,0.429,0.571,0.429,0.286,0.571,0.333,0.667,0.484,0.188,0.173,0.3,2,0,0,4,7,11,4,14,11,0,NBA TV
2016-10-13,Andrew Nicholson,WAS,PHI,F,29:47,0.146,0.167,0.333,0.1,0.387,0.0,0.0,0.2,0.0,0.2,0.157,9,0.444,3,5,0.6,2,0.0,12,0,1,0,0,3,11,16,29.5,0,0,0,,0,0.0,111.5,88.2,23.3,0.0,0.197,0.611,99.95,0.444,0.556,0.182,0.818,0.182,0.182,1.0,0.0,0.354,0.438,0.147,0.161,2,0,0,2,4,6,10,12,6,1,
2016-10-15,Andrew Nicholson,WAS,SAC,,32:06,0.189,0.191,0.182,0.214,0.263,0.0,0.143,0.0,0.0,0.2,0.238,13,0.538,2,4,0.5,3,1.0,5,0,0,0,1,4,19,-3,25.75,0,0,0,,0,0.0,110.9,118.0,-7.2,0.0,0.106,0.615,106.53,0.692,0.308,0.526,0.316,0.158,0.526,0.714,0.286,0.686,0.651,0.27,0.286,3,0,8,10,8,7,6,28,7,4,
2016-10-18,Andrew Nicholson,WAS,CLE,,26:29,0.182,0.2,0.111,0.353,0.308,0.1,0.0,0.286,0.0,0.222,0.388,8,0.875,1,1,1.0,6,0.667,8,1,2,0,0,2,19,-5,34.75,0,0,0,,0,0.0,88.3,95.7,-7.4,0.111,0.167,0.938,101.39,0.875,0.125,0.632,0.158,0.105,0.526,0.714,0.286,0.557,0.227,0.16,0.042,2,0,2,10,12,0,13,20,0,7,
2016-10-21,Andrew Nicholson,WAS,TOR,,14:33,0.154,0.12,0.167,0.5,0.273,0.0,0.2,0.0,1.0,0.182,0.12,3,0.333,1,2,0.5,2,0.0,3,0,0,1,1,2,3,-4,8.75,0,0,0,,0,0.0,86.9,99.0,-12.1,0.0,0.111,0.5,95.74,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.432,0.545,0.205,0.333,0,0,0,0,7,8,11,16,8,2,
2015-11-01,Andrew Nicholson,ORL,CHI,,4:06,0.2,0.125,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.333,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,1,1,0,6,0.75,4,3,1,0.0,1,0.0,100.0,38.1,61.9,0.0,0.1,0.0,98.81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.286,0.254,0.333,0,0,0,0,0,0,0,0,0,0,
2015-11-13,Andrew Nicholson,ORL,UTA,,2:59,0.167,0.167,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,1,0,1,0,-9,2.0,1,3,2,0.0,0,0.0,33.3,165.7,-132.3,0.0,0.0,0.0,101.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,1.0,0.0,0.5,0,0,0,0,0,3,3,4,3,0,
2015-11-18,Andrew Nicholson,ORL,MIN,,21:33,0.215,0.261,0.25,0.0,0.28,0.0,0.0,0.0,0.0,0.222,0.16,12,0.25,2,3,0.667,0,0.0,7,0,0,0,0,2,8,17,17.75,16,41,27,0.0,8,0.125,100.3,78.5,21.8,0.0,0.159,0.333,102.3,0.75,0.25,0.25,0.75,0.375,0.25,0.667,0.333,0.357,0.571,0.19,0.05,3,0,2,2,5,2,10,12,2,0,
2015-11-21,Andrew Nicholson,ORL,SAC,,7:21,0.241,0.263,0.0,0.0,0.182,1.0,0.0,0.0,0.0,0.5,0.308,5,0.4,0,0,0.0,0,0.0,2,1,0,0,0,1,4,-4,7.75,5,14,9,0.1111,3,0.333,94.5,133.2,-38.8,0.333,0.095,0.4,86.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.542,0.333,0.157,0.429,0,0,4,4,0,5,0,4,5,0,
