DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Anthony Bennett,BKN,DET,,12:18,0.202,0.261,0.333,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.267,6,0.333,0,2,0.0,0,0.0,1,0,0,0,0,0,4,-6,5.25,0,0,0,,0,0.0,56.1,78.8,-22.8,0.0,0.034,0.333,104.2,0.667,0.333,1.0,0.0,0.5,1.0,1.0,0.0,0.341,0.273,0.263,0.357,2,0,0,4,4,3,4,12,3,0,
2016-10-08,Anthony Bennett,BKN,NYK,,20:37,0.222,0.152,0.2,0.519,0.294,0.167,0.1,0.5,0.0,0.0,0.283,5,0.4,0,3,0.0,14,0.786,5,1,1,0,1,0,15,-6,24.0,0,0,0,,0,0.0,110.7,128.7,-18.0,0.083,0.172,0.4,109.1,0.4,0.6,0.267,0.0,0.267,0.267,0.5,0.5,0.676,0.297,0.153,0.231,4,0,5,4,15,6,14,28,6,7,
2016-10-11,Anthony Bennett,BKN,MIA,,21:11,0.191,0.205,0.238,0.286,0.188,0.0,0.0,0.0,0.0,0.231,0.229,8,0.375,3,5,0.6,4,0.5,3,0,0,0,0,3,11,-2,16.25,0,0,0,,0,0.0,95.7,99.9,-4.2,0.0,0.062,0.563,113.52,0.375,0.625,0.0,0.818,0.0,0.0,1.0,0.0,0.476,0.381,0.18,0.348,0,0,0,0,11,15,7,26,15,2,NBA TV
2016-10-13,Anthony Bennett,BKN,BOS,,19:02,0.218,0.281,0.176,0.0,0.059,0.0,0.111,0.4,0.0,0.2,0.049,9,0.111,0,3,0.0,0,0.0,1,0,2,0,1,2,2,-1,6.75,0,0,0,,0,0.0,95.7,93.9,1.8,0.0,0.029,0.111,110.41,0.667,0.333,1.0,0.0,0.0,1.0,1.0,0.0,0.515,0.382,0.224,0.263,0,0,0,2,11,11,5,14,11,0,
2016-10-20,Anthony Bennett,BKN,NYK,,14:29,0.212,0.286,0.25,0.0,0.231,0.1,0.0,0.25,0.0,0.083,0.241,8,0.375,1,3,0.333,0,0.0,3,1,1,0,0,1,7,-4,14.5,0,0,0,,0,0.0,83.4,91.9,-8.4,0.125,0.1,0.438,117.12,0.625,0.375,0.571,0.429,0.429,0.571,1.0,0.0,0.391,0.783,0.251,0.286,3,0,0,4,4,8,6,16,8,1,NBA TV
2015-10-30,Anthony Bennett,TOR,BOS,,2:43,0.24,0.0,0.0,0.0,0.75,0.0,0.5,1.0,0.0,0.6,0.0,0,0.0,0,0,0.0,0,0.0,3,0,1,0,2,3,0,3,4.75,3,8,7,0.0,0,0.0,96.2,57.9,38.3,0.0,0.6,0.0,149.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,0.231,0.0,0,0,0,0,3,0,1,2,0,0,
2015-11-01,Anthony Bennett,TOR,MIL,,2:22,0.286,0.25,0.0,0.0,0.667,0.0,0.333,0.0,0.0,0.5,1.0,1,1.0,0,0,0.0,0,0.0,2,0,0,0,1,1,2,-2,4.0,2,11,9,0.0,0,0.0,33.3,69.4,-36.1,0.0,0.4,1.0,119.26,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.333,0.174,0.0,2,0,2,2,2,0,2,0,0,0,NBA TV
2015-11-06,Anthony Bennett,TOR,ORL,,5:30,0.181,0.154,0.286,1.0,0.2,0.0,0.0,1.0,0.0,0.0,0.25,2,0.0,0,2,0.0,2,1.0,1,0,2,0,0,0,2,-8,7.25,2,17,14,0.0,0,0.0,67.3,134.7,-67.3,0.0,0.1,0.0,103.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938,0.25,0.253,0.0,0,0,2,0,5,0,4,10,0,1,
2015-11-08,Anthony Bennett,TOR,MIA,,7:27,0.057,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,1,0,-8,0.0,2,13,12,0.0,0,0.0,47.8,112.6,-64.8,0.0,0.0,0.0,90.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591,0.273,0.075,0.0,0,0,0,0,8,0,8,10,0,0,
2015-11-10,Anthony Bennett,TOR,NYK,,17:24,0.117,0.094,0.125,0.308,0.188,0.0,0.0,0.0,0.0,0.167,0.07,3,0.0,0,1,0.0,4,0.75,3,0,0,0,0,1,3,-9,6.75,4,16,11,0.0,2,0.0,123.8,141.9,-18.1,0.0,0.107,0.0,98.45,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.742,0.194,0.109,0.091,0,0,0,0,7,2,10,14,2,2,
