DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Anthony Morrow,OKC,RMD,,12:40,0.178,0.176,0.2,0.067,0.111,0.25,0.286,0.0,0.0,0.4,0.235,3,1.0,1,1,1.0,1,1.0,1,1,0,0,2,4,8,-10,10.0,0,0,0,,0,0.0,118.9,162.0,-43.1,0.143,0.063,1.167,105.65,0.667,0.333,0.5,0.375,0.0,0.0,0.667,0.333,0.825,0.7,0.11,0.222,0,0,0,0,10,1,3,10,1,0,NBA TV
2016-10-05,Anthony Morrow,OKC,FCB,,4:27,0.215,0.286,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,0,0,0,,0,0.0,85.8,107.3,-21.5,0.0,0.0,0.0,100.53,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.5,0.215,0.0,0,0,0,0,3,0,0,4,0,1,NBA TV
2016-10-11,Anthony Morrow,OKC,DAL,,7:38,0.198,0.25,0.667,0.0,0.167,0.167,0.0,0.0,0.0,0.333,0.273,4,0.5,2,4,0.5,0,0.0,2,1,0,0,0,1,6,11,10.75,0,0,0,,0,0.0,127.9,69.3,58.6,0.167,0.105,0.75,104.01,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.393,0.143,0.126,0.1,0,3,0,0,2,0,0,4,0,0,
2015-10-28,Anthony Morrow,OKC,SAS,,21:38,0.105,0.14,0.444,0.0,0.0,0.0,0.0,0.25,0.0,0.143,0.138,6,0.5,2,4,0.5,0,0.0,0,0,1,0,0,1,8,5,11.0,1,18,11,0.0,0,0.0,120.9,115.8,5.1,0.0,0.0,0.667,103.96,0.333,0.667,0.25,0.75,0.375,0.0,1.0,0.0,0.61,0.098,0.109,0.111,3,0,0,0,6,4,7,26,4,1,ESPN
2015-10-30,Anthony Morrow,OKC,ORL,,14:04,0.101,0.103,0.6,0.0,0.063,0.0,0.143,0.5,0.0,0.0,0.094,3,0.333,1,3,0.333,0,0.0,1,0,2,0,1,0,3,-8,8.25,1,10,4,0.0,1,1.0,101.5,117.4,-15.8,0.0,0.034,0.5,111.92,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.567,0.233,0.147,0.333,0,0,3,0,10,8,15,22,8,1,
2015-11-01,Anthony Morrow,OKC,DEN,,15:48,0.148,0.185,0.4,0.0,0.2,0.077,0.0,0.333,0.0,0.0,0.162,5,0.4,2,4,0.5,0,0.0,3,1,1,0,0,0,6,2,14.0,4,18,14,0.0714,2,0.5,123.8,104.4,19.4,0.077,0.1,0.6,96.29,0.2,0.8,0.0,1.0,0.5,0.0,1.0,0.0,0.453,0.25,0.119,0.353,3,0,0,0,9,10,4,12,10,1,
2015-11-02,Anthony Morrow,OKC,HOU,,5:26,0.069,0.0,0.0,0.0,0.0,0.0,0.333,0.5,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,1,0,1,0,0,5,1.5,2,4,3,0.0,0,0.0,133.9,98.5,35.4,0.0,0.0,0.0,117.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.152,0.2,0,0,0,0,4,2,4,10,2,0,NBA TV
2015-11-04,Anthony Morrow,OKC,TOR,,5:56,0.233,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3,0.0,0,2,0.0,0,0.0,0,0,0,0,0,1,0,-11,0.0,1,7,4,0.0,1,0.0,58.9,156.3,-97.3,0.0,0.0,0.0,94.65,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.8,0.087,0.6,0,0,0,0,0,4,0,8,4,0,
2015-11-05,Anthony Morrow,OKC,CHI,,5:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-14,0.0,0,4,3,0.0,0,0.0,67.2,184.1,-116.9,0.0,0.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.889,0.333,0.0,0.0,0,0,0,0,4,5,0,6,5,1,TNT
2015-11-10,Anthony Morrow,OKC,WAS,,15:39,0.174,0.231,0.333,0.0,0.083,0.0,0.0,0.0,0.0,0.429,0.051,6,0.167,0,3,0.0,0,0.0,1,0,0,0,0,3,2,3,3.25,4,17,11,0.0,2,0.5,120.4,110.3,10.1,0.0,0.037,0.167,99.74,0.5,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.533,0.2,0.153,0.333,2,0,2,2,7,2,4,22,2,0,NBA TV
