DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Anthony Tolliver,SAC,LAL,,14:56,0.137,0.154,0.222,0.154,0.1,0.143,0.0,0.0,0.0,0.385,0.129,4,0.25,0,2,0.0,2,1.0,1,1,0,0,0,5,4,1,6.5,0,0,0,,0,0.0,91.9,98.0,-6.1,0.125,0.038,0.25,103.38,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.405,0.714,0.229,0.333,0,0,0,2,0,4,3,12,4,1,
2016-10-06,Anthony Tolliver,SAC,GSW,,21:08,0.119,0.146,0.214,0.0,0.235,0.167,0.0,0.125,0.0,0.0,0.137,6,0.5,1,3,0.333,0,0.0,4,2,1,0,0,0,7,10,17.0,0,0,0,,0,0.0,114.6,99.0,15.5,0.125,0.118,0.583,97.57,0.5,0.5,0.571,0.429,0.0,0.571,0.333,0.667,0.611,0.37,0.266,0.083,0,0,5,4,12,2,17,12,2,0,
2016-10-10,Anthony Tolliver,SAC,MAC,,16:19,0.205,0.222,0.375,0.2,0.2,0.0,0.143,0.0,0.0,0.167,0.286,6,0.833,3,3,1.0,2,0.5,3,0,0,0,1,1,14,23,18.75,0,0,0,,0,0.0,131.0,68.9,62.2,0.0,0.111,1.083,110.55,0.5,0.5,0.286,0.643,0.286,0.286,0.8,0.2,0.414,0.138,0.291,0.222,4,2,2,4,4,6,0,8,6,1,
2016-10-13,Anthony Tolliver,SAC,LAL,,33:39,0.205,0.18,0.412,0.0,0.25,0.16,0.385,0.0,0.2,0.077,0.231,9,0.778,7,7,1.0,0,0.0,6,4,0,1,5,1,21,17,36.5,0,0,0,,0,0.0,139.4,108.4,31.0,0.148,0.15,1.167,95.26,0.222,0.778,0.0,1.0,0.143,0.0,1.0,0.0,0.579,0.211,0.132,0.125,3,3,0,0,14,5,10,28,5,0,
2016-10-15,Anthony Tolliver,SAC,WAS,,9:56,0.12,0.077,0.25,0.222,0.5,0.5,0.143,1.0,0.0,0.0,0.2,1,1.0,1,1,1.0,2,1.0,5,2,1,0,1,0,5,0,15.75,0,0,0,,0,0.0,108.9,109.8,-1.0,0.286,0.313,1.5,110.46,0.0,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.477,0.182,0.044,0.182,0,0,0,0,11,0,2,10,0,1,
2016-10-18,Anthony Tolliver,SAC,LAC,,27:11,0.097,0.083,0.176,0.214,0.258,0.0,0.091,0.0,1.0,0.308,0.038,4,0.0,0,3,0.0,3,0.667,8,0,0,1,1,4,2,8,13.5,0,0,0,,0,0.0,89.4,81.2,8.2,0.0,0.151,0.0,99.2,0.25,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.464,0.119,0.203,0.04,2,0,0,0,6,2,2,12,2,1,ESPN
2015-10-28,Anthony Tolliver,DET,UTA,,19:10,0.106,0.094,0.111,0.2,0.273,0.222,0.0,0.0,0.0,0.1,0.0,3,0.0,0,1,0.0,3,0.0,6,2,0,0,0,1,0,3,10.0,10,40,35,0.0571,2,0.0,112.7,103.3,9.4,0.167,0.162,0.0,86.95,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.452,0.355,0.029,0.111,0,0,0,0,0,1,0,16,1,1,
2015-10-30,Anthony Tolliver,DET,CHI,,30:12,0.121,0.153,0.471,0.0,0.094,0.0,0.0,0.5,0.0,0.091,0.204,9,0.444,3,8,0.375,0,0.0,3,0,2,0,0,1,11,2,20.25,8,45,34,0.0,0,0.0,83.6,91.4,-7.8,0.0,0.053,0.611,96.6,0.111,0.889,0.182,0.818,0.0,0.0,1.0,0.0,0.476,0.429,0.176,0.12,0,0,0,0,10,2,11,20,2,1,
2015-11-03,Anthony Tolliver,DET,IND,,13:24,0.088,0.08,0.4,0.0,0.091,0.0,0.167,0.0,0.0,0.1,0.0,2,0.0,0,2,0.0,0,0.0,1,0,0,0,1,1,0,-12,0.75,3,26,21,0.0,0,0.0,56.5,106.1,-49.6,0.0,0.042,0.0,102.81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591,0.136,0.183,0.125,0,0,0,0,10,2,3,6,2,0,
2015-11-06,Anthony Tolliver,DET,PHX,,25:05,0.115,0.152,0.417,0.087,0.353,0.0,0.0,0.0,0.0,0.143,0.075,5,0.2,1,5,0.2,2,0.5,6,0,0,0,0,2,4,4,12.0,7,38,30,0.0,2,0.5,105.7,91.0,14.7,0.0,0.15,0.3,99.47,0.0,1.0,0.0,0.75,0.0,0.0,0.0,1.0,0.467,0.239,0.204,0.333,0,0,0,0,4,15,5,24,15,2,
2015-11-08,Anthony Tolliver,DET,POR,,21:56,0.074,0.089,0.15,0.0,0.0,0.0,0.0,0.091,0.5,0.429,0.107,4,0.5,2,3,0.667,0,0.0,0,0,1,1,0,3,6,21,11.0,3,29,25,0.0,2,0.0,121.3,73.7,47.7,0.0,0.0,0.75,102.51,0.25,0.75,0.0,1.0,0.5,0.0,1.0,0.0,0.485,0.242,0.316,0.222,3,0,0,0,4,8,3,16,8,2,
2015-11-09,Anthony Tolliver,DET,GSW,,14:16,0.071,0.111,0.333,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,1,0.0,0,0.0,1,0,0,0,0,0,0,-11,1.25,4,18,16,0.0,2,0.0,91.6,130.2,-38.6,0.0,0.056,0.0,89.29,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.08,0.112,0.182,0,0,0,0,7,3,10,14,3,0,
2015-11-11,Anthony Tolliver,DET,SAC,,23:46,0.116,0.119,0.235,0.0,0.211,0.444,0.143,0.0,0.5,0.1,0.17,5,0.6,2,4,0.5,0,0.0,4,4,0,1,1,1,8,-6,20.5,6,35,29,0.1379,0,0.0,94.7,110.0,-15.4,0.267,0.098,0.8,98.73,0.2,0.8,0.25,0.75,0.375,0.0,1.0,0.0,0.583,0.389,0.166,0.105,3,3,0,0,9,0,5,22,0,1,
2015-11-14,Anthony Tolliver,DET,LAC,,18:27,0.098,0.103,0.25,0.333,0.25,0.2,0.0,0.2,0.0,0.182,0.2,3,0.333,1,3,0.333,2,1.0,4,1,1,0,0,2,5,-7,13.75,5,28,24,0.0417,0,0.0,68.2,84.8,-16.6,0.125,0.114,0.5,96.73,0.0,1.0,0.0,0.6,0.0,0.0,1.0,0.0,0.393,0.464,0.212,0.235,0,0,0,0,4,5,0,18,5,1,
2015-11-15,Anthony Tolliver,DET,LAL,,19:09,0.147,0.182,0.5,0.0,0.067,0.111,0.0,0.0,0.0,0.429,0.091,6,0.167,1,5,0.2,0,0.0,1,1,0,0,0,3,3,-6,6.0,5,35,29,0.0345,1,0.0,87.4,104.6,-17.2,0.077,0.031,0.25,94.04,0.167,0.833,0.0,1.0,0.0,0.0,1.0,0.0,0.484,0.375,0.107,0.25,0,0,0,0,6,6,2,20,6,0,
2015-11-17,Anthony Tolliver,DET,CLE,,19:18,0.05,0.063,0.286,0.0,0.15,0.167,0.0,0.0,0.0,0.0,0.0,2,0.0,0,2,0.0,0,0.0,3,1,0,0,0,0,0,-6,5.0,5,31,29,0.0345,0,0.0,81.9,95.5,-13.6,0.091,0.083,0.0,89.58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,0.2,0.109,0.0,0,0,0,0,6,0,5,16,0,0,
2015-11-20,Anthony Tolliver,DET,MIN,,20:04,0.148,0.175,0.357,0.0,0.091,0.0,0.0,0.167,0.0,0.2,0.0,7,0.0,0,5,0.0,0,0.0,2,0,1,0,0,2,0,0,4.5,7,28,20,0.0,2,0.0,79.4,80.1,-0.7,0.0,0.047,0.0,96.02,0.286,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.29,0.2,0.167,0,0,0,0,6,4,4,14,4,1,
2015-11-21,Anthony Tolliver,DET,WAS,,15:29,0.03,0.037,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.25,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,0,2,0,-15,1.25,4,19,17,0.0,1,0.0,62.0,125.6,-63.5,0.0,0.038,0.0,89.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.318,0.111,0.111,0,0,0,0,6,0,5,16,0,0,NBA TV
2015-11-23,Anthony Tolliver,DET,MIL,,23:53,0.171,0.186,0.4,0.111,0.19,0.0,0.143,0.333,1.0,0.333,0.277,8,0.5,3,6,0.5,2,1.0,4,0,1,1,1,4,13,-2,23.0,7,45,35,0.0,2,0.5,92.3,109.3,-17.0,0.0,0.091,0.688,96.23,0.25,0.75,0.154,0.692,0.0,0.154,0.75,0.25,0.5,0.282,0.134,0.263,0,0,2,2,4,4,0,26,4,1,
2015-11-25,Anthony Tolliver,DET,MIA,,25:05,0.157,0.178,0.4,0.0,0.192,0.167,0.0,0.0,0.0,0.111,0.24,8,0.5,4,6,0.667,0,0.0,5,2,0,0,0,1,12,1,22.75,7,50,40,0.05,2,0.5,113.9,105.6,8.3,0.118,0.104,0.75,86.38,0.25,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.512,0.244,0.108,0.174,0,0,0,0,4,0,9,20,0,1,
2015-11-27,Anthony Tolliver,DET,OKC,,19:38,0.096,0.114,0.4,0.0,0.188,0.0,0.0,0.0,1.0,0.091,0.14,4,0.5,2,4,0.5,0,0.0,3,0,0,1,0,1,6,-1,12.75,7,29,25,0.0,0,0.0,117.4,108.4,9.0,0.0,0.083,0.75,94.42,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.443,0.429,0.123,0.353,0,0,0,0,2,12,5,20,12,0,
