DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Archie Goodwin,PHX,SAS,,12:00,0.287,0.467,1.0,0.5,0.056,0.0,0.0,0.5,0.0,0.167,0.556,7,0.429,1,1,1.0,4,0.75,1,0,2,0,0,1,10,1,15.75,0,0,0,,0,0.0,67.9,61.0,6.9,0.0,0.038,0.5,108.8,0.857,0.143,0.4,0.3,0.3,0.4,1.0,0.0,0.348,0.087,0.215,0.125,3,6,0,4,8,0,2,8,0,2,
2016-10-05,Archie Goodwin,PHX,UTA,,6:11,0.065,0.1,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,-2,2.5,0,0,0,,0,0.0,48.7,64.3,-15.6,0.0,0.182,0.0,96.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.125,0.402,0.25,0,0,0,0,2,2,4,8,2,1,NBA TV
2016-10-12,Archie Goodwin,PHX,UTA,,18:13,0.216,0.222,0.25,0.292,0.0,0.0,0.111,0.25,0.0,0.333,0.333,6,0.667,0,1,0.0,7,0.714,0,0,1,0,1,5,13,4,14.5,0,0,0,,0,0.0,91.6,88.4,3.3,0.0,0.0,0.667,108.24,0.833,0.167,0.615,0.0,0.231,0.615,0.25,0.75,0.4,0.5,0.227,0.333,3,2,2,8,6,8,4,14,8,4,NBA TV
2016-10-14,Archie Goodwin,PHX,DAL,,16:21,0.279,0.256,0.3,0.125,0.211,0.0,1.0,0.5,0.0,0.0,0.167,10,0.2,1,3,0.333,1,1.0,4,0,1,0,2,0,6,-3,12.5,0,0,0,,0,0.0,101.4,107.1,-5.8,0.0,0.108,0.25,105.57,0.7,0.3,0.333,0.5,0.0,0.333,0.5,0.5,0.552,0.345,0.137,0.167,0,0,0,2,4,4,4,12,4,3,
2015-10-28,Archie Goodwin,PHX,DAL,,17:24,0.253,0.222,0.182,0.375,0.263,0.167,0.25,0.0,0.0,0.0,0.286,6,0.5,1,2,0.5,6,0.833,5,1,0,0,1,0,12,5,19.5,7,32,22,0.0455,4,0.5,116.5,107.6,9.0,0.1,0.147,0.583,97.16,0.667,0.333,0.333,0.25,0.0,0.333,0.333,0.667,0.484,0.323,0.029,0.105,0,2,0,4,2,2,5,14,2,3,
2015-10-30,Archie Goodwin,PHX,POR,,2:24,0.353,0.0,0.0,0.667,0.5,0.0,0.5,0.0,1.0,0.0,0.25,0,0.0,0,0,0.0,2,0.5,1,0,0,1,1,0,1,-1,3.75,1,6,4,0.0,0,0.0,75.2,85.0,-9.8,0.0,0.333,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.667,0.34,0.0,0,0,0,0,0,0,0,0,0,1,
2015-11-04,Archie Goodwin,PHX,SAC,,3:31,0.25,0.2,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.222,1,1.0,0,0,0.0,0,0.0,0,0,0,0,1,0,2,1,1.5,1,4,2,0.0,1,1.0,112.5,100.0,12.5,0.0,0.0,1.0,109.19,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.571,0.0,0.25,0.333,0,0,0,2,3,0,0,0,0,0,
2015-11-08,Archie Goodwin,PHX,OKC,,14:06,0.166,0.083,0.143,0.308,0.2,0.333,0.4,0.0,0.0,0.167,0.079,2,0.5,0,1,0.0,4,0.25,2,2,0,0,2,1,3,4,7.0,4,22,15,0.1333,1,1.0,119.8,112.6,7.2,0.167,0.091,0.5,105.4,0.5,0.5,0.667,0.0,0.0,0.667,1.0,0.0,0.518,0.179,0.132,0.364,0,1,0,2,8,8,6,16,8,4,
2015-11-12,Archie Goodwin,PHX,LAC,,7:26,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.4,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,2,0,-6,1.25,2,8,8,0.0,0,0.0,70.3,104.9,-34.6,0.0,0.059,0.0,102.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.333,0.062,0.25,0,0,0,0,2,4,5,8,4,0,TNT
2015-11-14,Archie Goodwin,PHX,DEN,,28:48,0.164,0.143,0.143,0.263,0.125,0.222,0.176,0.0,0.0,0.125,0.214,7,0.571,1,2,0.5,5,0.6,5,2,0,0,3,1,12,8,19.75,5,59,46,0.0435,5,0.6,85.7,79.0,6.7,0.133,0.081,0.643,105.1,0.714,0.286,0.5,0.25,0.083,0.5,0.5,0.5,0.388,0.069,0.066,0.088,1,3,2,6,12,4,12,30,4,4,NBA TV
2015-11-16,Archie Goodwin,PHX,LAL,,24:52,0.223,0.188,0.083,0.357,0.222,0.133,0.4,0.125,0.0,0.0,0.197,9,0.444,0,1,0.0,5,0.8,6,2,1,0,2,0,12,9,23.0,13,42,25,0.08,7,0.429,124.1,99.5,24.6,0.105,0.13,0.444,97.9,0.889,0.111,0.667,0.0,0.333,0.667,0.75,0.25,0.5,0.293,0.191,0.19,4,2,0,8,6,5,9,18,5,5,
2015-11-18,Archie Goodwin,PHX,CHI,,6:40,0.183,0.143,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,1,0.0,2,0.0,0,0,0,0,0,0,0,-3,0.0,0,10,7,0.0,1,0.0,72.7,109.4,-36.8,0.0,0.0,0.0,92.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.253,0.0,0,0,0,0,0,0,0,2,0,1,ESPN
2015-11-20,Archie Goodwin,PHX,DEN,,5:11,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-12,0.0,1,8,6,0.0,2,0.0,80.0,183.8,-103.8,0.0,0.0,0.0,96.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0,0,0,0,8,0,6,8,0,0,
