DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Aron Baynes,DET,BKN,,9:12,0.246,0.133,0.0,0.0,0.4,0.2,0.75,0.0,0.0,0.5,0.095,2,0.5,0,0,0.0,0,0.0,2,1,0,0,3,2,2,-1,4.25,0,0,0,,0,0.0,108.7,131.3,-22.6,0.125,0.182,0.5,94.12,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.692,0.308,0.239,0.333,0,0,0,2,5,5,0,6,5,0,
2016-10-10,Aron Baynes,DET,SAS,,14:59,0.264,0.286,0.0,0.333,0.2,0.0,0.0,0.333,0.0,0.333,0.389,8,0.375,0,0,0.0,2,0.5,3,0,1,0,0,1,7,-5,12.75,0,0,0,,0,0.0,60.7,80.0,-19.2,0.0,0.086,0.375,93.54,1.0,0.0,0.857,0.0,0.0,0.857,1.0,0.0,0.328,0.138,0.104,0.313,0,0,1,6,2,0,2,4,0,2,
2016-10-13,Aron Baynes,DET,ATL,C,30:11,0.188,0.145,0.0,0.364,0.292,0.059,0.375,0.2,0.0,0.429,0.242,8,0.75,0,0,0.0,4,1.0,7,1,1,0,3,6,16,1,26.5,0,0,0,,0,0.0,108.5,109.9,-1.4,0.05,0.146,0.75,95.42,1.0,0.0,0.75,0.0,0.188,0.625,0.833,0.167,0.611,0.311,0.22,0.227,3,0,3,10,4,4,6,22,4,7,
2016-10-17,Aron Baynes,DET,MIL,,18:49,0.164,0.214,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.125,0.08,6,0.167,0,0,0.0,0,0.0,4,0,0,1,0,1,2,-11,9.0,0,0,0,,0,0.0,72.2,100.4,-28.3,0.0,0.105,0.167,89.89,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.409,0.333,0.112,0.3,0,0,0,2,9,2,3,22,2,2,
2015-10-27,Aron Baynes,DET,ATL,,10:51,0.24,0.263,0.0,0.0,0.556,0.0,0.167,0.0,0.0,0.333,0.429,5,0.6,0,0,0.0,0,0.0,5,0,0,0,1,2,6,-11,11.75,9,13,8,0.0,5,0.6,60.9,105.2,-44.3,0.0,0.278,0.6,103.43,1.0,0.0,1.0,0.0,0.0,0.667,1.0,0.0,0.611,0.222,0.168,0.0,0,0,0,4,10,0,7,14,0,1,
2015-10-28,Aron Baynes,DET,UTA,,11:53,0.188,0.19,0.0,0.222,0.25,0.0,0.0,0.0,1.0,0.75,0.211,4,0.25,0,0,0.0,2,1.0,3,0,0,1,0,3,4,-9,9.75,8,12,9,0.0,3,0.333,90.6,141.7,-51.1,0.0,0.143,0.25,82.24,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.667,0.222,0.0,0.0,0,0,0,2,0,0,0,12,0,2,
2015-10-30,Aron Baynes,DET,CHI,,13:55,0.151,0.133,0.0,0.667,0.375,0.167,0.0,0.0,0.0,0.25,0.235,4,0.5,0,0,0.0,2,0.0,6,1,0,0,0,1,4,-8,12.75,10,21,15,0.0667,3,0.333,60.0,90.8,-30.8,0.2,0.176,0.5,96.32,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.5,0.364,0.145,0.143,2,0,0,4,4,2,9,10,2,2,
2015-11-03,Aron Baynes,DET,IND,,4:47,0.1,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-20,0.0,3,5,4,0.0,1,0.0,0.0,183.8,-183.8,0.0,0.0,0.0,104.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.2,0.0,0.0,0,0,0,0,7,2,0,2,2,0,
2015-11-06,Aron Baynes,DET,PHX,,11:51,0.077,0.056,0.0,0.25,0.0,0.25,0.0,0.333,0.0,0.5,0.167,1,1.0,0,0,0.0,2,1.0,0,1,1,0,0,3,4,7,7.25,5,9,6,0.1667,1,1.0,102.0,69.6,32.5,0.143,0.0,1.0,97.08,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.405,0.048,0.245,0.273,0,0,0,2,2,6,0,10,6,2,
2015-11-08,Aron Baynes,DET,POR,,12:08,0.094,0.042,0.0,0.333,0.556,0.25,0.25,0.0,1.0,0.5,0.16,1,1.0,0,0,0.0,2,1.0,5,1,0,1,1,1,4,3,13.0,8,15,13,0.0769,1,1.0,93.8,86.5,7.4,0.143,0.227,1.0,103.0,1.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.583,0.056,0.354,0.286,2,0,0,2,6,4,0,10,4,1,
2015-11-09,Aron Baynes,DET,GSW,,12:27,0.158,0.111,0.0,0.0,0.333,1.0,0.333,0.0,0.0,0.0,0.087,2,0.5,0,0,0.0,0,0.0,4,1,0,0,2,0,2,-7,7.25,10,13,9,0.1111,2,0.5,103.0,128.0,-24.9,0.111,0.211,0.5,88.24,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.604,0.042,0.085,0.25,0,0,2,2,6,3,9,10,3,2,
2015-11-11,Aron Baynes,DET,SAC,,13:23,0.095,0.12,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.333,0.061,3,0.333,0,0,0.0,0,0.0,1,0,0,0,0,1,2,6,3.25,3,13,9,0.0,3,0.333,115.2,100.9,14.3,0.0,0.043,0.333,99.32,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.595,0.19,0.187,0.1,0,0,0,2,4,0,5,12,0,2,
2015-11-14,Aron Baynes,DET,LAC,,14:11,0.204,0.278,0.0,0.0,0.2,0.0,0.143,0.0,0.0,0.143,0.194,5,0.6,0,0,0.0,0,0.0,2,0,0,0,1,1,6,5,8.0,6,11,4,0.0,2,0.5,109.2,92.6,16.6,0.0,0.095,0.6,95.55,1.0,0.0,1.0,0.0,0.333,0.333,0.667,0.333,0.413,0.304,0.214,0.308,2,0,0,2,4,5,0,14,5,1,
2015-11-15,Aron Baynes,DET,LAL,,7:18,0.37,0.357,0.0,1.0,0.167,0.0,0.0,0.0,0.0,0.25,1.0,5,0.8,0,0,0.0,2,0.5,1,0,0,0,0,1,9,-7,10.25,6,13,7,0.0,4,0.75,69.9,133.8,-63.9,0.0,0.077,0.8,81.67,1.0,0.0,0.889,0.0,0.0,0.444,1.0,0.0,0.556,1.0,0.084,0.4,0,0,2,4,0,4,0,4,4,2,
2015-11-17,Aron Baynes,DET,CLE,,8:46,0.176,0.2,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.25,3,0.333,0,0,0.0,0,0.0,2,0,1,0,0,0,2,-12,6.5,8,6,3,0.0,2,0.5,50.0,122.5,-72.5,0.0,0.125,0.333,88.48,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.708,0.25,0.184,0.0,0,0,0,2,5,0,5,6,0,0,
2015-11-20,Aron Baynes,DET,MIN,,18:45,0.206,0.114,0.0,0.4,0.611,0.25,0.667,0.4,0.5,0.3,0.207,4,0.5,0,0,0.0,2,1.0,11,1,2,2,4,3,6,1,27.0,16,25,20,0.05,3,0.667,75.9,76.7,-0.8,0.1,0.314,0.5,95.63,1.0,0.0,0.667,0.0,0.333,0.667,0.0,1.0,0.35,0.267,0.192,0.235,2,0,6,4,6,4,2,12,4,1,
2015-11-21,Aron Baynes,DET,WAS,,10:54,0.195,0.167,0.0,0.25,0.444,0.0,0.333,0.0,0.0,0.286,0.333,3,0.667,0,0,0.0,1,0.0,4,0,0,0,1,2,4,-10,8.5,6,15,10,0.0,1,0.0,60.7,118.8,-58.1,0.0,0.2,0.667,84.29,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.571,0.571,0.108,0.143,2,0,0,2,3,0,5,8,0,1,NBA TV
2015-11-23,Aron Baynes,DET,MIL,,18:50,0.16,0.2,0.0,0.143,0.474,0.167,0.0,0.0,0.0,0.2,0.162,7,0.286,0,0,0.0,2,1.0,9,1,0,0,0,2,6,-6,18.5,16,22,14,0.0714,6,0.333,87.8,113.6,-25.9,0.1,0.231,0.286,101.95,1.0,0.0,0.667,0.0,0.333,0.667,0.0,1.0,0.458,0.306,0.106,0.368,2,0,6,4,6,8,5,20,8,3,
2015-11-25,Aron Baynes,DET,MIA,,12:34,0.157,0.174,0.0,0.0,0.385,0.125,0.0,0.0,0.5,0.2,0.2,4,0.75,0,0,0.0,0,0.0,5,1,0,1,0,1,6,12,15.5,8,17,13,0.0769,3,0.667,128.0,76.1,51.8,0.111,0.2,0.75,89.91,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.325,0.3,0.169,0.214,0,2,2,6,2,0,4,8,0,1,
