DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Arron Afflalo,SAC,LAL,G,18:18,0.234,0.321,0.75,0.0,0.238,0.0,0.111,0.25,0.0,0.6,0.35,9,0.667,2,3,0.667,0,0.0,5,0,1,0,1,3,14,12,22.75,0,0,0,,0,0.0,100.7,71.9,28.8,0.0,0.135,0.778,103.19,0.667,0.333,0.571,0.429,0.0,0.286,0.667,0.333,0.355,0.29,0.18,0.143,0,3,2,4,4,2,11,14,2,2,
2016-10-06,Arron Afflalo,SAC,GSW,G,17:18,0.144,0.161,0.25,0.0,0.059,0.182,0.111,0.0,0.0,0.0,0.1,5,0.4,0,2,0.0,0,0.0,1,2,0,0,1,0,4,2,7.25,0,0,0,,0,0.0,103.2,96.0,7.2,0.133,0.036,0.4,108.71,0.6,0.4,1.0,0.0,0.5,0.0,1.0,0.0,0.52,0.6,0.227,0.067,2,0,0,0,15,0,14,10,0,1,
2016-10-10,Arron Afflalo,SAC,MAC,G,13:36,0.154,0.167,0.667,0.0,0.071,0.0,0.2,0.0,0.0,0.25,0.174,4,0.75,2,2,1.0,0,0.0,1,0,0,0,1,2,8,24,9.75,0,0,0,,0,0.0,155.8,73.6,82.2,0.0,0.056,1.0,104.82,0.5,0.5,0.25,0.75,0.375,0.25,0.667,0.333,0.476,0.095,0.301,0.083,3,0,0,2,7,4,0,6,4,1,
2016-10-13,Arron Afflalo,SAC,LAL,G,38:14,0.223,0.186,0.118,0.385,0.118,0.048,0.294,0.0,0.0,0.278,0.2,11,0.545,0,2,0.0,5,0.8,4,1,0,0,5,5,16,8,19.75,0,0,0,,0,0.0,104.3,93.4,10.9,0.04,0.065,0.545,96.56,0.818,0.182,0.75,0.0,0.25,0.25,0.667,0.333,0.466,0.096,0.117,0.216,4,2,0,4,18,5,14,28,5,6,
2015-11-11,Arron Afflalo,NYK,CHA,G,28:26,0.203,0.25,0.273,0.0,0.188,0.091,0.0,0.0,0.0,0.25,0.226,13,0.462,0,3,0.0,0,0.0,6,1,0,0,0,2,12,0,20.75,10,53,38,0.0263,5,0.6,93.0,98.7,-5.7,0.053,0.122,0.462,93.46,0.769,0.231,1.0,0.0,0.167,0.333,0.5,0.5,0.479,0.271,0.037,0.074,2,2,2,4,16,2,10,24,2,0,
2015-11-13,Arron Afflalo,NYK,CLE,G,29:47,0.213,0.245,0.222,0.143,0.12,0.267,0.0,0.0,0.0,0.176,0.23,13,0.462,1,4,0.25,1,1.0,3,4,0,0,0,3,14,-2,23.25,7,45,33,0.1212,7,0.571,106.9,118.3,-11.5,0.235,0.059,0.5,88.89,0.692,0.308,0.714,0.214,0.143,0.429,0.5,0.5,0.558,0.488,0.094,0.174,2,2,3,6,16,2,6,20,2,1,NBA TV
2015-11-15,Arron Afflalo,NYK,NOP,G,25:44,0.122,0.135,0.077,0.0,0.12,0.0,0.0,0.0,0.0,0.083,0.087,7,0.286,0,1,0.0,0,0.0,3,0,0,0,0,1,4,3,7.75,4,32,23,0.0,6,0.333,87.9,86.3,1.6,0.0,0.064,0.286,95.28,0.857,0.143,1.0,0.0,0.0,0.5,0.5,0.5,0.459,0.297,0.181,0.048,0,0,0,2,2,0,3,16,0,1,
2015-11-17,Arron Afflalo,NYK,CHA,G,36:05,0.194,0.221,0.294,0.0,0.091,0.158,0.125,0.0,0.0,0.077,0.186,15,0.467,2,5,0.4,0,0.0,3,3,0,0,1,1,16,22,24.0,3,69,51,0.0588,7,0.429,113.8,94.8,18.9,0.125,0.051,0.533,95.17,0.667,0.333,0.625,0.375,0.313,0.125,0.429,0.571,0.465,0.298,0.089,0.103,5,0,5,2,5,9,4,20,9,2,
2015-11-20,Arron Afflalo,NYK,OKC,G,29:15,0.22,0.262,0.333,0.0,0.087,0.071,0.2,0.0,0.0,0.455,0.226,11,0.545,2,3,0.667,0,0.0,2,1,0,0,3,5,14,4,17.25,7,46,31,0.0323,6,0.333,104.0,97.5,6.5,0.063,0.041,0.636,97.71,0.727,0.273,0.571,0.429,0.143,0.0,0.667,0.333,0.4,0.309,0.151,0.387,2,2,0,0,11,12,10,30,12,0,
2015-11-21,Arron Afflalo,NYK,HOU,G,35:11,0.265,0.327,0.389,0.087,0.188,0.176,0.1,0.0,0.0,0.0,0.188,18,0.333,4,7,0.571,2,0.0,6,3,0,0,1,0,16,12,28.75,9,57,34,0.0882,11,0.182,134.7,117.9,16.8,0.136,0.107,0.444,85.32,0.611,0.389,0.25,0.75,0.188,0.125,0.5,0.5,0.517,0.31,0.081,0.31,3,0,0,2,14,18,10,28,18,1,
