DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Austin Rivers,LAC,GSW,,26:40,0.152,0.17,0.235,0.111,0.091,0.222,0.1,0.25,0.0,0.211,0.023,8,0.0,0,4,0.0,2,0.5,2,2,1,0,1,4,1,-24,7.5,0,0,0,,0,0.0,69.4,114.4,-45.0,0.154,0.04,0.0,108.46,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.603,0.615,0.171,0.05,0,0,0,0,13,3,24,18,3,2,ESPN
2016-10-05,Austin Rivers,LAC,TOR,F,24:10,0.21,0.257,0.2,0.125,0.05,0.056,0.125,0.143,0.5,0.385,0.189,9,0.444,1,2,0.5,1,1.0,1,1,1,1,2,5,10,4,16.0,0,0,0,,0,0.0,102.9,98.4,4.5,0.063,0.031,0.5,100.62,0.778,0.222,0.6,0.3,0.7,0.4,0.75,0.25,0.532,0.645,0.241,0.105,7,2,0,4,18,2,15,18,2,2,
2016-10-10,Austin Rivers,LAC,UTA,,32:03,0.206,0.235,0.211,0.125,0.2,0.364,0.125,0.25,0.0,0.125,0.113,12,0.167,0,4,0.0,3,1.0,4,4,2,0,1,2,7,-2,20.5,0,0,0,,0,0.0,94.6,100.2,-5.6,0.25,0.07,0.167,96.93,0.667,0.333,0.571,0.0,0.0,0.571,0.0,1.0,0.479,0.563,0.235,0.407,0,3,2,4,9,12,11,34,12,2,NBA TV
2016-10-17,Austin Rivers,LAC,UTA,G,37:12,0.212,0.218,0.222,0.1,0.152,0.333,0.25,0.2,0.0,0.357,0.231,12,0.5,1,4,0.25,2,1.0,5,4,1,0,4,5,15,-6,26.75,0,0,0,,0,0.0,84.6,90.5,-5.8,0.235,0.078,0.542,100.18,0.667,0.333,0.667,0.2,0.267,0.533,0.333,0.667,0.476,0.27,0.14,0.091,4,7,0,8,14,2,10,44,2,4,
2016-10-18,Austin Rivers,LAC,SAC,,24:41,0.217,0.211,0.19,0.0,0.105,0.333,0.273,0.333,0.0,0.167,0.256,8,0.5,2,4,0.5,0,0.0,2,3,1,0,3,2,10,-10,17.75,0,0,0,,0,0.0,78.4,92.2,-13.8,0.3,0.043,0.625,100.07,0.5,0.5,0.4,0.6,0.0,0.2,0.5,0.5,0.419,0.326,0.188,0.25,0,0,0,2,8,6,23,22,6,3,ESPN
2015-10-28,Austin Rivers,LAC,SAC,,16:07,0.163,0.13,0.333,0.333,0.133,1.0,0.143,0.667,0.5,0.333,0.115,3,0.0,0,2,0.0,4,0.75,2,1,2,1,1,1,3,-8,12.25,2,23,16,0.0625,1,0.0,78.1,85.5,-7.4,0.125,0.059,0.0,108.73,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.431,0.111,0.151,0.235,0,0,0,0,6,4,4,14,4,3,
2015-10-29,Austin Rivers,LAC,DAL,,24:29,0.204,0.208,0.222,0.267,0.083,0.111,0.0,0.333,0.0,0.1,0.269,10,0.5,2,4,0.5,4,0.5,2,1,1,0,0,1,14,4,20.75,2,48,33,0.0303,5,0.4,97.0,89.9,7.1,0.071,0.038,0.6,104.92,0.6,0.4,0.429,0.429,0.286,0.286,0.6,0.4,0.455,0.227,0.15,0.13,4,3,0,4,4,2,8,26,2,3,TNT
2015-10-31,Austin Rivers,LAC,SAC,,11:58,0.202,0.176,0.25,0.0,0.0,0.0,0.333,0.0,0.0,0.5,0.0,3,0.0,0,2,0.0,0,0.0,0,0,0,0,2,3,0,-17,-1.0,1,21,16,0.0,2,0.0,42.1,109.0,-67.0,0.0,0.0,0.0,97.26,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.462,0.154,0.121,0.462,0,0,0,0,7,2,3,10,2,0,NBA TV
2015-11-02,Austin Rivers,LAC,PHX,,17:39,0.209,0.214,0.077,0.125,0.0,0.111,0.25,0.333,0.0,0.0,0.179,6,0.5,0,1,0.0,1,1.0,0,1,1,0,1,0,7,8,9.75,4,30,22,0.0455,4,0.75,109.8,78.2,31.6,0.091,0.0,0.5,102.2,0.833,0.167,0.857,0.0,0.429,0.857,0.333,0.667,0.342,0.158,0.126,0.24,3,3,0,6,1,7,3,12,7,1,
2015-11-04,Austin Rivers,LAC,GSW,,24:02,0.15,0.182,0.286,0.0,0.0,0.0,0.0,0.0,1.0,0.462,0.17,8,0.5,0,2,0.0,0,0.0,0,0,0,1,0,6,8,-3,10.0,0,43,30,0.0,5,0.6,99.2,103.8,-4.7,0.0,0.0,0.5,95.42,0.75,0.25,1.0,0.0,0.25,0.75,0.25,0.75,0.526,0.359,0.145,0.235,2,2,0,6,12,3,13,10,3,0,ESPN
