DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Avery Bradley,BOS,PHI,G,18:10,0.263,0.303,0.467,0.0,0.158,0.545,0.143,0.0,0.0,0.111,0.268,10,0.4,3,7,0.429,0,0.0,3,6,0,0,1,1,11,14,23.25,0,0,0,,0,0.0,105.8,67.4,38.4,0.545,0.081,0.55,104.16,0.3,0.7,0.182,0.818,0.0,0.0,0.5,0.5,0.35,0.233,0.25,0.158,0,2,3,0,5,2,2,10,2,0,
2016-10-06,Avery Bradley,BOS,CHA,G,27:34,0.207,0.216,0.143,0.222,0.094,0.333,0.167,0.4,0.0,0.143,0.215,11,0.545,1,3,0.333,2,0.5,3,5,2,0,2,2,14,17,27.5,0,0,0,,0,0.0,104.9,81.1,23.8,0.263,0.058,0.591,105.46,0.727,0.273,0.714,0.214,0.0,0.286,0.667,0.333,0.431,0.098,0.135,0.069,0,4,0,4,8,7,6,22,7,1,
2016-10-13,Avery Bradley,BOS,BKN,G,25:41,0.244,0.25,0.412,0.0,0.276,0.0,0.429,0.0,0.5,0.0,0.127,12,0.25,1,7,0.143,0,0.0,8,0,0,2,3,0,7,6,20.0,0,0,0,,0,0.0,102.6,86.4,16.2,0.0,0.143,0.292,103.09,0.417,0.583,0.571,0.429,0.0,0.286,0.333,0.667,0.424,0.283,0.176,0.192,0,2,0,2,9,7,3,20,7,0,
2016-10-15,Avery Bradley,BOS,NYK,G,17:15,0.281,0.333,0.083,0.0,0.111,0.091,0.167,0.4,0.0,0.167,0.341,9,0.778,1,1,1.0,0,0.0,1,1,2,0,1,1,15,6,21.5,0,0,0,,0,0.0,130.8,103.4,27.4,0.1,0.045,0.833,97.95,0.889,0.111,0.8,0.2,0.467,0.4,0.429,0.571,0.581,0.129,0.245,0.417,7,6,2,6,6,6,4,12,6,0,NBA TV
2016-10-17,Avery Bradley,BOS,BKN,G,17:38,0.166,0.148,0.125,0.214,0.056,0.111,0.182,0.0,0.0,0.0,0.156,4,0.5,1,1,1.0,3,0.667,1,1,0,0,2,0,7,9,9.0,0,0,0,,0,0.0,109.3,86.5,22.8,0.077,0.034,0.625,112.64,0.75,0.25,0.286,0.429,0.429,0.286,1.0,0.0,0.4,0.5,0.192,0.167,3,3,0,2,9,0,10,12,0,1,
2015-10-28,Avery Bradley,BOS,PHI,G,32:36,0.103,0.105,0.059,0.0,0.038,0.1,0.167,0.333,0.0,0.125,0.052,6,0.333,0,1,0.0,0,0.0,1,2,2,0,2,2,4,0,10.75,2,30,18,0.1111,3,0.667,110.3,109.3,1.1,0.083,0.018,0.333,103.27,0.833,0.167,1.0,0.0,1.0,1.0,1.0,0.0,0.554,0.304,0.213,0.308,4,4,0,4,16,8,5,44,8,0,
2015-10-30,Avery Bradley,BOS,TOR,G,29:39,0.196,0.208,0.467,0.074,0.263,0.214,0.333,0.167,0.5,0.15,0.197,11,0.364,3,7,0.429,2,1.0,5,3,1,1,2,3,13,-11,27.5,6,45,31,0.0968,5,0.0,97.2,118.9,-21.7,0.188,0.094,0.5,107.36,0.364,0.636,0.154,0.692,0.385,0.0,0.75,0.25,0.553,0.617,0.17,0.273,5,3,2,0,9,8,6,22,8,1,
2015-11-01,Avery Bradley,BOS,SAS,G,30:28,0.265,0.281,0.235,0.333,0.129,0.214,0.111,0.0,0.0,0.167,0.316,18,0.389,1,4,0.25,4,0.75,4,3,0,0,1,2,18,3,26.75,13,37,17,0.1765,8,0.375,88.7,85.3,3.3,0.2,0.063,0.417,100.51,0.778,0.222,0.667,0.167,0.389,0.444,0.429,0.571,0.45,0.24,0.237,0.292,7,0,2,8,7,6,2,18,6,2,
2015-11-04,Avery Bradley,BOS,IND,G,35:26,0.241,0.262,0.348,0.118,0.156,0.214,0.2,0.2,0.0,0.25,0.3,16,0.5,3,8,0.375,2,1.0,5,3,1,0,2,3,21,-8,33.5,9,38,21,0.1429,12,0.583,102.2,111.2,-9.0,0.188,0.067,0.594,93.9,0.5,0.5,0.476,0.429,0.095,0.095,0.625,0.375,0.465,0.197,0.128,0.421,2,3,0,2,11,24,2,22,24,2,
2015-11-06,Avery Bradley,BOS,WAS,G,25:33,0.12,0.118,0.263,0.0,0.0,0.125,0.182,0.2,0.0,0.111,0.092,6,0.333,2,5,0.4,0,0.0,0,2,2,0,2,1,6,6,12.5,0,19,10,0.2,2,0.0,111.3,96.6,14.7,0.091,0.0,0.5,112.23,0.167,0.833,0.0,1.0,0.0,0.0,1.0,0.0,0.53,0.14,0.213,0.208,0,0,3,0,17,9,20,30,9,1,
2015-11-10,Avery Bradley,BOS,MIL,G,18:05,0.146,0.176,0.222,0.0,0.214,0.143,0.0,0.0,0.0,0.25,0.057,6,0.167,0,2,0.0,0,0.0,3,1,0,0,0,1,2,2,7.0,3,18,12,0.0833,4,0.0,89.3,87.7,1.6,0.077,0.091,0.167,101.98,0.667,0.333,1.0,0.0,1.0,0.0,0.0,1.0,0.468,0.194,0.186,0.2,2,0,0,0,8,4,8,18,4,0,
2015-11-15,Avery Bradley,BOS,OKC,,26:05,0.236,0.286,0.222,0.3,0.087,0.235,0.0,0.111,0.0,0.167,0.241,12,0.5,1,2,0.5,3,0.333,2,4,1,0,0,2,14,19,24.0,2,34,22,0.1818,5,0.4,112.8,70.1,42.7,0.222,0.056,0.542,98.45,0.833,0.167,0.714,0.214,0.5,0.286,1.0,0.0,0.368,0.395,0.234,0.1,7,7,0,4,12,4,3,16,4,2,
2015-11-16,Avery Bradley,BOS,HOU,,20:04,0.312,0.326,0.368,0.286,0.05,0.154,0.25,0.125,0.0,0.091,0.389,14,0.571,4,7,0.571,2,0.5,1,2,1,0,2,1,21,18,27.75,2,34,17,0.1176,7,0.571,112.3,76.5,35.8,0.154,0.026,0.714,113.81,0.5,0.5,0.381,0.571,0.476,0.286,0.375,0.625,0.457,0.2,0.276,0.222,10,6,3,6,4,4,6,20,4,2,
2015-11-18,Avery Bradley,BOS,DAL,,31:23,0.248,0.27,0.438,0.143,0.2,0.176,0.182,0.444,0.0,0.273,0.247,17,0.412,3,7,0.429,2,0.5,6,3,4,0,2,6,18,4,37.75,10,49,26,0.1154,7,0.286,104.0,107.1,-3.0,0.143,0.113,0.5,102.95,0.588,0.412,0.444,0.5,0.167,0.222,0.571,0.429,0.581,0.605,0.217,0.167,3,3,5,4,19,8,8,22,8,1,
2015-11-20,Avery Bradley,BOS,BKN,,25:14,0.24,0.302,0.111,0.0,0.15,0.0,0.0,0.286,0.0,0.0,0.323,13,0.769,1,1,1.0,0,0.0,3,0,2,0,0,0,21,18,29.25,6,33,18,0.0,10,0.9,127.3,84.2,43.1,0.0,0.07,0.808,101.69,0.923,0.077,0.857,0.143,0.19,0.476,0.9,0.1,0.4,0.22,0.197,0.37,4,4,0,10,7,10,2,20,10,0,
2015-11-22,Avery Bradley,BOS,BKN,G,39:48,0.254,0.294,0.467,0.095,0.138,0.059,0.154,0.222,0.5,0.136,0.31,20,0.45,7,14,0.5,2,1.0,4,1,2,1,2,3,27,-2,41.75,9,54,28,0.0357,8,0.5,104.5,111.0,-6.5,0.05,0.056,0.625,98.56,0.3,0.7,0.148,0.778,0.296,0.074,0.778,0.222,0.5,0.462,0.175,0.353,8,2,3,2,19,14,5,38,14,3,
2015-11-24,Avery Bradley,BOS,ATL,G,29:59,0.279,0.34,0.5,0.095,0.045,0.154,0.167,0.429,0.5,0.182,0.391,17,0.588,4,8,0.5,2,0.5,1,2,3,1,2,2,25,-19,37.75,2,45,24,0.0833,7,0.286,101.2,125.2,-24.0,0.182,0.021,0.706,103.67,0.529,0.471,0.48,0.48,0.16,0.16,0.7,0.3,0.679,0.226,0.181,0.222,4,6,3,4,20,13,12,38,13,3,TNT
2015-11-25,Avery Bradley,BOS,PHI,G,36:58,0.185,0.208,0.28,0.0,0.023,0.056,0.1,0.333,0.0,0.25,0.127,15,0.267,2,7,0.286,0,0.0,1,1,2,0,1,2,10,17,17.0,3,38,20,0.05,6,0.333,100.8,81.8,19.0,0.037,0.013,0.333,100.14,0.533,0.467,0.4,0.6,0.0,0.2,1.0,0.0,0.413,0.175,0.171,0.125,0,3,0,2,7,8,13,24,8,2,
2015-11-27,Avery Bradley,BOS,WAS,G,31:07,0.19,0.19,0.227,0.167,0.051,0.167,0.2,0.429,0.0,0.375,0.235,12,0.5,2,5,0.4,2,1.0,2,3,3,0,2,3,16,21,28.25,5,52,34,0.0882,6,0.833,107.5,72.6,34.8,0.15,0.029,0.583,98.73,0.583,0.417,0.5,0.375,0.5,0.375,0.833,0.167,0.346,0.25,0.247,0.273,8,4,5,6,7,9,4,14,9,3,
2015-11-29,Avery Bradley,BOS,ORL,G,31:42,0.263,0.273,0.5,0.154,0.0,0.056,0.273,0.0,0.2,0.154,0.309,15,0.467,2,7,0.286,2,0.5,0,1,0,1,3,2,17,-20,19.75,3,38,19,0.0526,7,0.429,80.0,110.0,-30.0,0.071,0.0,0.533,103.63,0.533,0.467,0.588,0.353,0.0,0.118,1.0,0.0,0.508,0.215,0.147,0.433,0,0,0,2,14,24,4,38,24,2,
2015-11-30,Avery Bradley,BOS,MIA,G,39:15,0.215,0.227,0.375,0.19,0.061,0.15,0.167,0.231,0.333,0.059,0.281,15,0.6,3,6,0.5,4,1.0,2,3,3,1,2,1,25,18,39.75,7,53,33,0.0909,6,0.833,115.2,94.2,21.0,0.13,0.03,0.7,93.31,0.6,0.4,0.48,0.36,0.08,0.16,0.778,0.222,0.46,0.306,0.212,0.324,2,2,0,4,14,17,11,44,17,2,
2015-12-03,Avery Bradley,BOS,SAC,G,29:26,0.282,0.3,0.318,0.125,0.13,0.045,0.3,0.273,0.0,0.263,0.267,15,0.467,4,7,0.571,2,1.0,3,1,3,0,3,5,20,7,31.5,0,0,0,,0,0.0,119.0,100.8,18.1,0.056,0.058,0.6,106.39,0.533,0.467,0.3,0.6,0.25,0.2,1.0,0.0,0.5,0.531,0.208,0.269,5,5,0,4,11,11,7,24,11,2,
2015-12-05,Avery Bradley,BOS,SAS,G,36:32,0.19,0.219,0.286,0.0,0.067,0.063,0.182,0.25,0.0,0.067,0.217,14,0.5,4,6,0.667,0,0.0,2,1,2,0,2,1,18,4,26.75,3,36,19,0.0526,7,0.286,108.9,106.2,2.6,0.043,0.03,0.643,98.93,0.571,0.429,0.333,0.667,0.167,0.0,0.857,0.143,0.532,0.302,0.175,0.313,3,6,0,0,10,8,3,30,8,0,
2015-12-07,Avery Bradley,BOS,NOP,G,28:38,0.156,0.178,0.294,0.105,0.107,0.286,0.1,0.25,0.0,0.167,0.155,8,0.375,3,5,0.6,2,1.0,3,4,1,0,1,2,11,18,22.75,6,36,27,0.1481,4,0.25,121.7,90.3,31.4,0.19,0.057,0.563,98.13,0.375,0.625,0.0,0.818,0.0,0.0,1.0,0.0,0.404,0.25,0.136,0.233,0,3,0,0,14,10,0,14,10,1,NBA TV
2015-12-09,Avery Bradley,BOS,CHI,G,38:49,0.194,0.203,0.273,0.0,0.051,0.176,0.333,0.143,0.0,0.105,0.123,15,0.333,0,6,0.0,0,0.0,2,3,1,0,3,2,10,-1,16.75,5,54,35,0.0857,7,0.429,99.2,98.5,0.7,0.125,0.025,0.333,101.97,0.6,0.4,1.0,0.0,0.6,1.0,0.8,0.2,0.447,0.28,0.132,0.3,6,6,2,10,11,15,9,34,15,0,ESPN
2015-12-11,Avery Bradley,BOS,GSW,G,34:26,0.238,0.279,0.409,0.0,0.0,0.045,0.0,0.25,0.0,0.286,0.25,19,0.421,3,9,0.333,0,0.0,0,1,1,0,0,6,19,2,23.75,1,34,13,0.0769,13,0.385,100.2,98.2,2.0,0.043,0.0,0.5,105.36,0.526,0.474,0.526,0.474,0.0,0.105,0.75,0.25,0.45,0.467,0.146,0.235,0,3,3,2,9,4,11,26,4,1,
2015-12-12,Avery Bradley,BOS,CHA,G,34:53,0.222,0.236,0.273,0.125,0.097,0.15,0.0,0.0,0.0,0.25,0.303,17,0.529,4,6,0.667,1,1.0,3,3,0,0,0,2,23,13,32.5,4,40,22,0.1364,11,0.455,100.6,93.0,7.7,0.143,0.043,0.647,98.58,0.647,0.353,0.435,0.522,0.0,0.174,0.667,0.333,0.454,0.062,0.103,0.176,0,0,2,4,2,4,0,22,4,0,
2015-12-15,Avery Bradley,BOS,CLE,G,33:59,0.218,0.197,0.435,0.4,0.125,0.154,0.286,0.6,0.4,0.1,0.298,12,0.417,3,10,0.3,4,1.0,3,2,3,2,2,1,17,-13,33.75,5,38,23,0.087,3,0.0,87.2,104.5,-17.4,0.125,0.051,0.542,93.48,0.167,0.833,0.235,0.529,0.118,0.118,1.0,0.0,0.534,0.155,0.164,0.261,2,3,0,2,12,3,4,36,3,2,NBA TV
