DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-15,Beno Udrih,MIA,MIN,G,17:52,0.075,0.069,0.0,0.0,0.067,0.286,0.167,0.25,0.0,0.125,0.063,2,0.5,0,0,0.0,0,0.0,1,2,1,0,1,1,2,-4,7.25,0,0,0,,0,0.0,89.3,100.7,-11.4,0.2,0.029,0.5,96.18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.121,0.168,0.313,0,0,0,0,4,10,6,14,10,0,
2016-10-20,Beno Udrih,MIA,CHA,,7:32,0.235,0.25,0.143,0.0,0.0,0.5,0.25,1.0,0.0,0.0,0.105,4,0.25,0,1,0.0,0,0.0,0,2,1,0,1,0,2,4,6.0,0,0,0,,0,0.0,103.7,95.2,8.5,0.333,0.0,0.25,108.57,0.75,0.25,1.0,0.0,1.0,1.0,0.0,1.0,0.464,0.286,0.063,0.143,2,2,0,2,3,0,5,8,0,2,
2016-10-21,Beno Udrih,MIA,PHI,,15:23,0.137,0.158,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.207,3,0.333,0,0,0.0,4,1.0,0,2,0,0,0,0,6,-7,8.5,0,0,0,,0,0.0,85.8,103.3,-17.5,0.333,0.0,0.333,107.09,1.0,0.0,0.333,0.0,0.0,0.0,0.0,1.0,0.538,0.423,0.144,0.077,0,0,0,0,12,2,4,14,2,2,
2015-10-28,Beno Udrih,MEM,CLE,,14:44,0.266,0.2,0.167,0.125,0.0,0.5,0.571,0.0,0.0,0.143,0.238,5,0.4,0,1,0.0,1,1.0,0,2,0,0,4,1,5,-12,5.5,1,43,32,0.0625,2,0.5,60.8,95.9,-35.1,0.333,0.0,0.4,112.27,0.8,0.2,0.8,0.0,0.0,0.4,0.5,0.5,0.587,0.435,0.262,0.182,0,0,0,2,12,0,15,16,0,4,
2015-10-29,Beno Udrih,MEM,IND,,17:48,0.185,0.207,0.286,0.118,0.167,0.545,0.167,0.25,0.0,0.125,0.271,6,0.833,1,2,0.5,2,1.0,2,6,1,0,1,1,13,6,25.0,2,53,40,0.15,2,1.0,121.6,106.0,15.6,0.545,0.091,0.917,106.68,0.667,0.333,0.615,0.231,0.308,0.308,0.6,0.4,0.672,0.207,0.277,0.25,4,2,0,4,4,8,5,8,8,3,
2015-10-31,Beno Udrih,MEM,BKN,,15:18,0.241,0.32,0.429,0.0,0.143,0.429,0.0,0.0,0.5,0.0,0.235,8,0.375,2,3,0.667,0,0.0,2,3,0,1,0,0,8,4,17.25,3,44,35,0.0857,4,0.5,116.6,102.0,14.6,0.429,0.069,0.5,91.89,0.625,0.375,0.25,0.75,0.0,0.25,0.667,0.333,0.46,0.4,0.102,0.231,0,0,0,2,2,2,2,16,2,1,
2015-11-02,Beno Udrih,MEM,GSW,,15:07,0.151,0.185,0.25,0.0,0.143,0.5,0.0,0.333,0.0,0.125,0.0,5,0.0,0,1,0.0,0,0.0,2,5,1,0,0,1,0,1,10.75,3,35,30,0.1667,3,0.0,89.7,91.5,-1.7,0.417,0.065,0.0,96.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.442,0.308,0.136,0.25,0,0,0,0,0,6,2,12,6,1,NBA TV
2015-11-03,Beno Udrih,MEM,SAC,,21:12,0.196,0.184,0.25,0.0,0.0,0.429,0.333,0.5,0.0,0.263,0.15,7,0.429,0,2,0.0,0,0.0,0,3,1,0,3,5,6,-1,10.25,1,61,46,0.0652,2,0.5,91.0,97.6,-6.6,0.231,0.0,0.429,97.31,0.714,0.286,1.0,0.0,0.0,0.667,0.333,0.667,0.45,0.833,0.143,0.238,0,0,0,4,15,4,9,10,4,2,
2015-11-05,Beno Udrih,MEM,POR,,15:51,0.156,0.179,0.111,0.0,0.0,0.6,0.0,0.0,0.0,0.5,0.25,5,0.8,1,1,1.0,0,0.0,0,6,0,0,0,2,9,0,17.0,1,38,33,0.1818,2,0.5,120.0,119.7,0.3,0.5,0.0,0.9,90.97,0.8,0.2,0.667,0.333,0.0,0.0,0.75,0.25,0.62,0.28,0.166,0.25,0,2,0,0,6,3,0,10,3,0,TNT
2015-11-07,Beno Udrih,MEM,UTA,,7:37,0.269,0.3,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.333,3,0.667,0,0,0.0,0,0.0,0,0,0,0,1,0,4,-8,3.5,0,20,16,0.0,2,0.5,80.6,118.5,-37.8,0.0,0.0,0.667,100.08,1.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.528,0.111,0.0,0.25,2,0,0,4,4,0,4,8,0,0,NBA TV
