DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Bismack Biyombo,ORL,MEM,F,23:05,0.116,0.094,0.0,0.364,0.455,0.0,0.077,0.0,0.0,0.222,0.128,3,0.667,0,0,0.0,4,0.25,10,0,0,0,1,2,5,-5,17.0,0,0,0,,0,0.0,83.3,92.4,-9.2,0.0,0.256,0.667,98.21,1.0,0.0,0.8,0.0,0.0,0.8,0.5,0.5,0.434,0.395,0.105,0.095,0,1,2,4,10,6,6,14,6,4,
2016-10-05,Bismack Biyombo,ORL,CLE,F,26:06,0.135,0.15,0.0,0.182,0.278,0.0,0.0,0.286,0.0,0.091,0.059,6,0.167,0,0,0.0,4,0.25,5,0,2,0,0,1,3,-10,13.25,0,0,0,,0,0.0,96.8,116.7,-19.9,0.0,0.128,0.167,96.51,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.743,0.324,0.191,0.0,0,0,1,2,12,0,6,16,0,2,NBA TV
2016-10-12,Bismack Biyombo,ORL,SAS,,23:45,0.169,0.139,0.0,0.364,0.458,0.3,0.182,0.5,0.75,0.222,0.191,5,0.6,0,0,0.0,4,0.75,11,3,1,3,2,2,9,4,33.5,0,0,0,,0,0.0,98.2,88.8,9.4,0.231,0.239,0.6,97.23,1.0,0.0,0.667,0.0,0.0,0.667,0.667,0.333,0.395,0.233,0.165,0.259,0,0,3,6,16,6,11,14,6,3,
2016-10-14,Bismack Biyombo,ORL,IND,,20:36,0.196,0.167,0.0,0.364,0.409,0.067,0.222,0.0,1.0,0.182,0.155,6,0.5,0,0,0.0,4,0.75,9,1,0,2,2,2,9,12,24.5,0,0,0,,0,0.0,129.3,94.4,34.9,0.056,0.214,0.5,109.04,1.0,0.0,0.667,0.0,0.0,0.667,0.667,0.333,0.432,0.295,0.123,0.292,0,0,5,6,12,9,7,28,9,4,
2016-10-16,Bismack Biyombo,ORL,ATL,C,36:03,0.137,0.111,0.0,0.435,0.463,0.125,0.0,0.333,0.556,0.188,0.091,7,0.286,0,0,0.0,10,0.3,19,2,1,5,0,3,7,6,45.25,0,0,0,,0,0.0,105.3,98.4,6.9,0.074,0.244,0.286,96.7,1.0,0.0,0.571,0.0,0.429,0.571,1.0,0.0,0.386,0.348,0.083,0.244,3,1,2,4,12,13,0,26,13,6,NBA TV
2016-10-20,Bismack Biyombo,ORL,NOP,,26:23,0.177,0.174,0.063,0.0,0.381,0.0,0.333,0.0,0.5,0.25,0.145,8,0.5,0,1,0.0,0,0.0,8,0,0,1,3,3,8,-2,18.5,0,0,0,,0,0.0,98.1,94.7,3.4,0.0,0.19,0.5,105.68,0.875,0.125,1.0,0.0,0.25,1.0,0.25,0.75,0.468,0.298,0.183,0.211,2,0,6,8,13,5,7,24,5,2,
2015-10-28,Bismack Biyombo,TOR,IND,,15:43,0.152,0.176,0.0,0.1,0.333,0.0,0.0,0.0,1.0,0.5,0.189,6,0.5,0,0,0.0,1,1.0,5,0,0,1,0,6,7,-1,15.25,13,17,9,0.0,6,0.5,101.6,112.0,-10.4,0.0,0.152,0.5,107.39,1.0,0.0,0.857,0.0,0.0,0.857,0.333,0.667,0.438,0.75,0.147,0.25,0,0,5,6,4,2,10,10,2,2,
2015-10-30,Bismack Biyombo,TOR,BOS,,15:58,0.094,0.071,0.0,0.167,0.3,0.0,0.125,0.0,0.333,0.5,0.103,2,0.5,0,0,0.0,2,1.0,6,0,0,1,1,5,4,6,13.0,16,15,12,0.0,2,0.5,104.6,79.3,25.3,0.0,0.182,0.5,118.62,1.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.323,0.484,0.168,0.158,2,0,0,2,7,5,7,12,5,1,
2015-11-01,Bismack Biyombo,TOR,MIL,,19:01,0.173,0.206,0.0,0.333,0.5,0.0,0.0,0.0,1.0,0.5,0.091,7,0.143,0,0,0.0,2,0.5,10,0,0,1,0,4,3,-2,17.5,17,22,12,0.0,7,0.143,87.7,96.2,-8.5,0.0,0.294,0.143,93.44,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.431,0.345,0.165,0.2,0,1,2,2,11,2,4,16,2,2,NBA TV
2015-11-03,Bismack Biyombo,TOR,DAL,,13:38,0.224,0.16,0.0,0.5,0.462,0.0,0.5,0.0,0.333,0.273,0.238,4,0.5,0,0,0.0,2,0.5,6,0,0,1,2,3,5,-3,13.5,11,21,15,0.0,4,0.5,75.6,87.6,-11.9,0.0,0.2,0.5,97.1,1.0,0.0,0.8,0.0,0.4,0.8,0.5,0.5,0.386,0.455,0.219,0.333,2,0,2,4,3,4,6,10,4,2,
