DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Blake Griffin,LAC,GSW,F,17:56,0.224,0.241,0.111,0.0,0.429,0.167,0.222,1.0,0.0,0.417,0.3,7,0.429,0,1,0.0,0,0.0,6,1,1,0,2,5,6,-29,15.75,0,0,0,,0,0.0,53.8,132.1,-78.4,0.25,0.182,0.429,99.41,0.857,0.143,1.0,0.0,0.0,0.333,0.667,0.333,0.688,0.219,0.135,0.214,0,0,2,2,11,10,6,16,10,0,ESPN
2016-10-05,Blake Griffin,LAC,TOR,F,25:56,0.288,0.325,0.214,0.143,0.32,0.238,0.222,0.333,0.0,0.0,0.364,13,0.769,2,3,0.667,2,1.0,8,5,2,0,2,0,24,20,44.25,0,0,0,,0,0.0,131.6,90.7,40.9,0.357,0.2,0.846,93.36,0.769,0.231,0.667,0.25,0.083,0.25,0.9,0.1,0.474,0.333,0.158,0.091,2,2,0,6,8,0,9,14,0,2,
2016-10-10,Blake Griffin,LAC,UTA,F,20:45,0.348,0.29,0.0,0.583,0.231,0.25,0.429,0.0,0.0,0.357,0.333,9,0.556,0,0,0.0,7,0.429,3,2,0,0,3,5,13,1,17.75,0,0,0,,0,0.0,96.8,99.8,-3.0,0.222,0.097,0.556,90.63,1.0,0.0,0.769,0.0,0.0,0.769,0.6,0.4,0.571,0.25,0.236,0.167,0,2,2,10,4,0,2,16,0,8,NBA TV
2016-10-13,Blake Griffin,LAC,POR,F,24:51,0.345,0.366,0.375,0.393,0.263,0.063,0.143,0.333,0.333,0.167,0.419,15,0.533,1,3,0.333,11,0.818,5,1,2,1,1,3,26,-3,39.5,0,0,0,,0,0.0,110.1,117.2,-7.1,0.083,0.125,0.567,108.0,0.8,0.2,0.538,0.115,0.385,0.462,0.625,0.375,0.65,0.425,0.18,0.118,10,6,2,12,11,2,2,28,2,9,TNT
2016-10-18,Blake Griffin,LAC,SAC,F,26:14,0.268,0.261,0.133,0.429,0.3,0.211,0.25,0.2,0.0,0.0,0.211,12,0.417,0,2,0.0,3,0.667,6,4,1,0,2,0,12,4,25.5,0,0,0,,0,0.0,107.4,97.0,10.4,0.222,0.133,0.417,98.56,0.833,0.167,0.833,0.0,0.333,0.667,0.8,0.2,0.533,0.133,0.22,0.238,4,6,0,8,8,8,13,20,8,6,ESPN
2015-10-28,Blake Griffin,LAC,SAC,F,38:15,0.285,0.299,0.0,0.304,0.222,0.211,0.182,0.0,0.0,0.176,0.337,20,0.7,0,0,0.0,7,0.714,8,4,0,0,2,3,33,16,47.0,18,88,62,0.0645,5,0.8,117.9,95.3,22.6,0.16,0.111,0.7,106.15,1.0,0.0,0.848,0.0,0.273,0.485,0.5,0.5,0.493,0.216,0.163,0.225,9,4,4,16,13,12,4,38,12,4,
2015-10-29,Blake Griffin,LAC,DAL,F,26:47,0.384,0.37,0.0,0.333,0.323,0.154,0.6,0.333,0.2,0.143,0.426,17,0.647,0,0,0.0,6,0.667,10,2,1,1,3,1,26,12,43.5,17,62,40,0.05,6,0.833,111.1,87.2,23.9,0.167,0.167,0.647,99.57,1.0,0.0,0.846,0.0,0.077,0.615,0.636,0.364,0.381,0.085,0.107,0.289,2,9,6,16,2,10,0,16,10,4,TNT
2015-10-31,Blake Griffin,LAC,SAC,F,36:14,0.358,0.367,0.0,0.385,0.257,0.25,0.273,0.5,0.0,0.25,0.359,22,0.591,0,0,0.0,15,0.733,9,6,2,0,3,4,37,23,58.25,23,107,74,0.0811,13,0.692,123.9,96.1,27.7,0.261,0.125,0.591,110.2,1.0,0.0,0.703,0.0,0.081,0.595,0.692,0.308,0.429,0.273,0.132,0.318,3,5,6,22,19,16,7,38,16,10,NBA TV
2015-11-02,Blake Griffin,LAC,PHX,F,33:57,0.246,0.254,0.0,0.467,0.313,0.182,0.0,0.0,0.25,0.154,0.338,15,0.533,0,0,0.0,7,0.857,10,2,0,1,0,2,22,-9,39.0,19,72,45,0.0444,7,0.571,92.1,102.1,-10.0,0.125,0.135,0.533,101.15,1.0,0.0,0.727,0.0,0.091,0.273,0.5,0.5,0.449,0.246,0.083,0.256,2,2,0,6,9,11,13,36,11,5,
2015-11-04,Blake Griffin,LAC,GSW,F,37:49,0.274,0.304,0.125,0.167,0.278,0.286,0.167,0.0,0.25,0.19,0.264,21,0.476,0,2,0.0,3,1.0,10,6,0,1,2,4,23,8,44.0,18,101,69,0.087,8,0.5,106.2,97.9,8.3,0.24,0.145,0.476,103.19,0.905,0.095,0.87,0.0,0.0,0.435,0.6,0.4,0.444,0.31,0.099,0.216,0,2,2,10,13,9,17,26,9,4,ESPN
2015-11-07,Blake Griffin,LAC,HOU,F,38:06,0.304,0.319,0.059,0.348,0.324,0.238,0.125,0.0,0.0,0.211,0.407,22,0.636,0,1,0.0,8,0.875,11,5,0,0,1,4,35,0,54.5,19,88,57,0.0877,13,0.538,110.1,108.3,1.8,0.263,0.149,0.636,99.25,0.955,0.045,0.8,0.0,0.229,0.571,0.571,0.429,0.457,0.377,0.126,0.306,8,4,4,20,5,15,13,42,15,8,
2015-11-09,Blake Griffin,LAC,MEM,F,37:48,0.296,0.365,0.0,0.207,0.387,0.167,0.133,0.333,0.125,0.294,0.316,19,0.474,0,0,0.0,6,1.0,12,2,1,1,2,5,24,-3,44.5,16,97,71,0.0282,9,0.556,104.5,103.9,0.5,0.143,0.197,0.474,94.45,1.0,0.0,0.75,0.0,0.25,0.5,0.333,0.667,0.47,0.379,0.105,0.273,6,3,2,12,15,15,10,36,15,6,
