DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Boban Marjanovic,DET,BKN,,8:27,0.326,0.182,0.0,0.25,0.25,0.0,0.571,0.0,0.0,0.25,0.294,2,1.0,0,0,0.0,1,1.0,2,0,0,0,4,1,5,0,5.5,0,0,0,,0,0.0,95.7,106.3,-10.5,0.0,0.167,1.0,95.89,1.0,0.0,0.8,0.0,0.0,0.4,0.5,0.5,0.5,0.0,0.063,0.25,0,0,0,2,7,0,0,6,0,1,
2016-10-13,Boban Marjanovic,DET,ATL,,17:08,0.155,0.08,0.0,0.333,0.2,0.4,0.2,0.0,0.5,0.2,0.233,2,0.5,0,0,0.0,6,0.833,4,2,0,1,2,1,7,5,15.5,0,0,0,,0,0.0,77.1,69.7,7.4,0.286,0.118,0.5,104.78,1.0,0.0,0.286,0.0,0.0,0.286,1.0,0.0,0.353,0.059,0.139,0.2,0,0,1,2,8,0,4,10,0,6,
2016-10-15,Boban Marjanovic,DET,PHI,,18:08,0.197,0.1,0.0,0.571,0.263,0.0,0.286,0.25,0.0,0.444,0.231,3,0.667,0,0,0.0,8,0.625,5,0,2,0,2,4,9,3,18.25,0,0,0,,0,0.0,105.0,84.5,20.4,0.0,0.152,0.667,105.53,1.0,0.0,0.444,0.0,0.0,0.444,0.5,0.5,0.481,0.577,0.258,0.071,0,0,4,4,7,0,3,14,0,5,
2016-10-17,Boban Marjanovic,DET,MIL,,10:51,0.256,0.125,0.0,0.5,0.308,0.0,0.667,0.333,0.0,0.5,0.286,2,1.0,0,0,0.0,4,1.0,4,0,1,0,2,1,8,10,14.0,0,0,0,,0,0.0,151.2,80.2,71.0,0.0,0.235,1.0,90.6,1.0,0.0,0.5,0.0,0.25,0.5,1.0,0.0,0.447,0.053,0.223,0.182,2,0,4,4,3,4,0,8,4,2,
2015-10-30,Boban Marjanovic,SAS,BKN,,4:37,0.663,0.714,0.0,1.0,0.625,1.0,0.5,0.0,0.0,0.0,0.75,5,0.4,0,0,0.0,2,1.0,5,1,0,0,2,0,6,4,12.5,5,12,4,0.25,4,0.25,90.1,40.5,49.6,1.0,0.5,0.4,97.52,1.0,0.0,0.667,0.0,0.0,0.333,0.0,1.0,0.125,0.25,0.202,0.167,0,0,2,2,0,0,0,2,0,1,
2015-11-02,Boban Marjanovic,SAS,NYK,,1:22,0.227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0,0.0,2,0.5,0,0,0,0,0,0,1,-3,1.0,0,1,0,,0,0.0,25.8,138.9,-113.1,0.0,0.0,0.0,118.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0,0,0,0,2,0,0,0,0,1,
2015-11-07,Boban Marjanovic,SAS,CHA,,3:48,0.222,0.25,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.333,2,0.5,0,0,0.0,0,0.0,1,0,0,0,0,3,2,-3,3.25,2,8,6,0.0,2,0.5,85.7,135.5,-49.8,0.0,0.143,0.5,86.15,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.625,1.5,0.0,0.0,0,0,2,2,2,0,1,2,0,0,
2015-11-09,Boban Marjanovic,SAS,SAC,,3:28,0.286,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,2,0.5,0,0,0.0,0,0.0,0,0,0,0,0,0,2,-2,2.0,2,2,0,,2,0.5,100.0,133.3,-33.3,0.0,0.0,0.5,83.08,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.667,0.0,0.0,0.0,0,0,0,2,2,0,5,2,0,0,
2015-11-14,Boban Marjanovic,SAS,PHI,,0:20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,1,1.25,1,1,1,0.0,0,0.0,113.6,0.0,113.6,0.0,0.5,0.0,132.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-20,Boban Marjanovic,SAS,NOP,,2:59,0.4,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,1,1,2,-2,1.5,0,3,3,0.0,1,1.0,40.0,80.0,-40.0,0.0,0.0,1.0,80.45,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.2,0.333,0,0,0,0,0,2,0,2,2,0,ESPN
