DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Bobby Portis,CHI,MIL,,26:12,0.172,0.19,0.231,0.133,0.409,0.375,0.111,0.2,0.0,0.143,0.133,8,0.25,1,3,0.333,2,0.5,9,3,1,0,1,2,6,-8,23.0,0,0,0,,0,0.0,84.0,102.3,-18.4,0.214,0.173,0.313,96.55,0.625,0.375,0.333,0.5,0.0,0.0,1.0,0.0,0.464,0.476,0.193,0.333,0,0,1,0,12,12,5,18,12,1,NBA TV
2016-10-06,Bobby Portis,CHI,IND,,16:22,0.162,0.188,0.143,0.105,0.313,0.222,0.0,0.25,0.0,0.125,0.113,6,0.333,0,1,0.0,2,1.0,5,2,1,0,0,1,6,12,16.75,0,0,0,,0,0.0,128.1,104.7,23.4,0.125,0.147,0.333,118.06,0.833,0.167,0.667,0.0,0.667,0.333,1.0,0.0,0.5,0.452,0.153,0.211,4,2,0,2,2,3,10,14,3,1,
2016-10-08,Bobby Portis,CHI,IND,F,18:02,0.124,0.125,0.143,0.133,0.412,0.0,0.111,0.4,1.0,0.167,0.071,4,0.25,0,1,0.0,2,0.5,7,0,2,1,1,2,3,-1,17.25,0,0,0,,0,0.0,103.4,113.3,-9.8,0.0,0.219,0.25,104.55,0.75,0.25,0.667,0.0,0.0,0.667,0.0,1.0,0.672,0.31,0.184,0.167,0,0,3,2,8,3,9,22,3,1,
2016-10-14,Bobby Portis,CHI,CLE,,17:44,0.195,0.2,0.0,0.0,0.3,0.333,0.25,0.0,1.0,0.667,0.051,6,0.167,0,0,0.0,0,0.0,6,3,0,1,2,4,2,3,14.25,0,0,0,,0,0.0,105.2,95.6,9.5,0.214,0.188,0.167,101.12,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.188,0.133,0.111,0,0,0,2,7,3,6,14,3,1,NBA TV
2016-10-15,Bobby Portis,CHI,MIL,F,24:36,0.207,0.244,0.167,0.0,0.526,0.4,0.167,0.333,0.0,0.214,0.107,10,0.3,0,2,0.0,0,0.0,10,6,1,0,1,3,6,0,27.5,0,0,0,,0,0.0,116.3,109.7,6.6,0.375,0.278,0.3,96.78,0.8,0.2,1.0,0.0,0.0,1.0,0.667,0.333,0.622,0.432,0.157,0.067,0,0,4,6,6,1,13,30,1,0,
2016-10-17,Bobby Portis,CHI,CHA,,25:58,0.119,0.13,0.125,0.0,0.296,0.111,0.125,0.0,0.444,0.167,0.149,6,0.5,1,2,0.5,0,0.0,8,1,0,4,1,3,7,-7,26.25,0,0,0,,0,0.0,88.9,99.0,-10.0,0.071,0.138,0.583,99.27,0.667,0.333,0.571,0.429,0.0,0.286,0.667,0.333,0.337,0.462,0.073,0.364,0,0,2,2,7,14,7,18,14,0,NBA TV
2016-10-20,Bobby Portis,CHI,ATL,,22:22,0.205,0.231,0.091,0.167,0.278,0.1,0.0,0.0,0.0,0.4,0.265,9,0.444,0,1,0.0,2,0.5,5,1,0,0,0,2,9,-8,16.5,0,0,0,,0,0.0,75.1,89.8,-14.7,0.143,0.109,0.444,98.76,0.889,0.111,0.889,0.0,0.222,0.667,0.75,0.25,0.5,0.103,0.192,0.167,2,2,2,6,6,3,7,16,3,2,
2015-11-03,Bobby Portis,CHI,CHA,,9:44,0.341,0.333,0.0,0.0,0.333,0.0,0.5,0.0,0.0,0.25,0.357,7,0.714,0,0,0.0,0,0.0,2,0,0,0,1,1,10,8,12.0,5,15,7,0.0,2,1.0,124.8,96.3,28.4,0.0,0.118,0.714,106.52,1.0,0.0,1.0,0.0,0.4,0.6,0.8,0.2,0.421,0.211,0.241,0.5,4,2,2,6,2,5,0,6,5,0,
2015-11-09,Bobby Portis,CHI,PHI,,10:27,0.144,0.13,0.0,0.0,0.0,0.167,0.333,0.5,0.5,0.167,0.095,3,0.333,0,0,0.0,0,0.0,0,1,1,1,1,1,2,-6,6.75,4,14,10,0.1,2,0.5,88.4,104.0,-15.6,0.143,0.0,0.333,114.19,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.525,0.45,0.193,0.333,0,0,0,2,5,4,10,12,4,0,NBA TV
2015-11-27,Bobby Portis,CHI,IND,,2:08,0.5,0.5,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.333,3,0.333,0,1,0.0,0,0.0,1,0,0,0,0,0,2,3,3.25,2,7,3,0.0,2,0.5,120.0,75.0,45.0,0.0,0.167,0.333,101.25,0.667,0.333,1.0,0.0,0.0,0.0,1.0,0.0,0.375,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,
