DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Boris Diaw,UTA,POR,,14:56,0.089,0.074,0.0,0.0,0.0,0.2,0.167,0.0,0.0,0.5,0.0,2,0.0,0,0,0.0,0,0.0,0,1,0,0,1,3,0,-12,0.75,0,0,0,,0,0.0,73.6,104.2,-30.5,0.125,0.0,0.0,100.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,0.231,0.123,0.0,0,0,0,0,4,0,3,16,0,1,NBA TV
2016-10-05,Boris Diaw,UTA,PHX,F,17:42,0.094,0.037,0.0,0.105,0.231,0.1,0.333,0.2,0.0,0.1,0.068,1,1.0,0,0,0.0,2,0.5,3,1,1,0,2,1,3,10,9.0,0,0,0,,0,0.0,117.8,94.9,22.9,0.083,0.107,1.0,99.25,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.467,0.367,0.195,0.4,0,0,0,2,9,8,8,20,8,2,NBA TV
2016-10-10,Boris Diaw,UTA,LAC,F,12:49,0.202,0.125,0.333,0.4,0.222,0.286,0.333,0.0,0.0,0.455,0.167,2,0.5,1,1,1.0,2,0.5,2,2,0,0,2,5,4,-5,8.5,0,0,0,,0,0.0,99.2,113.6,-14.5,0.25,0.111,0.75,93.1,0.5,0.5,0.0,0.75,0.0,0.0,1.0,0.0,0.545,0.364,0.118,0.25,0,0,0,0,0,2,2,12,2,4,NBA TV
2016-10-12,Boris Diaw,UTA,PHX,F,14:10,0.157,0.136,0.0,0.182,0.154,0.0,0.2,0.333,0.0,0.143,0.143,3,0.333,0,0,0.0,4,0.75,2,0,1,0,1,1,5,7,9.0,0,0,0,,0,0.0,107.1,88.5,18.6,0.0,0.087,0.333,108.97,1.0,0.0,0.4,0.0,0.4,0.4,0.0,1.0,0.524,0.286,0.284,0.1,2,0,2,2,7,2,4,12,2,2,NBA TV
2016-10-17,Boris Diaw,UTA,LAC,F,20:05,0.129,0.133,0.1,0.0,0.111,0.714,0.167,0.667,0.0,0.167,0.095,4,0.5,0,1,0.0,0,0.0,2,5,2,0,1,1,4,16,16.25,0,0,0,,0,0.0,111.6,68.4,43.2,0.333,0.067,0.5,90.39,0.75,0.25,1.0,0.0,0.5,1.0,0.0,1.0,0.394,0.0,0.158,0.056,2,0,0,4,2,0,2,14,0,0,
2016-10-19,Boris Diaw,UTA,POR,F,20:32,0.076,0.03,0.0,0.0,0.214,0.364,1.0,0.0,0.0,0.25,0.053,1,1.0,0,0,0.0,0,0.0,3,4,0,0,2,1,2,-6,9.75,0,0,0,,0,0.0,101.6,116.2,-14.6,0.286,0.086,1.0,87.99,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.614,0.057,0.185,0.294,0,0,0,2,0,7,0,16,7,0,
2015-10-28,Boris Diaw,SAS,OKC,,20:08,0.14,0.135,0.143,0.0,0.0,0.375,0.2,0.4,0.75,0.167,0.184,5,0.8,1,1,1.0,0,0.0,0,6,2,3,1,1,9,0,26.5,7,46,38,0.1579,3,0.667,117.0,113.7,3.3,0.333,0.0,0.9,101.28,0.8,0.2,0.667,0.333,0.0,0.667,0.5,0.5,0.538,0.179,0.232,0.5,0,2,0,6,7,11,2,26,11,1,ESPN
2015-10-30,Boris Diaw,SAS,BKN,,18:43,0.163,0.132,0.063,0.0,0.2,0.3,0.5,0.25,0.0,0.5,0.194,5,0.6,1,1,1.0,0,0.0,3,3,1,0,2,2,7,1,16.0,6,34,28,0.1071,3,0.333,90.3,93.0,-2.7,0.273,0.091,0.7,99.4,0.8,0.2,0.571,0.429,0.429,0.286,1.0,0.0,0.574,0.222,0.213,0.0,3,0,0,2,6,0,0,18,0,0,
2015-11-01,Boris Diaw,SAS,BOS,,23:46,0.159,0.19,0.083,0.176,0.038,0.4,0.0,0.0,0.0,0.1,0.185,8,0.5,0,1,0.0,3,0.667,1,4,0,0,0,1,10,11,16.25,7,39,27,0.1481,5,0.6,99.1,77.9,21.2,0.267,0.02,0.5,110.79,0.875,0.125,0.8,0.0,0.3,0.8,0.5,0.5,0.355,0.091,0.163,0.333,3,0,2,8,9,11,2,36,11,3,
2015-11-02,Boris Diaw,SAS,NYK,,20:00,0.227,0.182,0.4,0.25,0.25,0.143,0.429,0.0,0.0,0.286,0.162,6,0.333,1,2,0.5,2,0.5,4,1,0,0,3,2,6,-5,11.25,12,47,36,0.0278,2,0.5,91.3,110.1,-18.7,0.077,0.111,0.417,94.42,0.667,0.333,0.333,0.5,0.0,0.333,1.0,0.0,0.485,0.424,0.052,0.188,0,0,0,2,10,1,0,18,1,1,
2015-11-04,Boris Diaw,SAS,WAS,,15:28,0.054,0.038,0.1,0.333,0.056,0.429,0.0,0.0,0.0,0.0,0.029,1,0.0,0,1,0.0,2,0.5,1,3,0,0,0,0,1,18,6.0,4,33,30,0.1,0,0.0,104.2,53.8,50.4,0.231,0.036,0.0,96.82,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.174,0.202,0.059,0,0,0,0,8,0,2,8,0,2,
2015-11-07,Boris Diaw,SAS,CHA,,15:42,0.086,0.097,0.0,0.0,0.118,0.267,0.0,0.0,0.5,0.25,0.083,3,0.667,0,0,0.0,0,0.0,2,4,0,1,0,2,4,31,13.5,7,28,24,0.1667,3,0.667,146.5,53.9,92.6,0.235,0.069,0.667,98.26,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.292,0.333,0.254,0.211,0,0,0,4,1,1,2,14,1,0,
