DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Bradley Beal,WAS,MIA,G,15:40,0.319,0.321,0.333,0.286,0.182,0.125,0.333,0.0,0.0,0.286,0.364,9,0.556,1,1,1.0,2,0.5,2,1,0,0,1,2,12,-8,15.75,0,0,0,,0,0.0,102.9,129.6,-26.7,0.125,0.087,0.611,97.61,0.889,0.111,0.667,0.25,0.167,0.167,0.8,0.2,0.685,0.222,0.095,0.1,2,0,0,2,4,0,10,26,0,1,
2016-10-06,Bradley Beal,WAS,PHI,G,23:21,0.252,0.25,0.333,0.75,0.05,0.222,0.143,0.4,0.0,0.0,0.2,12,0.25,1,3,0.333,3,0.667,1,2,2,0,1,0,9,-6,16.75,0,0,0,,0,0.0,90.4,102.1,-11.6,0.118,0.026,0.292,102.5,0.75,0.25,0.444,0.333,0.222,0.222,0.333,0.667,0.579,0.237,0.2,0.133,2,0,3,2,9,3,6,22,3,3,NBA TV
2016-10-10,Bradley Beal,WAS,NYK,G,26:43,0.298,0.298,0.417,0.375,0.045,0.125,0.273,0.222,0.0,0.0,0.378,14,0.429,2,5,0.4,3,1.0,1,1,2,0,3,0,17,-7,23.0,0,0,0,,0,0.0,84.1,97.3,-13.2,0.077,0.022,0.5,96.08,0.643,0.357,0.471,0.353,0.118,0.118,0.833,0.167,0.567,0.022,0.262,0.3,2,0,3,2,8,7,0,20,7,4,NBA TV
2016-10-13,Bradley Beal,WAS,PHI,G,24:21,0.268,0.275,0.4,0.143,0.179,0.211,0.5,0.0,0.0,0.167,0.338,14,0.571,5,6,0.833,2,0.5,5,4,0,0,1,2,22,31,35.25,0,0,0,,0,0.0,117.8,66.6,51.2,0.222,0.094,0.75,104.67,0.571,0.429,0.273,0.682,0.0,0.273,0.625,0.375,0.265,0.471,0.235,0.077,0,0,2,6,0,2,10,8,2,3,
2016-10-18,Bradley Beal,WAS,CLE,G,28:01,0.177,0.212,0.25,0.095,0.033,0.385,0.0,0.0,0.0,0.0,0.213,11,0.455,1,3,0.333,2,1.0,1,5,0,0,0,0,13,11,21.0,0,0,0,,0,0.0,96.5,78.5,18.0,0.294,0.017,0.5,108.76,0.727,0.273,0.615,0.231,0.462,0.462,0.6,0.4,0.43,0.26,0.188,0.133,6,5,0,6,2,4,9,24,4,3,
2016-10-21,Bradley Beal,WAS,TOR,G,28:04,0.258,0.308,0.313,0.25,0.065,0.36,0.0,0.0,0.0,0.333,0.235,16,0.5,2,5,0.4,1,1.0,2,9,0,0,0,4,19,32,33.75,0,0,0,,0,0.0,137.8,86.4,51.5,0.346,0.041,0.563,98.77,0.688,0.313,0.632,0.316,0.0,0.421,0.625,0.375,0.368,0.245,0.106,0.235,0,0,3,8,9,7,4,24,7,1,
2015-10-28,Bradley Beal,WAS,ORL,G,37:36,0.299,0.302,0.364,0.304,0.158,0.0,0.286,0.0,0.143,0.167,0.343,19,0.474,2,8,0.25,7,0.571,6,0,0,1,4,2,24,4,32.5,13,66,40,0.0,6,0.667,90.8,80.0,10.8,0.0,0.073,0.526,101.9,0.579,0.421,0.583,0.25,0.208,0.417,0.556,0.444,0.391,0.103,0.17,0.317,5,4,2,10,13,14,8,34,14,5,
2015-10-30,Bradley Beal,WAS,MIL,G,29:43,0.329,0.372,0.462,0.19,0.12,0.188,0.294,0.0,0.0,0.417,0.366,16,0.563,5,6,0.833,4,0.75,3,3,0,0,5,5,26,9,33.5,3,64,42,0.0714,8,0.375,112.3,99.2,13.0,0.231,0.073,0.719,101.54,0.625,0.375,0.308,0.577,0.077,0.154,0.889,0.111,0.521,0.362,0.16,0.095,2,4,3,4,13,3,11,32,3,3,
2015-10-31,Bradley Beal,WAS,NYK,G,37:13,0.277,0.338,0.316,0.208,0.103,0.0,0.063,0.286,0.0,0.182,0.333,23,0.391,3,6,0.5,5,1.0,4,0,2,0,1,4,26,-9,36.0,8,65,36,0.0,13,0.231,91.2,103.1,-12.0,0.0,0.054,0.457,109.6,0.739,0.261,0.462,0.346,0.231,0.385,0.222,0.778,0.479,0.26,0.142,0.231,6,4,0,10,14,13,4,20,13,4,
2015-11-04,Bradley Beal,WAS,SAS,G,36:16,0.29,0.328,0.421,0.0,0.185,0.19,0.143,0.375,0.0,0.273,0.313,22,0.5,3,8,0.375,0,0.0,5,4,3,0,1,3,25,10,43.25,6,71,45,0.0889,10,0.6,104.9,91.2,13.6,0.182,0.076,0.568,101.25,0.636,0.364,0.64,0.36,0.4,0.48,0.636,0.364,0.453,0.203,0.196,0.25,10,7,0,12,7,4,15,34,4,5,
