DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Brandan Wright,MEM,ORL,,20:48,0.156,0.207,0.0,0.125,0.176,0.0,0.0,0.333,0.0,0.091,0.213,6,0.667,0,0,0.0,2,1.0,3,0,2,0,0,1,10,6,17.75,0,0,0,,0,0.0,111.8,89.8,22.0,0.0,0.097,0.667,101.21,1.0,0.0,0.8,0.0,0.4,0.6,0.5,0.5,0.547,0.188,0.263,0.063,4,0,0,6,8,7,8,16,7,1,
2016-10-06,Brandan Wright,MEM,ATL,,23:36,0.126,0.122,0.0,0.118,0.167,0.125,0.167,0.0,0.75,0.0,0.132,5,0.4,0,0,0.0,2,0.5,3,1,0,3,1,0,5,-18,15.5,0,0,0,,0,0.0,78.4,115.2,-36.8,0.083,0.067,0.4,98.73,1.0,0.0,0.8,0.0,0.0,0.8,0.5,0.5,0.548,0.357,0.103,0.294,0,0,2,4,14,9,7,30,9,2,
2015-10-28,Brandan Wright,MEM,CLE,,16:41,0.207,0.185,0.0,0.333,0.154,0.0,0.2,0.0,1.0,0.143,0.296,5,0.4,0,0,0.0,4,1.0,2,0,0,1,2,1,8,-22,11.5,5,21,13,0.0,4,0.25,70.5,125.4,-54.9,0.0,0.065,0.4,111.29,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.647,0.206,0.154,0.308,0,0,2,4,16,2,12,24,2,2,
2015-10-29,Brandan Wright,MEM,IND,,15:25,0.151,0.2,0.0,0.167,0.1,0.0,0.0,0.0,0.667,0.111,0.231,4,1.0,0,0,0.0,2,0.5,1,0,0,2,0,1,9,-4,14.25,2,18,12,0.0,3,1.0,133.2,131.7,1.5,0.0,0.056,1.0,96.45,1.0,0.0,0.889,0.0,0.0,0.889,1.0,0.0,0.75,0.231,0.184,0.222,0,0,0,8,10,4,4,10,4,1,
2015-10-31,Brandan Wright,MEM,BKN,,16:21,0.156,0.156,0.0,0.0,0.294,0.0,0.333,0.0,0.0,0.0,0.231,5,0.6,0,0,0.0,0,0.0,5,0,0,0,1,0,6,-4,11.75,7,20,13,0.0,3,0.667,80.0,94.8,-14.9,0.0,0.135,0.6,94.18,1.0,0.0,1.0,0.0,0.0,1.0,0.667,0.333,0.431,0.207,0.095,0.214,0,0,2,6,4,2,4,16,2,0,
2015-11-02,Brandan Wright,MEM,GSW,,19:49,0.156,0.167,0.0,0.286,0.316,0.111,0.0,0.0,0.667,0.182,0.226,6,0.5,0,0,0.0,2,0.5,6,1,0,2,0,2,7,-12,19.75,10,33,24,0.0417,5,0.4,75.5,112.7,-37.2,0.1,0.133,0.5,95.94,1.0,0.0,0.857,0.0,0.0,0.571,1.0,0.0,0.5,0.412,0.079,0.238,0,0,0,4,2,5,5,18,5,3,NBA TV
2015-11-03,Brandan Wright,MEM,SAC,,27:41,0.138,0.106,0.0,0.467,0.188,0.231,0.083,0.0,0.8,0.143,0.185,5,0.8,0,0,0.0,7,0.286,6,3,0,4,1,3,10,2,28.75,13,35,26,0.1154,5,0.8,92.2,90.9,1.2,0.176,0.107,0.8,100.4,1.0,0.0,0.8,0.0,0.0,0.8,0.75,0.25,0.398,0.682,0.122,0.219,0,0,3,8,20,8,11,16,8,7,
2015-11-05,Brandan Wright,MEM,POR,,17:39,0.16,0.143,0.0,0.6,0.364,0.0,0.0,0.0,0.5,0.333,0.158,4,0.5,0,0,0.0,3,0.667,4,0,0,1,0,1,6,-4,13.0,8,18,13,0.0,3,0.667,121.8,139.1,-17.3,0.0,0.148,0.5,83.49,1.0,0.0,0.667,0.0,0.0,0.333,1.0,0.0,0.591,0.152,0.066,0.438,0,0,0,2,4,8,0,12,8,3,TNT
2015-11-07,Brandan Wright,MEM,UTA,,6:05,0.111,0.143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,1,0.0,0,0,0.0,0,0.0,0,0,1,0,0,1,0,-8,2.0,2,7,6,0.0,1,0.0,88.9,147.1,-58.2,0.0,0.0,0.0,78.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.184,0.5,0,0,0,0,2,0,0,2,0,0,NBA TV
2016-02-19,Brandan Wright,MEM,MIN,,16:54,0.112,0.143,0.0,0.0,0.222,0.0,0.0,0.25,0.0,0.167,0.171,4,0.75,0,0,0.0,0,0.0,2,0,1,0,0,1,6,-8,10.5,7,19,15,0.0,2,0.5,103.4,126.6,-23.2,0.0,0.069,0.75,96.31,1.0,0.0,1.0,0.0,0.667,0.667,0.667,0.333,0.607,0.321,0.206,0.417,4,4,0,4,6,6,6,16,6,1,
2016-02-21,Brandan Wright,MEM,TOR,,20:38,0.107,0.057,0.0,0.0,0.095,0.125,0.429,0.0,0.5,0.333,0.056,2,0.5,0,0,0.0,0,0.0,2,1,0,1,3,2,2,-4,6.25,6,28,23,0.0435,2,0.5,90.4,91.0,-0.6,0.091,0.053,0.5,97.47,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.471,0.265,0.205,0.176,0,0,0,2,6,4,0,16,4,0,
2016-02-24,Brandan Wright,MEM,LAL,,21:58,0.28,0.27,0.0,0.286,0.3,0.077,0.333,0.0,1.0,0.25,0.263,10,0.7,0,0,0.0,4,0.25,6,1,0,2,2,3,15,-3,26.75,10,39,25,0.04,8,0.75,129.1,141.6,-12.6,0.067,0.143,0.7,94.53,1.0,0.0,0.933,0.0,0.0,0.933,0.571,0.429,0.537,0.463,0.071,0.4,0,0,4,14,6,15,11,16,15,4,
