DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Brandon Bass,LAC,GSW,,12:32,0.296,0.35,0.0,0.125,0.182,0.0,0.333,0.0,0.0,0.0,0.16,7,0.143,0,0,0.0,2,1.0,2,0,0,0,1,0,4,-9,6.0,0,0,0,,0,0.0,86.1,124.1,-38.0,0.0,0.087,0.143,108.08,1.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,0.625,0.5,0.109,0.0,2,0,2,2,7,0,8,4,0,2,ESPN
2016-10-05,Brandon Bass,LAC,TOR,,15:42,0.163,0.136,0.0,0.0,0.176,0.143,0.231,0.0,0.0,0.0,0.25,3,1.0,0,0,0.0,0,0.0,3,1,0,0,3,0,6,-7,9.5,0,0,0,,0,0.0,73.3,96.4,-23.1,0.167,0.107,1.0,99.24,1.0,0.0,1.0,0.0,0.333,0.667,1.0,0.0,0.417,0.583,0.155,0.188,2,2,0,4,16,3,8,16,3,0,
2016-10-10,Brandon Bass,LAC,UTA,,6:49,0.202,0.231,0.0,0.0,0.4,0.5,0.0,0.0,1.0,0.667,0.286,3,0.667,0,0,0.0,0,0.0,2,1,0,1,0,2,4,-1,9.75,0,0,0,,0,0.0,108.7,113.6,-4.9,0.333,0.182,0.667,91.82,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.6,0.5,0.152,0.25,0,2,2,4,1,2,2,8,2,2,NBA TV
2016-10-13,Brandon Bass,LAC,POR,,23:09,0.286,0.289,0.0,0.286,0.261,0.0,0.25,0.0,0.5,0.083,0.34,13,0.538,0,0,0.0,2,1.0,6,0,0,1,1,1,16,4,25.0,0,0,0,,0,0.0,102.0,87.3,14.7,0.0,0.13,0.538,98.84,1.0,0.0,0.875,0.0,0.25,0.625,0.429,0.571,0.436,0.308,0.183,0.19,4,0,4,10,4,8,0,14,8,1,TNT
2016-10-17,Brandon Bass,LAC,UTA,F,36:53,0.169,0.164,0.0,0.267,0.357,0.167,0.143,0.143,0.0,0.0,0.194,9,0.444,0,0,0.0,4,1.0,10,2,1,0,2,0,12,-14,28.0,0,0,0,,0,0.0,83.1,100.1,-17.0,0.105,0.167,0.444,97.94,1.0,0.0,0.667,0.0,0.0,0.0,0.5,0.5,0.553,0.316,0.171,0.069,0,0,0,0,16,2,9,44,2,3,
2016-10-18,Brandon Bass,LAC,SAC,,5:41,0.084,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,-18,0.0,0,0,0,,0,0.0,33.7,178.6,-144.9,0.0,0.0,0.0,102.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.3,0.244,1.0,0,0,0,0,0,2,8,10,2,0,ESPN
2015-10-28,Brandon Bass,LAL,MIN,,17:11,0.149,0.133,0.0,0.0,0.429,0.0,0.25,0.0,0.0,0.167,0.05,4,0.25,0,0,0.0,0,0.0,6,0,0,0,2,2,2,2,8.5,11,22,17,0.0,2,0.5,104.7,100.7,4.0,0.0,0.222,0.25,106.04,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.466,0.448,0.133,0.143,0,0,0,2,7,6,11,20,6,0,ESPN
2015-10-30,Brandon Bass,LAL,SAC,,20:10,0.143,0.103,0.0,0.4,0.273,0.1,0.25,0.0,0.0,0.333,0.17,4,0.5,0,0,0.0,4,1.0,3,1,0,0,1,4,8,-9,12.5,7,30,22,0.0455,3,0.667,101.3,124.0,-22.7,0.071,0.068,0.5,108.96,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.511,0.318,0.133,0.524,0,0,0,4,6,17,17,40,17,4,
2015-11-01,Brandon Bass,LAL,DAL,,20:23,0.168,0.171,0.0,0.375,0.333,0.222,0.0,0.0,0.0,0.0,0.25,6,0.667,0,0,0.0,3,0.667,5,2,0,0,0,0,10,-8,18.75,10,19,11,0.1818,6,0.667,98.7,115.3,-16.6,0.182,0.156,0.667,96.74,1.0,0.0,0.8,0.0,0.5,0.8,0.75,0.25,0.595,0.162,0.096,0.143,5,5,2,8,7,4,4,22,4,3,
2015-11-03,Brandon Bass,LAL,DEN,,18:42,0.172,0.133,0.0,0.111,0.389,0.0,0.375,0.333,0.0,0.154,0.054,4,0.0,0,0,0.0,2,1.0,7,0,1,0,3,2,2,-8,11.25,12,25,15,0.0,4,0.0,95.1,119.3,-24.2,0.0,0.206,0.0,98.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.433,0.159,0.267,0,0,0,0,15,8,4,16,8,3,NBA TV
