DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Brandon Ingram,LAL,SAC,,26:41,0.123,0.125,0.286,0.133,0.067,0.077,0.1,0.167,0.333,0.133,0.034,5,0.0,0,4,0.0,4,0.5,2,1,1,2,1,2,2,20,11.25,0,0,0,,0,0.0,103.1,65.1,38.1,0.053,0.038,0.0,105.34,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.291,0.419,0.217,0.143,0,0,0,0,8,7,3,14,7,2,
2016-10-07,Brandon Ingram,LAL,DEN,,17:28,0.192,0.211,0.222,0.167,0.133,0.2,0.0,0.125,0.5,0.1,0.128,8,0.25,1,2,0.5,2,0.5,2,2,1,1,0,1,6,18,15.5,0,0,0,,0,0.0,108.6,71.0,37.6,0.118,0.057,0.313,115.58,0.75,0.25,0.333,0.5,0.667,0.333,1.0,0.0,0.317,0.367,0.269,0.294,4,0,0,2,0,1,2,8,1,1,NBA TV
2016-10-09,Brandon Ingram,LAL,DEN,,19:04,0.112,0.071,0.0,0.316,0.167,0.0,0.0,0.167,0.75,0.125,0.087,2,0.5,0,0,0.0,6,0.333,2,0,1,3,0,1,4,0,14.5,0,0,0,,0,0.0,114.0,99.4,14.6,0.0,0.059,0.5,109.06,1.0,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.487,0.308,0.216,0.421,2,2,0,2,8,10,7,22,10,3,NBA TV
2016-10-11,Brandon Ingram,LAL,POR,,24:12,0.14,0.122,0.231,0.2,0.091,0.0,0.333,0.0,0.333,0.091,0.1,6,0.333,1,3,0.333,2,0.0,2,0,0,1,1,1,5,1,9.5,0,0,0,,0,0.0,97.3,103.6,-6.4,0.0,0.041,0.417,97.86,0.5,0.5,0.4,0.6,0.4,0.4,1.0,0.0,0.513,0.3,0.19,0.292,2,3,0,2,9,9,9,26,9,2,NBA TV
2016-10-13,Brandon Ingram,LAL,SAC,,27:50,0.122,0.159,0.2,0.0,0.2,0.105,0.0,0.0,0.0,0.154,0.125,7,0.429,1,4,0.25,0,0.0,2,2,0,0,0,2,7,-27,12.5,0,0,0,,0,0.0,99.3,152.9,-53.6,0.111,0.065,0.5,95.44,0.429,0.571,0.571,0.429,0.0,0.286,1.0,0.0,0.869,0.286,0.166,0.182,0,0,0,2,13,4,8,30,4,1,
2016-10-15,Brandon Ingram,LAL,GSW,,25:40,0.144,0.146,0.167,0.261,0.0,0.25,0.0,0.0,0.5,0.091,0.185,6,0.5,2,2,1.0,6,0.667,0,3,0,1,0,1,12,11,18.75,0,0,0,,0,0.0,129.7,109.6,20.1,0.167,0.0,0.667,92.95,0.667,0.333,0.167,0.5,0.167,0.0,1.0,0.0,0.622,0.324,0.244,0.313,2,3,0,0,15,6,4,28,6,3,NBA TV
2016-10-19,Brandon Ingram,LAL,GSW,,27:43,0.176,0.192,0.143,0.3,0.25,0.286,0.0,0.333,0.0,0.2,0.333,10,0.7,2,3,0.667,6,0.833,7,4,2,0,0,2,21,1,39.75,0,0,0,,0,0.0,98.7,101.9,-3.2,0.267,0.127,0.8,107.96,0.7,0.3,0.476,0.286,0.333,0.19,0.286,0.714,0.473,0.2,0.131,0.259,7,0,6,4,13,6,8,30,6,4,ESPN
2016-10-21,Brandon Ingram,LAL,PHX,,19:19,0.113,0.053,0.0,0.222,0.143,0.1,0.3,0.25,0.0,0.067,0.054,2,0.0,0,0,0.0,2,1.0,3,1,1,0,3,1,2,-6,7.5,0,0,0,,0,0.0,78.8,88.9,-10.1,0.067,0.067,0.0,118.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.487,0.186,0.333,0,2,0,0,10,10,7,20,10,1,
2016-10-26,Brandon Ingram,LAL,HOU,,23:40,0.129,0.158,0.133,0.0,0.2,0.0,0.125,0.0,0.0,0.0,0.143,6,0.667,1,2,0.5,0,0.0,3,0,0,0,1,0,9,10,12.75,5,37,27,0.0,3,0.667,122.7,106.6,16.1,0.0,0.088,0.75,102.5,0.667,0.333,0.667,0.333,0.222,0.222,0.75,0.25,0.563,0.325,0.181,0.294,2,2,0,2,10,9,12,40,9,1,ESPN
2016-10-28,Brandon Ingram,LAL,UTA,,4:11,0.217,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.167,2,0.5,0,1,0.0,0,0.0,0,0,0,0,0,1,2,3,2.0,0,4,2,0.0,1,1.0,130.4,102.7,27.7,0.0,0.0,0.5,103.04,0.5,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.667,0.228,0.5,2,0,0,0,2,2,2,6,2,0,
2016-10-30,Brandon Ingram,LAL,OKC,,20:51,0.238,0.256,0.333,0.667,0.25,0.333,0.083,0.111,0.0,0.111,0.237,10,0.3,0,3,0.0,4,0.75,5,2,1,0,1,1,9,-6,19.25,7,48,32,0.0625,7,0.429,78.1,86.3,-8.2,0.154,0.128,0.3,114.65,0.7,0.3,0.667,0.0,0.667,0.222,0.333,0.667,0.487,0.231,0.235,0.211,6,0,2,2,17,8,13,24,8,3,
