DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Brandon Knight,PHX,SAS,,16:39,0.284,0.269,0.0,0.158,0.182,0.4,0.444,0.2,0.0,0.5,0.235,7,0.429,0,0,0.0,3,0.667,2,2,1,0,4,4,8,-6,13.0,0,0,0,,0,0.0,84.2,100.9,-16.7,0.286,0.071,0.429,115.32,1.0,0.0,0.75,0.0,0.25,0.75,0.333,0.667,0.603,0.207,0.353,0.429,2,3,0,6,13,6,6,14,6,7,
2016-10-05,Brandon Knight,PHX,UTA,,24:53,0.291,0.308,0.375,0.222,0.16,0.333,0.222,0.4,0.2,0.25,0.362,16,0.438,1,3,0.333,2,1.0,4,2,2,1,2,2,17,-9,30.0,0,0,0,,0,0.0,87.1,101.5,-14.4,0.154,0.087,0.469,105.25,0.813,0.188,0.706,0.176,0.235,0.588,0.286,0.714,0.563,0.35,0.236,0.222,4,2,2,10,6,11,17,30,11,7,NBA TV
2016-10-07,Brandon Knight,PHX,POR,,26:26,0.217,0.214,0.222,0.25,0.179,0.231,0.2,0.0,0.0,0.222,0.222,12,0.417,1,2,0.5,4,0.75,5,3,0,0,1,4,14,1,24.0,0,0,0,,0,0.0,101.5,102.8,-1.2,0.15,0.079,0.458,111.1,0.833,0.167,0.571,0.214,0.214,0.286,0.2,0.8,0.378,0.571,0.133,0.29,3,0,2,4,6,6,5,18,6,3,
2016-10-14,Brandon Knight,PHX,DAL,G,24:59,0.222,0.227,0.19,0.167,0.182,0.25,0.25,0.286,0.0,0.357,0.18,10,0.4,1,4,0.25,3,0.667,4,3,2,0,2,5,11,4,23.25,0,0,0,,0,0.0,105.3,99.0,6.4,0.2,0.075,0.45,110.97,0.6,0.4,0.545,0.273,0.455,0.545,0.5,0.5,0.45,0.3,0.191,0.333,5,2,0,6,11,11,10,18,11,5,
2016-10-21,Brandon Knight,PHX,LAL,,26:42,0.197,0.196,0.222,0.316,0.067,0.5,0.133,0.0,0.0,0.077,0.246,10,0.4,1,2,0.5,6,0.833,2,5,0,0,2,1,14,3,22.25,0,0,0,,0,0.0,87.2,81.2,6.0,0.294,0.034,0.45,118.52,0.8,0.2,0.429,0.214,0.357,0.286,0.0,1.0,0.431,0.333,0.241,0.276,5,2,7,4,11,9,15,20,9,5,
2015-10-28,Brandon Knight,PHX,DAL,G,34:25,0.228,0.21,0.222,0.087,0.167,0.25,0.4,0.0,0.333,0.167,0.227,13,0.462,1,4,0.25,2,1.0,6,3,0,1,6,4,15,-23,25.75,8,79,54,0.0556,7,0.571,83.4,120.8,-37.4,0.176,0.086,0.5,106.55,0.692,0.308,0.667,0.2,0.133,0.533,0.333,0.667,0.57,0.344,0.054,0.125,2,6,0,8,13,6,19,42,6,2,
2015-10-30,Brandon Knight,PHX,POR,G,33:04,0.198,0.246,0.455,0.067,0.098,0.333,0.133,0.429,0.0,0.231,0.228,14,0.5,2,5,0.4,2,1.0,4,4,3,0,2,3,18,14,34.0,4,75,54,0.0741,4,1.0,102.3,88.7,13.6,0.211,0.059,0.571,109.22,0.643,0.357,0.556,0.333,0.611,0.556,0.143,0.857,0.458,0.2,0.191,0.154,11,2,2,10,16,8,13,26,8,4,
2015-10-31,Brandon Knight,PHX,POR,G,34:29,0.266,0.275,0.346,0.308,0.139,0.385,0.182,0.222,0.2,0.111,0.346,19,0.526,4,9,0.444,4,0.75,5,5,2,1,2,2,27,16,46.5,11,81,57,0.0877,10,0.7,103.0,86.8,16.2,0.263,0.076,0.632,102.42,0.526,0.474,0.444,0.444,0.148,0.148,0.3,0.7,0.462,0.5,0.196,0.188,4,1,0,4,10,9,15,20,9,4,
2015-11-02,Brandon Knight,PHX,LAC,G,40:39,0.227,0.238,0.32,0.176,0.146,0.364,0.143,0.333,0.0,0.0,0.14,20,0.2,1,8,0.125,3,1.0,7,8,2,0,1,0,12,3,34.75,9,94,70,0.1143,10,0.2,100.6,101.7,-1.1,0.276,0.08,0.225,98.65,0.6,0.4,0.5,0.25,0.333,0.333,0.5,0.5,0.5,0.214,0.098,0.079,4,2,0,4,6,4,6,22,4,2,
2015-11-04,Brandon Knight,PHX,SAC,G,32:37,0.252,0.281,0.353,0.0,0.083,0.438,0.3,0.125,0.5,0.2,0.221,16,0.438,3,6,0.5,0,0.0,2,7,1,1,3,1,17,5,32.25,4,69,48,0.1458,5,0.2,111.0,105.6,5.4,0.333,0.038,0.531,101.22,0.625,0.375,0.471,0.529,0.118,0.118,0.286,0.714,0.575,0.083,0.176,0.25,2,0,2,2,5,6,14,36,6,3,
