DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Brandon Rush,MIN,MIA,,22:05,0.129,0.15,0.357,0.0,0.13,0.111,0.091,0.0,0.0,0.143,0.262,6,0.667,3,5,0.6,0,0.0,3,1,0,0,1,1,11,2,17.0,0,0,0,,0,0.0,85.6,87.3,-1.7,0.091,0.07,0.917,103.16,0.167,0.833,0.182,0.818,0.273,0.0,1.0,0.0,0.459,0.297,0.153,0.143,3,6,0,0,12,2,3,20,2,1,
2016-10-10,Brandon Rush,MIN,CHA,,13:57,0.059,0.071,0.0,0.0,0.083,0.25,0.0,0.25,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,1,1,2,0,0,0,0,-10,6.5,0,0,0,,0,0.0,61.8,95.3,-33.5,0.143,0.036,0.0,105.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.609,0.043,0.296,0.182,0,0,0,0,8,0,4,16,0,0,
2016-10-12,Brandon Rush,MIN,DEN,,16:49,0.122,0.129,0.286,0.0,0.143,0.0,0.143,0.0,0.333,0.222,0.161,4,0.5,1,2,0.5,0,0.0,2,0,0,1,1,2,5,0,9.5,0,0,0,,0,0.0,79.3,85.4,-6.1,0.0,0.059,0.625,107.55,0.5,0.5,0.4,0.6,0.0,0.0,0.5,0.5,0.44,0.48,0.248,0.2,0,0,0,0,12,4,8,18,4,0,
2016-10-15,Brandon Rush,MIN,MIA,,17:13,0.079,0.08,0.167,0.0,0.059,0.2,0.091,0.333,0.0,0.143,0.12,2,0.5,1,1,1.0,0,0.0,1,1,1,0,1,1,3,-8,7.5,0,0,0,,0,0.0,71.9,93.2,-21.3,0.111,0.028,0.75,97.8,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.394,0.303,0.113,0.3,0,0,0,0,10,6,9,12,6,0,
2016-10-16,Brandon Rush,MIN,OKC,G,22:25,0.192,0.231,0.364,0.0,0.267,0.0,0.091,0.0,0.333,0.118,0.216,9,0.333,2,4,0.5,0,0.0,4,0,0,2,1,2,8,-23,17.5,0,0,0,,0,0.0,75.2,112.4,-37.2,0.0,0.093,0.444,109.83,0.556,0.444,0.25,0.75,0.0,0.25,1.0,0.0,0.489,0.413,0.131,0.4,0,0,0,2,14,14,14,36,14,0,
2016-10-19,Brandon Rush,MIN,MEM,F,29:43,0.126,0.167,0.308,0.065,0.067,0.313,0.0,0.25,0.167,0.1,0.113,8,0.375,1,4,0.25,2,1.0,2,5,2,1,0,1,9,33,24.25,0,0,0,,0,0.0,123.8,73.9,49.9,0.238,0.04,0.438,103.57,0.5,0.5,0.444,0.333,0.556,0.222,1.0,0.0,0.363,0.294,0.189,0.2,5,2,0,2,7,8,8,22,8,1,
2016-10-21,Brandon Rush,MIN,CHA,F,31:25,0.132,0.15,0.222,0.0,0.114,0.0,0.143,0.111,0.0,0.067,0.161,9,0.556,4,4,1.0,0,0.0,4,0,1,0,1,1,14,37,22.5,0,0,0,,0,0.0,128.3,77.5,50.8,0.0,0.066,0.778,101.05,0.556,0.444,0.143,0.857,0.214,0.143,1.0,0.0,0.37,0.34,0.202,0.182,3,0,2,2,6,7,2,16,7,0,NBA TV
2015-10-27,Brandon Rush,GSW,NOP,,1:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,3,0.0,0,0,0,,0,0.0,180.4,103.1,77.3,0.0,0.0,0.0,111.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.258,0.667,0,0,0,0,2,2,0,2,2,0,TNT
2015-10-30,Brandon Rush,GSW,HOU,,5:54,0.254,0.308,0.333,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.143,4,0.25,0,1,0.0,0,0.0,2,0,0,0,0,0,2,-2,4.5,3,12,8,0.0,2,0.5,101.7,110.2,-8.4,0.0,0.167,0.25,115.04,0.75,0.25,1.0,0.0,0.0,1.0,1.0,0.0,0.4,0.8,0.138,0.2,0,0,0,2,2,4,4,8,4,0,ESPN
2015-10-31,Brandon Rush,GSW,NOP,,10:51,0.074,0.091,0.125,0.0,0.364,0.167,0.0,0.333,0.0,0.0,0.192,2,1.0,1,1,1.0,0,0.0,4,1,1,0,0,0,5,1,13.75,5,14,11,0.0909,0,0.0,99.2,95.4,3.8,0.125,0.182,1.25,115.91,0.5,0.5,0.4,0.6,1.0,0.0,1.0,0.0,0.477,0.227,0.153,0.167,5,0,0,0,4,2,0,14,2,0,NBA TV
