DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Brian Roberts,CHA,BOS,,8:39,0.224,0.154,0.0,0.0,0.125,0.0,0.5,1.0,0.0,0.0,0.2,2,1.0,0,0,0.0,0,0.0,1,0,1,0,2,0,4,3,6.25,0,0,0,,0,0.0,118.5,90.0,28.4,0.0,0.077,1.0,99.22,1.0,0.0,1.0,0.0,0.5,0.5,0.0,1.0,0.421,0.105,0.053,0.222,2,2,0,2,5,2,0,10,2,1,NBA TV
2016-10-10,Brian Roberts,CHA,MIN,,8:11,0.167,0.214,0.0,0.0,0.167,0.4,0.0,0.333,0.0,0.0,0.182,3,0.333,0,0,0.0,0,0.0,1,2,1,0,0,0,2,-1,7.75,0,0,0,,0,0.0,64.7,69.3,-4.6,0.5,0.056,0.333,100.65,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.313,0.188,0.231,0.444,0,0,0,0,2,0,3,8,0,0,
2015-10-28,Brian Roberts,CHA,MIA,,13:19,0.222,0.273,0.0,0.111,0.077,0.2,0.0,0.0,0.0,0.167,0.172,6,0.333,0,0,0.0,1,1.0,1,1,0,0,0,1,5,4,7.5,2,30,23,0.0435,3,0.333,107.6,98.0,9.6,0.125,0.043,0.333,94.58,1.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,0.474,0.421,0.118,0.0,0,0,0,0,5,1,3,4,1,3,
2015-11-03,Brian Roberts,CHA,CHI,,5:41,0.19,0.273,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,3,0.333,0,1,0.0,0,0.0,0,0,0,0,0,0,2,-5,2.0,1,14,11,0.0,2,0.5,86.2,114.3,-28.1,0.0,0.0,0.333,113.0,0.667,0.333,1.0,0.0,0.0,0.0,0.0,1.0,0.571,0.0,0.071,0.25,0,0,0,0,6,2,2,12,2,0,
2015-11-05,Brian Roberts,CHA,DAL,,6:11,0.131,0.154,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,-7,1.25,1,14,11,0.0,1,0.0,67.6,124.2,-56.7,0.0,0.063,0.0,101.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.167,0.0,0.0,0,0,0,0,2,0,0,6,0,0,
2015-11-07,Brian Roberts,CHA,SAS,,3:51,0.25,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1,0.0,0,1,0.0,2,0.5,0,0,0,0,0,0,1,4,1.0,0,5,3,0.0,0,0.0,133.0,85.7,47.3,0.0,0.0,0.0,90.51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.143,0.5,0,1,0,0,0,4,0,6,4,1,
2015-11-10,Brian Roberts,CHA,MIN,,6:04,0.223,0.167,0.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.308,2,1.0,0,0,0.0,0,0.0,1,0,0,0,1,0,4,9,4.75,1,13,10,0.0,0,0.0,113.6,36.4,77.3,0.0,0.083,1.0,88.77,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.222,0.0,0.182,0.0,0,0,0,0,0,0,0,4,0,1,
2015-11-15,Brian Roberts,CHA,POR,,3:16,0.0,0.0,0.0,0.0,0.333,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,1,0,0,0,0,0,-7,2.5,1,8,8,0.125,0,0.0,40.0,150.0,-110.0,1.0,0.25,0.0,80.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0,0,0,0,5,0,3,2,0,0,
2015-11-20,Brian Roberts,CHA,PHI,,13:07,0.11,0.13,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.067,3,0.333,0,0,0.0,0,0.0,0,3,0,0,0,1,2,7,5.75,2,33,30,0.1,0,0.0,110.3,83.6,26.7,0.333,0.0,0.333,100.12,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.425,0.4,0.218,0.182,2,0,0,2,3,4,4,14,4,0,
2015-12-02,Brian Roberts,CHA,GSW,,19:52,0.151,0.189,0.091,0.0,0.333,0.455,0.0,0.333,0.0,0.25,0.104,7,0.286,1,1,1.0,0,0.0,6,5,2,0,0,1,5,8,23.25,6,36,28,0.1786,4,0.5,113.0,91.7,21.3,0.357,0.154,0.357,104.04,0.857,0.143,0.4,0.6,0.0,0.0,1.0,0.0,0.5,0.171,0.206,0.176,0,0,0,0,2,2,11,18,2,1,
2015-12-07,Brian Roberts,CHA,DET,,3:44,0.129,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,1,7,5,0.0,1,0.0,44.4,74.0,-29.6,0.0,0.0,0.0,86.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-12-09,Brian Roberts,CHA,MIA,,7:49,0.267,0.167,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.143,0.133,2,0.5,0,0,0.0,0,0.0,0,0,0,0,3,1,2,-8,0.5,0,22,16,0.0,1,0.0,84.5,122.1,-37.6,0.0,0.0,0.5,112.38,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7,1.1,0.265,0.333,0,0,0,0,6,0,10,6,0,0,
2015-12-11,Brian Roberts,CHA,MEM,,3:31,0.127,0.167,0.0,0.0,0.333,0.5,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,1,2,0,0,0,0,0,-1,3.75,1,13,11,0.1818,1,0.0,152.3,162.5,-10.2,0.5,0.167,0.0,108.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722,0.0,0.0,0.25,0,0,0,0,3,0,6,2,0,0,
2015-12-16,Brian Roberts,CHA,ORL,,6:40,0.141,0.182,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.238,2,1.0,1,1,1.0,0,0.0,1,0,0,0,0,0,5,5,6.75,2,15,10,0.0,1,1.0,159.1,117.3,41.8,0.0,0.111,1.25,96.62,0.5,0.5,0.4,0.6,0.6,0.0,0.5,0.5,0.556,0.667,0.22,0.2,3,0,0,0,0,2,0,4,2,0,
