DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-06,Brook Lopez,BKN,DET,C,12:32,0.231,0.294,0.286,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.25,5,0.6,1,2,0.5,2,0.5,2,0,0,0,0,0,8,1,11.0,0,0,0,,0,0.0,131.1,117.2,13.9,0.0,0.125,0.7,97.35,0.6,0.4,0.5,0.375,0.0,0.25,0.667,0.333,0.652,0.043,0.189,0.222,0,1,0,2,7,4,0,10,4,2,
2016-10-08,Brook Lopez,BKN,NYK,C,13:01,0.237,0.143,0.1,0.5,0.1,0.333,1.0,0.5,0.0,0.4,0.13,3,0.333,0,1,0.0,2,0.5,1,1,1,0,2,2,3,-5,6.5,0,0,0,,0,0.0,101.1,115.1,-14.1,0.125,0.05,0.333,86.81,0.667,0.333,0.667,0.0,0.0,0.667,0.0,1.0,0.643,0.143,0.123,0.111,0,0,0,2,2,0,3,8,0,3,
2016-10-13,Brook Lopez,BKN,BOS,C,18:58,0.273,0.333,0.273,0.0,0.2,0.0,0.143,0.0,0.0,0.1,0.262,11,0.455,1,3,0.333,0,0.0,4,0,0,0,1,1,11,2,16.0,0,0,0,,0,0.0,102.5,100.7,1.8,0.0,0.105,0.5,102.09,0.727,0.273,0.727,0.273,0.364,0.364,0.8,0.2,0.455,0.394,0.126,0.19,4,0,0,4,5,4,4,14,4,2,
2016-10-17,Brook Lopez,BKN,BOS,C,18:33,0.266,0.25,0.2,0.133,0.333,0.2,0.5,0.4,1.0,0.091,0.133,8,0.25,1,2,0.5,2,0.5,5,2,2,2,3,1,6,4,21.75,0,0,0,,0,0.0,108.2,93.5,14.7,0.154,0.147,0.313,110.54,0.75,0.25,0.333,0.5,0.0,0.333,0.5,0.5,0.471,0.324,0.228,0.294,0,0,0,2,4,5,2,22,5,3,
2016-10-20,Brook Lopez,BKN,NYK,C,20:48,0.304,0.333,0.25,0.235,0.167,0.0,0.25,0.5,0.5,0.0,0.226,11,0.364,1,4,0.25,4,0.75,2,0,2,1,2,0,12,-4,20.0,0,0,0,,0,0.0,114.0,115.9,-1.8,0.0,0.063,0.409,110.4,0.636,0.364,0.5,0.25,0.25,0.5,0.75,0.25,0.605,0.116,0.203,0.375,3,0,0,6,9,7,9,24,7,4,NBA TV
2015-10-28,Brook Lopez,BKN,CHI,C,33:20,0.274,0.258,0.0,0.333,0.206,0.167,0.333,0.0,0.25,0.133,0.4,17,0.588,0,0,0.0,7,0.857,7,2,0,1,3,2,26,-20,37.75,12,44,22,0.0909,8,0.625,90.0,121.4,-31.4,0.143,0.109,0.588,102.44,1.0,0.0,0.769,0.0,0.077,0.308,0.6,0.4,0.616,0.286,0.157,0.154,2,0,7,8,7,7,10,26,7,5,
2015-10-30,Brook Lopez,BKN,SAS,C,31:59,0.238,0.212,0.0,0.545,0.158,0.333,0.222,0.0,1.0,0.2,0.362,11,0.545,0,0,0.0,6,0.833,3,4,0,1,2,3,17,-23,26.75,15,54,34,0.1176,2,0.5,72.5,109.6,-37.2,0.308,0.051,0.545,96.56,1.0,0.0,0.706,0.0,0.118,0.353,0.333,0.667,0.536,0.2,0.172,0.28,2,0,0,6,6,11,2,28,11,3,
2015-10-31,Brook Lopez,BKN,MEM,C,28:18,0.238,0.244,0.0,0.6,0.417,0.0,0.0,0.0,1.0,0.273,0.214,11,0.364,0,0,0.0,6,0.667,10,0,0,1,0,3,12,-2,26.5,13,37,23,0.0,7,0.429,102.9,108.2,-5.3,0.0,0.213,0.364,91.59,1.0,0.0,0.667,0.0,0.0,0.667,0.75,0.25,0.5,0.326,0.112,0.192,0,2,2,8,6,4,9,22,4,6,
2015-11-02,Brook Lopez,BKN,MIL,C,34:24,0.222,0.179,0.071,0.438,0.36,0.059,0.286,0.0,0.5,0.294,0.237,10,0.6,0,1,0.0,7,0.857,9,1,0,2,4,5,18,3,32.5,14,56,37,0.027,5,0.4,105.5,112.4,-6.9,0.043,0.18,0.6,95.57,0.9,0.1,0.667,0.0,0.111,0.111,0.667,0.333,0.574,0.333,0.154,0.259,2,0,0,2,19,14,7,26,14,6,
2015-11-04,Brook Lopez,BKN,ATL,C,36:00,0.261,0.258,0.0,0.636,0.324,0.176,0.143,0.0,0.333,0.083,0.403,16,0.688,0,0,0.0,7,0.714,11,3,0,1,2,1,27,-6,45.5,15,60,37,0.0811,10,0.5,97.3,105.7,-8.4,0.176,0.19,0.688,91.92,1.0,0.0,0.815,0.0,0.074,0.444,0.636,0.364,0.534,0.276,0.145,0.214,2,3,3,12,19,5,8,16,5,6,
