DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Bruno Caboclo,TOR,GSW,,6:09,0.192,0.071,0.25,0.0,0.167,0.0,0.5,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,2,0,0,0,3,0,0,-6,1.0,0,0,0,,0,0.0,50.4,93.7,-43.2,0.0,0.118,0.0,108.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.167,0.144,0.167,0,0,0,0,6,2,4,12,2,1,NBA TV
2016-10-03,Bruno Caboclo,TOR,DEN,F,14:36,0.029,0.032,0.0,0.0,0.071,0.0,0.0,0.0,1.0,0.273,0.0,1,0.0,0,0,0.0,0,0.0,1,0,0,1,0,3,0,-3,3.25,0,0,0,,0,0.0,107.5,116.0,-8.5,0.0,0.032,0.0,98.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.519,0.133,0.438,0,0,0,0,0,7,4,14,7,1,
2016-10-05,Bruno Caboclo,TOR,LAC,,8:10,0.434,0.471,0.625,0.0,0.286,0.0,0.5,1.0,0.5,0.333,0.217,8,0.25,1,5,0.2,0,0.0,2,0,3,1,1,2,5,9,15.5,0,0,0,,0,0.0,129.5,78.0,51.6,0.0,0.143,0.313,104.97,0.375,0.625,0.4,0.6,1.0,0.4,0.5,0.5,0.333,1.0,0.334,0.2,5,0,2,2,4,0,2,6,0,0,
2016-10-13,Bruno Caboclo,TOR,CLE,,14:47,0.187,0.208,0.2,0.25,0.333,0.125,0.0,0.25,1.0,0.5,0.167,5,0.4,0,2,0.0,2,0.5,4,1,1,1,0,2,5,5,15.25,0,0,0,,0,0.0,101.6,82.8,18.8,0.125,0.167,0.4,96.95,0.6,0.4,0.8,0.0,0.6,0.4,1.0,0.0,0.476,0.238,0.265,0.091,3,1,0,2,6,0,4,8,0,1,TNT
2016-10-14,Bruno Caboclo,TOR,SLA,,19:59,0.186,0.207,0.143,0.0,0.071,0.083,0.333,0.5,1.0,0.417,0.111,6,0.5,0,1,0.0,0,0.0,1,1,1,1,1,5,6,14,12.0,0,0,0,,0,0.0,151.2,104.8,46.4,0.056,0.033,0.5,88.73,0.833,0.167,1.0,0.0,0.333,0.667,1.0,0.0,0.484,0.438,0.21,0.4,2,0,0,4,3,12,3,14,12,1,
2016-10-21,Bruno Caboclo,TOR,WAS,,5:45,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.333,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,1,0,-11,1.25,0,0,0,,0,0.0,50.6,148.7,-98.1,0.0,0.111,0.0,86.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778,0.444,0.186,0.5,0,0,0,0,4,0,0,4,0,0,
2015-11-11,Bruno Caboclo,TOR,PHI,,1:11,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,0,1,0,,0,0.0,0.0,66.7,-66.7,0.0,0.0,0.0,101.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,
2016-01-06,Bruno Caboclo,TOR,BKN,,1:07,0.333,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,1,0,1,0,0,-1,2.75,1,3,1,0.0,0,0.0,66.7,104.2,-37.5,0.0,0.5,0.0,126.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.347,0.0,0,0,0,0,1,0,0,2,0,0,
2016-02-08,Bruno Caboclo,TOR,DET,,1:43,0.25,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-7,0.0,0,1,0,,1,0.0,0.0,180.4,-180.4,0.0,0.0,0.0,96.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.667,0.0,0.0,0,0,0,0,3,0,0,2,0,0,
2016-03-18,Bruno Caboclo,TOR,BOS,,1:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-4,0.0,0,2,2,0.0,0,0.0,100.0,200.0,-100.0,0.0,0.0,0.0,77.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0,0,0,0,0,3,0,0,3,0,NBA TV
2016-03-26,Bruno Caboclo,TOR,NOP,,2:04,0.145,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0,,1,0.0,68.0,66.7,1.4,0.0,0.0,0.0,137.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.5,0.0,0,0,0,0,2,0,2,2,0,0,
