DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Buddy Hield,NOP,DAL,,25:17,0.311,0.3,0.5,0.0,0.261,0.176,0.571,0.5,0.0,0.154,0.284,12,0.667,3,6,0.5,0,0.0,6,3,1,0,4,2,19,19,31.75,0,0,0,,0,0.0,144.4,100.3,44.1,0.158,0.15,0.792,89.46,0.5,0.5,0.526,0.474,0.105,0.316,0.625,0.375,0.467,0.239,0.125,0.333,2,7,0,6,9,6,6,18,6,0,
2016-10-04,Buddy Hield,NOP,IND,,28:18,0.294,0.341,0.357,0.118,0.238,0.167,0.222,0.333,0.0,0.333,0.367,14,0.5,2,5,0.4,2,1.0,5,2,1,0,2,4,18,-19,28.75,0,0,0,,0,0.0,88.3,114.5,-26.2,0.222,0.091,0.571,97.42,0.643,0.357,0.556,0.333,0.0,0.222,0.714,0.286,0.534,0.172,0.118,0.345,0,0,0,4,12,12,7,36,12,2,
2016-10-09,Buddy Hield,NOP,HOU,,30:41,0.209,0.24,0.308,0.107,0.065,0.25,0.182,0.25,0.0,0.174,0.192,12,0.417,1,4,0.25,3,1.0,2,3,1,0,2,4,14,-5,21.75,0,0,0,,0,0.0,108.4,113.4,-5.0,0.176,0.034,0.458,106.44,0.667,0.333,0.571,0.214,0.286,0.571,0.4,0.6,0.537,0.537,0.131,0.219,4,2,5,8,17,5,13,28,5,4,NBA TV
2016-10-12,Buddy Hield,NOP,HOU,,18:19,0.118,0.143,0.25,0.0,0.2,0.333,0.143,0.333,0.0,0.25,0.0,4,0.0,0,2,0.0,0,0.0,3,2,1,0,1,3,0,-13,7.75,0,0,0,,0,0.0,76.6,114.6,-38.0,0.25,0.088,0.0,103.36,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.473,0.27,0.104,0.35,0,0,0,0,10,8,7,14,8,1,NBA TV
2016-10-18,Buddy Hield,NOP,ATL,G,36:34,0.212,0.231,0.353,0.308,0.097,0.125,0.077,0.0,0.0,0.143,0.2,15,0.333,0,6,0.0,4,0.75,3,2,0,0,1,3,13,-6,18.75,0,0,0,,0,0.0,80.5,92.4,-11.9,0.1,0.039,0.333,103.39,0.6,0.4,0.769,0.0,0.308,0.308,0.4,0.6,0.446,0.308,0.208,0.317,4,2,0,4,12,9,2,32,9,3,NBA TV
2016-10-20,Buddy Hield,NOP,ORL,,24:53,0.237,0.222,0.417,0.111,0.095,0.0,0.333,0.2,0.0,0.214,0.256,10,0.4,2,5,0.4,1,1.0,2,0,1,0,4,3,11,-12,14.5,0,0,0,,0,0.0,76.8,98.1,-21.3,0.0,0.043,0.5,108.02,0.5,0.5,0.364,0.545,0.273,0.182,0.5,0.5,0.467,0.348,0.161,0.273,3,0,2,2,19,13,11,22,13,1,
2016-10-26,Buddy Hield,NOP,DEN,,16:50,0.185,0.211,0.429,0.0,0.1,0.273,0.0,0.0,0.0,0.111,0.121,8,0.25,0,3,0.0,0,0.0,1,3,0,0,0,1,4,-12,9.0,1,26,18,0.1667,4,0.5,80.1,114.6,-34.5,0.25,0.031,0.25,114.71,0.625,0.375,1.0,0.0,0.0,1.0,0.5,0.5,0.685,0.444,0.204,0.111,0,0,0,4,2,2,5,24,2,0,
2016-10-28,Buddy Hield,NOP,GSW,,18:35,0.172,0.162,0.222,0.0,0.063,0.1,0.4,0.0,1.0,0.077,0.049,6,0.167,0,2,0.0,0,0.0,1,1,0,1,2,1,2,-12,5.5,3,17,9,0.1111,4,0.25,96.7,135.8,-39.1,0.063,0.029,0.167,105.18,0.667,0.333,1.0,0.0,0.0,0.0,1.0,0.0,0.609,0.5,0.077,0.2,0,0,0,0,9,3,7,20,3,0,ESPN
2016-10-29,Buddy Hield,NOP,SAS,,17:39,0.31,0.303,0.3,0.667,0.238,0.0,0.25,0.667,0.0,0.125,0.286,10,0.3,0,3,0.0,2,1.0,5,0,2,0,1,1,8,1,17.75,6,33,17,0.0,4,0.5,81.6,71.1,10.5,0.0,0.125,0.3,98.28,0.7,0.3,0.75,0.0,0.5,0.75,1.0,0.0,0.35,0.3,0.158,0.105,4,4,2,6,9,6,6,8,6,1,NBA TV
2016-11-01,Buddy Hield,NOP,MIL,,13:49,0.414,0.417,0.667,0.091,0.0,0.0,0.667,0.5,0.0,0.0,0.4,10,0.4,1,6,0.167,1,1.0,0,0,1,0,4,0,10,-11,10.5,1,28,13,0.0,2,0.5,83.8,121.0,-37.2,0.0,0.0,0.45,103.56,0.4,0.6,0.6,0.3,0.2,0.4,0.5,0.5,0.532,0.129,0.101,0.4,2,2,0,4,8,8,6,24,8,0,
