DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,CJ McCollum,POR,UTA,G,22:02,0.316,0.359,0.333,0.0,0.053,0.357,0.2,0.167,0.0,0.231,0.216,14,0.357,1,4,0.25,0,0.0,1,5,1,0,1,3,11,8,20.5,0,0,0,,0,0.0,109.6,94.5,15.1,0.333,0.023,0.393,100.21,0.714,0.286,0.727,0.273,0.636,0.364,0.4,0.6,0.457,0.486,0.198,0.25,7,0,0,4,9,2,6,14,2,3,NBA TV
2016-10-07,CJ McCollum,POR,PHX,G,21:47,0.368,0.432,0.182,0.0,0.13,0.0,0.333,0.333,0.5,0.0,0.241,19,0.316,1,2,0.5,0,0.0,3,0,1,1,2,0,13,-1,20.25,0,0,0,,0,0.0,114.8,112.1,2.7,0.0,0.067,0.342,105.9,0.895,0.105,0.769,0.231,0.154,0.308,0.5,0.5,0.605,0.163,0.163,0.278,2,0,3,4,4,8,10,26,8,1,
2016-10-11,CJ McCollum,POR,LAL,G,28:07,0.216,0.245,0.176,0.0,0.094,0.462,0.214,0.143,0.333,0.176,0.076,13,0.154,1,3,0.333,0,0.0,3,6,1,1,3,3,5,3,19.25,0,0,0,,0,0.0,106.4,107.5,-1.1,0.286,0.057,0.192,102.98,0.769,0.231,0.4,0.6,0.0,0.0,0.0,1.0,0.576,0.326,0.188,0.2,0,0,3,0,19,4,14,26,4,0,NBA TV
2016-10-13,CJ McCollum,POR,LAC,G,28:47,0.286,0.362,0.357,0.176,0.208,0.4,0.077,0.0,0.0,0.05,0.364,17,0.471,2,5,0.4,3,0.667,5,4,0,0,1,1,20,-23,31.75,0,0,0,,0,0.0,85.3,119.6,-34.3,0.364,0.096,0.529,108.14,0.706,0.294,0.6,0.3,0.0,0.5,0.25,0.75,0.545,0.375,0.077,0.192,0,0,2,10,24,9,12,38,9,4,TNT
2016-10-16,CJ McCollum,POR,DEN,G,27:45,0.29,0.264,0.273,0.8,0.1,0.267,0.333,0.333,0.0,0.133,0.333,14,0.5,4,6,0.667,4,0.5,3,4,1,0,2,2,20,0,31.75,0,0,0,,0,0.0,110.7,114.6,-3.9,0.25,0.056,0.643,92.16,0.571,0.429,0.3,0.6,0.0,0.1,0.429,0.571,0.547,0.442,0.095,0.148,0,0,3,2,5,3,5,20,3,3,NBA TV
2016-10-19,CJ McCollum,POR,UTA,G,28:37,0.284,0.292,0.294,0.0,0.077,0.364,0.3,0.333,0.0,0.278,0.239,14,0.357,1,5,0.2,0,0.0,2,4,1,0,3,5,11,-8,19.5,0,0,0,,0,0.0,82.5,99.1,-16.6,0.286,0.038,0.393,92.46,0.643,0.357,0.727,0.273,0.0,0.545,0.4,0.6,0.433,0.378,0.092,0.12,0,0,0,6,17,0,7,24,0,0,
2016-10-21,CJ McCollum,POR,GSW,G,31:16,0.257,0.29,0.2,0.067,0.091,0.222,0.143,0.6,0.0,0.1,0.213,18,0.389,1,3,0.333,1,1.0,3,4,3,0,1,1,16,3,30.75,0,0,0,,0,0.0,104.7,103.7,1.0,0.182,0.049,0.417,108.23,0.833,0.167,0.75,0.188,0.125,0.625,0.429,0.571,0.525,0.167,0.115,0.094,2,5,3,10,9,2,26,20,2,2,NBA TV
2015-10-28,CJ McCollum,POR,NOP,G,37:23,0.294,0.328,0.36,0.3,0.158,0.056,0.0,0.167,0.0,0.214,0.402,22,0.636,6,9,0.667,3,1.0,6,1,1,0,0,3,37,22,50.75,7,65,41,0.0244,7,0.714,120.4,87.1,33.4,0.045,0.09,0.773,100.67,0.591,0.409,0.432,0.486,0.243,0.216,0.214,0.786,0.443,0.143,0.124,0.103,9,4,5,8,8,5,3,22,5,3,
2015-10-30,CJ McCollum,POR,PHX,G,33:18,0.282,0.344,0.333,0.0,0.133,0.231,0.133,0.286,0.0,0.167,0.262,22,0.318,2,7,0.286,0,0.0,4,3,2,0,2,4,16,-20,28.75,6,64,38,0.0789,10,0.3,81.2,101.1,-20.0,0.2,0.056,0.364,111.89,0.682,0.318,0.625,0.375,0.313,0.25,0.429,0.571,0.482,0.561,0.187,0.231,5,7,0,4,23,9,16,42,9,1,
2015-10-31,CJ McCollum,POR,PHX,G,34:17,0.215,0.259,0.261,0.091,0.147,0.286,0.091,0.2,0.0,0.143,0.224,15,0.4,1,6,0.167,2,1.0,5,4,1,0,1,2,15,-7,28.25,7,59,38,0.1053,8,0.375,93.5,97.2,-3.7,0.235,0.068,0.433,103.5,0.6,0.4,0.667,0.2,0.0,0.533,0.333,0.667,0.438,0.194,0.092,0.25,0,4,2,8,13,5,6,26,5,1,
