DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,CJ Miles,IND,NOP,,14:35,0.193,0.212,0.429,0.125,0.059,0.167,0.0,0.0,0.0,0.0,0.2,7,0.286,2,6,0.333,1,1.0,1,1,0,0,0,0,7,4,10.5,0,0,0,,0,0.0,107.6,103.5,4.2,0.091,0.031,0.429,102.82,0.143,0.857,0.0,0.857,0.0,0.0,0.5,0.5,0.543,0.391,0.134,0.083,0,0,0,0,0,0,5,12,0,1,
2015-10-28,CJ Miles,IND,TOR,F,35:40,0.212,0.219,0.381,0.105,0.037,0.05,0.25,0.273,0.0,0.143,0.231,14,0.429,4,8,0.5,2,1.0,1,1,3,0,3,3,18,-6,27.0,5,45,26,0.0385,8,0.25,99.5,103.4,-3.9,0.048,0.016,0.571,107.37,0.429,0.571,0.222,0.667,0.111,0.222,0.833,0.167,0.525,0.5,0.185,0.25,2,5,2,4,12,15,6,40,15,1,
2015-10-29,CJ Miles,IND,MEM,,20:46,0.232,0.242,0.545,0.231,0.1,0.167,0.2,0.2,0.0,0.3,0.321,8,0.75,4,6,0.667,3,0.667,1,2,1,0,2,3,18,1,24.75,4,34,21,0.0952,2,1.0,119.9,119.8,0.1,0.133,0.038,1.0,107.06,0.25,0.75,0.222,0.667,0.111,0.0,0.833,0.167,0.641,0.563,0.218,0.333,2,3,0,0,8,6,8,22,6,1,
2015-10-31,CJ Miles,IND,UTA,F,26:22,0.206,0.214,0.545,0.286,0.118,0.333,0.111,0.286,0.2,0.182,0.114,9,0.111,0,6,0.0,4,0.75,2,2,2,1,1,2,5,-9,15.5,10,40,27,0.0741,5,0.2,82.8,101.1,-18.4,0.133,0.043,0.111,96.08,0.333,0.667,0.4,0.0,0.0,0.0,0.0,1.0,0.489,0.217,0.21,0.409,0,1,0,0,12,9,4,26,9,3,
2015-11-03,CJ Miles,IND,DET,F,29:48,0.171,0.158,0.294,0.333,0.125,0.077,0.2,0.2,0.0,0.1,0.136,9,0.222,2,5,0.4,2,1.0,3,1,2,0,2,1,8,3,17.0,6,27,16,0.0625,5,0.0,95.7,95.9,-0.2,0.045,0.056,0.333,96.68,0.444,0.556,0.0,0.75,0.375,0.0,1.0,0.0,0.51,0.204,0.274,0.407,3,2,0,0,14,13,4,30,13,1,
2015-11-09,CJ Miles,IND,ORL,F,26:48,0.185,0.182,0.353,0.182,0.087,0.0,0.2,0.2,0.0,0.2,0.158,8,0.375,2,6,0.333,2,0.5,2,0,2,0,2,2,9,11,15.5,4,39,24,0.0,2,0.5,102.1,78.9,23.1,0.0,0.041,0.5,102.22,0.25,0.75,0.222,0.667,0.222,0.222,1.0,0.0,0.451,0.293,0.292,0.2,2,2,0,2,17,3,10,16,3,3,
2015-11-11,CJ Miles,IND,BOS,F,29:06,0.234,0.222,0.4,0.211,0.278,0.083,0.286,0.333,0.0,0.235,0.288,10,0.6,1,4,0.25,4,1.0,5,1,2,0,4,4,17,2,27.0,6,47,32,0.0313,5,1.0,90.3,90.4,-0.1,0.063,0.119,0.65,105.92,0.6,0.4,0.588,0.176,0.118,0.588,0.667,0.333,0.489,0.348,0.222,0.2,2,4,2,10,12,7,7,28,7,2,
2015-11-13,CJ Miles,IND,MIN,F,20:37,0.284,0.294,0.4,0.167,0.0,0.143,0.333,0.0,0.4,0.0,0.222,10,0.3,1,6,0.167,2,0.5,0,1,0,2,2,0,8,-14,12.75,2,37,22,0.0455,2,0.5,87.2,112.8,-25.6,0.1,0.0,0.35,99.65,0.4,0.6,0.5,0.375,0.0,0.5,0.667,0.333,0.588,0.075,0.158,0.267,0,3,0,4,6,7,9,26,7,2,
2015-11-16,CJ Miles,IND,CHI,G,27:04,0.222,0.235,0.615,0.333,0.077,0.0,0.0,0.25,0.0,0.154,0.358,12,0.5,5,8,0.625,3,0.667,2,0,1,0,0,2,19,7,26.0,4,43,29,0.0,2,0.0,94.7,86.4,8.3,0.0,0.035,0.708,96.83,0.333,0.667,0.105,0.789,0.158,0.0,0.833,0.167,0.359,0.457,0.094,0.241,3,1,3,0,4,9,9,8,9,2,
2015-11-18,CJ Miles,IND,PHI,G,30:01,0.189,0.203,0.318,0.167,0.077,0.2,0.111,0.083,0.0,0.154,0.247,12,0.583,4,7,0.571,2,1.0,2,4,1,0,1,2,20,29,31.0,3,45,29,0.1379,5,0.6,126.0,79.0,47.0,0.174,0.04,0.75,104.04,0.417,0.583,0.3,0.6,0.35,0.1,1.0,0.0,0.523,0.256,0.334,0.19,7,10,3,2,2,7,2,26,7,5,
