DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,CJ Watson,ORL,MEM,,16:50,0.171,0.125,0.143,0.333,0.125,0.429,0.222,0.333,0.0,0.267,0.27,3,1.0,1,1,1.0,3,1.0,1,3,1,0,2,4,10,-6,16.5,0,0,0,,0,0.0,100.1,130.1,-30.0,0.3,0.053,1.167,99.8,0.667,0.333,0.4,0.3,0.2,0.4,0.667,0.333,0.738,0.762,0.182,0.111,2,2,0,4,11,1,7,14,1,3,
2016-10-05,CJ Watson,ORL,CLE,,17:47,0.237,0.233,0.182,0.25,0.143,0.5,0.25,0.5,0.0,0.286,0.182,7,0.286,0,2,0.0,2,1.0,1,4,1,0,1,2,6,-20,13.75,0,0,0,,0,0.0,92.9,141.7,-48.8,0.444,0.036,0.286,98.41,0.714,0.286,0.667,0.0,0.0,0.667,0.5,0.5,0.75,0.333,0.134,0.286,0,2,2,4,6,6,2,24,6,2,NBA TV
2016-10-12,CJ Watson,ORL,SAS,,9:07,0.13,0.118,0.0,0.4,0.0,0.75,0.0,1.0,0.0,0.0,0.167,2,0.5,0,0,0.0,2,0.5,0,3,2,0,0,0,3,2,10.75,0,0,0,,0,0.0,93.8,90.1,3.7,0.5,0.0,0.5,97.3,1.0,0.0,0.667,0.0,0.667,0.667,0.0,1.0,0.464,0.286,0.113,0.0,2,2,0,2,5,0,3,0,0,2,
2016-10-14,CJ Watson,ORL,IND,,18:10,0.226,0.188,0.067,0.0,0.222,0.667,0.571,0.2,0.0,0.125,0.14,6,0.667,0,1,0.0,0,0.0,4,10,1,0,4,1,8,20,25.5,0,0,0,,0,0.0,138.1,91.3,46.8,0.625,0.111,0.667,108.09,0.833,0.167,1.0,0.0,0.25,1.0,0.25,0.75,0.434,0.211,0.123,0.286,2,2,2,8,12,9,4,26,9,2,
2015-10-28,CJ Watson,ORL,WAS,,21:01,0.13,0.13,0.167,0.0,0.0,0.091,0.125,0.25,0.0,0.167,0.04,6,0.167,0,2,0.0,0,0.0,0,1,1,0,1,2,2,17,4.75,3,32,23,0.0435,3,0.0,104.2,71.8,32.4,0.045,0.0,0.167,107.29,0.667,0.333,1.0,0.0,0.0,0.0,1.0,0.0,0.338,0.225,0.152,0.179,0,0,0,0,1,6,2,16,6,0,
2015-10-30,CJ Watson,ORL,OKC,,20:58,0.093,0.122,0.273,0.0,0.15,0.333,0.0,0.2,0.0,0.083,0.064,5,0.2,1,3,0.333,0,0.0,3,3,1,0,0,1,3,2,13.0,5,51,42,0.0714,3,0.0,98.0,94.8,3.2,0.167,0.068,0.3,109.25,0.4,0.6,0.0,1.0,1.0,0.0,1.0,0.0,0.423,0.436,0.232,0.417,3,0,0,0,10,11,4,24,11,0,
2015-11-01,CJ Watson,ORL,CHI,,13:54,0.154,0.19,0.333,0.333,0.214,0.4,0.0,0.0,0.0,0.0,0.263,4,0.5,1,2,0.5,2,0.0,3,2,0,0,0,0,5,-10,11.75,3,33,27,0.0741,3,0.333,68.7,95.0,-26.3,0.4,0.12,0.625,100.42,0.5,0.5,0.4,0.6,0.0,0.0,1.0,0.0,0.42,0.32,0.131,0.167,0,0,3,0,4,2,0,10,2,2,
2015-11-03,CJ Watson,ORL,NOP,,20:27,0.073,0.029,0.0,0.6,0.091,0.286,0.125,0.0,0.0,0.0,0.109,1,1.0,0,0,0.0,3,1.0,2,2,0,0,1,0,5,6,9.5,2,38,34,0.0588,1,1.0,111.7,93.1,18.5,0.111,0.051,1.0,98.77,1.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.434,0.237,0.163,0.25,0,0,0,0,10,2,5,16,2,4,
2015-11-04,CJ Watson,ORL,HOU,,20:29,0.153,0.139,0.154,0.0,0.0,0.462,0.286,0.8,0.0,0.111,0.125,5,0.6,1,2,0.5,0,0.0,0,6,4,0,2,1,7,7,22.0,4,45,38,0.1579,2,0.5,128.3,111.3,17.1,0.316,0.0,0.7,102.73,0.6,0.4,0.571,0.429,0.286,0.571,0.333,0.667,0.542,0.444,0.136,0.263,2,2,0,4,9,4,1,12,4,1,
2015-11-06,CJ Watson,ORL,TOR,,27:22,0.208,0.227,0.211,0.167,0.217,0.167,0.0,0.0,0.0,0.25,0.214,10,0.4,2,4,0.5,2,1.0,5,2,0,0,0,4,12,14,21.75,7,57,43,0.0465,5,0.4,113.6,85.6,28.0,0.133,0.106,0.5,86.22,0.6,0.4,0.333,0.5,0.25,0.333,0.75,0.25,0.344,0.356,0.082,0.259,3,0,0,4,3,4,0,20,4,3,
2015-11-07,CJ Watson,ORL,PHI,,15:24,0.112,0.107,0.2,0.0,0.214,0.636,0.2,1.0,0.0,0.1,0.0,3,0.0,0,1,0.0,0,0.0,3,7,1,0,1,1,0,-1,14.0,5,33,25,0.28,1,0.0,101.1,100.5,0.6,0.538,0.125,0.0,103.62,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.44,0.148,0.083,0,0,0,0,5,2,6,14,2,1,
2015-11-09,CJ Watson,ORL,IND,,16:52,0.142,0.16,0.125,0.0,0.0,0.286,0.125,0.333,0.0,0.083,0.133,4,0.5,0,2,0.0,0,0.0,0,2,1,0,1,1,4,-8,8.0,2,35,27,0.0741,1,1.0,90.4,115.7,-25.4,0.222,0.0,0.5,93.97,0.5,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.6,0.44,0.152,0.154,4,2,0,2,8,3,4,12,3,1,
2016-02-19,CJ Watson,ORL,DAL,,7:40,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,-13,1.25,1,18,18,0.0,0,0.0,94.5,170.3,-75.9,0.0,0.059,0.0,101.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.067,0.061,0.0,0,0,0,0,2,0,0,6,0,0,
2016-02-21,CJ Watson,ORL,IND,,11:43,0.097,0.048,0.2,0.182,0.0,0.125,0.25,0.5,0.0,0.0,0.069,1,0.0,0,1,0.0,2,1.0,0,1,1,0,1,0,2,-5,4.75,0,10,7,0.1429,0,0.0,116.7,134.3,-17.5,0.1,0.0,0.0,102.75,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.738,0.143,0.158,0.167,2,0,0,0,0,3,2,12,3,1,
