DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,CJ Wilcox,ORL,MEM,,19:47,0.232,0.258,0.375,0.0,0.111,0.222,0.222,0.25,0.0,0.133,0.167,8,0.375,1,3,0.333,0,0.0,1,2,1,0,2,2,7,-4,12.25,0,0,0,,0,0.0,99.8,115.2,-15.4,0.154,0.043,0.438,99.48,0.625,0.375,0.571,0.429,0.571,0.571,0.333,0.667,0.635,0.692,0.2,0.2,4,2,2,4,11,3,7,22,3,1,
2016-10-05,CJ Wilcox,ORL,CLE,,22:29,0.105,0.079,0.133,0.231,0.071,0.0,0.143,0.0,0.0,0.0,0.113,3,0.333,1,2,0.5,3,1.0,1,0,0,0,1,0,6,-3,7.25,0,0,0,,0,0.0,106.6,116.3,-9.7,0.0,0.029,0.5,104.51,0.333,0.667,0.0,0.5,0.667,0.0,1.0,0.0,0.592,0.368,0.125,0.133,4,0,0,0,6,9,2,20,9,2,NBA TV
2016-10-12,CJ Wilcox,ORL,SAS,,18:10,0.125,0.167,0.444,0.0,0.05,0.0,0.0,0.0,0.0,0.571,0.075,5,0.2,1,4,0.25,0,0.0,1,0,0,0,0,4,3,8,4.75,0,0,0,,0,0.0,111.2,83.8,27.5,0.0,0.029,0.3,97.97,0.2,0.8,0.0,1.0,1.0,0.0,1.0,0.0,0.4,0.143,0.131,0.2,3,0,0,0,10,4,8,14,4,0,
2016-10-14,CJ Wilcox,ORL,IND,,16:59,0.167,0.194,0.333,0.167,0.235,0.0,0.0,0.6,0.0,0.125,0.211,6,0.667,3,5,0.6,2,0.5,4,0,3,0,0,1,12,26,24.5,0,0,0,,0,0.0,148.9,84.9,64.0,0.0,0.125,0.917,105.72,0.167,0.833,0.167,0.75,0.083,0.167,0.75,0.25,0.422,0.25,0.137,0.222,1,9,0,2,8,7,0,20,7,1,
2016-10-16,CJ Wilcox,ORL,ATL,,13:00,0.068,0.043,0.143,0.0,0.2,0.0,0.25,0.0,0.0,0.25,0.0,1,0.0,0,1,0.0,0,0.0,1,0,0,0,1,1,0,-16,0.75,0,0,0,,0,0.0,70.9,129.7,-58.8,0.0,0.048,0.0,103.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.16,0.108,0.333,0,0,0,0,8,4,5,16,4,0,NBA TV
2016-10-18,CJ Wilcox,ORL,MIA,,19:49,0.172,0.171,0.2,0.0,0.125,0.0,0.25,0.667,0.0,0.286,0.154,6,0.333,0,2,0.0,0,0.0,2,0,2,0,2,2,4,-26,9.5,0,0,0,,0,0.0,61.1,132.7,-71.5,0.0,0.053,0.333,98.95,0.667,0.333,1.0,0.0,0.0,0.5,1.0,0.0,0.653,0.139,0.128,0.25,0,0,2,2,7,4,9,22,4,1,
2015-12-02,CJ Wilcox,LAC,IND,,0:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0.0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,NBA TV
2016-01-13,CJ Wilcox,LAC,MIA,,2:39,0.333,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,-3,1.25,0,4,1,1.0,1,0.0,83.3,124.2,-40.9,0.5,0.0,0.0,112.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.155,0.0,0,0,0,0,2,0,0,4,0,0,ESPN
2016-01-21,CJ Wilcox,LAC,CLE,,2:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0,0,0,,0,0.0,119.0,77.6,41.4,0.0,0.0,0.0,106.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.311,0.0,0,0,0,0,0,0,0,2,0,0,TNT
2016-01-22,CJ Wilcox,LAC,NYK,,6:10,0.144,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,2,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,4,0,4.0,1,6,3,0.0,0,0.0,108.7,88.8,19.9,0.0,0.0,1.0,111.46,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.455,0.364,0.19,0.0,2,0,0,0,2,0,3,8,0,0,
