DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-11-01,Cameron Payne,OKC,DEN,,4:27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.333,0.0,0,0.0,0,0,0.0,0,0.0,0,3,1,0,0,1,0,-1,5.75,0,12,12,0.25,0,0.0,77.8,97.6,-19.8,1.0,0.0,0.0,92.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.833,0.122,0.25,0,0,0,0,3,0,2,2,0,0,
2015-11-08,Cameron Payne,OKC,PHX,,1:59,0.2,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,-1,0.0,0,3,2,0.0,0,0.0,50.0,61.5,-11.5,0.0,0.0,0.0,107.46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0,0,0,0,2,0,3,2,0,0,
2015-11-10,Cameron Payne,OKC,WAS,,3:22,0.429,0.429,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.182,3,0.333,0,1,0.0,0,0.0,0,1,0,0,0,1,2,1,3.25,1,12,9,0.1111,3,0.333,183.3,136.6,46.7,0.25,0.0,0.333,94.95,0.667,0.333,1.0,0.0,0.0,1.0,0.0,1.0,0.9,0.6,0.137,0.0,0,0,0,2,0,0,2,6,0,0,NBA TV
2015-11-13,Cameron Payne,OKC,PHI,,1:38,0.258,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,-4,-0.5,0,2,1,0.0,0,0.0,103.1,163.9,-60.8,0.0,0.0,0.0,128.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.5,0.0,0.0,0,0,0,0,3,0,0,4,0,0,
2015-11-15,Cameron Payne,OKC,BOS,,0:28,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,2,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-16,Cameron Payne,OKC,MEM,,11:45,0.104,0.095,0.167,0.0,0.077,0.167,0.167,0.0,0.0,0.286,0.13,2,0.5,1,1,1.0,0,0.0,1,1,0,0,1,2,3,-8,5.5,2,20,16,0.0625,1,0.0,85.9,120.0,-34.0,0.125,0.042,0.75,107.44,0.5,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.524,0.077,0.154,0,3,0,0,8,2,9,6,2,1,
2015-11-22,Cameron Payne,OKC,DAL,,5:11,0.364,0.375,0.333,0.0,0.667,0.333,0.333,0.0,0.0,0.5,0.222,3,0.333,0,1,0.0,0,0.0,2,1,0,0,1,1,2,-9,5.25,2,12,7,0.1429,2,0.5,81.8,141.1,-59.2,0.333,0.286,0.333,110.01,0.667,0.333,1.0,0.0,0.0,0.0,0.0,1.0,0.75,0.4,0.078,0.0,0,0,0,0,7,2,2,12,2,0,
2015-11-23,Cameron Payne,OKC,UTA,,3:35,0.286,0.286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,2,0.0,0,0,0.0,0,0.0,0,1,0,0,0,1,0,-9,1.25,0,8,6,0.1667,2,0.0,50.0,169.5,-119.5,1.0,0.0,0.0,87.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,0.0,0.25,0,0,0,0,0,2,1,2,2,0,
2015-12-06,Cameron Payne,OKC,SAC,,4:29,0.308,0.3,0.5,0.0,0.333,0.0,0.333,0.0,0.0,0.0,1.0,3,0.333,1,2,0.5,0,0.0,3,0,0,0,1,0,3,-4,6.75,4,9,5,0.0,1,0.0,27.3,64.3,-37.1,0.0,0.188,0.5,117.13,0.333,0.667,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.167,0.0,0.222,0,0,0,0,0,2,2,4,2,0,
2015-12-08,Cameron Payne,OKC,MEM,,6:17,0.231,0.231,0.4,0.0,0.429,0.5,0.0,0.0,0.0,0.0,0.313,3,0.667,1,2,0.5,0,0.0,3,2,0,0,0,0,5,3,11.75,3,15,12,0.1667,1,1.0,145.5,109.4,36.0,0.4,0.3,0.833,87.39,0.333,0.667,0.4,0.6,0.0,0.4,1.0,0.0,0.55,0.2,0.084,0.0,0,0,0,2,2,0,0,6,0,0,
2015-12-10,Cameron Payne,OKC,ATL,,0:41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-2,0.0,0,3,2,0.0,0,0.0,0.0,106.4,-106.4,0.0,0.0,0.0,101.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-12-16,Cameron Payne,OKC,POR,,3:06,0.291,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.667,2,0.5,0,0,0.0,0,0.0,1,0,0,0,0,0,2,-4,3.25,1,13,10,0.0,1,1.0,43.6,116.7,-73.1,0.0,0.2,0.5,99.72,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.167,0.0,0,0,0,0,2,0,0,4,0,0,
2015-12-19,Cameron Payne,OKC,LAL,,9:30,0.316,0.267,0.0,0.0,0.1,0.5,0.5,1.0,0.5,0.0,0.3,4,0.75,0,0,0.0,0,0.0,1,3,3,1,2,0,6,5,18.0,3,19,12,0.25,2,0.5,105.3,70.0,35.3,0.5,0.056,0.75,102.16,1.0,0.0,1.0,0.0,0.333,1.0,0.333,0.667,0.368,0.053,0.187,0.167,2,2,0,6,0,2,3,6,2,0,
2015-12-23,Cameron Payne,OKC,LAL,,8:34,0.2,0.227,0.6,0.0,0.091,1.0,0.0,1.0,0.0,0.0,0.25,5,0.4,1,3,0.333,0,0.0,1,1,2,0,0,0,5,0,12.0,2,21,15,0.0667,2,0.0,111.1,117.6,-6.5,0.143,0.063,0.5,98.05,0.4,0.6,0.4,0.6,0.0,0.4,0.0,1.0,0.667,0.0,0.176,0.2,0,0,0,2,5,0,2,12,0,0,NBA TV
2015-12-27,Cameron Payne,OKC,DEN,,12:08,0.199,0.235,0.333,0.0,0.4,0.333,0.2,0.0,0.0,0.375,0.261,4,0.5,2,2,1.0,0,0.0,4,2,0,0,1,3,6,-5,14.0,5,20,16,0.125,1,0.0,99.7,113.6,-14.0,0.333,0.19,0.75,94.39,0.5,0.5,0.0,1.0,0.5,0.0,1.0,0.0,0.523,0.273,0.122,0.273,3,0,0,0,7,7,0,12,7,0,
2015-12-29,Cameron Payne,OKC,MIL,,15:44,0.223,0.214,0.375,0.364,0.273,0.5,0.0,0.25,0.0,0.4,0.381,6,0.833,2,3,0.667,4,1.0,3,3,1,0,0,4,16,2,26.5,4,41,29,0.1034,2,1.0,124.1,116.3,7.8,0.333,0.12,1.0,104.09,0.5,0.5,0.375,0.375,0.125,0.0,0.4,0.6,0.611,0.37,0.145,0.167,2,0,0,0,3,4,10,20,4,2,NBA TV
2015-12-31,Cameron Payne,OKC,PHX,,13:32,0.261,0.292,0.25,0.0,0.0,0.444,0.25,0.0,0.0,0.2,0.25,7,0.429,1,2,0.5,0,0.0,0,4,0,0,1,1,7,-7,12.0,1,30,21,0.1905,4,0.25,113.6,141.4,-27.7,0.5,0.0,0.5,87.61,0.714,0.286,0.571,0.429,0.286,0.286,0.667,0.333,0.646,0.167,0.081,0.3,2,2,3,2,6,5,0,12,5,1,
2016-01-02,Cameron Payne,OKC,CHA,,19:46,0.139,0.152,0.111,0.4,0.13,0.375,0.0,1.0,0.0,0.364,0.212,5,0.6,0,1,0.0,2,0.5,3,3,1,0,0,4,7,3,16.5,5,43,32,0.0938,2,0.5,86.4,80.7,5.7,0.273,0.073,0.6,91.5,0.8,0.2,0.857,0.0,0.0,0.0,0.0,1.0,0.318,0.424,0.054,0.174,0,0,2,0,4,3,5,10,3,2,
2016-01-04,Cameron Payne,OKC,SAC,,18:43,0.261,0.364,0.5,0.0,0.357,0.2,0.0,0.25,0.5,0.294,0.344,12,0.417,1,4,0.25,0,0.0,5,1,1,1,0,5,11,-17,23.0,7,36,24,0.0417,6,0.167,76.3,114.0,-37.7,0.125,0.161,0.458,108.94,0.667,0.333,0.727,0.273,0.0,0.727,0.2,0.8,0.574,0.926,0.186,0.231,0,0,2,8,6,9,12,16,9,0,
2016-01-06,Cameron Payne,OKC,MEM,,18:05,0.193,0.212,0.333,0.0,0.063,0.333,0.2,0.0,0.0,0.364,0.195,7,0.429,2,3,0.667,0,0.0,1,3,0,0,1,4,8,3,13.5,3,46,34,0.0882,3,0.333,115.4,109.8,5.6,0.273,0.031,0.571,93.06,0.571,0.429,0.25,0.75,0.0,0.25,0.667,0.333,0.468,0.484,0.058,0.333,0,0,0,2,6,7,8,16,7,2,ESPN
2016-01-08,Cameron Payne,OKC,LAL,,24:42,0.168,0.176,0.143,0.0,0.045,0.125,0.2,0.167,0.0,0.2,0.208,9,0.556,1,2,0.5,0,0.0,1,1,1,0,1,1,11,-2,15.5,4,37,25,0.04,6,0.5,104.9,108.6,-3.7,0.063,0.022,0.611,98.29,0.778,0.222,0.727,0.273,0.182,0.364,0.6,0.4,0.556,0.133,0.197,0.35,2,0,0,4,4,6,11,24,6,0,ESPN
2016-01-10,Cameron Payne,OKC,POR,,9:46,0.248,0.313,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.263,5,0.4,1,2,0.5,0,0.0,0,2,0,0,0,0,5,-8,8.0,3,28,21,0.0952,2,0.5,94.1,125.9,-31.9,0.4,0.0,0.5,102.32,0.6,0.4,0.4,0.6,0.0,0.0,0.5,0.5,0.542,0.042,0.14,0.545,0,0,0,0,5,6,0,8,6,0,
2016-01-12,Cameron Payne,OKC,MIN,,14:41,0.288,0.292,0.571,0.0,0.2,0.4,0.4,0.0,0.0,0.333,0.222,7,0.286,2,4,0.5,0,0.0,2,2,0,0,2,2,6,-6,11.0,3,41,29,0.069,4,0.25,92.5,113.5,-21.0,0.25,0.087,0.429,95.26,0.429,0.571,0.0,1.0,0.0,0.0,1.0,0.0,0.609,0.304,0.138,0.111,0,0,0,0,8,1,6,16,1,1,
2016-01-13,Cameron Payne,OKC,DAL,,25:10,0.125,0.146,0.188,0.0,0.136,0.273,0.1,0.6,0.0,0.2,0.182,6,0.667,2,3,0.667,0,0.0,3,3,3,0,1,3,10,5,24.0,4,51,44,0.0682,2,0.5,106.1,93.1,13.0,0.188,0.07,0.833,100.67,0.5,0.5,0.4,0.6,0.2,0.2,0.25,0.75,0.442,0.302,0.186,0.217,2,3,3,2,6,6,6,28,6,1,
2016-01-15,Cameron Payne,OKC,MIN,,23:49,0.227,0.224,0.167,0.091,0.118,0.5,1.0,0.571,0.25,0.091,0.25,11,0.545,1,2,0.5,1,1.0,2,5,4,1,1,1,14,3,32.75,3,64,50,0.1,4,0.75,117.1,117.7,-0.6,0.278,0.049,0.591,93.59,0.818,0.182,0.714,0.214,0.0,0.571,0.167,0.833,0.5,0.41,0.155,0.444,0,2,0,8,2,13,5,24,13,1,ESPN
2016-01-17,Cameron Payne,OKC,MIA,,14:37,0.096,0.107,0.143,0.0,0.333,0.4,0.0,0.5,0.0,0.333,0.0,3,0.0,0,1,0.0,0,0.0,3,2,1,0,0,2,0,10,8.25,4,28,24,0.0833,2,0.0,109.5,84.8,24.6,0.154,0.13,0.0,87.16,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.567,0.267,0.404,0.25,0,0,0,0,5,5,0,6,5,0,
2016-01-19,Cameron Payne,OKC,DEN,,20:28,0.175,0.188,0.353,0.0,0.138,0.462,0.25,0.8,0.0,0.25,0.0,9,0.0,0,6,0.0,0,0.0,4,6,4,0,1,2,0,12,20.0,5,39,27,0.2222,3,0.0,99.4,76.6,22.8,0.353,0.08,0.0,106.33,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.286,0.203,0.182,0,0,0,0,5,5,6,12,5,1,
2016-01-20,Cameron Payne,OKC,CHA,,22:51,0.188,0.235,0.231,0.083,0.25,0.3,0.091,0.0,0.0,0.0,0.159,8,0.375,1,3,0.333,1,0.0,5,3,0,0,1,0,7,-5,17.0,5,48,34,0.0882,5,0.4,97.2,107.6,-10.5,0.25,0.125,0.438,95.37,0.625,0.375,0.571,0.429,0.0,0.286,0.333,0.667,0.525,0.2,0.154,0.25,0,0,2,2,11,6,5,18,6,1,
2016-01-22,Cameron Payne,OKC,DAL,,13:24,0.363,0.37,0.5,0.0,0.118,0.6,0.667,0.0,0.0,0.5,0.211,10,0.4,0,4,0.0,0,0.0,2,3,0,0,2,2,8,12,13.25,4,39,24,0.125,3,0.333,145.7,97.2,48.5,0.273,0.087,0.4,94.64,0.6,0.4,1.0,0.0,0.0,0.5,0.0,1.0,0.44,0.16,0.075,0.167,0,2,0,4,2,2,5,8,2,0,
