DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Carmelo Anthony,NYK,HOU,F,22:02,0.324,0.325,0.091,0.286,0.118,0.0,0.333,0.0,0.0,0.214,0.213,13,0.308,0,1,0.0,2,1.0,2,0,0,0,2,3,10,-21,11.5,0,0,0,,0,0.0,99.8,138.3,-38.5,0.0,0.054,0.308,104.83,0.923,0.077,0.8,0.0,0.0,0.0,0.25,0.75,0.695,0.341,0.061,0.063,0,0,0,0,7,5,5,22,5,1,ESPN
2016-10-08,Carmelo Anthony,NYK,BKN,F,19:04,0.302,0.344,0.4,0.333,0.222,0.429,0.0,0.333,0.5,0.111,0.4,11,0.545,2,4,0.5,4,0.5,4,3,1,1,0,1,16,4,29.75,0,0,0,,0,0.0,104.5,93.8,10.7,0.333,0.114,0.636,96.52,0.636,0.364,0.5,0.375,0.0,0.125,0.333,0.667,0.483,0.333,0.182,0.176,0,0,2,2,5,7,7,14,7,4,
2016-10-10,Carmelo Anthony,NYK,WAS,F,25:21,0.234,0.256,0.294,0.333,0.174,0.167,0.154,0.25,0.333,0.25,0.38,11,0.636,4,5,0.8,1,1.0,4,2,1,1,2,2,19,2,31.5,0,0,0,,0,0.0,95.6,91.2,4.4,0.154,0.089,0.818,99.37,0.545,0.455,0.316,0.632,0.158,0.211,0.286,0.714,0.457,0.128,0.171,0.25,3,0,0,4,9,9,5,24,9,4,NBA TV
2016-10-15,Carmelo Anthony,NYK,BOS,F,22:37,0.333,0.4,0.333,0.333,0.133,0.0,0.154,0.0,0.0,0.3,0.313,14,0.357,1,3,0.333,4,1.0,2,0,0,0,2,3,15,-14,17.0,0,0,0,,0,0.0,99.4,136.9,-37.5,0.0,0.077,0.393,99.28,0.786,0.214,0.533,0.2,0.133,0.267,0.4,0.6,0.743,0.324,0.133,0.231,2,0,4,4,18,2,15,18,2,3,NBA TV
2016-10-20,Carmelo Anthony,NYK,BKN,F,29:31,0.292,0.305,0.4,0.2,0.118,0.188,0.267,0.25,0.0,0.182,0.296,18,0.444,3,6,0.5,2,1.0,4,3,2,0,4,2,21,13,33.25,0,0,0,,0,0.0,103.8,88.1,15.7,0.136,0.075,0.528,109.14,0.667,0.333,0.476,0.429,0.571,0.286,0.375,0.625,0.5,0.229,0.228,0.077,12,4,3,6,23,3,8,28,3,2,NBA TV
2015-10-28,Carmelo Anthony,NYK,MIL,F,29:16,0.251,0.276,0.294,0.095,0.188,0.357,0.25,0.125,0.25,0.19,0.169,16,0.25,1,5,0.2,2,1.0,6,5,1,1,2,4,11,4,28.25,11,69,49,0.102,11,0.273,104.4,97.1,7.3,0.294,0.091,0.281,102.54,0.688,0.313,0.545,0.273,0.0,0.545,0.5,0.5,0.398,0.37,0.191,0.387,0,2,0,6,10,15,4,20,15,3,
2015-10-29,Carmelo Anthony,NYK,ATL,F,31:54,0.329,0.38,0.318,0.385,0.2,0.273,0.067,0.375,0.0,0.222,0.385,27,0.37,0,7,0.0,5,1.0,7,3,3,0,1,4,25,-18,43.0,11,61,29,0.1034,19,0.474,83.6,112.5,-28.8,0.2,0.111,0.37,114.0,0.741,0.259,0.8,0.0,0.16,0.64,0.2,0.8,0.568,0.339,0.149,0.192,4,6,4,16,21,5,22,38,5,6,TNT
2015-10-31,Carmelo Anthony,NYK,WAS,F,35:45,0.286,0.273,0.313,0.571,0.219,0.25,0.154,0.0,0.25,0.167,0.42,18,0.611,4,5,0.8,12,0.917,7,4,0,1,2,3,37,6,53.75,12,66,35,0.1143,14,0.571,108.3,97.1,11.2,0.2,0.109,0.722,111.23,0.722,0.278,0.378,0.324,0.162,0.0,0.455,0.545,0.462,0.394,0.154,0.194,6,0,2,0,15,8,25,34,8,10,
2015-11-02,Carmelo Anthony,NYK,SAS,F,35:28,0.282,0.25,0.231,0.8,0.175,0.154,0.125,0.167,0.0,0.25,0.339,17,0.235,1,3,0.333,12,0.833,7,2,1,0,1,3,19,-9,32.25,12,59,36,0.0556,12,0.083,85.4,100.1,-14.7,0.125,0.093,0.265,88.35,0.824,0.176,0.316,0.158,0.0,0.105,0.5,0.5,0.492,0.153,0.139,0.233,0,0,4,2,6,4,0,42,4,6,
2015-11-04,Carmelo Anthony,NYK,CLE,F,36:50,0.255,0.269,0.238,0.4,0.343,0.333,0.1,0.333,0.333,0.25,0.258,18,0.333,2,5,0.4,4,0.75,12,4,1,2,1,4,17,-11,43.5,17,61,35,0.1143,9,0.222,89.9,97.5,-7.6,0.2,0.169,0.389,99.3,0.722,0.278,0.471,0.353,0.059,0.235,0.333,0.667,0.433,0.373,0.089,0.182,1,0,4,4,17,14,20,26,14,3,ESPN
