DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-11-01,Chandler Parsons,DAL,LAL,F,11:52,0.251,0.261,0.1,0.0,0.25,0.375,0.0,1.0,0.0,0.4,0.074,6,0.167,0,1,0.0,0,0.0,3,3,1,0,0,2,2,12,11.5,7,26,18,0.1667,6,0.167,118.0,67.9,50.1,0.333,0.13,0.167,90.93,0.833,0.167,1.0,0.0,0.0,1.0,0.0,1.0,0.222,0.389,0.136,0.154,0,0,0,2,0,2,0,2,2,1,
2015-11-03,Chandler Parsons,DAL,TOR,F,14:17,0.282,0.214,0.5,0.667,0.133,0.125,0.5,0.0,0.0,0.167,0.321,6,0.5,2,3,0.667,4,0.25,2,1,0,0,2,1,9,-2,12.75,4,22,11,0.0909,5,0.6,94.5,103.4,-9.0,0.125,0.071,0.667,98.53,0.5,0.5,0.222,0.667,0.0,0.222,0.667,0.333,0.556,0.0,0.172,0.231,0,1,0,2,2,2,2,18,2,2,
2015-11-05,Chandler Parsons,DAL,CHA,,14:13,0.161,0.192,0.273,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.091,5,0.2,0,3,0.0,0,0.0,1,0,1,0,0,0,2,-16,5.25,4,24,18,0.0,3,0.333,78.3,125.3,-47.0,0.0,0.036,0.2,98.59,0.4,0.6,1.0,0.0,0.0,0.0,1.0,0.0,0.7,0.12,0.198,0.222,0,0,0,0,8,0,2,22,0,1,
2015-11-07,Chandler Parsons,DAL,NOP,F,14:59,0.188,0.214,0.125,0.0,0.125,0.0,0.143,0.0,0.0,0.333,0.261,6,0.5,0,1,0.0,0,0.0,2,0,0,0,1,2,6,-9,8.0,3,28,19,0.0,5,0.6,67.3,100.4,-33.1,0.0,0.065,0.5,105.87,0.833,0.167,1.0,0.0,0.333,0.667,0.333,0.667,0.536,0.071,0.125,0.071,2,0,2,4,9,2,5,8,2,0,
2015-11-10,Chandler Parsons,DAL,NOP,F,16:43,0.17,0.172,0.2,0.0,0.429,0.143,0.25,0.0,0.0,0.167,0.097,5,0.2,1,2,0.5,0,0.0,6,1,0,0,1,1,3,-10,11.75,8,31,21,0.0476,1,0.0,93.4,118.4,-25.0,0.091,0.182,0.3,97.4,0.6,0.4,0.0,1.0,1.0,0.0,1.0,0.0,0.576,0.182,0.087,0.25,3,0,0,0,9,10,11,18,10,2,
2015-11-13,Chandler Parsons,DAL,LAL,F,17:51,0.184,0.176,0.2,0.0,0.167,0.0,0.4,0.25,0.0,0.333,0.257,6,0.667,1,2,0.5,0,0.0,3,0,1,0,2,2,9,-1,14.25,3,34,26,0.0,2,0.5,88.8,95.6,-6.8,0.0,0.077,0.75,103.58,0.667,0.333,0.667,0.333,0.0,0.444,0.5,0.5,0.485,0.182,0.186,0.263,0,2,0,4,9,2,8,4,2,0,
2015-11-16,Chandler Parsons,DAL,PHI,F,20:43,0.267,0.297,0.444,0.273,0.25,0.125,0.125,0.2,0.5,0.0,0.541,11,0.727,1,4,0.25,3,1.0,5,1,1,1,1,0,20,6,31.5,5,43,27,0.037,4,1.0,80.7,68.6,12.1,0.167,0.125,0.773,105.47,0.636,0.364,0.7,0.15,0.45,0.4,0.625,0.375,0.406,0.156,0.31,0.158,9,10,0,8,8,6,5,16,6,2,
2015-11-18,Chandler Parsons,DAL,BOS,F,21:21,0.21,0.176,0.0,0.235,0.118,0.0,0.4,0.0,0.667,0.125,0.182,6,0.667,0,0,0.0,4,0.0,2,0,0,2,2,1,8,-1,13.5,3,43,32,0.0,3,0.333,103.6,99.4,4.2,0.0,0.053,0.667,98.65,1.0,0.0,1.0,0.0,0.25,0.25,0.5,0.5,0.45,0.3,0.133,0.316,2,2,0,2,6,8,0,24,8,3,
2015-11-20,Chandler Parsons,DAL,UTA,F,22:10,0.227,0.229,0.286,0.0,0.133,0.182,0.4,0.0,0.0,0.25,0.184,8,0.5,1,4,0.25,0,0.0,2,2,0,0,2,2,9,14,13.5,4,32,20,0.1,3,0.667,114.1,81.9,32.2,0.143,0.057,0.563,92.81,0.5,0.5,0.667,0.333,0.222,0.667,0.75,0.25,0.444,0.111,0.281,0.333,2,3,0,6,2,3,6,12,3,1,
2015-11-22,Chandler Parsons,DAL,OKC,F,24:17,0.174,0.237,0.222,0.111,0.15,0.0,0.0,0.0,0.0,0.111,0.197,9,0.556,2,2,1.0,2,0.0,3,0,0,0,0,1,12,8,16.75,5,39,27,0.0,6,0.5,113.1,99.0,14.1,0.0,0.079,0.667,106.19,0.778,0.222,0.5,0.5,0.167,0.5,0.4,0.6,0.511,0.178,0.206,0.261,2,0,0,6,12,7,14,22,7,1,
