DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-05,Channing Frye,CLE,ORL,,11:37,0.379,0.4,0.5,0.0,0.2,0.2,0.5,1.0,1.0,0.333,0.387,8,0.625,2,2,1.0,0,0.0,2,2,1,1,1,2,12,15,21.5,0,0,0,,0,0.0,130.5,65.3,65.2,0.286,0.105,0.75,99.75,0.75,0.25,0.5,0.5,0.667,0.333,1.0,0.0,0.294,0.471,0.204,0.091,8,0,0,4,2,2,2,10,2,1,NBA TV
2016-10-08,Channing Frye,CLE,PHI,,11:23,0.251,0.273,0.5,0.0,0.375,0.111,0.0,0.0,1.0,0.143,0.56,6,0.833,4,4,1.0,0,0.0,3,1,0,1,0,1,14,4,23.0,0,0,0,,0,0.0,104.7,106.9,-2.2,0.2,0.143,1.167,91.76,0.333,0.667,0.143,0.857,0.0,0.143,1.0,0.0,0.444,0.333,0.051,0.2,0,0,0,2,0,2,0,12,2,0,NBA TV
2016-10-13,Channing Frye,CLE,TOR,,3:49,0.286,0.167,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,1,0,0,-5,-0.5,0,0,0,,0,0.0,57.1,114.2,-57.1,0.0,0.0,0.0,93.57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,0.222,0.0,0.4,0,0,0,0,2,5,4,4,5,0,TNT
2016-10-18,Channing Frye,CLE,WAS,,13:29,0.164,0.217,0.4,0.0,0.071,0.5,0.0,0.0,0.5,0.2,0.0,5,0.0,0,4,0.0,0,0.0,1,2,0,1,0,2,0,-1,5.75,0,0,0,,0,0.0,74.8,85.3,-10.5,0.25,0.032,0.0,100.32,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0.391,0.111,0.188,0,0,0,0,2,2,0,8,2,0,
2015-11-01,Channing Frye,ORL,CHI,,9:20,0.128,0.125,0.286,0.25,0.333,0.333,0.0,0.0,0.0,0.0,0.067,2,0.0,0,2,0.0,2,0.5,2,1,0,0,0,0,1,-5,4.75,3,19,15,0.0667,0,0.0,73.1,106.6,-33.5,0.25,0.105,0.0,101.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529,0.235,0.16,0.429,0,0,0,0,5,5,4,10,5,1,
2015-11-06,Channing Frye,ORL,TOR,,14:12,0.181,0.19,0.5,0.0,0.231,0.0,0.25,0.0,0.0,0.3,0.208,4,0.5,1,3,0.333,0,0.0,3,0,0,0,1,3,5,6,8.75,6,23,18,0.0,2,0.5,93.6,69.3,24.3,0.0,0.115,0.625,87.17,0.25,0.75,0.4,0.6,0.6,0.0,1.0,0.0,0.208,0.375,0.116,0.313,3,0,0,0,0,4,0,4,4,2,
2015-11-09,Channing Frye,ORL,IND,,22:39,0.254,0.278,0.474,0.0,0.471,0.0,0.222,0.0,0.0,0.357,0.389,10,0.5,4,9,0.444,0,0.0,8,0,0,0,2,5,14,-16,25.0,11,43,30,0.0,2,0.5,79.6,116.3,-36.6,0.0,0.216,0.7,95.28,0.1,0.9,0.143,0.857,0.429,0.143,0.8,0.2,0.583,0.361,0.157,0.211,6,0,2,2,13,5,6,18,5,0,
2015-11-11,Channing Frye,ORL,LAL,,16:09,0.196,0.206,0.2,0.0,0.357,0.0,0.0,0.5,0.333,0.125,0.389,7,0.857,2,2,1.0,0,0.0,5,0,1,1,0,1,14,1,25.25,7,31,23,0.0,5,0.8,121.0,112.2,8.8,0.0,0.167,1.0,90.59,0.714,0.286,0.571,0.429,0.143,0.429,0.667,0.333,0.554,0.179,0.16,0.333,2,2,4,6,0,4,0,8,4,0,
2015-11-13,Channing Frye,ORL,UTA,F,23:16,0.168,0.194,0.429,0.111,0.185,0.111,0.111,0.0,0.0,0.0,0.14,7,0.286,2,6,0.333,2,1.0,5,1,0,0,1,0,8,23,16.0,9,39,31,0.0323,1,0.0,121.5,71.4,50.1,0.071,0.119,0.429,97.54,0.143,0.857,0.0,0.75,0.0,0.0,1.0,0.0,0.385,0.154,0.189,0.125,0,0,0,0,8,4,6,18,4,4,
2015-11-14,Channing Frye,ORL,WAS,F,16:18,0.113,0.129,0.5,0.0,0.214,0.222,0.0,0.0,0.0,0.5,0.135,4,0.5,1,3,0.333,0,0.0,3,2,0,0,0,3,5,1,11.75,5,25,20,0.1,4,0.5,107.4,113.8,-6.3,0.133,0.103,0.625,97.3,0.25,0.75,0.4,0.6,0.0,0.4,1.0,0.0,0.533,0.2,0.063,0.188,0,2,0,2,2,2,12,14,2,0,
