DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-05,Chris Andersen,CLE,ORL,C,12:49,0.173,0.105,0.0,0.5,0.111,0.182,0.2,0.0,0.5,0.167,0.171,2,0.5,0,0,0.0,4,1.0,1,2,0,1,1,1,6,10,11.25,0,0,0,,0,0.0,127.2,97.5,29.7,0.182,0.053,0.5,99.55,1.0,0.0,0.333,0.0,0.0,0.0,1.0,0.0,0.452,0.286,0.234,0.308,0,2,0,0,2,0,2,10,0,2,NBA TV
2016-10-08,Chris Andersen,CLE,PHI,C,16:02,0.053,0.032,0.0,0.5,0.333,0.308,0.0,0.0,0.0,0.2,0.1,1,1.0,0,0,0.0,2,1.0,6,4,0,0,0,1,4,19,16.5,0,0,0,,0,0.0,115.1,62.6,52.4,0.25,0.2,1.0,102.21,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.232,0.286,0.119,0.105,0,0,2,2,2,2,5,10,2,1,NBA TV
2016-10-13,Chris Andersen,CLE,TOR,,9:14,0.169,0.2,0.25,0.333,0.5,0.333,0.0,1.0,0.0,0.0,0.294,3,0.667,0,1,0.0,1,1.0,3,1,1,0,0,0,5,-10,12.0,0,0,0,,0,0.0,92.8,153.1,-60.3,0.2,0.231,0.667,93.47,0.667,0.333,0.8,0.0,0.0,0.8,0.5,0.5,0.656,0.375,0.057,0.333,0,0,2,4,6,5,8,10,5,1,TNT
2016-10-18,Chris Andersen,CLE,WAS,,8:09,0.052,0.063,0.0,0.0,0.4,0.333,0.0,0.0,0.5,0.0,0.0,1,0.0,0,0,0.0,0,0.0,4,2,0,1,0,0,0,6,9.5,0,0,0,,0,0.0,103.7,80.8,22.9,0.286,0.235,0.0,101.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.538,0.062,0.1,0,0,0,0,2,0,0,4,0,0,
2015-11-03,Chris Andersen,MIA,ATL,,10:09,0.162,0.059,0.0,1.0,0.364,0.0,0.333,0.0,0.0,0.25,0.15,1,1.0,0,0,0.0,2,0.5,4,0,0,0,2,1,3,8,7.0,6,14,11,0.0,1,1.0,91.4,57.8,33.6,0.0,0.235,1.0,100.82,1.0,0.0,0.667,0.0,0.0,0.667,0.0,1.0,0.267,0.267,0.289,0.182,0,0,2,2,3,2,0,2,2,2,NBA TV
2015-11-05,Chris Andersen,MIA,MIN,,2:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-5,0.0,0,2,2,0.0,0,0.0,69.4,175.0,-105.6,0.0,0.0,0.0,66.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167,0.0,0.25,0.0,0,0,0,0,4,0,0,4,0,0,
2015-11-25,Chris Andersen,MIA,DET,,4:12,0.143,0.143,0.5,0.0,0.333,0.2,0.0,0.0,0.0,0.0,0.25,1,1.0,1,1,1.0,0,0.0,1,1,0,0,0,0,3,5,6.0,3,5,4,0.25,0,0.0,171.4,100.0,71.4,0.25,0.125,1.5,80.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.389,0.0,0.143,0.5,0,3,0,0,0,2,0,2,2,0,
2016-01-01,Chris Andersen,MIA,DAL,,2:58,0.254,0.4,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,1,0.0,0,0.0,1,0,0,0,0,0,0,1,1.25,1,5,2,0.0,1,0.0,102.5,80.0,22.5,0.0,0.2,0.0,79.93,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0,0,0,0,0,0,0,2,0,0,
2016-01-03,Chris Andersen,MIA,WAS,,3:43,0.365,0.4,0.667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,2,0.0,0,2,0.0,2,1.0,0,0,0,1,0,0,2,-5,4.0,1,8,4,0.0,0,0.0,50.8,114.2,-63.5,0.0,0.0,0.0,101.77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583,0.333,0.127,0.0,0,0,0,0,4,0,2,2,0,1,
2016-01-04,Chris Andersen,MIA,IND,C,9:55,0.145,0.188,0.0,0.0,0.5,0.333,0.0,1.0,1.0,0.429,0.125,3,0.333,0,0,0.0,0,0.0,2,1,1,1,0,3,2,-24,9.75,5,16,13,0.0769,2,0.5,81.5,199.2,-117.7,0.2,0.125,0.333,96.13,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.868,0.368,0.05,0.5,0,0,2,2,7,4,6,8,4,1,NBA TV
