DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Chris Paul,LAC,GSW,G,12:47,0.199,0.158,0.2,0.333,0.143,0.25,0.286,0.0,0.0,0.5,0.091,3,0.0,0,1,0.0,1,1.0,1,1,0,0,2,5,1,-29,2.5,0,0,0,,0,0.0,41.8,166.1,-124.3,0.25,0.048,0.0,94.62,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.795,0.318,0.083,0.333,0,0,0,0,13,7,2,10,7,3,ESPN
2016-10-05,Chris Paul,LAC,TOR,G,26:59,0.189,0.095,0.214,0.417,0.261,0.6,0.417,0.429,0.0,0.385,0.1,4,0.25,1,3,0.333,5,0.8,6,15,3,0,5,5,7,15,37.25,0,0,0,,0,0.0,126.6,100.1,26.5,0.577,0.176,0.375,98.02,0.25,0.75,0.0,0.429,0.143,0.0,1.0,0.0,0.554,0.486,0.2,0.05,1,0,0,0,12,0,15,18,0,2,
2016-10-10,Chris Paul,LAC,UTA,G,27:40,0.227,0.222,0.294,0.308,0.158,0.455,0.2,0.375,0.0,0.071,0.255,10,0.4,2,5,0.4,4,1.0,3,5,3,0,2,1,14,11,30.0,0,0,0,,0,0.0,98.7,81.7,17.0,0.333,0.07,0.5,95.04,0.5,0.5,0.286,0.429,0.357,0.286,0.0,1.0,0.5,0.306,0.316,0.222,5,0,3,4,8,2,4,18,2,4,NBA TV
2016-10-13,Chris Paul,LAC,POR,G,23:04,0.226,0.225,0.143,0.167,0.158,0.588,0.333,0.5,0.0,0.118,0.161,9,0.333,0,1,0.0,4,1.0,3,10,3,0,2,2,10,7,31.25,0,0,0,,0,0.0,115.8,102.6,13.1,0.556,0.079,0.333,111.5,0.889,0.111,0.6,0.0,0.2,0.6,0.667,0.333,0.551,0.385,0.187,0.111,2,4,0,6,8,2,2,22,2,1,TNT
2016-10-18,Chris Paul,LAC,SAC,G,26:04,0.194,0.143,0.2,0.429,0.2,0.4,0.375,0.6,0.0,0.333,0.136,6,0.333,1,3,0.333,3,1.0,4,8,3,0,3,2,8,19,28.0,0,0,0,,0,0.0,117.8,77.3,40.5,0.381,0.095,0.417,93.77,0.5,0.5,0.25,0.375,0.0,0.0,0.5,0.5,0.451,0.098,0.27,0.227,0,0,2,0,6,8,2,14,8,2,ESPN
2015-10-28,Chris Paul,LAC,SAC,G,36:34,0.219,0.215,0.267,0.261,0.147,0.579,0.2,0.333,0.0,0.063,0.191,14,0.429,1,4,0.25,6,0.833,5,11,2,0,2,1,18,15,41.5,11,95,73,0.1507,5,0.4,117.3,95.0,22.3,0.355,0.072,0.464,107.17,0.714,0.286,0.556,0.167,0.0,0.0,0.167,0.833,0.493,0.194,0.168,0.237,0,0,0,0,13,12,4,38,12,3,
2015-10-29,Chris Paul,LAC,DAL,G,24:23,0.162,0.19,0.267,0.111,0.103,0.385,0.0,0.333,0.0,0.143,0.158,8,0.375,1,4,0.25,2,1.0,3,5,1,0,0,1,9,15,21.5,6,55,40,0.125,2,0.5,111.9,83.7,28.3,0.278,0.055,0.438,99.56,0.5,0.5,0.444,0.333,0.444,0.222,0.333,0.667,0.352,0.093,0.1,0.306,4,2,0,2,2,10,0,12,10,4,TNT
2015-10-31,Chris Paul,LAC,SAC,G,38:28,0.233,0.206,0.455,0.19,0.167,0.44,0.455,0.25,0.0,0.118,0.16,13,0.385,1,5,0.2,8,0.75,6,11,1,0,5,2,17,19,38.25,9,98,70,0.1571,7,0.571,122.6,99.9,22.7,0.344,0.083,0.423,108.31,0.615,0.385,0.471,0.176,0.059,0.235,0.0,1.0,0.45,0.288,0.126,0.318,1,3,3,4,19,16,7,44,16,8,NBA TV
2015-11-02,Chris Paul,LAC,PHX,G,30:47,0.314,0.283,0.154,0.133,0.103,0.455,0.714,1.0,0.0,0.231,0.27,15,0.467,1,2,0.5,2,1.0,3,5,1,0,5,3,17,-4,27.0,5,74,49,0.102,5,0.4,99.1,103.9,-4.9,0.313,0.045,0.5,99.86,0.867,0.133,0.706,0.176,0.235,0.235,0.286,0.714,0.444,0.274,0.078,0.278,4,0,2,4,9,11,10,34,11,3,
2015-11-04,Chris Paul,LAC,GSW,G,30:53,0.272,0.263,0.176,0.389,0.107,0.474,0.222,0.75,0.0,0.235,0.312,15,0.6,1,3,0.333,7,0.714,3,9,3,0,2,4,24,-2,44.5,8,84,57,0.1579,8,0.375,115.1,115.8,-0.7,0.45,0.056,0.633,105.05,0.8,0.2,0.667,0.125,0.208,0.5,0.333,0.667,0.543,0.362,0.117,0.25,5,5,2,12,9,9,15,24,9,6,ESPN
