DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Christian Wood,CHA,DAL,,9:26,0.142,0.133,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,0.182,2,1.0,0,0,0.0,0,0.0,4,0,0,0,1,0,4,7,8.5,0,0,0,,0,0.0,109.6,75.9,33.7,0.0,0.2,1.0,101.36,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.412,0.235,0.101,0.083,0,0,0,4,3,0,0,4,0,0,
2016-10-06,Christian Wood,CHA,BOS,,9:08,0.04,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0,0.0,2,1.0,0,0,0,0,0,0,2,6,2.0,0,0,0,,0,0.0,99.0,70.9,28.2,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.267,0.202,0.1,0,0,0,0,5,0,2,6,0,1,
2016-10-08,Christian Wood,CHA,BOS,,18:57,0.328,0.323,0.286,0.417,0.333,0.143,0.286,0.0,0.5,0.667,0.394,10,0.5,0,2,0.0,5,0.6,7,1,0,1,2,2,13,-2,24.0,0,0,0,,0,0.0,84.0,87.8,-3.8,0.125,0.189,0.5,100.26,0.8,0.2,0.769,0.0,0.154,0.769,0.6,0.4,0.434,0.053,0.1,0.15,2,2,4,10,15,2,4,18,2,5,NBA TV
2016-10-17,Christian Wood,CHA,CHI,,9:50,0.048,0.056,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.111,1,1.0,0,0,0.0,0,0.0,1,0,0,0,0,0,2,3,3.25,0,0,0,,0,0.0,95.9,83.9,12.1,0.0,0.048,1.0,89.43,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.342,0.105,0.112,0.333,0,0,0,2,0,4,0,8,4,0,NBA TV
2016-10-21,Christian Wood,CHA,MIN,,26:37,0.233,0.205,0.5,0.286,0.167,0.4,0.333,0.167,0.0,0.273,0.167,9,0.222,0,5,0.0,4,0.75,3,2,1,0,3,3,7,-11,13.75,0,0,0,,0,0.0,76.1,98.7,-22.5,0.143,0.062,0.222,98.19,0.444,0.556,0.571,0.0,0.286,0.571,0.5,0.5,0.512,0.302,0.205,0.3,2,2,2,4,12,8,13,28,8,3,NBA TV
2015-10-28,Christian Wood,PHI,BOS,,5:36,0.162,0.222,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,-12,2.5,6,12,10,0.0,2,0.0,67.8,132.7,-64.9,0.0,0.167,0.0,105.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.214,0.07,0.4,0,0,0,0,7,6,3,8,6,0,
2015-10-30,Christian Wood,PHI,UTA,,5:28,0.252,0.2,0.5,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1,0.0,0,1,0.0,4,0.75,0,0,0,0,0,0,3,-5,3.0,2,11,8,0.0,0,0.0,82.1,117.8,-35.7,0.0,0.0,0.0,100.27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.154,0.084,0.5,0,0,0,0,2,6,2,10,6,3,
2015-11-02,Christian Wood,PHI,CLE,,5:05,0.287,0.3,0.5,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.238,3,0.667,1,1,1.0,0,0.0,0,1,0,0,0,0,5,11,6.75,1,8,4,0.25,2,0.5,201.1,92.9,108.2,0.143,0.0,0.833,100.09,0.667,0.333,0.4,0.6,0.4,0.4,1.0,0.0,0.5,0.571,0.186,0.0,2,0,0,2,0,2,1,0,2,1,
2015-11-06,Christian Wood,PHI,CLE,,0:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,3,0.0,0,0,0,,0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,64.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-07,Christian Wood,PHI,ORL,,0:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,-1,0.0,0,0,0,,0,0.0,113.6,106.4,7.3,0.0,0.0,0.0,185.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-09,Christian Wood,PHI,CHI,,21:30,0.198,0.213,0.071,0.222,0.32,0.0,0.111,0.25,0.0,0.25,0.257,10,0.4,0,1,0.0,2,0.5,8,0,1,0,1,1,9,-9,20.5,17,33,19,0.0,7,0.429,66.1,90.5,-24.4,0.0,0.157,0.4,113.41,0.9,0.1,0.889,0.0,0.0,0.667,0.75,0.25,0.463,0.146,0.185,0.182,0,0,4,6,9,3,15,16,3,2,NBA TV
2015-11-11,Christian Wood,PHI,TOR,,15:36,0.193,0.226,0.091,0.0,0.25,0.1,0.0,0.0,0.0,0.143,0.103,7,0.286,0,1,0.0,0,0.0,3,1,0,0,0,1,4,0,9.0,9,24,16,0.0625,4,0.5,117.5,117.2,0.3,0.077,0.097,0.286,102.28,0.857,0.143,1.0,0.0,0.5,1.0,1.0,0.0,0.5,0.414,0.12,0.357,2,2,0,4,3,6,7,20,6,3,
2015-11-13,Christian Wood,PHI,OKC,,18:47,0.201,0.212,0.143,0.385,0.533,0.0,0.0,0.167,1.0,0.143,0.375,7,0.714,1,1,1.0,5,0.8,8,0,1,2,0,1,15,1,31.5,11,34,25,0.0,5,0.6,100.7,92.2,8.5,0.0,0.229,0.786,104.75,0.857,0.143,0.533,0.2,0.533,0.4,0.4,0.6,0.408,0.316,0.166,0.471,8,3,4,6,6,9,8,20,9,4,
2015-11-14,Christian Wood,PHI,SAS,,13:16,0.168,0.185,0.25,0.0,0.308,0.0,0.0,0.5,0.0,0.429,0.25,5,0.4,1,2,0.5,0,0.0,4,0,1,0,0,3,5,-5,12.5,10,27,22,0.0,1,1.0,72.0,91.2,-19.2,0.0,0.118,0.5,99.74,0.6,0.4,0.4,0.6,0.0,0.4,0.5,0.5,0.348,0.435,0.109,0.214,0,0,0,2,1,6,2,10,6,0,
2015-11-18,Christian Wood,PHI,IND,,10:41,0.117,0.1,0.0,0.0,0.3,0.2,0.333,0.333,0.667,0.333,0.065,2,0.5,0,0,0.0,0,0.0,3,1,1,2,1,2,2,3,12.5,6,17,14,0.0714,1,1.0,120.9,110.2,10.7,0.083,0.15,0.5,114.66,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.525,0.5,0.118,0.167,2,2,0,2,4,2,9,12,2,0,
2015-11-20,Christian Wood,PHI,CHA,,4:04,0.125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,1,0,0,0,-13,2.0,1,8,7,0.0,1,0.0,37.5,203.0,-165.5,0.0,0.0,0.0,93.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.25,0.0,0.5,0,0,0,0,4,2,0,8,2,0,
2015-12-02,Christian Wood,PHI,NYK,,2:11,0.13,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.143,0,0.0,0,0,0.0,2,0.5,1,0,0,0,0,0,1,5,2.25,2,3,2,0.0,0,0.0,121.5,34.0,87.5,0.0,0.2,0.0,127.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.17,0.0,1,0,1,0,2,0,0,0,0,1,
2015-12-14,Christian Wood,PHI,CHI,,8:01,0.249,0.294,0.286,0.0,0.286,0.0,0.0,1.0,0.0,0.0,0.226,5,0.6,1,2,0.5,0,0.0,2,0,1,0,0,0,7,8,12.0,4,19,13,0.0,1,1.0,171.5,127.8,43.7,0.0,0.143,0.7,108.01,0.6,0.4,0.571,0.429,0.429,0.571,1.0,0.0,0.639,0.0,0.111,0.286,3,0,0,4,0,2,2,8,2,0,
2015-12-16,Christian Wood,PHI,ATL,,2:29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,-2,1.25,1,5,5,0.0,0,0.0,102.5,180.4,-78.0,0.0,0.25,0.0,84.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.667,0.0,0.0,0,0,0,0,0,0,0,2,0,0,
2016-03-27,Christian Wood,PHI,GSW,,4:37,0.106,0.111,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0,1,0,-9,0.0,0,9,5,0.0,0,0.0,95.3,172.4,-77.1,0.0,0.0,0.0,103.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.063,0.125,0.192,0.0,0,0,0,0,0,3,3,6,3,1,
2016-03-29,Christian Wood,PHI,CHA,,6:52,0.222,0.235,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.2,4,0.25,0,0,0.0,0,0.0,1,0,0,0,0,0,2,-2,3.25,4,11,7,0.0,2,0.5,62.5,75.6,-13.1,0.0,0.056,0.25,111.43,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.417,0.167,0.315,0.333,0,0,0,2,2,4,0,8,4,0,
2016-04-12,Christian Wood,PHI,TOR,,19:27,0.196,0.156,0.063,0.8,0.385,0.0,0.0,0.0,0.667,0.167,0.267,5,0.4,0,1,0.0,8,0.5,5,0,0,2,0,1,8,-22,18.25,9,34,23,0.0,4,0.5,74.3,122.0,-47.7,0.0,0.135,0.4,102.47,0.8,0.2,0.5,0.0,0.25,0.5,0.0,1.0,0.561,0.146,0.141,0.412,2,0,2,4,11,13,8,20,13,5,
