DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-02,Clint Capela,HOU,SDS,C,19:58,0.232,0.222,0.0,0.667,0.478,0.067,0.0,0.333,1.0,0.25,0.238,8,0.625,0,0,0.0,6,0.0,11,1,2,2,0,1,10,11,33.0,0,0,0,,0,0.0,102.5,70.8,31.7,0.077,0.275,0.625,101.83,1.0,0.0,1.0,0.0,0.4,1.0,1.0,0.0,0.409,0.121,0.229,0.053,4,4,2,10,7,2,7,18,2,3,NBA TV
2016-10-04,Clint Capela,HOU,NYK,C,19:08,0.168,0.179,0.0,0.0,0.2,0.083,0.333,0.5,0.5,0.2,0.102,7,0.429,0,0,0.0,0,0.0,4,1,1,1,1,2,6,23,15.75,0,0,0,,0,0.0,129.0,85.6,43.5,0.059,0.111,0.429,110.13,1.0,0.0,1.0,0.0,0.333,1.0,1.0,0.0,0.405,0.189,0.143,0.182,2,0,0,6,2,5,0,12,5,0,ESPN
2016-10-09,Clint Capela,HOU,NOP,C,20:53,0.221,0.257,0.0,0.143,0.368,0.1,0.125,0.333,0.333,0.188,0.273,9,0.667,0,0,0.0,2,0.0,7,1,1,1,1,3,12,-1,25.5,0,0,0,,0,0.0,97.4,97.0,0.4,0.1,0.179,0.667,105.22,1.0,0.0,1.0,0.0,0.167,1.0,0.833,0.167,0.487,0.263,0.172,0.211,2,0,2,12,6,3,4,32,3,1,NBA TV
2016-10-15,Clint Capela,HOU,MEM,,11:51,0.247,0.174,0.0,0.222,0.75,0.3,0.6,0.333,0.0,0.833,0.257,4,1.0,0,0,0.0,2,0.5,9,3,1,0,3,5,9,12,24.5,0,0,0,,0,0.0,116.8,83.6,33.2,0.333,0.429,1.0,116.5,1.0,0.0,0.889,0.0,0.0,0.889,0.75,0.25,0.559,0.471,0.291,0.091,0,0,5,8,1,2,1,8,2,3,
2016-10-19,Clint Capela,HOU,DAL,C,24:01,0.217,0.233,0.0,0.0,0.448,0.071,0.25,0.0,0.0,0.2,0.218,10,0.6,0,0,0.0,0,0.0,13,1,0,0,2,2,12,14,28.5,0,0,0,,0,0.0,116.0,83.0,33.0,0.071,0.283,0.6,96.75,1.0,0.0,1.0,0.0,0.0,1.0,0.833,0.167,0.4,0.25,0.142,0.087,0,2,0,12,9,2,4,10,2,0,
2015-10-28,Clint Capela,HOU,DEN,C,24:55,0.143,0.152,0.0,0.286,0.318,0.0,0.077,0.25,0.75,0.2,0.225,7,0.571,0,0,0.0,2,0.5,7,0,2,3,1,2,9,-16,27.25,13,36,27,0.0,7,0.571,74.0,106.4,-32.4,0.0,0.159,0.571,102.79,1.0,0.0,0.889,0.0,0.0,0.889,0.25,0.75,0.631,0.143,0.209,0.176,0,0,6,8,15,4,8,32,4,3,
2015-10-30,Clint Capela,HOU,GSW,,17:45,0.155,0.121,0.0,0.167,0.4,0.1,0.333,0.0,0.5,0.25,0.189,4,0.75,0,0,0.0,1,1.0,8,1,0,2,2,2,7,-1,21.25,16,33,26,0.0385,4,0.75,95.8,95.7,0.1,0.091,0.216,0.75,105.95,1.0,0.0,0.857,0.0,0.286,0.857,0.667,0.333,0.426,0.382,0.101,0.19,2,0,2,6,9,4,9,14,4,1,ESPN
2015-11-01,Clint Capela,HOU,MIA,C,14:07,0.203,0.25,0.0,0.0,0.5,0.0,0.167,0.0,1.0,0.286,0.303,5,1.0,0,0,0.0,0,0.0,5,0,0,1,1,2,10,4,17.75,11,19,12,0.0,3,1.0,115.7,104.9,10.8,0.0,0.263,1.0,95.48,1.0,0.0,1.0,0.0,0.2,1.0,0.6,0.4,0.46,0.24,0.109,0.25,2,0,2,10,8,6,6,16,6,0,
2015-11-02,Clint Capela,HOU,OKC,,10:43,0.127,0.105,0.0,0.0,0.125,0.0,0.5,0.25,0.5,0.5,0.16,2,1.0,0,0,0.0,0,0.0,1,0,1,1,1,4,4,7,8.75,3,11,8,0.0,2,1.0,115.5,72.5,43.1,0.0,0.056,1.0,104.09,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.367,0.733,0.282,0.25,0,0,0,4,0,5,0,4,5,0,NBA TV
2015-11-04,Clint Capela,HOU,ORL,,18:49,0.105,0.122,0.0,0.0,0.263,0.091,0.0,0.25,1.0,0.2,0.16,5,0.8,0,0,0.0,0,0.0,5,1,1,1,0,1,8,8,19.5,8,32,24,0.0417,5,0.8,126.5,107.1,19.4,0.071,0.152,0.8,100.4,1.0,0.0,1.0,0.0,0.25,1.0,0.75,0.25,0.594,0.156,0.179,0.154,2,0,2,8,2,2,10,16,2,0,
