DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2015-10-28,Cody Zeller,CHA,MIA,,29:59,0.103,0.08,0.0,0.167,0.462,0.0,0.2,0.5,0.0,0.2,0.113,4,0.5,0,0,0.0,4,0.75,12,0,1,0,1,2,7,-7,23.5,15,50,41,0.0,1,1.0,105.9,119.8,-13.9,0.0,0.245,0.5,92.98,1.0,0.0,0.571,0.0,0.143,0.571,0.5,0.5,0.625,0.341,0.122,0.0,1,0,2,4,7,1,9,16,1,2,
2015-10-30,Cody Zeller,CHA,ATL,,16:51,0.146,0.217,0.125,0.333,0.154,0.0,0.0,0.2,0.0,0.2,0.263,5,0.4,0,1,0.0,1,1.0,2,0,1,0,0,3,5,-27,9.5,8,28,23,0.0,3,0.667,52.3,120.9,-68.6,0.0,0.071,0.4,105.96,0.8,0.2,0.8,0.0,0.0,0.8,0.5,0.5,0.654,0.615,0.184,0.143,0,0,2,4,16,0,3,18,0,2,
2015-11-01,Cody Zeller,CHA,ATL,,22:49,0.142,0.15,0.0,0.0,0.25,0.0,0.143,0.167,0.167,0.0,0.222,6,0.5,0,0,0.0,0,0.0,5,0,1,1,1,0,6,-15,15.75,13,40,32,0.0,2,0.5,59.7,88.2,-28.4,0.0,0.102,0.5,97.68,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.419,0.14,0.168,0.273,0,2,0,6,11,4,6,20,4,1,
2015-11-03,Cody Zeller,CHA,CHI,,16:19,0.182,0.172,0.143,0.154,0.263,0.125,0.333,0.5,0.0,0.0,0.118,5,0.4,0,1,0.0,2,1.0,5,1,1,0,1,0,6,18,15.0,10,26,19,0.0526,3,0.667,146.9,97.4,49.5,0.067,0.172,0.4,100.9,0.8,0.2,0.667,0.0,0.333,0.667,1.0,0.0,0.552,0.069,0.148,0.059,2,0,0,4,7,2,5,10,2,1,
2015-11-05,Cody Zeller,CHA,DAL,,18:43,0.18,0.182,0.0,0.571,0.158,0.0,0.0,0.4,0.5,0.3,0.244,6,0.667,0,0,0.0,4,0.75,3,0,2,1,0,3,11,12,20.75,9,27,17,0.0,3,0.333,112.3,83.5,28.8,0.0,0.091,0.667,102.07,1.0,0.0,0.727,0.0,0.182,0.727,0.75,0.25,0.435,0.258,0.202,0.158,2,2,0,8,3,1,2,12,1,3,
2015-11-07,Cody Zeller,CHA,SAS,,24:24,0.132,0.118,0.111,0.286,0.294,0.2,0.091,0.5,0.0,0.286,0.071,4,0.0,0,1,0.0,4,0.5,5,1,1,0,1,2,2,-38,11.0,15,36,26,0.0385,2,0.0,59.4,128.4,-69.0,0.1,0.116,0.0,96.94,0.75,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.656,0.222,0.097,0.188,2,0,1,0,14,5,6,18,5,2,
2015-11-10,Cody Zeller,CHA,MIN,,24:18,0.224,0.19,0.0,0.375,0.3,0.111,0.333,0.667,0.0,0.5,0.233,8,0.625,0,0,0.0,6,0.667,6,1,2,0,1,4,14,23,26.25,16,36,25,0.04,7,0.571,124.9,76.4,48.4,0.059,0.146,0.625,95.25,1.0,0.0,0.714,0.0,0.5,0.714,0.8,0.2,0.443,0.286,0.269,0.2,7,0,5,10,2,6,6,10,6,3,
2015-11-11,Cody Zeller,CHA,NYK,,25:27,0.236,0.136,0.0,0.789,0.19,0.25,0.0,0.0,0.25,0.2,0.261,6,0.333,0,0,0.0,15,0.533,4,3,0,1,0,1,12,-3,22.75,10,38,26,0.1154,5,0.4,95.1,97.8,-2.7,0.214,0.078,0.333,92.84,1.0,0.0,0.333,0.0,0.167,0.333,1.0,0.0,0.449,0.143,0.1,0.304,2,1,4,4,2,6,4,14,6,8,
2015-11-15,Cody Zeller,CHA,POR,,21:17,0.128,0.105,0.125,0.286,0.4,0.154,0.2,0.0,0.4,0.125,0.02,4,0.0,0,2,0.0,2,0.5,6,2,0,2,1,1,1,7,14.5,9,43,37,0.0541,2,0.0,116.4,104.3,12.2,0.105,0.188,0.0,92.88,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.444,0.333,0.074,0.267,0,0,0,0,9,3,8,18,3,1,
2015-11-17,Cody Zeller,CHA,NYK,F,18:25,0.2,0.156,0.0,0.2,0.333,0.333,0.667,0.0,1.0,0.6,0.158,5,0.6,0,0,0.0,1,0.0,5,1,0,1,2,3,6,-9,14.5,13,30,23,0.0435,5,0.6,108.0,120.6,-12.7,0.071,0.156,0.6,96.67,1.0,0.0,1.0,0.0,0.333,1.0,0.333,0.667,0.514,0.243,0.077,0.278,2,0,4,6,6,10,0,12,10,1,
2015-11-18,Cody Zeller,CHA,BKN,F,13:51,0.032,0.043,0.0,0.0,0.333,0.0,0.0,0.0,0.5,0.375,0.0,1,0.0,0,0,0.0,0,0.0,5,0,0,1,0,3,0,-6,8.25,9,33,31,0.0,1,0.0,120.0,127.5,-7.5,0.0,0.179,0.0,106.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.56,0.093,0.133,0,0,0,0,3,3,7,16,3,0,
2015-11-23,Cody Zeller,CHA,SAC,,28:02,0.154,0.16,0.0,0.2,0.207,0.0,0.091,0.25,0.0,0.5,0.167,8,0.5,0,0,0.0,4,1.0,6,0,1,0,1,4,12,16,21.0,15,35,26,0.0,8,0.5,111.1,90.2,20.9,0.0,0.118,0.5,108.65,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.455,0.127,0.145,0.172,0,0,2,8,6,4,3,18,4,7,
