DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Cole Aldrich,MIN,MIA,,21:23,0.11,0.105,0.0,0.2,0.273,0.143,0.091,0.0,0.667,0.286,0.1,4,0.25,0,0,0.0,2,1.0,6,1,0,2,1,2,4,0,16.25,0,0,0,,0,0.0,82.6,89.2,-6.6,0.083,0.143,0.25,104.65,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.486,0.314,0.178,0.15,0,0,0,2,12,2,3,20,2,1,
2016-10-10,Cole Aldrich,MIN,CHA,,19:12,0.102,0.1,0.0,0.0,0.409,0.0,0.167,0.125,0.0,0.143,0.071,4,0.25,0,0,0.0,0,0.0,9,0,1,0,1,1,2,-9,14.75,0,0,0,,0,0.0,68.2,91.8,-23.6,0.0,0.209,0.25,101.71,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.53,0.091,0.248,0.222,0,0,0,2,9,0,4,18,0,0,
2016-10-12,Cole Aldrich,MIN,DEN,,17:05,0.046,0.0,0.0,0.286,0.333,0.2,0.143,0.2,0.333,0.3,0.0,0,0.0,0,0,0.0,2,0.0,5,1,1,1,1,3,0,-2,11.0,0,0,0,,0,0.0,71.6,80.7,-9.1,0.091,0.135,0.0,107.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.538,0.242,0.235,0,0,0,0,12,4,7,16,4,2,
2016-10-15,Cole Aldrich,MIN,MIA,,19:54,0.137,0.172,0.0,0.0,0.368,0.167,0.077,0.0,0.0,0.143,0.138,5,0.4,0,0,0.0,0,0.0,7,1,0,0,1,1,4,-10,13.5,0,0,0,,0,0.0,71.1,92.0,-20.8,0.1,0.175,0.4,100.28,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.421,0.263,0.142,0.273,0,0,0,4,13,6,9,12,6,2,
2016-10-16,Cole Aldrich,MIN,OKC,C,25:20,0.149,0.106,0.0,0.333,0.333,0.0,0.3,0.333,0.5,0.176,0.2,5,0.8,0,0,0.0,2,1.0,6,0,1,3,3,3,10,-5,24.0,0,0,0,,0,0.0,93.2,95.3,-2.1,0.0,0.143,0.8,105.5,1.0,0.0,0.8,0.0,0.2,0.8,0.75,0.25,0.458,0.271,0.173,0.333,2,0,2,8,10,14,9,28,14,1,
2016-10-19,Cole Aldrich,MIN,MEM,,14:22,0.094,0.083,0.0,0.0,0.545,0.0,0.2,0.0,1.0,0.4,0.0,2,0.0,0,0,0.0,0,0.0,6,0,0,1,1,2,0,-11,9.0,0,0,0,,0,0.0,56.5,94.9,-38.3,0.0,0.214,0.0,99.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522,0.348,0.203,0.25,0,0,0,0,5,4,10,10,4,0,
2016-10-21,Cole Aldrich,MIN,CHA,,17:20,0.065,0.032,0.0,0.2,0.4,0.25,0.111,0.333,0.75,0.286,0.025,1,0.0,0,0,0.0,2,0.5,10,2,2,3,1,2,1,22,25.5,0,0,0,,0,0.0,104.2,48.0,56.2,0.133,0.27,0.0,105.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.286,0.24,0.136,0,0,1,0,2,0,7,8,0,1,NBA TV
2015-10-28,Cole Aldrich,LAC,SAC,,0:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2015-10-29,Cole Aldrich,LAC,DAL,,6:54,0.2,0.154,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.333,2,0.5,0,0,0.0,0,0.0,0,0,0,0,1,1,2,-8,1.5,3,14,11,0.0,2,0.5,42.9,100.9,-58.0,0.0,0.0,0.5,96.97,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.429,0.143,0.0,0.125,0,0,0,2,4,0,6,10,0,0,TNT
2015-11-12,Cole Aldrich,LAC,PHX,,6:47,0.051,0.067,0.0,0.0,0.571,0.0,0.0,0.0,0.0,0.333,0.105,1,1.0,0,0,0.0,0,0.0,4,0,0,0,0,1,2,6,7.0,6,10,9,0.0,1,1.0,101.3,88.1,13.2,0.0,0.364,1.0,118.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.333,0.136,0.143,0,0,2,2,0,0,3,4,0,1,TNT
2015-11-24,Cole Aldrich,LAC,DEN,,1:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,-1,0.0,0,2,2,0.0,0,0.0,0.0,34.7,-34.7,0.0,0.0,0.0,74.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.347,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-27,Cole Aldrich,LAC,NOP,,1:30,0.681,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0,0.0,0,0,0.0,2,0.5,1,0,0,0,1,0,1,-2,1.75,1,9,7,0.0,0,0.0,72.5,138.9,-66.4,0.0,0.333,0.0,90.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.667,0.0,0.5,0,0,0,0,2,0,0,2,0,1,
2015-12-19,Cole Aldrich,LAC,HOU,,6:05,0.133,0.091,0.0,0.0,0.667,0.333,0.25,0.0,0.0,0.0,0.133,1,1.0,0,0,0.0,0,0.0,6,1,0,0,1,0,2,8,10.25,8,14,13,0.0769,1,1.0,115.4,51.8,63.6,0.2,0.5,1.0,104.63,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.143,1.143,0.222,0.0,0,0,2,2,0,0,0,2,0,0,
2015-12-21,Cole Aldrich,LAC,OKC,,13:47,0.159,0.13,0.0,0.333,0.333,0.0,0.2,0.6,1.0,0.0,0.172,3,0.667,0,0,0.0,2,0.5,4,0,3,2,1,0,5,6,19.5,10,25,18,0.0,2,0.5,101.3,87.8,13.5,0.0,0.167,0.667,95.49,1.0,0.0,0.8,0.0,0.0,0.8,1.0,0.0,0.452,0.238,0.229,0.231,0,0,0,4,2,4,6,14,4,1,NBA TV
2015-12-25,Cole Aldrich,LAC,LAL,,11:18,0.116,0.1,0.0,0.0,0.0,0.25,0.2,0.5,0.0,0.429,0.0,2,0.0,0,0,0.0,0,0.0,0,1,1,0,1,3,0,-13,2.75,4,25,21,0.0476,2,0.0,54.4,111.1,-56.7,0.2,0.0,0.0,100.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.214,0.333,0,0,0,0,6,5,6,10,5,0,ESPN
2015-12-26,Cole Aldrich,LAC,UTA,,13:14,0.248,0.273,0.0,0.5,0.273,0.286,0.0,0.0,1.0,0.3,0.381,6,0.667,0,0,0.0,2,0.0,3,2,0,1,0,3,8,-2,16.25,3,25,18,0.1111,5,0.8,78.5,90.6,-12.1,0.4,0.136,0.667,94.6,1.0,0.0,1.0,0.0,0.0,1.0,0.75,0.25,0.444,0.556,0.157,0.091,0,0,2,8,2,2,0,8,2,2,
