DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-02,Corey Brewer,HOU,SDS,,13:18,0.168,0.227,0.333,0.0,0.176,0.0,0.0,0.25,0.0,0.25,0.244,5,0.8,2,3,0.667,0,0.0,3,0,1,0,0,2,10,21,16.75,0,0,0,,0,0.0,142.8,63.9,78.8,0.0,0.111,1.0,108.27,0.4,0.6,0.4,0.6,0.5,0.4,1.0,0.0,0.286,0.571,0.192,0.059,5,4,3,4,0,0,4,4,0,0,NBA TV
2016-10-04,Corey Brewer,HOU,NYK,,14:13,0.122,0.15,0.154,0.0,0.333,0.4,0.083,0.5,0.0,0.286,0.286,3,1.0,2,2,1.0,0,0.0,5,2,2,0,1,2,8,3,21.25,0,0,0,,0,0.0,87.8,77.6,10.2,0.286,0.192,1.333,108.18,0.333,0.667,0.25,0.75,0.25,0.25,0.667,0.333,0.35,0.167,0.155,0.263,2,0,0,2,13,5,0,10,5,1,ESPN
2016-10-09,Corey Brewer,HOU,NOP,,19:59,0.138,0.154,0.063,0.0,0.167,0.167,0.2,0.25,0.167,0.083,0.075,6,0.333,0,1,0.0,0,0.0,4,2,1,1,1,1,4,14,15.0,0,0,0,,0,0.0,118.8,87.2,31.6,0.118,0.091,0.333,107.25,0.833,0.167,1.0,0.0,0.5,1.0,1.0,0.0,0.429,0.371,0.157,0.143,2,2,0,4,0,4,7,16,4,1,NBA TV
2016-10-12,Corey Brewer,HOU,NOP,,12:26,0.029,0.034,0.111,0.0,0.063,0.0,0.0,0.0,0.0,0.25,0.0,1,0.0,0,1,0.0,0,0.0,1,0,0,0,0,1,0,21,1.25,0,0,0,,0,0.0,134.4,63.5,70.8,0.0,0.038,0.0,106.24,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,0.222,0.299,0.091,0,0,0,0,0,2,0,10,2,1,NBA TV
2016-10-15,Corey Brewer,HOU,MEM,,19:12,0.138,0.184,0.2,0.0,0.167,0.2,0.0,0.0,0.0,0.0,0.042,7,0.143,0,2,0.0,0,0.0,4,2,0,0,0,0,2,12,9.5,0,0,0,,0,0.0,109.5,84.5,25.0,0.118,0.089,0.143,108.05,0.714,0.286,1.0,0.0,0.0,0.0,0.0,1.0,0.355,0.395,0.141,0.32,0,0,0,0,2,11,3,18,11,0,
2016-10-19,Corey Brewer,HOU,DAL,,12:54,0.119,0.083,0.167,0.5,0.286,0.0,0.0,0.667,0.0,0.125,0.125,2,0.0,0,2,0.0,4,0.5,4,0,2,0,0,1,2,-9,11.0,0,0,0,,0,0.0,60.3,93.8,-33.5,0.0,0.133,0.0,98.9,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.476,0.286,0.188,0.182,1,1,0,0,5,0,4,6,0,5,
2016-10-21,Corey Brewer,HOU,SAS,F,16:21,0.178,0.143,0.5,0.444,0.188,0.5,0.167,0.6,0.0,0.5,0.143,4,0.25,0,3,0.0,4,0.5,3,2,3,0,1,2,4,-7,15.75,0,0,0,,0,0.0,80.1,94.1,-14.0,0.2,0.088,0.25,105.92,0.25,0.75,0.5,0.0,0.5,0.5,0.0,1.0,0.484,0.156,0.161,0.188,2,4,0,2,7,5,4,16,5,2,
2015-10-28,Corey Brewer,HOU,DEN,,29:25,0.191,0.222,0.125,0.083,0.226,0.0,0.125,0.333,0.143,0.333,0.089,12,0.167,1,3,0.333,2,0.0,7,0,2,1,1,3,5,-12,19.75,16,47,27,0.0,8,0.0,91.0,114.0,-23.0,0.0,0.119,0.208,98.88,0.75,0.25,0.4,0.6,0.0,0.4,1.0,0.0,0.627,0.118,0.168,0.167,0,2,0,2,8,2,6,20,2,4,
2015-10-30,Corey Brewer,HOU,GSW,,29:01,0.159,0.115,0.133,0.364,0.156,0.222,0.182,0.0,0.167,0.1,0.204,6,0.333,1,2,0.5,8,0.75,5,2,0,1,2,1,11,-11,21.25,7,33,20,0.1,3,0.0,84.8,109.1,-24.3,0.125,0.077,0.417,101.97,0.667,0.333,0.182,0.273,0.0,0.0,1.0,0.0,0.449,0.254,0.067,0.303,0,2,7,0,11,11,4,30,11,5,ESPN
2015-11-01,Corey Brewer,HOU,MIA,,21:16,0.27,0.325,0.176,0.0,0.059,0.333,0.0,0.333,0.0,0.273,0.263,13,0.385,0,3,0.0,0,0.0,1,3,2,0,0,3,10,-10,19.0,7,40,26,0.1154,10,0.5,82.3,106.8,-24.5,0.3,0.024,0.385,102.88,0.769,0.231,1.0,0.0,0.4,1.0,0.8,0.2,0.553,0.237,0.178,0.25,4,2,0,10,10,8,8,24,8,1,
