DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-01,Cory Joseph,TOR,GSW,,15:17,0.254,0.276,0.2,0.222,0.063,0.4,0.0,0.0,0.0,0.125,0.29,8,0.375,1,1,1.0,2,1.0,1,2,0,0,0,1,9,7,13.25,0,0,0,,0,0.0,94.1,73.8,20.3,0.222,0.028,0.438,102.83,0.875,0.125,0.444,0.333,0.222,0.444,0.0,1.0,0.404,0.308,0.215,0.222,2,5,0,4,0,3,2,10,3,2,NBA TV
2016-10-03,Cory Joseph,TOR,DEN,,18:58,0.265,0.273,0.111,0.0,0.25,0.5,0.333,0.2,0.0,0.071,0.17,9,0.444,0,1,0.0,0,0.0,3,4,1,0,1,1,8,8,18.25,0,0,0,,0,0.0,131.4,113.5,17.9,0.25,0.13,0.444,88.73,0.889,0.111,1.0,0.0,0.25,0.75,0.0,1.0,0.643,0.905,0.175,0.091,2,0,0,6,1,3,0,6,3,0,
2016-10-05,Cory Joseph,TOR,LAC,,17:36,0.268,0.286,0.0,0.286,0.077,0.25,0.167,0.333,0.0,0.125,0.351,8,0.625,0,0,0.0,4,0.75,1,1,3,0,1,1,13,1,21.0,0,0,0,,0,0.0,99.6,93.5,6.1,0.125,0.033,0.625,103.2,1.0,0.0,0.769,0.0,0.692,0.462,0.2,0.8,0.556,0.296,0.286,0.231,9,4,1,6,3,2,2,8,2,2,
2016-10-13,Cory Joseph,TOR,CLE,,18:59,0.35,0.333,0.125,0.333,0.25,0.3,0.429,0.0,0.0,0.182,0.354,10,0.7,1,1,1.0,2,1.0,4,3,0,0,3,2,17,15,24.75,0,0,0,,0,0.0,131.0,88.2,42.8,0.25,0.154,0.75,93.61,0.9,0.1,0.706,0.176,0.0,0.235,0.143,0.857,0.4,0.333,0.16,0.188,0,0,0,4,9,6,0,10,6,3,TNT
2016-10-19,Cory Joseph,TOR,DET,,23:34,0.163,0.167,0.091,0.091,0.261,0.364,0.2,0.333,0.0,0.0,0.204,7,0.571,1,1,1.0,1,1.0,6,4,1,0,1,0,10,7,24.5,0,0,0,,0,0.0,104.6,94.1,10.5,0.286,0.14,0.643,93.16,0.857,0.143,0.6,0.3,0.0,0.0,0.25,0.75,0.5,0.158,0.157,0.143,0,0,2,0,1,2,0,22,2,1,
2015-10-28,Cory Joseph,TOR,IND,,27:43,0.12,0.089,0.143,0.083,0.067,0.143,0.3,0.0,0.0,0.048,0.055,4,0.25,0,1,0.0,2,0.5,2,1,0,0,3,1,3,-3,5.25,4,56,46,0.0217,3,0.333,90.8,97.1,-6.2,0.059,0.035,0.25,104.19,0.75,0.25,0.667,0.0,0.0,0.667,0.0,1.0,0.354,0.604,0.067,0.167,0,1,0,2,12,6,9,20,6,1,
2015-10-30,Cory Joseph,TOR,BOS,,18:11,0.135,0.185,0.222,0.0,0.056,0.4,0.091,0.5,0.0,0.267,0.167,5,0.6,1,2,0.5,0,0.0,1,2,1,0,1,4,7,1,12.75,5,47,37,0.0541,3,0.667,98.6,97.5,1.1,0.2,0.031,0.7,111.77,0.6,0.4,0.571,0.429,0.286,0.286,0.333,0.667,0.439,0.485,0.119,0.158,2,0,0,2,13,2,6,14,2,1,
2015-11-01,Cory Joseph,TOR,MIL,,18:37,0.113,0.132,0.0,0.0,0.111,0.667,0.0,0.429,0.0,0.0,0.098,5,0.4,0,0,0.0,0,0.0,2,6,3,0,0,0,4,9,20.0,5,47,37,0.1622,3,0.0,109.9,87.3,22.5,0.4,0.059,0.4,95.39,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.464,0.214,0.3,0.313,4,2,0,4,6,4,5,20,4,2,NBA TV
2015-11-03,Cory Joseph,TOR,DAL,,19:58,0.145,0.094,0.0,0.235,0.0,0.5,0.286,0.0,0.0,0.091,0.171,3,0.333,0,0,0.0,4,1.0,0,2,0,0,2,1,6,-3,7.5,1,40,30,0.0667,2,0.5,84.4,86.7,-2.3,0.25,0.0,0.333,102.55,1.0,0.0,0.333,0.0,0.0,0.333,0.0,1.0,0.417,0.306,0.091,0.05,0,0,0,2,7,0,11,16,0,2,
2015-11-04,Cory Joseph,TOR,OKC,,25:30,0.147,0.171,0.0,0.077,0.133,0.429,0.125,0.333,0.0,0.0,0.143,7,0.571,0,0,0.0,2,0.5,4,3,3,0,1,0,9,22,23.25,6,60,48,0.0625,5,0.6,117.9,76.8,41.1,0.188,0.078,0.571,100.56,1.0,0.0,0.889,0.0,0.0,0.889,0.0,1.0,0.384,0.233,0.225,0.207,0,0,4,8,9,0,6,12,0,1,
