DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,Courtney Lee,NYK,HOU,G,22:36,0.108,0.093,0.286,0.2,0.111,0.1,0.143,0.5,0.0,0.25,0.154,4,0.5,2,4,0.5,2,1.0,2,1,1,0,1,3,8,-19,14.25,0,0,0,,0,0.0,103.2,137.6,-34.4,0.063,0.051,0.75,108.32,0.0,1.0,0.0,0.75,0.625,0.0,1.0,0.0,0.679,0.357,0.097,0.125,5,0,0,0,12,5,9,20,5,3,ESPN
2016-10-08,Courtney Lee,NYK,BKN,G,14:27,0.199,0.208,0.286,0.0,0.0,0.0,0.25,0.0,0.0,0.143,0.172,5,0.4,1,2,0.5,0,0.0,0,0,0,0,1,1,5,-1,5.0,0,0,0,,0,0.0,102.8,104.7,-1.9,0.0,0.0,0.5,94.41,0.6,0.4,0.4,0.6,0.0,0.0,1.0,0.0,0.684,0.316,0.244,0.0,0,3,0,0,6,5,4,8,5,0,
2016-10-10,Courtney Lee,NYK,WAS,G,22:43,0.115,0.103,0.125,0.0,0.143,0.3,0.167,0.5,0.0,0.5,0.065,4,0.25,1,2,0.5,0,0.0,3,3,2,0,2,3,3,5,14.0,0,0,0,,0,0.0,97.2,88.7,8.5,0.176,0.073,0.375,98.8,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.451,0.122,0.195,0.273,3,0,0,0,9,9,5,22,9,1,NBA TV
2016-10-15,Courtney Lee,NYK,BOS,G,20:16,0.1,0.129,0.0,0.0,0.0,0.25,0.077,0.0,0.0,0.2,0.098,4,0.5,0,0,0.0,0,0.0,0,2,0,0,1,2,4,-8,6.0,0,0,0,,0,0.0,92.8,115.0,-22.2,0.167,0.0,0.5,102.74,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.609,0.469,0.141,0.154,0,0,0,2,17,4,12,20,4,0,NBA TV
2016-10-19,Courtney Lee,NYK,BOS,G,13:41,0.21,0.269,0.125,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.306,7,0.714,1,1,1.0,0,0.0,2,0,0,0,0,0,11,13,14.0,0,0,0,,0,0.0,118.4,83.6,34.8,0.0,0.08,0.786,101.59,0.857,0.143,0.727,0.273,0.0,0.545,0.8,0.2,0.405,0.381,0.218,0.214,0,0,0,6,6,3,2,6,3,2,ESPN
2016-10-20,Courtney Lee,NYK,BKN,G,28:51,0.124,0.138,0.063,0.1,0.152,0.125,0.071,0.333,0.0,0.091,0.208,8,0.875,1,1,1.0,1,0.0,5,2,2,0,1,1,15,14,27.75,0,0,0,,0,0.0,106.8,89.5,17.4,0.087,0.096,0.938,110.01,0.875,0.125,0.8,0.2,0.0,0.4,0.571,0.429,0.49,0.224,0.2,0.077,0,2,2,6,23,3,8,28,3,1,NBA TV
2015-10-28,Courtney Lee,MEM,CLE,G,31:16,0.153,0.17,0.4,0.2,0.071,0.222,0.0,0.5,0.5,0.0,0.149,9,0.222,1,4,0.25,2,1.0,2,2,2,1,0,0,7,-12,18.5,4,35,24,0.0833,0,0.0,81.9,99.3,-17.4,0.118,0.03,0.278,89.65,0.556,0.444,0.286,0.429,0.286,0.0,1.0,0.0,0.482,0.182,0.185,0.344,2,5,0,0,8,14,15,26,14,1,
2015-10-29,Courtney Lee,MEM,IND,G,29:14,0.159,0.164,0.444,0.118,0.069,0.063,0.167,0.167,0.0,0.083,0.152,9,0.444,0,4,0.0,2,1.0,2,1,1,0,1,1,10,9,15.25,5,40,27,0.037,4,0.5,111.0,98.5,12.4,0.048,0.035,0.444,96.32,0.556,0.444,0.8,0.0,0.2,0.4,0.5,0.5,0.47,0.22,0.19,0.286,2,2,4,4,2,11,8,16,11,0,
2015-10-31,Courtney Lee,MEM,BKN,G,33:38,0.186,0.17,0.2,0.333,0.036,0.048,0.143,0.4,0.0,0.0,0.205,9,0.444,1,3,0.333,6,1.0,1,1,2,0,1,0,15,5,21.5,3,39,28,0.0357,5,0.6,116.0,104.0,12.0,0.048,0.018,0.5,91.55,0.667,0.333,0.4,0.2,0.0,0.4,1.0,0.0,0.554,0.179,0.138,0.148,0,0,0,6,6,6,8,46,6,3,
2015-11-02,Courtney Lee,MEM,GSW,G,24:37,0.196,0.212,0.417,0.273,0.143,0.0,0.0,0.2,0.0,0.25,0.214,11,0.182,0,5,0.0,3,0.667,3,0,1,0,0,3,6,-44,11.75,5,35,23,0.0,5,0.4,51.1,130.5,-79.5,0.0,0.054,0.182,107.24,0.545,0.455,0.667,0.0,0.0,0.667,0.5,0.5,0.693,0.318,0.163,0.235,0,2,2,4,12,6,31,24,6,2,NBA TV
2015-11-03,Courtney Lee,MEM,SAC,G,30:33,0.214,0.226,0.182,0.133,0.172,0.056,0.2,0.333,0.0,0.222,0.2,12,0.5,0,2,0.0,2,1.0,5,1,1,0,2,4,14,8,22.5,5,55,40,0.025,4,0.5,108.4,97.1,11.3,0.045,0.096,0.5,100.93,0.833,0.167,0.857,0.0,0.357,0.429,0.833,0.167,0.458,0.563,0.125,0.143,5,3,2,6,12,11,18,22,11,1,
2015-11-05,Courtney Lee,MEM,POR,G,30:06,0.196,0.213,0.667,0.25,0.077,0.0,0.0,0.5,0.0,0.0,0.305,10,0.6,3,6,0.5,4,0.75,2,0,1,0,0,0,18,-13,24.0,4,42,30,0.0,2,0.5,107.2,126.9,-19.7,0.0,0.036,0.75,89.11,0.4,0.6,0.333,0.5,0.0,0.222,0.833,0.167,0.591,0.236,0.071,0.276,0,0,2,4,9,12,4,26,12,2,TNT
2015-11-07,Courtney Lee,MEM,UTA,G,26:44,0.167,0.2,0.333,0.167,0.227,0.222,0.0,0.0,0.0,0.182,0.15,10,0.2,1,3,0.333,1,1.0,5,2,0,0,0,2,6,-15,15.25,5,36,24,0.0833,7,0.286,70.6,107.5,-36.9,0.143,0.102,0.25,96.78,0.7,0.3,0.333,0.5,0.0,0.0,0.5,0.5,0.538,0.35,0.195,0.238,0,0,0,0,11,0,4,16,0,0,NBA TV
