DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Cristiano Felicio,CHI,MIL,,9:14,0.177,0.154,0.0,0.222,0.0,0.0,0.2,0.5,0.0,0.667,0.182,2,1.0,0,0,0.0,2,0.0,0,0,1,0,1,2,4,11,5.5,0,0,0,,0,0.0,110.2,62.4,47.9,0.0,0.0,1.0,97.73,1.0,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.292,0.5,0.227,0.111,2,2,0,4,4,3,1,4,3,2,NBA TV
2016-10-06,Cristiano Felicio,CHI,IND,,6:58,0.112,0.063,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.333,0.0,1,0.0,0,0,0.0,0,0.0,0,0,0,1,1,1,0,-6,1.5,0,0,0,,0,0.0,81.9,124.0,-42.2,0.0,0.0,0.0,107.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607,0.214,0.196,0.429,0,0,0,0,0,3,2,4,3,0,
2016-10-08,Cristiano Felicio,CHI,IND,,13:18,0.055,0.045,0.0,0.111,0.125,0.0,0.0,0.667,0.0,0.111,0.068,1,1.0,0,0,0.0,2,0.5,2,0,2,0,0,1,3,16,9.5,0,0,0,,0,0.0,152.1,100.1,52.0,0.0,0.091,1.0,102.64,1.0,0.0,0.667,0.0,0.0,0.667,1.0,0.0,0.595,0.429,0.143,0.083,0,0,0,2,5,1,0,10,1,1,
2016-10-14,Cristiano Felicio,CHI,CLE,,12:00,0.258,0.19,0.0,0.8,0.167,0.222,0.333,0.0,0.0,0.4,0.25,4,0.5,0,0,0.0,4,0.75,2,2,0,0,1,2,7,4,11.5,0,0,0,,0,0.0,115.7,101.0,14.7,0.222,0.105,0.5,95.92,1.0,0.0,0.571,0.0,0.0,0.571,1.0,0.0,0.525,0.2,0.084,0.0,0,2,2,4,4,0,2,4,0,2,NBA TV
2016-10-15,Cristiano Felicio,CHI,MIL,C,22:15,0.157,0.184,0.0,0.125,0.421,0.0,0.0,0.0,0.0,0.333,0.106,7,0.286,0,0,0.0,1,1.0,8,0,0,0,0,4,5,-4,15.0,0,0,0,,0,0.0,110.5,118.2,-7.6,0.0,0.229,0.286,92.42,1.0,0.0,0.8,0.0,0.4,0.8,0.5,0.5,0.618,0.412,0.093,0.067,2,0,2,4,8,1,13,24,1,3,
2016-10-17,Cristiano Felicio,CHI,CHA,,30:17,0.105,0.098,0.0,0.0,0.343,0.067,0.182,0.333,0.333,0.211,0.14,5,0.8,0,0,0.0,0,0.0,12,1,1,2,2,4,8,-1,29.25,0,0,0,,0,0.0,94.4,90.0,4.4,0.056,0.182,0.8,98.94,1.0,0.0,1.0,0.0,0.25,0.75,0.75,0.25,0.322,0.441,0.062,0.256,2,0,2,6,10,10,10,24,10,1,NBA TV
2016-10-20,Cristiano Felicio,CHI,ATL,,14:34,0.209,0.2,0.0,0.0,0.6,0.143,0.5,0.0,0.0,0.2,0.1,5,0.2,0,0,0.0,0,0.0,6,1,0,0,1,1,2,-10,10.25,0,0,0,,0,0.0,74.7,98.9,-24.2,0.143,0.214,0.2,94.04,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.538,0.115,0.198,0.273,0,0,0,2,4,7,2,10,7,0,
2015-11-09,Cristiano Felicio,CHI,PHI,,1:23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,1.25,1,3,2,0.5,0,0.0,125.0,173.6,-48.6,0.5,0.0,0.0,119.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,NBA TV
2015-11-27,Cristiano Felicio,CHI,IND,,2:08,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0,0,2,3,2.0,4,3,2,0.0,0,0.0,120.0,75.0,45.0,0.0,0.0,1.0,101.25,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.375,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,
2016-01-20,Cristiano Felicio,CHI,GSW,,2:28,0.125,0.143,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0.0,0,0.0,1,0,0,0,0,0,0,-5,1.25,2,3,2,0.0,0,0.0,66.7,180.0,-113.3,0.0,0.125,0.0,107.03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.333,0,0,0,0,0,0,7,4,0,0,ESPN
