DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-04,D'Angelo Russell,LAL,SAC,G,24:41,0.232,0.222,0.167,0.0,0.083,0.429,0.385,0.6,0.0,0.2,0.1,8,0.25,0,2,0.0,0,0.0,2,3,3,0,5,3,4,-11,13.75,0,0,0,,0,0.0,76.9,94.9,-18.1,0.273,0.041,0.25,102.83,0.75,0.25,1.0,0.0,0.5,1.0,0.0,1.0,0.455,0.295,0.168,0.2,2,2,0,4,7,7,10,16,7,1,
2016-10-07,D'Angelo Russell,LAL,DEN,G,23:44,0.346,0.326,0.471,0.571,0.167,0.385,0.364,0.25,0.0,0.1,0.412,14,0.5,4,8,0.5,4,0.75,4,5,1,0,4,1,21,1,34.25,0,0,0,,0,0.0,90.9,86.0,5.0,0.417,0.077,0.643,115.52,0.429,0.571,0.286,0.571,0.095,0.286,0.286,0.714,0.388,0.286,0.155,0.207,2,3,0,6,13,2,15,22,2,2,NBA TV
2016-10-09,D'Angelo Russell,LAL,DEN,G,31:38,0.322,0.339,0.35,0.182,0.053,0.2,0.4,0.333,0.0,0.227,0.367,19,0.684,4,7,0.571,4,0.75,1,3,3,0,2,5,33,10,45.0,0,0,0,,0,0.0,129.2,114.5,14.6,0.158,0.019,0.789,105.85,0.632,0.368,0.545,0.364,0.061,0.182,0.154,0.846,0.56,0.72,0.172,0.308,2,6,2,6,9,10,17,42,10,3,NBA TV
2016-10-11,D'Angelo Russell,LAL,POR,G,35:06,0.288,0.333,0.391,0.0,0.125,0.111,0.222,0.0,0.0,0.278,0.182,21,0.286,0,9,0.0,0,0.0,4,1,0,0,2,5,12,-13,17.25,0,0,0,,0,0.0,91.8,106.1,-14.3,0.056,0.055,0.286,100.1,0.571,0.429,1.0,0.0,0.167,0.833,0.0,1.0,0.523,0.266,0.175,0.294,2,0,2,10,12,11,10,32,11,4,NBA TV
2016-10-13,D'Angelo Russell,LAL,SAC,G,32:54,0.258,0.226,0.222,0.778,0.04,0.5,0.25,0.5,0.0,0.091,0.403,14,0.714,5,6,0.833,7,0.857,1,11,2,0,2,1,31,5,51.5,0,0,0,,0,0.0,115.0,107.9,7.1,0.579,0.02,0.893,97.54,0.571,0.429,0.323,0.484,0.258,0.194,0.5,0.5,0.585,0.245,0.18,0.182,8,5,0,6,15,4,6,34,4,7,
2016-10-15,D'Angelo Russell,LAL,GSW,G,27:51,0.229,0.217,0.316,0.125,0.0,0.417,0.333,0.25,0.333,0.182,0.138,10,0.3,1,6,0.167,2,0.5,0,5,2,1,4,2,8,-17,18.75,0,0,0,,0,0.0,95.0,124.2,-29.2,0.294,0.0,0.35,104.65,0.4,0.6,0.5,0.375,0.125,0.25,0.667,0.333,0.609,0.182,0.182,0.4,1,0,0,2,15,7,4,38,7,5,NBA TV
2016-10-19,D'Angelo Russell,LAL,GSW,G,30:35,0.257,0.228,0.32,0.105,0.12,0.529,0.438,0.0,0.0,0.1,0.222,13,0.385,4,8,0.5,2,1.0,3,9,0,0,7,1,16,-20,29.5,0,0,0,,0,0.0,95.5,125.5,-30.0,0.45,0.054,0.538,116.64,0.385,0.615,0.125,0.75,0.125,0.125,1.0,0.0,0.625,0.188,0.123,0.208,2,8,0,2,18,12,15,38,12,2,ESPN
2016-10-21,D'Angelo Russell,LAL,PHX,G,30:11,0.287,0.259,0.286,0.444,0.233,0.6,0.308,0.286,0.0,0.176,0.298,14,0.357,1,6,0.167,8,0.75,7,6,2,0,4,3,17,0,35.75,0,0,0,,0,0.0,85.2,88.9,-3.7,0.4,0.106,0.393,104.2,0.571,0.429,0.471,0.176,0.0,0.235,0.0,1.0,0.412,0.451,0.187,0.29,0,0,0,4,13,13,11,20,13,6,
2015-10-28,D'Angelo Russell,LAL,MIN,G,25:50,0.151,0.146,0.158,0.0,0.143,0.222,0.333,0.0,0.0,0.158,0.065,7,0.286,0,3,0.0,0,0.0,3,2,0,0,3,3,4,-9,8.75,5,34,22,0.0909,5,0.2,104.7,126.8,-22.1,0.125,0.073,0.286,107.06,0.571,0.429,1.0,0.0,0.0,0.0,0.5,0.5,0.544,0.556,0.071,0.222,0,0,0,0,11,12,10,32,12,0,ESPN
2015-10-30,D'Angelo Russell,LAL,SAC,G,23:02,0.199,0.25,0.313,0.154,0.095,0.286,0.071,0.0,0.0,0.0,0.265,10,0.5,2,5,0.4,2,0.5,2,2,0,0,1,0,13,-13,18.5,9,45,31,0.0645,4,0.5,89.5,112.9,-23.3,0.143,0.048,0.6,114.24,0.5,0.5,0.462,0.462,0.154,0.308,0.6,0.4,0.557,0.409,0.127,0.2,2,2,0,4,21,5,14,32,5,1,
