DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Damjan Rudez,ORL,MEM,,17:50,0.1,0.111,0.222,0.0,0.2,0.125,0.111,0.0,0.0,0.071,0.178,3,1.0,2,2,1.0,0,0.0,2,1,0,0,1,1,8,3,12.25,0,0,0,,0,0.0,112.6,123.0,-10.3,0.077,0.095,1.333,99.72,0.333,0.667,0.25,0.75,0.0,0.0,1.0,0.0,0.705,0.636,0.205,0.091,0,0,3,0,11,0,7,14,0,0,
2016-10-05,Damjan Rudez,ORL,CLE,,14:10,0.063,0.043,0.143,0.0,0.1,0.4,0.2,0.0,0.0,0.167,0.125,1,1.0,1,1,1.0,0,0.0,1,2,0,0,1,1,3,-18,6.75,0,0,0,,0,0.0,80.1,133.8,-53.7,0.286,0.04,1.5,103.95,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.635,0.385,0.064,0.111,0,0,0,0,4,4,2,20,4,0,NBA TV
2016-10-12,Damjan Rudez,ORL,SAS,,9:07,0.045,0.059,0.2,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.167,1,1.0,1,1,1.0,0,0.0,2,0,0,0,0,0,3,2,6.0,0,0,0,,0,0.0,93.8,90.1,3.7,0.0,0.111,1.5,97.3,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.464,0.286,0.113,0.0,0,0,0,0,5,0,3,0,0,0,
2016-10-14,Damjan Rudez,ORL,IND,,17:39,0.138,0.188,0.357,0.0,0.235,0.357,0.0,0.0,0.0,0.167,0.208,6,0.667,3,5,0.6,0,0.0,4,5,0,0,0,1,11,15,23.75,0,0,0,,0,0.0,131.2,93.8,37.4,0.333,0.108,0.917,110.03,0.167,0.833,0.182,0.818,0.0,0.182,1.0,0.0,0.447,0.211,0.148,0.333,0,0,0,2,9,9,7,24,9,0,
2016-10-16,Damjan Rudez,ORL,ATL,,13:14,0.131,0.125,0.2,0.0,0.125,0.2,0.25,0.0,0.0,0.25,0.125,3,0.333,1,2,0.5,0,0.0,1,1,0,0,1,1,3,-10,5.5,0,0,0,,0,0.0,83.8,114.2,-30.4,0.125,0.042,0.5,105.89,0.333,0.667,0.0,1.0,0.0,0.0,1.0,0.0,0.62,0.16,0.168,0.25,0,0,0,0,8,4,5,16,4,0,NBA TV
2016-10-18,Damjan Rudez,ORL,MIA,,14:33,0.141,0.154,0.3,0.333,0.091,0.5,0.0,0.0,0.0,0.5,0.143,4,0.0,0,3,0.0,2,1.0,1,1,0,0,0,3,2,-25,4.5,0,0,0,,0,0.0,44.2,137.7,-93.5,0.2,0.036,0.0,98.9,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.692,0.115,0.106,0.2,0,0,0,0,5,4,5,20,4,1,
2015-10-28,Damjan Rudez,MIN,LAL,,4:32,0.087,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,1,1.0,0,0,0.0,0,0.0,1,0,0,0,0,1,2,-7,3.25,1,10,9,0.0,0,0.0,76.6,180.3,-103.7,0.0,0.25,1.0,99.32,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.24,1.0,2,0,2,2,2,3,0,4,3,0,ESPN
2015-11-05,Damjan Rudez,MIN,MIA,,2:29,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,1,0,5,-0.5,0,5,4,0.0,0,0.0,175.0,69.4,105.6,0.0,0.0,0.0,66.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694,0.0,0,0,0,0,0,0,0,0,0,0,
2015-11-10,Damjan Rudez,MIN,CHA,,7:35,0.114,0.167,0.4,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.2,2,0.5,1,2,0.5,0,0.0,1,1,0,0,0,0,3,-10,6.0,1,9,7,0.1429,0,0.0,96.6,154.3,-57.7,0.333,0.083,0.75,100.3,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.808,0.385,0.123,0.333,0,0,3,0,4,4,0,10,4,0,
2015-11-12,Damjan Rudez,MIN,GSW,,1:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-4,0.0,0,1,1,0.0,0,0.0,53.2,250.0,-196.8,0.0,0.0,0.0,78.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,TNT
