DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-03,Danilo Gallinari,DEN,TOR,F,20:46,0.218,0.121,0.333,0.476,0.087,0.2,0.3,0.0,0.0,0.3,0.292,4,0.5,1,2,0.5,10,0.9,2,2,0,0,3,3,14,2,18.0,0,0,0,,0,0.0,108.5,101.6,6.9,0.167,0.05,0.625,103.46,0.5,0.5,0.143,0.214,0.0,0.0,1.0,0.0,0.429,0.286,0.088,0.286,0,0,3,0,13,8,9,14,8,5,
2016-10-09,Danilo Gallinari,DEN,LAL,F,27:38,0.16,0.104,0.25,0.429,0.097,0.214,0.1,0.0,0.0,0.0,0.26,5,0.6,2,3,0.667,12,0.917,3,3,0,0,1,0,19,7,27.0,0,0,0,,0,0.0,117.1,109.9,7.2,0.143,0.065,0.8,106.27,0.4,0.6,0.105,0.316,0.316,0.105,1.0,0.0,0.583,0.333,0.1,0.042,6,2,2,2,10,2,9,18,2,8,NBA TV
2016-10-14,Danilo Gallinari,DEN,GSW,F,25:40,0.151,0.16,0.364,0.167,0.25,0.188,0.1,0.2,0.0,0.0,0.292,8,0.875,4,4,1.0,2,0.5,8,3,1,0,1,0,19,6,36.25,0,0,0,,0,0.0,113.5,102.0,11.5,0.158,0.148,1.125,107.64,0.5,0.5,0.316,0.632,0.158,0.211,0.714,0.286,0.532,0.234,0.138,0.077,3,0,2,4,9,4,8,18,4,1,
2016-10-18,Danilo Gallinari,DEN,OKC,F,28:57,0.267,0.232,0.333,0.524,0.094,0.1,0.222,0.25,0.0,0.125,0.31,13,0.308,1,4,0.25,11,0.818,3,1,1,0,2,1,18,-6,24.5,0,0,0,,0,0.0,90.3,99.6,-9.3,0.059,0.049,0.346,106.55,0.692,0.308,0.333,0.167,0.0,0.0,0.75,0.25,0.509,0.214,0.124,0.185,0,0,2,0,12,10,12,36,10,6,
2016-10-21,Danilo Gallinari,DEN,DAL,F,15:59,0.241,0.182,0.286,0.545,0.182,0.182,0.222,0.0,0.5,0.222,0.372,4,1.0,2,2,1.0,6,1.0,2,2,0,1,2,2,16,18,23.0,0,0,0,,0,0.0,127.1,75.3,51.8,0.2,0.118,1.25,100.66,0.5,0.5,0.25,0.375,0.25,0.125,0.75,0.25,0.524,0.238,0.331,0.1,4,2,0,2,4,0,2,10,0,3,
2015-10-28,Danilo Gallinari,DEN,HOU,F,35:36,0.218,0.263,0.313,0.375,0.216,0.143,0.0,0.143,0.333,0.05,0.277,15,0.467,3,5,0.6,6,1.0,8,3,1,3,0,1,23,20,46.25,14,59,37,0.0811,7,0.429,112.1,82.2,29.9,0.125,0.113,0.567,101.61,0.667,0.333,0.348,0.391,0.087,0.261,0.714,0.286,0.366,0.328,0.17,0.302,2,0,0,6,21,8,6,32,8,6,
2015-10-30,Danilo Gallinari,DEN,MIN,F,33:23,0.172,0.186,0.188,0.133,0.061,0.1,0.1,0.0,0.0,0.222,0.185,13,0.308,0,3,0.0,2,1.0,2,1,0,0,1,4,10,-25,13.25,4,42,23,0.0435,6,0.5,73.4,113.4,-40.1,0.063,0.029,0.308,102.98,0.769,0.231,0.8,0.0,0.2,0.6,0.0,1.0,0.481,0.596,0.158,0.259,2,0,2,6,10,4,10,26,4,4,
2015-11-01,Danilo Gallinari,DEN,OKC,F,27:19,0.268,0.245,0.333,0.8,0.19,0.0,0.125,0.2,0.0,0.182,0.326,13,0.231,2,5,0.4,8,0.875,4,0,1,0,1,2,15,-31,22.5,9,51,31,0.0,5,0.2,83.0,123.9,-40.8,0.0,0.078,0.308,103.29,0.615,0.385,0.133,0.4,0.133,0.0,0.667,0.333,0.602,0.259,0.145,0.389,2,0,0,0,18,14,20,40,14,6,
2015-11-03,Danilo Gallinari,DEN,LAL,F,34:33,0.195,0.194,0.0,0.4,0.216,0.125,0.0,0.25,0.2,0.067,0.223,12,0.5,0,0,0.0,10,0.9,8,3,1,1,0,1,21,9,38.75,15,51,32,0.0938,6,0.5,125.3,114.0,11.3,0.107,0.129,0.5,103.89,1.0,0.0,0.571,0.0,0.19,0.381,0.667,0.333,0.5,0.364,0.067,0.2,4,5,8,8,10,6,11,38,6,7,NBA TV
2015-11-05,Danilo Gallinari,DEN,UTA,F,36:53,0.199,0.218,0.143,0.3,0.128,0.091,0.0,0.0,0.333,0.182,0.281,12,0.5,0,2,0.0,9,0.667,5,1,0,2,0,2,18,-8,29.5,14,58,37,0.027,8,0.625,91.2,103.4,-12.3,0.067,0.071,0.5,90.96,0.833,0.167,0.667,0.0,0.0,0.444,0.167,0.833,0.477,0.227,0.057,0.194,0,2,7,8,15,9,10,30,9,6,
