DATE,NAME,TEAM_NAME,TEAM_AGAINST,START_POSITION,MIN,USG_PCT,PCT_FGA,PCT_FG3A,PCT_FTA,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_PF,PCT_PTS,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTA,FT_PCT,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,DK_POINTS,REB_CHANCES,TOUCHES,PASS,AST_PER_PASS,CONTESTED_FGA,CONTESTED_FG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,EFG_PCT,PACE,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PTS_OFF_TOV,PTS_FB,PTS_2ND_CHANCE,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,OPP_PTS_2ND_CHANCE,PFD,NATIONAL_TV
2016-10-08,Danny Green,SAS,ATL,G,16:04,0.134,0.138,0.5,0.0,0.231,0.429,0.25,0.167,0.0,0.333,0.054,4,0.25,0,3,0.0,0,0.0,3,3,1,0,1,3,2,4,11.0,0,0,0,,0,0.0,107.6,99.8,7.8,0.25,0.103,0.25,100.8,0.25,0.75,1.0,0.0,0.0,1.0,1.0,0.0,0.464,0.25,0.212,0.333,0,2,0,2,5,2,4,10,2,0,
2016-10-10,Danny Green,SAS,DET,G,15:56,0.148,0.133,0.6,0.0,0.071,0.0,0.5,0.0,1.0,0.0,0.176,4,0.5,2,3,0.667,0,0.0,1,0,0,1,1,0,6,8,9.75,0,0,0,,0,0.0,103.8,81.6,22.2,0.0,0.031,0.75,97.37,0.25,0.75,0.0,1.0,0.5,0.0,1.0,0.0,0.5,0.077,0.22,0.133,3,0,0,0,2,4,2,14,4,0,
2016-10-12,Danny Green,SAS,ORL,G,11:58,0.168,0.158,0.333,0.0,0.222,0.2,0.25,0.0,0.0,0.167,0.0,3,0.0,0,2,0.0,0,0.0,2,1,0,0,1,1,0,-13,3.25,0,0,0,,0,0.0,78.7,140.4,-61.7,0.143,0.095,0.0,90.17,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.318,0.045,0.333,0,0,0,0,14,4,2,8,4,1,
2016-10-14,Danny Green,SAS,MIA,G,23:29,0.113,0.158,0.222,0.0,0.2,0.0,0.0,0.667,0.0,0.3,0.13,6,0.5,0,2,0.0,0,0.0,5,0,2,0,0,3,6,-13,16.25,0,0,0,,0,0.0,99.4,120.8,-21.4,0.0,0.119,0.5,97.21,0.667,0.333,1.0,0.0,0.0,1.0,1.0,0.0,0.591,0.25,0.082,0.182,0,0,0,6,11,5,10,26,5,1,
2015-10-28,Danny Green,SAS,OKC,G,29:11,0.155,0.155,0.5,0.0,0.276,0.25,0.25,0.143,0.0,0.083,0.071,9,0.222,0,5,0.0,0,0.0,8,2,1,0,2,1,4,-4,17.5,15,57,44,0.0455,3,0.667,85.1,94.3,-9.3,0.095,0.145,0.222,106.45,0.444,0.556,1.0,0.0,0.0,0.5,0.0,1.0,0.46,0.3,0.157,0.111,0,0,2,2,7,6,5,18,6,1,ESPN
2015-10-30,Danny Green,SAS,BKN,G,26:33,0.136,0.133,0.417,0.0,0.129,0.125,0.222,0.0,0.0,0.0,0.129,6,0.5,2,5,0.4,0,0.0,4,2,0,0,2,0,8,20,15.5,7,38,30,0.0667,3,0.667,115.2,82.2,32.9,0.1,0.085,0.667,94.84,0.167,0.833,0.25,0.75,0.0,0.25,0.667,0.333,0.464,0.167,0.117,0.0,0,0,5,2,4,0,0,12,0,0,
2015-11-01,Danny Green,SAS,BOS,G,28:51,0.156,0.192,0.625,0.182,0.188,0.083,0.0,0.667,0.5,0.1,0.091,10,0.2,0,5,0.0,2,0.0,6,1,4,1,0,1,4,-6,22.75,12,54,42,0.0238,6,0.333,71.2,83.8,-12.7,0.059,0.103,0.2,101.06,0.5,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.442,0.115,0.168,0.172,0,2,0,4,13,4,3,28,4,2,
2015-11-02,Danny Green,SAS,NYK,G,27:25,0.123,0.14,0.25,0.0,0.208,0.083,0.125,0.0,0.143,0.0,0.068,6,0.333,0,2,0.0,0,0.0,5,1,0,1,1,0,4,7,13.0,13,42,34,0.0294,2,0.5,114.1,98.2,15.9,0.048,0.1,0.333,91.64,0.667,0.333,1.0,0.0,0.5,1.0,0.5,0.5,0.434,0.17,0.113,0.345,2,2,0,4,14,9,0,20,9,1,
2015-11-04,Danny Green,SAS,WAS,G,29:15,0.22,0.196,0.615,0.231,0.111,0.154,0.308,0.0,0.5,0.182,0.207,10,0.3,3,8,0.375,3,1.0,3,2,0,1,4,2,12,-17,19.75,10,62,46,0.0435,3,0.333,92.5,125.5,-33.0,0.111,0.064,0.45,100.47,0.2,0.8,0.0,0.75,0.25,0.0,0.667,0.333,0.657,0.074,0.084,0.048,3,3,0,0,15,2,19,30,2,2,
2015-11-07,Danny Green,SAS,CHA,G,27:04,0.142,0.159,0.231,0.231,0.143,0.2,0.0,0.5,1.0,0.118,0.127,7,0.286,1,3,0.333,3,1.0,3,4,2,1,0,2,8,-3,23.25,7,54,43,0.093,3,0.0,115.1,120.9,-5.7,0.182,0.079,0.357,96.93,0.571,0.429,0.25,0.375,0.0,0.0,1.0,0.0,0.64,0.349,0.128,0.105,0,0,0,0,12,2,9,24,2,1,
